cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
1.60E-06,2,20,21,,,
1.50E-06,32,21,22,,,
1.60E-06,30,16,17,,,
1.70E-06,26,16,17,,,
1.40E-06,20,17,18,,,
1.50E-06,24,16,17,,,
2.00E-06,34,18,19,,,
1.90E-06,23,17,18,,,
1.50E-06,37,18,19,,,
2.60E-06,33,12,13,,,
1.60E-06,4,12,13,,,
1.50E-06,45,11,12,,,
2.00E-06,37,9,10,,,
1.40E-06,26,11,12,,,
1.50E-06,15,10,11,,,
1.80E-06,7,8,9,,,
1.50E-06,20,9,10,,,
1.50E-06,2,8,9,,,
1.60E-06,29,10,11,,,
1.40E-06,1,9,10,,,
1.50E-06,24,10,11,,,
1.60E-06,18,11,12,,,
1.70E-06,22,8,9,,,
1.50E-06,36,7,8,,,
2.40E-06,33,5,6,,,
2.30E-06,26,3,4,,,
1.60E-06,8,2,3,,,
1.50E-06,24,3,4,,,
1.50E-06,18,3,4,,,
1.40E-06,33,4,5,,,
1.60E-06,43,5,6,,,
1.50E-06,2,4,5,,,
3.30E-06,19,4,5,,,
1.90E-06,31,4,5,,,
1.70E-06,28,5,6,,,
1.70E-06,11,2,3,,,
1.50E-06,24,3,4,,,
1.70E-06,34,4,5,,,
1.60E-06,6,4,5,,,
1.60E-06,44,0,1,,,
1.60E-06,21,2,3,,,
1.30E-06,2,0,1,,,
1.40E-06,25,0,1,,,
3.10E-06,33,1,2,,,
1.70E-06,1,3,4,,,
1.70E-06,39,4,5,,,
2.50E-06,22,6,7,,,
1.60E-06,6,5,6,,,
1.60E-06,5,6,7,,,
2.50E-06,41,3,4,,,
2.40E-06,34,2,3,,,
1.80E-06,35,0,1,,,
1.60E-06,5,0,1,,,
1.40E-06,13,0,1,,,
1.50E-06,11,0,1,,,
1.60E-06,39,1,2,,,
1.40E-06,13,0,1,,,
1.70E-06,35,1,2,,,
1.50E-06,5,1,2,,,
1.50E-06,9,0,1,,,
1.40E-06,1,0,1,,,
1.50E-06,10,1,2,,,
1.50E-06,39,3,4,,,
1.40E-06,11,4,5,,,
1.50E-06,22,5,6,,,
1.40E-06,6,9,10,,,
1.40E-06,3,10,11,,,
2.70E-06,15,10,11,,,
1.70E-06,11,15,16,,,
1.70E-06,19,12,13,,,
1.60E-06,42,8,9,,,
1.40E-06,6,9,10,,,
1.70E-06,29,8,9,,,
1.50E-06,25,8,9,,,
1.90E-06,44,7,8,,,
1.90E-06,13,9,10,,,
1.50E-06,43,10,11,,,
1.50E-06,6,4,5,,,
1.50E-06,8,5,6,,,
1.50E-06,31,9,10,,,
1.50E-06,32,7,8,,,
1.40E-06,12,7,8,,,
1.80E-06,40,6,7,,,
1.50E-06,29,7,8,,,
1.50E-06,28,8,9,,,
2.70E-06,5,8,9,,,
1.60E-06,39,10,11,,,
1.40E-06,26,12,13,,,
1.50E-06,25,13,14,,,
1.60E-06,11,9,10,,,
1.50E-06,31,9,10,,,
1.40E-06,6,12,13,,,
3.60E-06,39,11,12,,,
1.70E-06,18,9,10,,,
1.50E-06,25,2,3,,,
1.50E-06,6,2,3,,,
1.40E-06,36,5,6,,,
3.20E-06,37,6,7,,,
1.70E-06,8,11,12,,,
1.50E-06,7,12,13,,,
1.40E-06,33,13,14,,,
1.50E-06,44,13,14,,,
3.50E-06,5,12,13,,,
1.80E-06,18,10,11,,,
1.50E-06,45,11,12,,,
1.60E-06,6,11,12,,,
1.50E-06,32,14,15,,,
2.30E-06,3,14,15,,,
1.60E-06,20,17,18,,,
1.50E-06,14,18,19,,,
1.50E-06,8,19,20,,,
1.70E-06,39,15,16,,,
1.70E-06,27,9,10,,,
1.50E-06,39,9,10,,,
1.50E-06,28,11,12,,,
1.50E-06,31,13,14,,,
2.70E-06,21,18,19,,,
1.70E-06,26,17,18,,,
1.50E-06,16,18,19,,,
1.50E-06,45,16,17,,,
1.50E-06,10,18,19,,,
1.50E-06,20,13,14,,,
2.10E-06,22,13,14,,,
1.70E-06,41,16,17,,,
1.50E-06,6,19,20,,,
1.40E-06,42,20,21,,,
1.40E-06,1,19,20,,,
1.50E-06,11,19,20,,,
2.50E-06,37,20,21,,,
1.50E-06,16,20,21,,,
1.70E-06,25,17,18,,,
1.40E-06,14,15,16,,,
1.30E-06,25,15,16,,,
1.60E-06,19,16,17,,,
1.50E-06,22,16,17,,,
1.70E-06,27,16,17,,,
1.70E-06,35,16,17,,,
1.50E-06,14,17,18,,,
2.30E-06,5,18,19,,,
1.30E-06,13,19,20,,,
1.30E-06,3,17,18,,,
1.30E-06,19,18,19,,,
1.50E-06,24,20,21,,,
1.80E-06,29,21,22,,,
1.70E-06,19,22,23,,,
2.80E-06,14,24,25,,,
1.60E-06,15,26,27,,,
1.60E-06,12,26,27,,,
1.60E-06,42,27,28,,,
1.80E-06,36,27,28,,,
1.50E-06,15,27,28,,,
1.50E-06,8,31,32,,,
1.40E-06,4,34,35,,,
3.60E-06,19,36,37,,,
1.70E-06,6,37,38,,,
1.30E-06,6,36,37,,,
1.30E-06,18,35,36,,,
1.20E-06,40,37,38,,,
1.40E-06,21,34,35,,,
1.60E-06,16,31,32,,,
1.50E-06,21,33,34,,,
1.40E-06,16,32,33,,,
2.80E-06,8,32,33,,,
1.50E-06,22,31,32,,,
2.70E-06,39,33,34,,,
1.80E-06,12,33,34,,,
1.60E-06,10,32,33,,,
1.70E-06,24,30,31,,,
1.50E-06,1,30,31,,,
1.50E-06,21,30,31,,,
1.50E-06,15,30,31,,,
2.40E-06,38,31,32,,,
3.40E-06,1,28,29,,,
2.50E-06,1,25,26,,,
2.50E-06,23,26,27,,,
1.40E-06,31,23,24,,,
1.70E-06,17,21,22,,,
3.00E-06,40,21,22,,,
2.00E-06,19,22,23,,,
1.60E-06,19,20,21,,,
2.60E-06,36,16,17,,,
1.90E-06,9,17,18,,,
1.50E-06,3,17,18,,,
1.30E-06,39,18,19,,,
1.30E-06,29,18,19,,,
1.30E-06,4,17,18,,,
2.30E-06,43,17,18,,,
1.50E-06,11,16,17,,,
1.70E-06,13,14,15,,,
1.40E-06,36,10,11,,,
1.30E-06,34,11,12,,,
2.10E-06,19,15,16,,,
1.30E-06,45,16,17,,,
1.40E-06,16,16,17,,,
1.40E-06,7,18,19,,,
3.00E-06,12,19,20,,,
1.50E-06,21,20,21,,,
1.40E-06,25,19,20,,,
1.20E-06,2,21,22,,,
1.90E-06,24,23,24,,,
1.30E-06,3,26,27,,,
1.30E-06,43,26,27,,,
1.30E-06,25,26,27,,,
1.40E-06,18,24,25,,,
1.60E-06,41,26,27,,,
1.30E-06,5,27,28,,,
2.10E-06,7,30,31,,,
1.60E-06,31,32,33,,,
1.50E-06,27,32,33,,,
1.50E-06,13,31,32,,,
1.40E-06,14,35,36,,,
1.30E-06,27,36,37,,,
1.20E-06,44,36,37,,,
1.30E-06,39,36,37,,,
1.20E-06,41,38,39,,,
1.20E-06,5,39,40,,,
1.60E-06,6,39,40,,,
1.60E-06,11,39,40,,,
1.50E-06,42,43,44,,,
2.00E-06,30,46,47,,,
1.40E-06,32,48,49,,,
1.40E-06,20,47,48,,,
1.20E-06,11,44,45,,,
1.20E-06,3,46,47,,,
1.40E-06,2,45,46,,,
2.50E-06,34,43,44,,,
1.30E-06,3,45,46,,,
1.30E-06,35,38,39,,,
1.60E-06,38,38,39,,,
1.30E-06,41,39,40,,,
1.30E-06,44,41,42,,,
1.20E-06,22,38,39,,,
1.30E-06,25,39,40,,,
1.30E-06,29,39,40,,,
1.30E-06,25,39,40,,,
1.20E-06,1,38,39,,,
1.60E-06,43,37,38,,,
1.70E-06,29,38,39,,,
1.50E-06,31,39,40,,,
1.20E-06,42,40,41,,,
1.20E-06,16,40,41,,,
1.20E-06,2,41,42,,,
1.40E-06,14,39,40,,,
1.70E-06,11,38,39,,,
1.40E-06,38,34,35,,,
1.40E-06,2,34,35,,,
1.70E-06,23,36,37,,,
1.30E-06,14,37,38,,,
1.30E-06,1,37,38,,,
1.30E-06,7,36,37,,,
1.30E-06,19,38,39,,,
1.30E-06,40,39,40,,,
1.30E-06,26,40,41,,,
1.20E-06,45,41,42,,,
1.20E-06,31,40,41,,,
1.50E-06,39,43,44,,,
1.20E-06,38,45,46,,,
1.30E-06,7,44,45,,,
1.30E-06,45,43,44,,,
1.30E-06,24,45,46,,,
1.30E-06,16,45,46,,,
1.50E-06,16,47,48,,,
1.30E-06,15,48,49,,,
1.30E-06,4,49,50,,,
1.30E-06,23,50,51,,,
1.30E-06,37,44,45,,,
1.50E-06,12,43,44,,,
1.30E-06,27,44,45,,,
1.30E-06,40,42,43,,,
1.50E-06,35,41,42,,,
1.20E-06,7,43,44,,,
1.30E-06,38,42,43,,,
1.40E-06,31,39,40,,,
1.30E-06,4,39,40,,,
1.40E-06,41,39,40,,,
1.30E-06,44,40,41,,,
1.70E-06,10,41,42,,,
1.40E-06,4,42,43,,,
2.30E-06,32,42,43,,,
1.40E-06,9,44,45,,,
1.60E-06,3,45,46,,,
1.30E-06,38,45,46,,,
1.30E-06,34,46,47,,,
1.20E-06,37,47,48,,,
1.30E-06,38,50,51,,,
1.20E-06,10,50,51,,,
2.40E-06,1,52,53,,,
1.60E-06,37,52,53,,,
1.50E-06,7,54,55,,,
1.60E-06,13,49,50,,,
1.60E-06,35,50,51,,,
1.50E-06,5,51,52,,,
3.10E-06,23,47,48,,,
1.70E-06,30,47,48,,,
2.10E-06,23,46,47,,,
2.20E-06,38,48,49,,,
2.60E-06,16,51,52,,,
1.90E-06,1,47,48,,,
1.70E-06,6,48,49,,,
1.90E-06,24,48,49,,,
1.80E-06,42,52,53,,,
2.40E-06,4,50,51,,,
1.70E-06,24,49,50,,,
1.50E-06,12,50,51,,,
2.60E-06,42,50,51,,,
1.90E-06,26,49,50,,,
1.40E-06,45,46,47,,,
1.50E-06,9,46,47,,,
1.80E-06,28,46,47,,,
1.40E-06,7,45,46,,,
1.80E-06,2,46,47,,,
1.60E-06,17,45,46,,,
1.60E-06,10,46,47,,,
1.80E-06,4,49,50,,,
1.50E-06,37,49,50,,,
1.70E-06,7,49,50,,,
1.50E-06,22,50,51,,,
2.30E-06,40,51,52,,,
1.80E-06,7,50,51,,,
1.70E-06,37,52,53,,,
1.80E-06,33,52,53,,,
1.80E-06,28,57,58,,,
1.40E-06,36,59,60,,,
2.40E-06,40,55,56,,,
3.80E-06,12,54,55,,,
2.40E-06,10,55,56,,,
1.60E-06,32,54,55,,,
1.80E-06,1,54,55,,,
1.80E-06,5,55,56,,,
2.40E-06,23,54,55,,,
1.60E-06,43,54,55,,,
1.90E-06,29,54,55,,,
1.50E-06,6,51,52,,,
2.00E-06,29,48,49,,,
3.00E-06,41,51,52,,,
1.40E-06,2,52,53,,,
2.50E-06,23,50,51,,,
2.50E-06,37,47,48,,,
1.60E-06,38,49,50,,,
1.40E-06,11,50,51,,,
1.50E-06,31,52,53,,,
1.60E-06,4,53,54,,,
1.50E-06,40,53,54,,,
1.70E-06,45,49,50,,,
1.50E-06,13,47,48,,,
1.50E-06,7,45,46,,,
2.00E-06,30,41,42,,,
1.90E-06,19,42,43,,,
1.40E-06,2,43,44,,,
1.50E-06,27,42,43,,,
1.50E-06,1,47,48,,,
3.50E-06,14,48,49,,,
1.50E-06,5,48,49,,,
1.50E-06,29,48,49,,,
1.50E-06,13,49,50,,,
3.40E-06,35,50,51,,,
2.10E-06,7,52,53,,,
1.50E-06,24,53,54,,,
1.50E-06,25,53,54,,,
1.40E-06,31,53,54,,,
1.60E-06,26,54,55,,,
1.50E-06,44,53,54,,,
2.20E-06,41,53,54,,,
1.60E-06,43,50,51,,,
1.40E-06,10,52,53,,,
1.50E-06,37,52,53,,,
1.40E-06,20,53,54,,,
1.70E-06,44,58,59,,,
1.60E-06,38,52,53,,,
1.60E-06,19,52,53,,,
1.60E-06,18,54,55,,,
1.40E-06,16,54,55,,,
1.50E-06,32,48,49,,,
1.50E-06,40,47,48,,,
1.60E-06,33,36,37,,,
1.40E-06,7,37,38,,,
1.50E-06,17,38,39,,,
2.10E-06,15,33,34,,,
1.60E-06,38,33,34,,,
1.60E-06,43,28,29,,,
4.00E-06,30,29,30,,,
2.50E-06,11,29,30,,,
1.60E-06,35,33,34,,,
1.70E-06,17,34,35,,,
1.50E-06,41,32,33,,,
4.40E-06,40,33,34,,,
4.10E-06,10,34,35,,,
2.00E-06,44,34,35,,,
1.60E-06,12,36,37,,,
2.10E-06,43,36,37,,,
1.50E-06,5,36,37,,,
