cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,
2.01E-05,44,24,48,,,
1.85E-05,39,50,56,,,
1.82E-05,95,24,62,,,
2.48E-05,15,2,63,,,
2.27E-05,4,15,62,,,
1.80E-05,24,24,59,,,
1.88E-05,92,29,61,,,
1.76E-05,34,40,58,,,
1.73E-05,16,50,58,,,
1.77E-05,30,33,57,,,
1.80E-05,13,30,53,,,
1.79E-05,19,22,52,,,
1.71E-05,11,3,57,,,
1.90E-05,26,27,54,,,
1.77E-05,1,12,68,,,
1.74E-05,40,61,67,,,
3.79E-05,1,39,63,,,
1.69E-05,45,0,72,,,
1.74E-05,24,53,71,,,
1.78E-05,1,17,72,,,
1.74E-05,24,5,73,,,
1.69E-05,16,0,72,,,
1.75E-05,93,54,74,,,
1.72E-05,2,64,72,,,
2.83E-05,21,23,63,,,
1.82E-05,17,6,46,,,
1.76E-05,93,37,55,,,
1.69E-05,8,2,48,,,
2.37E-05,33,20,48,,,
1.84E-05,25,42,53,,,
1.97E-05,35,16,53,,,
1.96E-05,91,26,58,,,
5.74E-05,6,40,54,,,
1.83E-05,41,42,62,,,
1.84E-05,15,32,58,,,
1.87E-05,40,26,47,,,
1.76E-05,24,46,51,,,
1.72E-05,26,6,50,,,
1.75E-05,91,14,49,,,
1.72E-05,2,4,52,,,
1.86E-05,7,31,59,,,
1.75E-05,3,12,59,,,
1.87E-05,91,21,55,,,
4.42E-05,41,53,59,,,
1.95E-05,17,23,59,,,
1.74E-05,25,48,56,,,
1.92E-05,7,27,57,,,
1.79E-05,23,19,56,,,
2.00E-05,10,38,67,,,
2.56E-05,25,62,71,,,
1.84E-05,28,34,79,,,
1.82E-05,10,52,86,,,
1.74E-05,92,77,84,,,
1.75E-05,26,11,63,,,
1.95E-05,26,18,75,,,
1.79E-05,94,59,74,,,
1.81E-05,17,28,83,,,
1.98E-05,31,55,85,,,
1.80E-05,21,28,93,,,
2.26E-05,10,90,92,,,
2.27E-05,43,71,85,,,
1.97E-05,8,54,99,,,
1.77E-05,41,68,95,,,
1.77E-05,31,90,108,,,
1.84E-05,33,87,111,,,
1.71E-05,13,118,122,,,
1.84E-05,40,92,122,,,
1.91E-05,27,43,116,,,
1.80E-05,43,100,112,,,
1.74E-05,16,1,107,,,
1.81E-05,34,24,108,,,
2.80E-05,95,45,100,,,
2.38E-05,41,57,100,,,
1.76E-05,39,13,94,,,
1.76E-05,37,69,90,,,
1.81E-05,6,62,82,,,
1.89E-05,35,7,81,,,
1.74E-05,28,68,73,,,
1.83E-05,27,24,73,,,
1.73E-05,37,13,72,,,
2.49E-05,14,28,68,,,
1.73E-05,44,64,69,,,
1.86E-05,92,33,71,,,
1.81E-05,45,24,68,,,
1.90E-05,15,54,70,,,
1.85E-05,45,34,64,,,
1.76E-05,12,17,55,,,
1.74E-05,22,37,53,,,
2.42E-05,35,0,42,,,
2.32E-05,35,31,39,,,
2.95E-05,15,26,39,,,
1.84E-05,45,10,49,,,
1.86E-05,11,28,50,,,
2.80E-05,27,21,52,,,
1.83E-05,31,12,47,,,
1.79E-05,35,20,35,,,
1.74E-05,19,26,34,,,
1.74E-05,18,4,35,,,
1.76E-05,1,27,41,,,
1.71E-05,12,35,40,,,
2.43E-05,91,12,36,,,
1.79E-05,21,26,36,,,
1.75E-05,11,13,34,,,
1.76E-05,8,3,28,,,
1.75E-05,17,19,33,,,
1.72E-05,23,23,31,,,
1.72E-05,45,14,29,,,
1.86E-05,45,14,28,,,
3.20E-05,93,13,24,,,
1.74E-05,92,12,22,,,
1.87E-05,17,15,22,,,
1.72E-05,93,9,16,,,
1.73E-05,12,9,16,,,
1.69E-05,94,0,14,,,
1.79E-05,11,1,3,,,
3.02E-05,5,2,6,,,
2.25E-05,26,0,6,,,
1.82E-05,45,16,23,,,
3.35E-05,23,13,19,,,
2.00E-05,92,16,21,,,
1.71E-05,92,3,25,,,
1.73E-05,4,3,21,,,
1.77E-05,20,19,27,,,
1.75E-05,1,6,21,,,
2.74E-05,1,5,25,,,
1.82E-05,25,14,25,,,
1.69E-05,40,1,22,,,
1.74E-05,93,10,18,,,
2.23E-05,6,15,21,,,
1.71E-05,42,16,23,,,
1.72E-05,40,8,23,,,
1.73E-05,6,8,15,,,
1.69E-05,91,6,8,,,
1.95E-05,91,5,8,,,
1.72E-05,43,0,3,,,
1.72E-05,43,1,6,,,
1.69E-05,43,2,7,,,
1.68E-05,17,0,5,,,
1.73E-05,1,4,9,,,
1.70E-05,95,4,7,,,
1.77E-05,15,12,14,,,
1.69E-05,4,0,15,,,
2.02E-05,93,2,12,,,
9.22E-05,1,3,13,,,
2.56E-05,18,0,14,,,
1.79E-05,5,4,13,,,
2.20E-05,15,12,15,,,
2.57E-05,37,7,20,,,
1.72E-05,12,15,17,,,
1.80E-05,13,25,27,,,
2.17E-05,12,15,27,,,
2.51E-05,24,0,26,,,
1.86E-05,21,8,27,,,
1.88E-05,35,22,33,,,
1.74E-05,95,12,34,,,
2.43E-05,35,26,41,,,
1.91E-05,3,15,52,,,
1.79E-05,23,34,56,,,
1.87E-05,25,16,48,,,
