cas operacie,cislo,index prvku,dlzka zoznamu,,,
1.77E-05,91,14,23,,,
1.96E-05,93,20,23,,,
1.81E-05,94,5,24,,,
1.78E-05,93,18,23,,,
1.86E-05,94,16,22,,,
1.76E-05,91,6,20,,,
1.75E-05,92,18,21,,,
1.87E-05,95,5,41,,,
1.78E-05,93,9,36,,,
1.75E-05,95,1,38,,,
1.82E-05,93,0,37,,,
1.81E-05,94,7,37,,,
1.77E-05,92,11,42,,,
2.51E-05,93,0,51,,,
1.74E-05,91,3,55,,,
1.93E-05,95,29,57,,,
1.80E-05,91,8,58,,,
1.73E-05,94,1,54,,,
1.86E-05,92,29,60,,,
1.89E-05,93,31,60,,,
2.15E-05,95,3,65,,,
1.78E-05,93,47,63,,,
1.77E-05,92,46,55,,,
1.86E-05,91,2,55,,,
1.86E-05,93,34,54,,,
1.77E-05,92,8,58,,,
1.92E-05,94,15,59,,,
1.80E-05,93,10,64,,,
1.88E-05,94,23,63,,,
1.78E-05,93,10,71,,,
2.30E-05,93,59,75,,,
1.96E-05,92,35,73,,,
1.86E-05,91,48,76,,,
1.87E-05,92,35,72,,,
1.84E-05,93,34,70,,,
2.01E-05,93,32,54,,,
2.50E-05,94,26,49,,,
1.84E-05,91,7,55,,,
1.82E-05,93,33,55,,,
3.47E-05,94,4,49,,,
2.28E-05,92,46,57,,,
2.01E-05,93,28,57,,,
2.49E-05,92,14,57,,,
2.01E-05,93,26,54,,,
2.34E-05,93,14,63,,,
1.78E-05,91,11,61,,,
1.79E-05,94,20,60,,,
1.77E-05,93,4,57,,,
2.57E-05,93,23,50,,,
1.87E-05,95,32,52,,,
2.43E-05,94,43,49,,,
1.74E-05,95,46,51,,,
2.01E-05,95,22,45,,,
1.94E-05,91,21,55,,,
1.83E-05,91,21,56,,,
5.14E-05,91,52,65,,,
1.89E-05,92,79,82,,,
1.73E-05,95,81,83,,,
1.89E-05,94,58,74,,,
2.29E-05,93,65,80,,,
1.89E-05,94,45,79,,,
2.33E-05,92,35,79,,,
1.83E-05,91,24,86,,,
1.81E-05,91,18,87,,,
2.03E-05,91,71,85,,,
1.86E-05,92,12,85,,,
1.90E-05,92,67,84,,,
2.17E-05,95,43,80,,,
1.88E-05,93,18,82,,,
1.90E-05,92,21,83,,,
1.80E-05,94,69,96,,,
1.77E-05,93,90,103,,,
2.03E-05,94,64,118,,,
2.14E-05,92,38,116,,,
1.78E-05,94,108,119,,,
1.91E-05,95,111,119,,,
1.80E-05,92,18,114,,,
1.77E-05,95,11,114,,,
1.78E-05,94,6,118,,,
2.08E-05,91,72,118,,,
2.15E-05,95,46,112,,,
1.75E-05,93,98,110,,,
1.95E-05,92,32,112,,,
1.87E-05,92,35,75,,,
1.78E-05,95,51,75,,,
1.84E-05,95,25,70,,,
2.51E-05,92,34,70,,,
1.83E-05,95,28,69,,,
2.28E-05,92,36,69,,,
1.95E-05,95,14,48,,,
1.87E-05,92,16,37,,,
1.79E-05,91,13,34,,,
1.75E-05,91,28,37,,,
2.21E-05,91,16,37,,,
1.79E-05,91,9,37,,,
1.75E-05,91,2,35,,,
1.83E-05,92,17,32,,,
1.77E-05,92,10,38,,,
1.97E-05,95,32,36,,,
1.72E-05,94,2,30,,,
1.80E-05,91,5,31,,,
1.76E-05,95,28,31,,,
1.80E-05,92,28,35,,,
1.71E-05,93,1,34,,,
3.07E-05,94,1,31,,,
1.73E-05,91,28,31,,,
1.75E-05,94,16,28,,,
1.84E-05,92,1,31,,,
1.81E-05,92,14,30,,,
1.85E-05,93,19,33,,,
1.76E-05,92,23,32,,,
1.83E-05,92,5,21,,,
1.78E-05,95,6,21,,,
1.84E-05,93,12,16,,,
3.13E-05,92,10,16,,,
1.79E-05,91,9,14,,,
1.72E-05,92,0,19,,,
1.73E-05,94,0,14,,,
1.74E-05,95,2,12,,,
1.86E-05,92,0,4,,,
2.39E-05,94,2,7,,,
2.56E-05,91,3,15,,,
3.43E-05,93,1,25,,,
1.86E-05,95,18,21,,,
1.78E-05,95,7,26,,,
1.73E-05,92,2,23,,,
1.74E-05,92,17,22,,,
2.22E-05,95,12,24,,,
2.54E-05,93,10,26,,,
1.74E-05,93,15,25,,,
1.73E-05,91,19,26,,,
1.78E-05,94,11,24,,,
2.12E-05,91,9,19,,,
1.76E-05,91,10,18,,,
1.75E-05,92,1,10,,,
1.75E-05,95,2,8,,,
1.85E-05,93,2,14,,,
1.84E-05,94,6,12,,,
2.76E-05,91,11,16,,,
1.74E-05,94,17,19,,,
1.84E-05,94,8,27,,,
1.92E-05,91,14,25,,,
1.88E-05,95,8,25,,,
1.98E-05,94,35,44,,,
1.86E-05,92,4,44,,,
1.79E-05,93,3,52,,,
1.75E-05,95,23,32,,,
2.07E-05,95,14,31,,,
2.01E-05,93,12,39,,,
1.95E-05,91,22,39,,,
2.26E-05,93,23,34,,,
1.87E-05,95,8,37,,,
1.91E-05,94,24,36,,,
2.54E-05,91,7,36,,,
2.58E-05,92,6,41,,,
2.21E-05,93,34,47,,,
1.86E-05,95,6,48,,,
1.82E-05,91,26,47,,,
1.71E-05,91,1,40,,,
1.83E-05,91,21,46,,,
1.84E-05,91,19,45,,,
1.80E-05,92,30,46,,,
1.82E-05,94,18,39,,,
1.89E-05,95,27,46,,,
1.90E-05,92,32,48,,,
1.88E-05,91,36,48,,,
1.89E-05,92,27,48,,,
1.87E-05,93,40,50,,,
2.27E-05,91,10,56,,,
1.97E-05,95,39,57,,,
2.30E-05,93,4,57,,,
1.82E-05,91,39,55,,,
1.77E-05,94,54,59,,,
1.92E-05,92,15,36,,,
1.79E-05,94,17,34,,,
1.74E-05,91,1,29,,,
1.77E-05,91,9,25,,,
1.76E-05,94,12,25,,,
1.76E-05,94,7,12,,,
2.19E-05,91,2,10,,,
2.10E-05,92,13,20,,,
1.78E-05,93,13,18,,,
1.74E-05,91,2,19,,,
2.27E-05,91,12,16,,,
1.76E-05,95,2,13,,,
1.77E-05,94,1,10,,,
1.72E-05,94,13,15,,,
2.26E-05,95,17,21,,,
1.72E-05,93,23,25,,,
1.76E-05,95,14,27,,,
1.75E-05,95,0,18,,,
1.83E-05,92,4,10,,,
2.06E-05,95,4,10,,,
1.73E-05,95,8,10,,,
1.85E-05,92,7,9,,,
1.84E-05,95,5,9,,,
1.81E-05,92,2,9,,,
1.74E-05,93,9,13,,,
1.73E-05,95,6,14,,,
1.73E-05,95,1,11,,,
1.75E-05,93,0,11,,,
1.73E-05,93,3,10,,,
1.71E-05,94,0,3,,,
1.71E-05,92,0,3,,,
1.72E-05,91,3,5,,,
1.75E-05,94,3,5,,,
1.94E-05,92,1,9,,,
1.77E-05,91,1,13,,,
2.14E-05,94,1,8,,,
1.77E-05,91,3,10,,,
1.86E-05,95,13,16,,,
1.82E-05,91,14,16,,,
2.22E-05,92,10,16,,,
1.82E-05,95,13,15,,,
1.75E-05,93,3,26,,,
1.77E-05,95,7,23,,,
2.04E-05,95,13,28,,,
1.92E-05,95,12,28,,,
3.40E-05,95,31,37,,,
1.74E-05,92,1,38,,,
1.83E-05,94,21,43,,,
1.84E-05,92,44,48,,,
1.88E-05,92,44,46,,,
1.90E-05,94,35,47,,,
1.95E-05,95,0,48,,,
1.80E-05,95,27,47,,,
1.78E-05,92,20,41,,,
1.71E-05,92,0,43,,,
1.75E-05,95,24,32,,,
1.71E-05,94,2,34,,,
1.95E-05,93,29,32,,,
1.75E-05,94,52,54,,,
2.04E-05,91,4,53,,,
1.89E-05,95,37,49,,,
1.79E-05,94,32,48,,,
1.77E-05,95,16,44,,,
1.78E-05,93,6,42,,,
1.78E-05,91,15,43,,,
1.78E-05,94,35,51,,,
1.86E-05,91,31,46,,,
2.17E-05,93,4,45,,,
1.90E-05,93,41,58,,,
1.78E-05,93,34,52,,,
1.85E-05,93,13,43,,,
2.50E-05,91,37,43,,,
1.95E-05,93,29,44,,,
1.75E-05,94,8,47,,,
1.76E-05,94,4,48,,,
1.87E-05,92,25,29,,,
2.69E-05,92,20,28,,,
2.47E-05,95,12,28,,,
1.87E-05,94,3,27,,,
1.78E-05,94,12,32,,,
1.77E-05,95,9,32,,,
1.75E-05,93,0,36,,,
1.74E-05,93,8,52,,,
1.83E-05,91,6,47,,,
1.75E-05,95,6,49,,,
1.80E-05,91,21,49,,,
1.77E-05,91,9,49,,,
1.82E-05,92,34,44,,,
1.82E-05,91,23,44,,,
1.72E-05,94,2,46,,,
3.11E-05,94,13,52,,,
1.83E-05,93,39,56,,,
2.32E-05,95,20,61,,,
2.04E-05,95,25,60,,,
1.85E-05,92,31,65,,,
1.75E-05,95,60,70,,,
1.80E-05,93,17,68,,,
1.77E-05,91,14,72,,,
1.96E-05,93,47,75,,,
1.88E-05,93,44,78,,,
3.86E-05,91,43,72,,,
1.82E-05,94,7,72,,,
1.75E-05,95,2,65,,,
2.34E-05,94,27,69,,,
2.23E-05,95,11,77,,,
3.60E-05,91,37,86,,,
2.13E-05,94,72,85,,,
1.76E-05,95,71,79,,,
2.60E-05,91,40,75,,,
1.80E-05,94,17,65,,,
2.04E-05,93,47,69,,,
2.31E-05,93,3,74,,,
1.75E-05,95,42,50,,,
1.81E-05,94,32,49,,,
2.34E-05,91,19,46,,,
1.75E-05,91,40,47,,,
1.77E-05,95,43,53,,,
1.81E-05,93,29,57,,,
1.77E-05,94,9,48,,,
1.73E-05,91,5,47,,,
1.91E-05,93,37,49,,,
1.75E-05,92,39,46,,,
1.83E-05,92,24,49,,,
1.74E-05,92,41,48,,,
1.81E-05,93,30,41,,,
1.82E-05,95,12,24,,,
1.76E-05,95,15,24,,,
2.08E-05,91,19,24,,,
1.75E-05,93,2,21,,,
1.77E-05,94,6,24,,,
1.75E-05,94,1,26,,,
1.82E-05,92,2,40,,,
1.76E-05,91,24,38,,,
2.25E-05,91,41,45,,,
1.75E-05,94,28,35,,,
2.53E-05,92,7,30,,,
1.78E-05,93,25,38,,,
1.76E-05,91,3,43,,,
1.71E-05,95,2,33,,,
1.77E-05,95,17,27,,,
1.77E-05,95,7,22,,,
1.79E-05,92,3,29,,,
1.73E-05,95,24,27,,,
1.78E-05,95,14,30,,,
1.76E-05,92,25,31,,,
1.79E-05,91,3,26,,,
2.41E-05,93,6,21,,,
1.86E-05,95,28,30,,,
1.83E-05,94,5,28,,,
1.87E-05,91,26,37,,,
2.24E-05,91,17,40,,,
1.72E-05,94,3,42,,,
1.76E-05,93,7,48,,,
2.52E-05,93,17,50,,,
1.73E-05,95,53,58,,,
2.33E-05,95,58,73,,,
1.90E-05,91,54,79,,,
1.79E-05,93,76,90,,,
1.80E-05,95,19,97,,,
1.82E-05,92,72,95,,,
2.59E-05,95,12,85,,,
2.55E-05,93,27,85,,,
1.83E-05,91,55,73,,,
2.09E-05,93,36,85,,,
1.79E-05,93,88,94,,,
1.87E-05,94,71,96,,,
1.97E-05,93,54,98,,,
1.79E-05,91,16,98,,,
1.90E-05,94,35,93,,,
