cas operacie,cislo,velkost frontu,,,
6.00E-07,20,17,,,
6.00E-07,18,16,,,
6.00E-07,35,15,,,
6.00E-07,26,14,,,
6.00E-07,26,14,,,
7.00E-07,12,12,,,
6.00E-07,12,12,,,
6.00E-07,12,12,,,
6.00E-07,12,12,,,
6.00E-07,14,8,,,
6.00E-07,8,9,,,
6.00E-07,12,10,,,
6.00E-07,8,9,,,
6.00E-07,34,10,,,
6.00E-07,34,10,,,
6.00E-07,34,11,,,
6.00E-07,19,11,,,
6.00E-07,30,9,,,
6.00E-07,30,9,,,
5.00E-07,30,9,,,
6.00E-07,30,9,,,
6.00E-07,15,8,,,
6.00E-07,15,8,,,
6.00E-07,35,9,,,
6.00E-07,35,9,,,
6.00E-07,3,10,,,
6.00E-07,35,9,,,
6.00E-07,35,10,,,
6.00E-07,10,14,,,
6.00E-07,1,17,,,
7.00E-07,34,16,,,
7.00E-07,27,13,,,
6.00E-07,27,13,,,
6.00E-07,35,11,,,
6.00E-07,22,9,,,
6.00E-07,22,9,,,
6.00E-07,22,9,,,
6.00E-07,22,9,,,
5.00E-07,22,9,,,
6.00E-07,22,9,,,
6.00E-07,8,9,,,
6.00E-07,32,9,,,
6.00E-07,7,8,,,
6.00E-07,7,8,,,
6.00E-07,7,8,,,
6.00E-07,7,8,,,
6.00E-07,33,7,,,
6.00E-07,8,9,,,
6.00E-07,13,9,,,
6.00E-07,13,10,,,
6.00E-07,13,10,,,
6.00E-07,13,11,,,
6.00E-07,13,11,,,
6.00E-07,24,9,,,
6.00E-07,20,12,,,
6.00E-07,4,11,,,
6.00E-07,4,11,,,
6.00E-07,4,13,,,
6.00E-07,24,12,,,
6.00E-07,8,10,,,
6.00E-07,17,9,,,
6.00E-07,17,9,,,
6.00E-07,17,9,,,
6.00E-07,14,8,,,
6.00E-07,9,12,,,
5.00E-07,9,12,,,
6.00E-07,25,11,,,
6.00E-07,20,10,,,
6.00E-07,14,8,,,
5.00E-07,14,8,,,
6.00E-07,14,8,,,
6.00E-07,29,10,,,
6.00E-07,29,10,,,
6.00E-07,9,9,,,
6.00E-07,30,11,,,
6.00E-07,30,11,,,
6.00E-07,29,14,,,
6.00E-07,29,14,,,
7.00E-07,13,15,,,
6.00E-07,28,14,,,
6.00E-07,28,14,,,
6.00E-07,9,13,,,
6.00E-07,32,12,,,
6.00E-07,6,11,,,
