cas operacie,vybrane cislo,velkost frontu,,
1.30E-06,6,87,,
1.30E-06,21,90,,
1.30E-06,2,90,,
1.30E-06,1,89,,
1.40E-06,22,88,,
1.30E-06,32,87,,
1.20E-06,24,87,,
1.30E-06,27,87,,
1.40E-06,19,87,,
1.30E-06,28,90,,
1.30E-06,21,89,,
1.40E-06,27,88,,
1.30E-06,27,89,,
1.30E-06,3,89,,
1.30E-06,16,89,,
1.30E-06,25,89,,
0.000241,19,88,,
1.30E-06,17,90,,
1.20E-06,8,91,,
1.30E-06,1,90,,
1.30E-06,26,90,,
1.30E-06,13,89,,
1.40E-06,23,89,,
1.30E-06,12,89,,
1.30E-06,14,88,,
1.30E-06,18,87,,
1.20E-06,29,86,,
1.30E-06,34,87,,
1.30E-06,15,86,,
1.40E-06,20,87,,
1.30E-06,3,88,,
1.30E-06,15,90,,
1.20E-06,31,92,,
1.30E-06,11,91,,
1.40E-06,6,90,,
1.30E-06,7,91,,
1.30E-06,23,91,,
1.30E-06,26,91,,
1.30E-06,24,90,,
1.30E-06,27,92,,
1.30E-06,35,91,,
1.30E-06,18,90,,
1.20E-06,21,89,,
1.30E-06,4,88,,
1.20E-06,11,88,,
0.0002432,34,87,,
1.40E-06,22,86,,
1.30E-06,25,85,,
1.30E-06,3,84,,
1.30E-06,3,84,,
1.30E-06,22,83,,
1.30E-06,15,82,,
1.30E-06,5,81,,
1.20E-06,18,81,,
1.30E-06,11,82,,
0.0002198,23,81,,
1.30E-06,31,84,,
1.30E-06,2,84,,
1.30E-06,4,83,,
1.30E-06,1,82,,
1.40E-06,32,85,,
1.30E-06,20,85,,
1.30E-06,19,86,,
1.30E-06,25,85,,
1.20E-06,8,84,,
1.20E-06,18,84,,
1.20E-06,5,84,,
1.30E-06,30,83,,
1.30E-06,17,85,,
1.30E-06,25,84,,
1.20E-06,25,85,,
1.30E-06,32,85,,
1.30E-06,1,86,,
1.30E-06,9,86,,
1.20E-06,1,87,,
1.30E-06,10,86,,
1.30E-06,9,85,,
1.30E-06,7,84,,
1.30E-06,1,85,,
1.40E-06,21,84,,
1.30E-06,24,84,,
1.30E-06,31,83,,
0.0003182,28,82,,
1.90E-06,31,81,,
1.70E-06,27,83,,
1.30E-06,30,84,,
1.30E-06,24,85,,
1.30E-06,26,84,,
1.30E-06,16,83,,
1.30E-06,23,82,,
1.30E-06,12,84,,
1.30E-06,5,84,,
1.30E-06,16,83,,
1.30E-06,6,82,,
1.30E-06,32,83,,
1.40E-06,10,82,,
1.40E-06,22,81,,
1.40E-06,29,80,,
1.30E-06,26,81,,
1.40E-06,6,80,,
0.0002135,5,79,,
1.30E-06,3,78,,
1.30E-06,3,77,,
1.30E-06,18,77,,
1.40E-06,6,76,,
1.30E-06,7,75,,
1.30E-06,23,75,,
1.30E-06,28,74,,
1.40E-06,16,73,,
1.30E-06,18,72,,
0.0001946,35,71,,
1.30E-06,18,73,,
1.30E-06,23,72,,
1.30E-06,26,72,,
1.40E-06,6,75,,
1.30E-06,23,74,,
1.30E-06,21,74,,
1.30E-06,15,74,,
1.30E-06,30,73,,
1.40E-06,22,73,,
1.40E-06,21,76,,
1.30E-06,17,75,,
1.30E-06,1,74,,
1.30E-06,19,73,,
1.20E-06,14,72,,
1.20E-06,28,74,,
1.30E-06,2,75,,
1.30E-06,30,74,,
1.30E-06,17,74,,
1.30E-06,3,75,,
1.30E-06,16,74,,
1.30E-06,4,73,,
1.30E-06,5,74,,
1.20E-06,15,73,,
1.30E-06,34,73,,
1.20E-06,29,73,,
1.30E-06,18,72,,
0.0001944,28,71,,
1.30E-06,34,72,,
1.30E-06,10,72,,
1.30E-06,32,71,,
1.30E-06,9,70,,
1.30E-06,29,71,,
1.30E-06,35,70,,
1.40E-06,28,69,,
1.30E-06,32,69,,
1.30E-06,8,70,,
1.30E-06,12,71,,
1.20E-06,4,70,,
1.30E-06,19,71,,
1.30E-06,29,71,,
1.30E-06,23,70,,
1.30E-06,14,69,,
1.30E-06,13,71,,
1.30E-06,24,70,,
1.30E-06,23,72,,
1.30E-06,8,73,,
1.40E-06,13,73,,
1.30E-06,15,72,,
1.30E-06,20,76,,
1.30E-06,29,75,,
1.30E-06,10,75,,
1.30E-06,29,74,,
1.30E-06,6,75,,
1.30E-06,20,74,,
1.30E-06,8,73,,
1.30E-06,20,72,,
1.30E-06,34,71,,
1.30E-06,11,71,,
1.30E-06,3,70,,
1.20E-06,21,72,,
1.30E-06,4,71,,
1.20E-06,19,70,,
0.0001868,5,69,,
1.40E-06,24,70,,
1.30E-06,29,70,,
1.30E-06,31,69,,
1.30E-06,27,68,,
1.30E-06,31,67,,
1.30E-06,19,66,,
1.40E-06,30,65,,
1.30E-06,32,64,,
1.30E-06,29,64,,
0.0001708,29,63,,
1.30E-06,20,63,,
1.30E-06,23,65,,
1.40E-06,5,66,,
1.30E-06,2,65,,
1.30E-06,16,65,,
1.30E-06,29,66,,
1.30E-06,6,65,,
1.30E-06,23,65,,
1.30E-06,10,64,,
1.30E-06,10,64,,
1.30E-06,22,65,,
1.30E-06,5,64,,
1.30E-06,24,63,,
1.30E-06,35,62,,
1.30E-06,16,62,,
1.30E-06,17,61,,
1.30E-06,27,60,,
0.0001616,28,59,,
1.30E-06,4,59,,
1.40E-06,4,58,,
1.30E-06,26,58,,
1.30E-06,13,58,,
1.30E-06,15,57,,
1.30E-06,4,56,,
1.30E-06,29,56,,
1.30E-06,35,56,,
1.30E-06,7,55,,
1.30E-06,16,54,,
1.40E-06,34,53,,
1.40E-06,24,54,,
0.000145,9,53,,
1.40E-06,29,58,,
1.40E-06,2,58,,
1.30E-06,34,57,,
1.40E-06,18,56,,
1.40E-06,27,61,,
1.40E-06,27,60,,
1.50E-06,20,59,,
1.30E-06,5,58,,
1.30E-06,21,61,,
1.20E-06,14,70,,
1.30E-06,26,70,,
1.30E-06,23,69,,
1.30E-06,14,68,,
1.30E-06,16,67,,
1.30E-06,14,66,,
1.20E-06,22,67,,
1.30E-06,20,67,,
1.20E-06,30,68,,
1.30E-06,12,68,,
1.30E-06,27,68,,
1.30E-06,12,67,,
1.30E-06,25,69,,
1.30E-06,19,68,,
0.0001838,18,67,,
1.30E-06,11,67,,
1.40E-06,25,66,,
1.30E-06,4,65,,
1.30E-06,13,64,,
1.30E-06,15,65,,
1.30E-06,32,66,,
1.30E-06,22,65,,
1.30E-06,8,68,,
1.30E-06,26,68,,
1.30E-06,6,70,,
1.30E-06,32,69,,
1.30E-06,2,68,,
1.30E-06,14,68,,
1.40E-06,2,68,,
1.30E-06,15,67,,
1.30E-06,26,66,,
1.30E-06,22,65,,
1.20E-06,29,66,,
1.30E-06,4,66,,
1.30E-06,12,66,,
1.20E-06,3,65,,
1.20E-06,28,66,,
1.30E-06,26,65,,
1.30E-06,1,64,,
1.30E-06,23,65,,
2.90E-06,5,64,,
2.60E-06,22,65,,
1.90E-06,9,64,,
2.20E-06,7,67,,
1.40E-06,9,68,,
1.40E-06,12,68,,
1.40E-06,21,67,,
1.40E-06,30,66,,
1.50E-06,27,65,,
1.30E-06,1,66,,
1.30E-06,20,68,,
1.30E-06,24,68,,
1.30E-06,27,67,,
1.30E-06,33,66,,
1.30E-06,7,66,,
1.30E-06,28,66,,
1.30E-06,11,65,,
1.30E-06,24,65,,
0.0001814,13,64,,
1.40E-06,29,63,,
1.30E-06,5,62,,
1.30E-06,29,62,,
1.30E-06,6,61,,
1.40E-06,10,61,,
1.30E-06,15,60,,
1.30E-06,13,60,,
1.30E-06,13,59,,
1.30E-06,3,58,,
0.0001552,10,57,,
1.30E-06,12,56,,
1.30E-06,12,56,,
1.30E-06,8,55,,
1.40E-06,11,61,,
1.40E-06,28,61,,
1.30E-06,4,60,,
1.30E-06,31,59,,
1.30E-06,2,58,,
1.40E-06,28,58,,
1.30E-06,30,59,,
1.40E-06,20,59,,
1.30E-06,19,58,,
1.30E-06,22,57,,
1.30E-06,20,56,,
1.40E-06,15,56,,
1.30E-06,2,55,,
1.30E-06,23,58,,
1.40E-06,12,60,,
1.30E-06,7,62,,
1.40E-06,28,61,,
1.30E-06,23,60,,
1.30E-06,28,59,,
1.40E-06,7,59,,
1.40E-06,6,60,,
1.30E-06,7,59,,
1.30E-06,27,58,,
1.40E-06,31,57,,
1.30E-06,2,60,,
1.40E-06,18,61,,
1.30E-06,23,61,,
1.30E-06,15,60,,
1.30E-06,23,59,,
1.40E-06,35,58,,
0.0001566,30,57,,
1.50E-06,21,56,,
1.30E-06,9,56,,
1.30E-06,9,56,,
1.30E-06,22,55,,
1.40E-06,34,54,,
1.40E-06,30,53,,
1.30E-06,14,52,,
1.30E-06,32,53,,
1.40E-06,15,52,,
1.40E-06,29,51,,
1.30E-06,8,50,,
1.30E-06,1,50,,
1.40E-06,5,50,,
1.30E-06,25,52,,
1.30E-06,17,51,,
1.30E-06,9,51,,
1.30E-06,12,52,,
1.30E-06,20,52,,
1.30E-06,25,51,,
1.40E-06,14,52,,
1.30E-06,23,53,,
1.30E-06,23,54,,
1.30E-06,29,56,,
1.30E-06,35,56,,
1.30E-06,9,56,,
1.30E-06,32,56,,
1.30E-06,5,58,,
1.40E-06,24,57,,
1.30E-06,31,58,,
1.30E-06,13,60,,
1.40E-06,19,59,,
1.30E-06,27,59,,
1.30E-06,25,59,,
1.30E-06,26,58,,
1.30E-06,14,57,,
1.30E-06,7,57,,
1.30E-06,29,56,,
1.30E-06,13,57,,
1.40E-06,18,59,,
1.30E-06,19,60,,
1.30E-06,32,59,,
1.30E-06,8,62,,
1.30E-06,27,62,,
1.30E-06,15,62,,
1.40E-06,32,62,,
1.30E-06,4,71,,
1.50E-06,12,72,,
1.30E-06,22,73,,
1.40E-06,25,72,,
1.30E-06,3,71,,
1.30E-06,20,70,,
1.30E-06,8,69,,
1.40E-06,6,71,,
1.30E-06,31,74,,
1.30E-06,6,73,,
1.40E-06,34,78,,
1.40E-06,10,77,,
1.30E-06,3,76,,
1.40E-06,24,76,,
3.20E-06,2,78,,
0.0004243,32,78,,
1.80E-06,13,77,,
1.30E-06,12,77,,
1.30E-06,2,79,,
1.30E-06,20,78,,
1.30E-06,2,77,,
1.30E-06,19,77,,
1.30E-06,23,76,,
1.30E-06,7,76,,
1.30E-06,22,75,,
1.30E-06,16,75,,
0.0002048,6,74,,
1.40E-06,19,74,,
1.30E-06,29,73,,
1.30E-06,31,72,,
1.30E-06,13,71,,
1.30E-06,28,70,,
1.30E-06,20,69,,
1.30E-06,33,68,,
1.30E-06,28,68,,
1.20E-06,2,68,,
1.30E-06,4,68,,
1.30E-06,10,69,,
0.0001862,10,69,,
1.40E-06,10,71,,
1.30E-06,14,70,,
1.40E-06,6,70,,
1.30E-06,16,69,,
1.30E-06,6,68,,
1.40E-06,33,69,,
1.40E-06,11,70,,
1.30E-06,31,69,,
1.30E-06,15,69,,
1.20E-06,23,70,,
1.30E-06,24,69,,
1.30E-06,6,70,,
1.30E-06,30,71,,
1.30E-06,24,70,,
1.30E-06,32,70,,
1.40E-06,11,75,,
1.30E-06,31,74,,
1.40E-06,3,77,,
1.30E-06,11,76,,
1.30E-06,17,75,,
1.30E-06,3,74,,
1.40E-06,5,73,,
1.30E-06,14,72,,
1.30E-06,8,73,,
1.70E-06,23,80,,
1.40E-06,25,79,,
1.40E-06,25,80,,
1.40E-06,23,80,,
1.40E-06,28,80,,
1.30E-06,33,83,,
1.30E-06,23,84,,
1.40E-06,20,83,,
1.30E-06,6,82,,
1.40E-06,5,83,,
1.30E-06,20,82,,
1.40E-06,25,81,,
1.30E-06,18,82,,
1.30E-06,35,81,,
1.30E-06,25,81,,
0.0002213,9,80,,
1.30E-06,34,80,,
1.40E-06,24,79,,
1.30E-06,7,78,,
1.30E-06,30,78,,
1.40E-06,11,77,,
1.30E-06,9,78,,
7.90E-06,35,77,,
1.30E-06,35,76,,
1.30E-06,9,75,,
1.30E-06,15,83,,
1.30E-06,17,83,,
1.30E-06,24,82,,
1.30E-06,2,81,,
1.30E-06,21,81,,
1.30E-06,14,80,,
1.30E-06,24,80,,
1.30E-06,31,79,,
1.30E-06,23,78,,
1.40E-06,30,78,,
1.30E-06,19,79,,
1.40E-06,5,79,,
1.30E-06,21,78,,
1.40E-06,34,77,,
1.40E-06,18,78,,
1.30E-06,2,77,,
1.30E-06,10,80,,
1.40E-06,18,80,,
1.30E-06,5,81,,
1.30E-06,23,81,,
0.0002273,3,80,,
1.30E-06,30,84,,
1.30E-06,13,84,,
1.40E-06,13,83,,
1.30E-06,13,82,,
1.30E-06,4,82,,
1.40E-06,19,88,,
1.30E-06,8,87,,
1.30E-06,16,86,,
1.30E-06,2,85,,
1.40E-06,25,84,,
1.40E-06,34,85,,
1.30E-06,30,84,,
1.30E-06,25,83,,
1.30E-06,18,82,,
0.0002183,20,81,,
1.30E-06,7,83,,
1.50E-06,34,89,,
1.30E-06,34,92,,
1.30E-06,6,94,,
1.30E-06,10,94,,
1.30E-06,3,94,,
1.40E-06,27,93,,
1.40E-06,32,97,,
1.30E-06,1,97,,
1.30E-06,12,99,,
1.30E-06,19,98,,
1.40E-06,3,97,,
1.30E-06,31,96,,
1.30E-06,7,97,,
1.30E-06,30,96,,
1.20E-06,22,97,,
1.08E-05,18,96,,
1.40E-06,22,98,,
1.30E-06,19,97,,
1.40E-06,21,97,,
0.0002597,7,96,,
1.30E-06,27,95,,
1.30E-06,35,94,,
1.30E-06,8,93,,
1.30E-06,28,95,,
1.30E-06,20,94,,
1.40E-06,12,99,,
1.30E-06,34,100,,
1.40E-06,19,102,,
1.30E-06,26,101,,
1.40E-06,16,100,,
1.50E-06,5,99,,
1.40E-06,17,104,,
1.30E-06,19,105,,
1.30E-06,8,104,,
1.30E-06,25,106,,
1.30E-06,33,106,,
1.30E-06,13,105,,
1.30E-06,1,107,,
1.30E-06,20,107,,
1.30E-06,9,106,,
1.30E-06,21,105,,
1.30E-06,34,104,,
1.30E-06,27,105,,
1.30E-06,15,104,,
1.30E-06,26,104,,
1.30E-06,31,103,,
1.30E-06,14,106,,
1.30E-06,35,105,,
1.30E-06,16,104,,
1.30E-06,16,103,,
1.50E-06,33,103,,
0.0002802,19,102,,
1.40E-06,4,102,,
1.30E-06,4,102,,
1.50E-06,17,101,,
1.40E-06,27,100,,
1.30E-06,5,100,,
1.30E-06,24,99,,
1.30E-06,31,98,,
2.30E-06,32,100,,
2.00E-06,29,102,,
1.60E-06,24,101,,
1.70E-06,21,100,,
1.70E-06,26,99,,
1.80E-06,8,98,,
1.80E-06,13,97,,
1.80E-06,24,97,,
1.60E-06,12,97,,
0.000266,23,96,,
1.40E-06,12,96,,
1.30E-06,32,97,,
1.40E-06,3,96,,
1.40E-06,8,99,,
1.30E-06,13,98,,
1.30E-06,34,97,,
1.30E-06,31,96,,
1.40E-06,6,96,,
1.30E-06,8,96,,
1.40E-06,23,96,,
1.30E-06,28,95,,
1.30E-06,14,96,,
1.30E-06,29,95,,
1.40E-06,10,94,,
1.40E-06,21,93,,
0.0002505,30,92,,
1.40E-06,18,92,,
1.30E-06,31,92,,
1.40E-06,35,95,,
1.40E-06,5,94,,
1.30E-06,7,94,,
1.30E-06,22,97,,
1.50E-06,35,100,,
1.30E-06,12,101,,
1.70E-06,18,102,,
1.50E-06,27,101,,
1.50E-06,12,100,,
1.40E-06,23,100,,
1.30E-06,20,99,,
1.30E-06,18,98,,
1.30E-06,12,101,,
1.30E-06,19,100,,
1.30E-06,1,100,,
1.30E-06,7,101,,
1.30E-06,12,102,,
1.40E-06,4,101,,
1.40E-06,34,103,,
1.40E-06,9,102,,
0.0002808,1,101,,
1.30E-06,7,101,,
1.40E-06,30,100,,
1.30E-06,20,100,,
1.30E-06,20,100,,
1.30E-06,30,99,,
1.40E-06,31,98,,
1.20E-06,28,97,,
1.30E-06,18,96,,
1.30E-06,8,99,,
1.30E-06,32,98,,
1.30E-06,26,98,,
1.40E-06,24,97,,
1.30E-06,34,96,,
0.0002626,27,95,,
1.40E-06,14,94,,
1.30E-06,29,95,,
1.40E-06,29,96,,
1.30E-06,17,96,,
1.30E-06,5,95,,
1.30E-06,4,94,,
1.40E-06,3,93,,
1.30E-06,8,93,,
1.40E-06,22,93,,
1.40E-06,20,93,,
1.30E-06,20,92,,
1.40E-06,23,92,,
1.30E-06,21,91,,
1.30E-06,20,91,,
1.30E-06,30,92,,
1.30E-06,10,94,,
1.30E-06,32,94,,
1.30E-06,32,93,,
1.30E-06,14,93,,
1.30E-06,17,92,,
1.30E-06,32,91,,
1.30E-06,14,92,,
1.20E-06,20,92,,
1.30E-06,22,93,,
1.30E-06,34,93,,
1.40E-06,22,94,,
1.30E-06,23,93,,
1.30E-06,16,93,,
1.30E-06,15,94,,
1.30E-06,18,93,,
1.30E-06,35,92,,
0.000249,12,91,,
1.40E-06,18,90,,
1.40E-06,13,92,,
1.30E-06,26,92,,
1.40E-06,17,92,,
1.40E-06,33,92,,
1.30E-06,6,92,,
1.30E-06,19,91,,
1.30E-06,11,90,,
1.30E-06,30,89,,
1.30E-06,12,89,,
1.30E-06,24,88,,
1.30E-06,18,88,,
1.30E-06,8,90,,
1.30E-06,17,89,,
1.30E-06,12,91,,
1.30E-06,15,91,,
1.40E-06,25,90,,
1.30E-06,22,90,,
1.40E-06,18,89,,
1.30E-06,9,89,,
1.30E-06,17,88,,
1.30E-06,27,87,,
1.30E-06,29,86,,
1.30E-06,20,87,,
1.30E-06,16,86,,
1.30E-06,16,88,,
1.40E-06,27,88,,
1.40E-06,20,87,,
1.30E-06,27,86,,
0.000244,14,85,,
1.40E-06,30,85,,
1.40E-06,22,88,,
1.30E-06,34,87,,
1.30E-06,9,87,,
1.40E-06,17,86,,
1.30E-06,12,86,,
1.20E-06,27,86,,
1.30E-06,19,86,,
1.30E-06,29,88,,
1.30E-06,29,88,,
1.30E-06,30,88,,
1.30E-06,28,88,,
1.40E-06,23,88,,
1.40E-06,35,90,,
1.40E-06,9,91,,
1.30E-06,1,93,,
1.40E-06,18,93,,
1.30E-06,32,92,,
1.40E-06,32,92,,
1.40E-06,16,92,,
1.40E-06,5,91,,
1.30E-06,31,90,,
1.30E-06,6,89,,
1.40E-06,21,88,,
1.30E-06,14,89,,
1.30E-06,18,89,,
1.30E-06,34,88,,
0.0002398,10,87,,
1.40E-06,3,86,,
1.30E-06,33,86,,
1.40E-06,32,89,,
1.40E-06,28,88,,
1.30E-06,21,87,,
1.40E-06,27,86,,
1.40E-06,34,85,,
1.30E-06,8,85,,
1.30E-06,1,84,,
1.30E-06,34,83,,
1.30E-06,30,85,,
1.30E-06,22,84,,
1.30E-06,25,83,,
1.40E-06,12,84,,
1.40E-06,5,84,,
1.30E-06,3,85,,
1.30E-06,3,84,,
1.40E-06,31,85,,
1.30E-06,6,85,,
1.30E-06,30,84,,
1.40E-06,24,83,,
1.30E-06,23,87,,
1.30E-06,29,86,,
1.30E-06,27,85,,
1.30E-06,13,88,,
1.30E-06,5,87,,
1.40E-06,20,87,,
1.30E-06,34,86,,
1.30E-06,21,85,,
1.30E-06,33,85,,
1.30E-06,14,84,,
1.30E-06,26,83,,
1.30E-06,18,82,,
1.30E-06,22,83,,
1.30E-06,19,82,,
0.0002215,7,81,,
1.30E-06,32,83,,
1.30E-06,28,83,,
1.30E-06,7,82,,
1.30E-06,1,81,,
1.30E-06,21,80,,
1.30E-06,5,79,,
1.40E-06,13,80,,
1.30E-06,34,80,,
1.40E-06,11,79,,
1.30E-06,16,78,,
1.40E-06,27,77,,
1.30E-06,19,79,,
1.30E-06,33,79,,
1.30E-06,32,78,,
1.30E-06,34,77,,
0.0002209,30,76,,
1.30E-06,31,75,,
1.40E-06,17,74,,
1.40E-06,18,73,,
1.30E-06,13,72,,
1.30E-06,19,72,,
1.30E-06,34,71,,
1.40E-06,21,73,,
2.60E-06,10,77,,
1.80E-06,27,76,,
1.30E-06,22,75,,
1.50E-06,5,74,,
1.30E-06,25,77,,
1.30E-06,12,77,,
1.30E-06,29,76,,
1.30E-06,34,77,,
1.40E-06,9,80,,
1.40E-06,19,79,,
1.20E-06,35,78,,
1.30E-06,12,89,,
1.30E-06,29,92,,
1.30E-06,2,92,,
1.30E-06,27,92,,
1.30E-06,8,91,,
1.40E-06,6,93,,
1.40E-06,12,92,,
1.30E-06,20,94,,
1.30E-06,12,94,,
1.30E-06,12,93,,
1.30E-06,5,94,,
1.30E-06,17,93,,
1.30E-06,4,92,,
1.30E-06,17,93,,
1.20E-06,35,93,,
1.30E-06,26,92,,
1.30E-06,35,91,,
0.0002741,3,93,,
1.30E-06,5,95,,
1.30E-06,21,95,,
1.30E-06,11,94,,
1.20E-06,17,96,,
1.30E-06,25,95,,
1.40E-06,19,94,,
1.30E-06,25,93,,
1.40E-06,19,94,,
1.30E-06,28,95,,
1.30E-06,15,94,,
1.30E-06,18,94,,
1.30E-06,4,96,,
1.20E-06,29,95,,
1.30E-06,5,94,,
1.20E-06,14,94,,
1.30E-06,11,94,,
1.30E-06,19,94,,
1.30E-06,22,93,,
1.30E-06,12,92,,
0.0002563,23,91,,
1.30E-06,9,90,,
1.30E-06,33,92,,
1.30E-06,9,92,,
1.30E-06,24,91,,
1.30E-06,6,92,,
1.30E-06,3,91,,
1.30E-06,23,90,,
1.30E-06,27,91,,
1.30E-06,20,90,,
1.30E-06,19,90,,
1.30E-06,27,89,,
1.40E-06,19,90,,
1.30E-06,6,89,,
1.30E-06,29,88,,
1.40E-06,12,88,,
1.40E-06,16,87,,
0.0002345,6,86,,
1.30E-06,5,86,,
1.20E-06,20,85,,
1.40E-06,31,88,,
1.30E-06,25,87,,
1.30E-06,9,87,,
1.30E-06,9,86,,
1.30E-06,24,85,,
1.30E-06,33,84,,
1.30E-06,30,83,,
1.30E-06,28,85,,
1.30E-06,13,84,,
1.30E-06,1,83,,
1.20E-06,21,83,,
1.20E-06,20,82,,
1.30E-06,24,81,,
0.0002161,10,80,,
1.30E-06,8,79,,
1.30E-06,9,78,,
1.40E-06,19,78,,
1.30E-06,32,82,,
1.30E-06,6,82,,
1.20E-06,22,83,,
1.30E-06,14,83,,
1.20E-06,14,85,,
1.30E-06,16,86,,
1.20E-06,26,87,,
1.30E-06,25,88,,
1.20E-06,11,89,,
1.40E-06,35,90,,
1.30E-06,10,90,,
1.40E-06,34,90,,
1.30E-06,19,89,,
1.30E-06,8,88,,
1.30E-06,1,88,,
1.30E-06,23,87,,
1.30E-06,14,86,,
1.30E-06,8,87,,
1.30E-06,32,89,,
1.30E-06,4,88,,
1.30E-06,13,87,,
1.20E-06,35,86,,
1.30E-06,32,86,,
1.30E-06,25,88,,
1.30E-06,24,87,,
1.30E-06,12,88,,
1.30E-06,14,87,,
1.30E-06,25,88,,
1.30E-06,3,87,,
1.30E-06,12,86,,
1.30E-06,17,85,,
1.30E-06,13,86,,
1.30E-06,22,85,,
0.0002233,7,84,,
1.30E-06,16,84,,
1.30E-06,16,84,,
1.30E-06,31,84,,
1.30E-06,17,84,,
1.30E-06,22,84,,
1.30E-06,21,83,,
1.30E-06,22,83,,
1.40E-06,15,84,,
1.30E-06,11,83,,
1.30E-06,12,83,,
1.30E-06,24,83,,
1.30E-06,23,83,,
1.30E-06,34,85,,
1.30E-06,2,84,,
1.20E-06,28,83,,
1.40E-06,22,82,,
1.30E-06,14,81,,
1.30E-06,29,80,,
1.30E-06,26,79,,
0.0002255,27,78,,
1.40E-06,23,82,,
1.50E-06,4,81,,
1.20E-06,6,85,,
1.20E-06,25,84,,
1.30E-06,15,84,,
1.30E-06,5,83,,
1.30E-06,17,83,,
1.30E-06,17,82,,
1.30E-06,17,83,,
1.30E-06,17,82,,
1.20E-06,22,84,,
1.30E-06,29,83,,
1.40E-06,13,85,,
1.30E-06,13,84,,
1.30E-06,1,89,,
1.30E-06,14,90,,
1.30E-06,6,89,,
1.40E-06,27,88,,
2.80E-06,18,92,,
1.40E-06,5,91,,
1.30E-06,4,92,,
1.30E-06,25,92,,
1.30E-06,29,92,,
1.30E-06,1,92,,
1.30E-06,31,91,,
1.30E-06,2,90,,
1.30E-06,14,89,,
1.30E-06,31,90,,
1.30E-06,17,90,,
1.30E-06,23,89,,
1.20E-06,14,90,,
1.20E-06,21,89,,
1.30E-06,17,88,,
0.0004096,18,87,,
1.60E-06,7,87,,
1.40E-06,20,87,,
1.40E-06,15,86,,
1.30E-06,8,85,,
1.40E-06,30,84,,
1.80E-06,1,83,,
1.40E-06,4,82,,
1.40E-06,15,82,,
1.30E-06,26,82,,
1.30E-06,34,85,,
1.30E-06,24,85,,
1.30E-06,17,85,,
1.40E-06,22,86,,
1.30E-06,9,87,,
1.30E-06,23,86,,
1.30E-06,17,86,,
1.20E-06,33,85,,
1.30E-06,18,85,,
1.30E-06,7,84,,
1.30E-06,18,83,,
1.30E-06,17,82,,
1.30E-06,5,85,,
1.30E-06,18,87,,
1.30E-06,20,86,,
1.30E-06,20,86,,
1.30E-06,27,85,,
1.30E-06,20,85,,
1.30E-06,21,84,,
1.30E-06,19,86,,
1.30E-06,26,85,,
1.30E-06,28,85,,
1.30E-06,4,88,,
1.40E-06,21,87,,
1.30E-06,4,86,,
1.40E-06,26,87,,
1.30E-06,3,86,,
1.30E-06,10,86,,
1.30E-06,28,86,,
1.30E-06,5,85,,
1.40E-06,23,86,,
1.30E-06,34,85,,
1.30E-06,9,85,,
1.30E-06,14,85,,
1.30E-06,2,84,,
1.30E-06,18,83,,
1.20E-06,10,83,,
1.30E-06,11,82,,
1.20E-06,11,82,,
1.30E-06,5,82,,
1.30E-06,32,82,,
1.30E-06,7,82,,
1.30E-06,28,82,,
1.30E-06,25,81,,
0.000223,24,80,,
1.40E-06,1,79,,
1.40E-06,28,80,,
1.40E-06,23,80,,
1.30E-06,11,79,,
1.40E-06,18,78,,
1.40E-06,6,78,,
1.30E-06,35,79,,
1.40E-06,20,84,,
1.30E-06,18,84,,
1.40E-06,27,83,,
1.20E-06,12,83,,
1.20E-06,27,85,,
1.30E-06,3,84,,
1.30E-06,16,84,,
1.40E-06,19,84,,
1.30E-06,17,83,,
1.30E-06,3,83,,
7.60E-06,31,82,,
1.30E-06,27,82,,
1.30E-06,29,84,,
1.30E-06,27,83,,
1.30E-06,24,85,,
1.40E-06,26,88,,
1.30E-06,26,88,,
1.40E-06,23,87,,
1.30E-06,15,86,,
1.40E-06,4,86,,
1.30E-06,21,86,,
1.40E-06,10,85,,
1.50E-06,27,89,,
1.30E-06,26,88,,
1.30E-06,14,87,,
1.30E-06,34,87,,
1.40E-06,29,86,,
1.30E-06,14,86,,
1.30E-06,29,87,,
1.30E-06,33,86,,
1.30E-06,17,86,,
1.30E-06,30,85,,
1.30E-06,28,86,,
1.30E-06,2,87,,
1.30E-06,25,86,,
1.40E-06,32,85,,
1.30E-06,13,84,,
1.50E-06,16,83,,
1.40E-06,14,87,,
1.30E-06,34,86,,
1.30E-06,7,87,,
1.30E-06,18,87,,
1.40E-06,12,86,,
1.40E-06,5,85,,
1.40E-06,7,85,,
1.30E-06,34,84,,
1.30E-06,27,83,,
1.30E-06,8,82,,
1.30E-06,28,86,,
1.40E-06,30,87,,
1.30E-06,26,87,,
1.30E-06,17,86,,
1.30E-06,3,85,,
1.30E-06,1,85,,
1.30E-06,19,84,,
1.20E-06,17,83,,
1.30E-06,28,82,,
1.30E-06,5,82,,
0.0002174,22,81,,
1.30E-06,31,81,,
1.30E-06,7,81,,
1.30E-06,18,80,,
1.30E-06,14,80,,
1.30E-06,35,79,,
1.40E-06,13,79,,
1.40E-06,34,78,,
1.30E-06,2,77,,
1.30E-06,8,76,,
1.30E-06,30,78,,
1.30E-06,32,77,,
1.30E-06,6,76,,
1.30E-06,32,79,,
1.30E-06,34,78,,
1.30E-06,1,79,,
1.40E-06,12,78,,
1.40E-06,3,77,,
