cas operacie,vybrane cislo,velkost frontu,,
1.50E-06,18,10,,
1.40E-06,20,10,,
1.50E-06,35,11,,
1.50E-06,15,16,,
1.50E-06,8,16,,
1.30E-06,10,18,,
1.30E-06,34,18,,
1.30E-06,32,19,,
5.29E-05,31,19,,
1.40E-06,11,18,,
1.30E-06,24,17,,
1.40E-06,25,16,,
3.97E-05,28,15,,
1.40E-06,18,17,,
1.30E-06,20,16,,
1.40E-06,35,16,,
1.40E-06,18,15,,
3.58E-05,35,14,,
1.40E-06,26,13,,
1.40E-06,22,12,,
1.30E-06,12,11,,
2.46E-05,10,10,,
1.40E-06,8,9,,
1.30E-06,15,9,,
1.30E-06,34,8,,
1.30E-06,12,9,,
1.30E-06,8,8,,
1.30E-06,14,8,,
1.40E-06,34,10,,
1.30E-06,26,12,,
1.30E-06,19,11,,
1.30E-06,11,10,,
2.22E-05,3,9,,
1.30E-06,30,8,,
1.20E-06,19,9,,
1.30E-06,3,10,,
1.30E-06,8,9,,
1.30E-06,20,9,,
1.30E-06,3,16,,
1.30E-06,10,15,,
1.30E-06,1,16,,
3.80E-05,34,15,,
1.30E-06,30,14,,
1.30E-06,31,13,,
1.30E-06,11,12,,
1.50E-06,27,13,,
1.30E-06,30,12,,
1.30E-06,21,13,,
1.30E-06,23,12,,
1.30E-06,15,12,,
2.75E-05,18,11,,
1.40E-06,23,11,,
1.30E-06,35,10,,
1.40E-06,18,9,,
1.97E-05,15,8,,
1.30E-06,6,8,,
1.30E-06,26,9,,
1.30E-06,22,8,,
1.30E-06,3,7,,
1.30E-06,8,8,,
1.30E-06,35,7,,
1.30E-06,32,8,,
1.30E-06,7,8,,
1.30E-06,11,7,,
1.45E-05,33,6,,
1.30E-06,8,9,,
1.40E-06,13,10,,
1.30E-06,5,9,,
1.30E-06,20,11,,
1.30E-06,4,12,,
1.30E-06,17,12,,
1.40E-06,26,12,,
1.30E-06,24,11,,
1.30E-06,21,10,,
2.21E-05,33,9,,
1.30E-06,8,9,,
1.30E-06,21,9,,
1.30E-06,17,8,,
1.30E-06,21,9,,
1.30E-06,9,11,,
1.20E-06,10,11,,
1.40E-06,25,10,,
1.30E-06,20,9,,
1.98E-05,14,8,,
1.30E-06,31,8,,
1.30E-06,29,9,,
1.30E-06,30,11,,
1.40E-06,20,14,,
1.20E-06,29,16,,
1.30E-06,32,15,,
3.56E-05,13,14,,
1.30E-06,28,13,,
1.30E-06,12,12,,
1.40E-06,28,13,,
1.40E-06,9,12,,
2.72E-05,32,11,,
1.51E-05,6,11,,
3.10E-06,30,11,,
3.00E-06,6,14,,
1.90E-06,34,13,,
2.80E-06,8,13,,
5.07E-05,17,14,,
2.00E-06,31,16,,
2.00E-06,22,18,,
1.70E-06,25,18,,
2.00E-06,18,18,,
1.90E-06,14,17,,
5.73E-05,29,16,,
2.00E-06,27,15,,
1.70E-06,16,14,,
1.60E-06,30,13,,
2.20E-06,22,13,,
1.70E-06,6,13,,
1.40E-06,30,15,,
1.30E-06,22,14,,
1.30E-06,3,13,,
3.15E-05,21,12,,
1.30E-06,16,12,,
1.30E-06,26,11,,
1.40E-06,30,11,,
1.30E-06,10,11,,
1.30E-06,4,10,,
3.01E-05,14,9,,
1.60E-06,2,9,,
1.30E-06,16,9,,
1.30E-06,5,9,,
1.30E-06,35,10,,
1.30E-06,34,10,,
1.30E-06,2,9,,
1.30E-06,5,10,,
1.20E-06,30,10,,
1.30E-06,28,9,,
1.20E-06,23,8,,
1.20E-06,6,8,,
1.70E-05,15,7,,
1.30E-06,23,7,,
1.30E-06,21,6,,
1.30E-06,9,7,,
1.30E-06,4,6,,
1.30E-06,3,8,,
1.40E-06,20,11,,
1.30E-06,2,10,,
1.30E-06,11,10,,
1.30E-06,26,9,,
1.30E-06,12,12,,
1.30E-06,31,16,,
1.30E-06,15,15,,
1.30E-06,9,15,,
1.30E-06,6,14,,
3.88E-05,16,13,,
1.30E-06,34,12,,
1.30E-06,28,11,,
1.30E-06,22,10,,
2.14E-05,29,9,,
1.30E-06,12,8,,
1.30E-06,12,7,,
1.30E-06,28,6,,
1.30E-06,18,11,,
1.30E-06,35,10,,
1.30E-06,24,12,,
1.20E-06,1,12,,
1.20E-06,33,12,,
1.20E-06,18,13,,
1.30E-06,23,12,,
1.30E-06,12,11,,
2.45E-05,34,10,,
1.30E-06,7,11,,
1.20E-06,30,12,,
1.30E-06,6,12,,
