cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
2e-07,17,12,13,
3e-07,18,14,15,
3e-07,11,15,16,
2e-07,37,16,17,
2e-07,12,15,16,
3e-07,9,18,19,
2e-07,21,17,18,
2e-07,21,19,20,
3e-07,10,21,22,
3e-07,18,22,23,
3e-07,26,23,24,
3e-07,44,21,22,
3e-07,27,22,23,
3e-07,13,23,24,
3e-07,30,22,23,
2e-07,40,23,24,
3e-07,20,23,24,
3e-07,39,21,22,
3e-07,33,24,25,
3e-07,28,23,24,
3e-07,6,21,22,
4e-07,39,14,15,
3e-07,31,12,13,
4e-07,29,14,15,
3e-07,3,10,11,
3e-07,10,10,11,
5e-07,34,12,13,
4e-07,3,13,14,
4e-07,20,15,16,
4e-07,25,2,3,
3e-07,16,3,4,
4e-07,7,1,2,
1e-06,45,0,1,
4e-07,42,0,1,
4e-07,2,0,1,
4e-07,11,1,2,
4e-07,38,4,5,
3e-07,14,3,4,
4e-07,3,4,5,
4e-07,32,6,7,
5e-07,32,1,2,
3e-07,26,0,1,
3e-07,15,1,2,
9e-07,19,0,1,
2e-07,17,1,2,
5e-07,38,1,2,
4e-07,27,2,3,
3e-07,2,1,2,
3e-07,29,1,2,
3e-07,11,0,1,
3e-07,43,0,1,
4e-07,12,0,1,
3e-07,31,0,1,
3e-07,24,1,2,
4e-07,33,0,1,
3e-07,18,1,2,
5e-07,14,0,1,
3e-07,10,0,1,
6e-07,38,2,3,
4e-07,1,3,4,
3e-07,19,4,5,
3e-07,27,3,4,
4e-07,23,1,2,
4e-07,21,2,3,
3e-07,10,0,1,
3e-07,40,3,4,
3e-07,19,4,5,
3e-07,22,5,6,
4e-07,4,4,5,
3e-07,43,1,2,
5e-07,40,2,3,
4e-07,18,2,3,
3e-07,34,0,1,
3e-07,38,2,3,
3e-07,41,2,3,
3e-07,32,3,4,
3e-07,30,5,6,
5e-07,43,4,5,
4e-07,44,3,4,
4e-07,11,5,6,
3e-07,3,5,6,
4e-07,45,5,6,
4e-07,40,6,7,
3e-07,8,7,8,
4e-07,7,5,6,
4e-07,21,3,4,
4e-07,16,2,3,
4e-07,28,2,3,
4e-07,7,3,4,
4e-07,40,3,4,
3e-07,20,0,1,
4e-07,9,1,2,
4e-07,3,2,3,
3e-07,40,6,7,
4e-07,5,4,5,
