cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
3e-07,14,14,24,
2e-07,2,2,23,
2e-07,2,2,20,
2e-07,4,4,18,
2e-07,8,8,17,
2e-07,3,3,16,
2e-07,5,5,19,
2e-07,5,5,17,
2e-07,5,5,18,
2e-07,5,5,16,
3e-07,13,13,16,
2e-07,7,7,21,
2e-07,11,11,21,
3e-07,25,25,28,
2e-07,17,17,27,
1e-07,5,5,26,
3e-07,23,23,26,
2e-07,11,11,25,
2e-07,3,3,24,
2e-07,17,17,21,
1e-07,2,2,21,
1e-07,2,2,20,
3e-07,14,14,21,
2e-07,9,9,20,
1e-07,4,4,21,
1e-07,3,3,24,
1e-07,6,6,25,
2e-07,6,6,24,
2e-07,4,4,17,
2e-07,4,4,13,
2e-07,7,7,11,
2e-07,8,8,10,
1e-07,5,5,18,
3e-07,11,11,18,
1e-07,4,4,11,
2e-07,0,0,1,
2e-07,3,3,4,
2e-07,3,3,6,
1e-07,0,0,1,
1e-07,0,0,4,
2e-07,6,6,8,
1e-07,6,6,8,
2e-07,9,9,11,
1e-07,2,2,8,
1e-07,1,1,5,
1e-07,2,2,7,
1e-07,2,2,6,
1e-07,1,1,2,
2e-07,2,2,5,
1e-07,4,4,6,
2e-07,8,8,10,
1e-07,5,5,10,
2e-07,16,16,21,
2e-07,13,13,18,
2e-07,20,20,21,
1e-07,1,1,20,
1e-07,0,0,25,
3e-07,24,24,37,
3e-07,17,17,30,
2e-07,8,8,27,
2e-07,13,13,23,
3e-07,20,20,21,
1e-07,12,12,23,
3e-07,17,17,24,
1e-07,0,0,20,
2e-07,9,9,21,
2e-07,10,10,19,
2e-07,11,11,23,
1e-07,1,1,22,
2e-07,9,9,21,
2e-07,6,6,20,
1e-07,4,4,27,
1e-07,1,1,27,
2e-07,3,3,27,
2e-07,13,13,28,
2e-07,9,9,30,
2e-07,16,16,28,
2e-07,6,6,28,
2e-07,16,16,29,
2e-07,6,6,36,
1e-07,1,1,35,
2e-07,18,18,33,
3e-07,27,27,34,
2e-07,14,14,42,
3e-07,22,22,46,
1e-07,4,4,40,
2e-07,8,8,34,
2e-07,13,13,34,
1e-07,1,1,28,
3e-07,22,22,27,
2e-07,9,9,29,
1e-07,1,1,30,
2e-07,15,15,31,
2e-07,12,12,33,
3e-07,19,19,37,
3e-07,28,28,34,
1e-07,8,8,35,
2e-07,11,11,34,
3e-07,20,20,34,
2e-07,18,18,33,
3e-07,29,29,31,
2e-07,11,11,31,
2e-07,7,7,25,
1e-07,5,5,23,
2e-07,4,4,26,
3e-07,19,19,22,
2e-07,8,8,20,
3e-07,17,17,20,
1e-07,1,1,18,
1e-07,2,2,18,
1e-07,8,8,20,
2e-07,1,1,11,
1e-07,0,0,14,
2e-07,11,11,27,
3e-07,29,29,31,
1e-07,5,5,25,
2e-07,9,9,25,
1e-07,0,0,26,
2e-07,16,16,26,
2e-07,2,2,24,
1e-07,2,2,22,
2e-07,9,9,21,
3e-07,14,14,16,
2e-07,3,3,16,
3e-07,11,11,17,
2e-07,8,8,17,
1e-07,7,7,12,
1e-07,3,3,9,
1e-07,3,3,7,
1e-07,2,2,4,
2e-07,0,0,8,
1e-07,3,3,11,
2e-07,4,4,5,
2e-07,4,4,5,
2e-07,3,3,9,
3e-07,5,5,11,
1e-07,0,0,6,
1e-07,0,0,6,
1e-07,0,0,4,
2e-07,2,2,8,
2e-07,6,6,9,
2e-07,2,2,10,
2e-07,10,10,12,
3e-07,12,12,15,
2e-07,9,9,10,
1e-07,3,3,8,
2e-07,6,6,11,
2e-07,2,2,11,
2e-07,3,3,13,
1e-07,0,0,13,
1e-07,2,2,10,
2e-07,7,7,11,
2e-07,5,5,10,
3e-07,3,3,9,
1e-07,3,3,9,
2e-07,12,12,16,
2e-07,4,4,19,
2e-07,6,6,17,
1e-07,8,8,19,
2e-07,11,11,19,
2e-07,5,5,22,
2e-07,18,18,21,
1e-07,2,2,17,
2e-07,13,13,16,
2e-07,12,12,16,
2e-07,2,2,18,
2e-07,10,10,19,
1e-07,1,1,13,
1e-07,0,0,9,
1e-07,0,0,8,
1e-07,2,2,7,
1e-07,4,4,6,
2e-07,2,2,5,
2e-07,3,3,4,
2e-07,1,1,5,
1e-07,3,3,8,
2e-07,7,7,9,
1e-07,5,5,6,
1e-07,0,0,10,
1e-07,2,2,10,
1e-07,3,3,5,
1e-07,1,1,5,
1e-07,0,0,2,
1e-07,0,0,1,
1e-07,0,0,6,
2e-07,2,2,6,
2e-07,3,3,4,
1e-07,0,0,8,
1e-07,1,1,4,
2e-07,0,0,1,
1e-07,0,0,2,
2e-07,1,1,9,
2e-07,7,7,10,
1e-07,6,6,10,
2e-07,0,0,6,
1e-07,0,0,8,
2e-07,7,7,8,
1e-07,0,0,10,
3e-07,10,10,11,
1e-07,0,0,8,
3e-07,10,10,19,
3e-07,17,17,22,
1e-07,1,1,18,
2e-07,4,4,25,
3e-07,16,16,36,
3e-07,24,24,36,
2e-07,5,5,35,
2e-07,1,1,37,
4e-07,28,28,36,
3e-07,22,22,35,
2e-07,3,3,23,
1e-07,0,0,22,
2e-07,6,6,15,
3e-07,18,18,22,
2e-07,17,17,21,
2e-07,16,16,23,
2e-07,5,5,22,
3e-07,26,26,27,
1e-07,8,8,32,
2e-07,1,1,32,
3e-07,21,21,32,
2e-07,15,15,32,
4e-07,33,33,36,
4e-07,34,34,38,
2e-07,2,2,37,
1e-07,2,2,40,
2e-07,7,7,39,
2e-07,0,0,32,
1e-07,4,4,30,
2e-07,10,10,28,
2e-07,9,9,28,
3e-07,26,26,28,
3e-07,25,25,27,
2e-07,7,7,26,
2e-07,12,12,14,
2e-07,9,9,16,
2e-07,10,10,15,
2e-07,8,8,16,
1e-07,0,0,9,
2e-07,4,4,9,
1e-07,8,8,10,
1e-07,0,0,13,
2e-07,7,7,13,
1e-07,9,9,12,
2e-07,5,5,15,
2e-07,18,18,19,
2e-07,5,5,16,
3e-07,16,16,17,
1e-07,1,1,6,
1e-07,3,3,9,
1e-07,3,3,6,
1e-07,5,5,11,
1e-07,7,7,11,
2e-07,7,7,10,
1e-07,5,5,8,
2e-07,7,7,8,
2e-07,6,6,8,
1e-07,5,5,6,
1e-07,0,0,6,
2e-07,1,1,3,
2e-07,5,5,7,
2e-07,6,6,8,
1e-07,3,3,12,
2e-07,0,0,13,
1e-07,1,1,11,
1e-07,4,4,8,
1e-07,0,0,12,
2e-07,6,6,10,
1e-07,4,4,10,
1e-07,0,0,10,
1e-07,7,7,13,
2e-07,9,9,11,
2e-07,1,1,5,
2e-07,10,10,12,
2e-07,6,6,19,
2e-07,7,7,14,
1e-07,7,7,14,
1e-07,0,0,14,
1e-07,5,5,9,
2e-07,3,3,9,
2e-07,10,10,19,
2e-07,6,6,30,
1e-07,3,3,26,
2e-07,9,9,25,
3e-07,23,23,30,
3e-07,21,21,30,
3e-07,11,11,29,
3e-07,12,12,26,
3e-07,14,14,26,
2e-07,12,12,30,
2e-07,18,18,28,
2e-07,20,20,28,
2e-07,19,19,28,
2e-07,18,18,29,
