cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
3e-07,43,1,19,
4e-07,40,13,17,
4e-07,11,9,17,
4e-07,25,13,15,
3e-07,19,6,15,
4e-07,8,10,15,
3e-07,19,3,13,
4e-07,13,12,14,
3e-07,13,8,15,
5e-07,28,7,17,
4e-07,27,1,18,
4e-07,5,13,20,
3e-07,5,4,19,
4e-07,39,16,20,
4e-07,12,13,21,
3e-07,44,7,21,
4e-07,34,23,25,
3e-07,36,2,22,
4e-07,12,4,24,
4e-07,44,23,25,
3e-07,31,3,23,
4e-07,45,16,26,
4e-07,32,21,24,
4e-07,21,12,25,
6e-07,25,16,21,
5e-07,43,4,14,
6e-07,36,3,12,
3e-07,35,5,15,
4e-07,20,3,15,
3e-07,9,2,16,
5e-07,35,0,15,
4e-07,3,7,13,
4e-07,39,1,3,
4e-07,13,2,4,
4e-07,33,2,4,
3e-07,19,2,4,
5e-07,13,2,5,
4e-07,1,1,4,
3e-07,21,0,1,
3e-07,6,1,6,
4e-07,45,2,7,
4e-07,7,3,5,
3e-07,40,0,5,
4e-07,7,1,4,
4e-07,9,0,1,
4e-07,3,0,2,
4e-07,2,0,4,
4e-07,27,0,1,
4e-07,20,0,1,
3e-07,16,1,3,
6e-07,25,0,2,
3e-07,27,0,1,
3e-07,13,0,2,
5e-07,29,0,1,
3e-07,30,0,2,
4e-07,8,0,1,
3e-07,42,0,1,
3e-07,6,0,2,
4e-07,32,1,3,
4e-07,10,1,5,
3e-07,3,0,1,
4e-07,7,0,2,
4e-07,25,0,2,
4e-07,12,0,1,
4e-07,6,1,3,
4e-07,1,1,4,
5e-07,24,0,4,
3e-07,16,1,4,
3e-07,2,1,5,
4e-07,12,3,5,
4e-07,3,0,2,
4e-07,24,0,3,
4e-07,30,2,5,
5e-07,44,0,5,
5e-07,20,1,7,
4e-07,22,1,6,
4e-07,28,0,7,
4e-07,7,3,7,
4e-07,24,0,2,
3e-07,44,0,2,
4e-07,23,0,2,
4e-07,42,0,4,
4e-07,41,2,4,
4e-07,40,4,7,
4e-07,1,0,4,
3e-07,28,1,4,
5e-07,9,1,6,
4e-07,16,1,7,
4e-07,18,3,9,
3e-07,14,4,8,
6e-07,12,7,10,
6e-07,24,5,10,
4e-07,44,3,9,
3e-07,34,6,12,
4e-07,23,5,13,
3e-07,40,0,15,
3e-07,38,4,16,
3e-07,26,3,17,
4e-07,10,3,16,
4e-07,14,14,16,
3e-07,36,8,17,
3e-07,31,5,19,
5e-07,18,11,17,
4e-07,28,2,18,
3e-07,35,0,20,
3e-07,22,0,16,
1e-06,9,4,18,
4e-07,30,1,9,
7e-07,27,4,9,
4e-07,31,3,10,
5e-07,21,5,9,
3e-07,21,0,10,
8e-06,16,0,12,
4e-07,7,3,13,
4e-07,12,4,22,
5e-07,34,1,16,
5e-07,8,8,15,
5e-07,26,10,14,
5e-07,7,10,14,
6e-07,21,4,17,
5e-07,11,5,21,
5e-07,34,19,21,
4e-07,2,7,22,
5e-07,18,2,23,
5e-07,35,15,24,
4e-07,34,7,20,
7e-07,33,15,20,
3e-07,33,1,19,
4e-07,9,0,21,
3e-07,14,2,23,
5e-07,3,12,23,
1e-06,43,19,25,
1.6e-06,30,10,26,
6e-07,11,6,26,
6e-07,1,14,28,
4e-07,18,2,25,
3e-07,44,0,27,
5e-07,12,21,26,
6e-07,22,12,26,
5e-07,6,4,22,
5e-07,28,12,23,
6e-07,33,13,26,
6e-07,19,18,23,
6e-07,27,18,24,
4e-07,41,4,24,
5e-07,3,9,25,
6e-07,33,13,26,
5e-07,45,10,28,
6e-07,36,8,30,
4e-07,30,5,18,
5e-07,43,12,19,
5e-07,31,2,19,
4e-07,39,3,17,
6e-07,36,11,16,
3e-07,6,0,18,
5e-07,20,4,18,
4e-07,15,1,19,
5e-07,42,15,19,
6e-07,14,18,21,
5e-07,15,17,22,
8e-07,14,8,27,
6e-07,33,13,25,
4e-07,25,2,23,
7e-07,45,9,22,
6e-07,7,19,22,
5e-07,2,21,23,
5e-07,13,8,14,
4e-07,28,5,16,
5e-07,43,1,14,
5e-07,6,3,14,
5e-07,24,7,15,
5e-07,1,5,17,
6e-07,13,9,20,
4e-07,18,3,20,
5e-07,6,0,15,
4e-07,11,6,12,
5e-07,18,4,14,
4e-07,6,11,16,
3e-07,18,3,16,
4e-07,4,5,13,
3e-07,17,2,12,
4e-07,27,2,13,
3e-07,30,0,13,
4e-07,45,3,12,
4e-07,12,9,12,
6e-07,11,11,14,
5e-07,7,9,15,
5e-07,13,10,14,
5e-07,24,7,11,
4e-07,11,1,15,
4e-07,3,8,11,
3e-07,43,0,16,
4e-07,22,2,17,
4e-07,26,6,17,
4e-07,31,5,17,
3e-07,32,7,21,
3e-07,35,5,16,
4e-07,21,8,18,
3e-07,9,5,19,
5e-07,21,15,21,
4e-07,9,12,22,
4e-07,37,13,16,
3e-07,27,4,16,
4e-07,15,17,20,
4e-07,4,11,22,
3e-07,30,1,24,
3e-07,8,6,24,
4e-07,26,4,25,
4e-07,28,9,24,
3e-07,7,1,24,
4e-07,28,14,23,
3e-07,12,8,21,
4e-07,16,14,21,
4e-07,30,15,21,
5e-07,9,19,23,
4e-07,3,7,22,
4e-07,5,13,24,
3e-07,9,1,26,
4e-07,13,20,28,
3e-07,24,1,30,
4e-07,35,6,30,
5e-07,5,27,29,
4e-07,35,15,32,
5e-07,34,25,34,
5e-07,7,27,37,
4e-07,22,15,37,
4e-07,11,5,38,
3e-07,34,2,39,
4e-07,26,20,40,
5e-07,42,16,40,
4e-07,12,15,41,
4e-07,18,15,41,
5e-07,17,27,43,
5e-07,30,38,42,
5e-07,2,38,43,
4e-07,6,16,42,
4e-07,29,11,46,
4e-07,3,11,44,
6e-07,11,31,45,
5e-07,34,29,35,
5e-07,31,22,38,
4e-07,32,10,42,
4e-07,8,8,42,
4e-07,3,8,43,
4e-07,43,14,36,
5e-07,20,13,35,
4e-07,6,19,34,
4e-07,29,3,34,
3e-07,26,0,36,
3e-07,24,2,36,
3e-07,7,7,38,
4e-07,35,16,38,
4e-07,28,16,43,
4e-07,39,7,46,
4e-07,9,23,47,
3e-07,41,12,48,
6e-07,31,37,49,
3e-07,5,6,46,
3e-07,8,1,41,
5e-07,14,35,46,
3e-07,40,0,46,
3e-07,44,8,47,
3e-07,41,10,48,
4e-07,26,12,46,
4e-07,45,12,43,
5e-07,37,34,45,
6e-07,42,36,39,
3e-07,7,14,40,
4e-07,11,15,40,
4e-07,11,9,41,
4e-07,33,26,40,
4e-07,37,19,36,
5e-07,17,30,37,
4e-07,4,13,37,
5e-07,25,33,39,
3e-07,8,14,38,
5e-07,23,27,36,
4e-07,30,18,36,
4e-07,24,20,32,
4e-07,18,15,33,
5e-07,42,26,34,
4e-07,32,7,36,
5e-07,6,33,37,
4e-07,33,8,35,
4e-07,15,21,35,
4e-07,2,27,37,
5e-07,28,33,39,
3e-07,36,8,40,
6e-07,42,42,46,
6e-07,10,45,47,
6e-07,32,42,47,
5e-07,42,27,46,
4e-07,37,19,44,
3e-07,33,5,43,
5e-07,10,33,41,
4e-07,39,15,42,
3e-07,16,3,38,
3e-07,24,2,38,
5e-07,20,20,37,
4e-07,31,14,37,
4e-07,33,13,40,
5e-07,12,30,41,
6e-07,3,40,42,
5e-07,38,38,42,
4e-07,26,1,42,
5e-07,11,30,43,
6e-07,9,37,40,
5e-07,13,28,36,
4e-07,6,4,40,
5e-07,29,37,39,
5e-07,33,28,40,
5e-07,35,19,44,
3e-07,18,1,45,
4e-07,32,12,39,
6e-07,35,36,38,
5e-07,8,18,36,
3e-07,4,1,38,
6e-07,44,33,38,
5e-07,41,33,38,
6e-07,35,26,38,
4e-07,32,2,36,
5e-07,6,2,38,
6e-07,30,20,39,
6e-07,31,32,40,
6e-07,25,23,41,
6e-07,28,38,42,
7e-07,19,38,43,
4e-07,16,3,46,
5e-07,45,10,50,
7e-07,6,51,54,
6e-07,36,44,52,
3e-07,42,3,52,
6e-07,30,47,51,
5e-07,31,37,50,
5e-07,15,30,46,
4e-07,12,18,47,
3e-07,21,0,51,
5e-07,1,19,50,
5e-07,6,31,51,
6e-07,39,46,50,
5e-07,17,24,43,
4e-07,26,12,42,
5e-07,20,33,44,
5e-07,43,31,47,
4e-07,2,24,46,
5e-07,7,22,46,
3e-07,13,5,47,
6e-07,15,42,47,
4e-07,6,22,48,
6e-07,42,39,48,
5e-07,9,31,54,
4e-07,31,27,54,
4e-07,4,14,55,
6e-07,5,35,56,
4e-07,43,8,54,
3e-07,20,1,54,
5e-07,27,34,58,
5e-07,39,35,59,
3e-07,39,18,60,
8e-07,17,53,64,
6e-07,20,40,65,
7e-07,15,57,67,
6e-07,8,52,59,
5e-07,40,22,59,
6e-07,39,32,62,
4e-07,27,17,61,
7e-07,4,60,63,
6e-07,20,54,64,
5e-07,5,24,64,
7e-07,7,64,66,
7e-07,2,40,68,
4e-07,40,8,68,
6e-07,6,41,69,
6e-07,30,34,65,
4e-07,28,6,65,
5e-07,21,17,63,
5e-07,8,32,66,
6e-07,7,49,66,
6e-07,29,51,63,
6e-07,12,33,64,
6e-07,17,39,63,
7e-07,20,51,64,
7e-07,45,53,58,
5e-07,3,21,59,
6e-07,2,50,57,
5e-07,12,26,58,
6e-07,23,37,55,
7e-07,40,55,57,
7e-07,42,49,57,
4e-07,7,12,57,
6e-07,38,43,57,
9e-07,3,52,54,
4e-07,27,5,53,
7e-07,37,46,54,
6e-07,25,49,55,
5e-07,8,23,56,
6e-07,5,39,58,
5e-07,45,33,61,
5e-07,20,35,61,
4e-07,22,1,61,
4e-07,25,18,60,
3e-07,39,1,56,
6e-07,25,50,56,
6e-07,29,35,53,
6e-07,29,48,54,
5e-07,38,22,56,
3e-07,14,8,54,
5e-07,6,21,56,
3e-07,4,9,56,
3e-07,2,7,51,
5e-07,4,29,52,
4e-07,37,7,51,
4e-07,21,12,54,
3e-07,38,13,55,
4e-07,36,18,56,
4e-07,26,16,54,
6e-07,3,47,52,
4e-07,19,10,53,
6e-07,23,38,53,
6e-07,39,38,54,
7e-07,30,49,54,
5e-07,25,27,50,
6e-07,15,23,52,
6e-07,30,38,53,
5e-07,37,26,52,
6e-07,25,47,51,
5e-07,34,17,49,
6e-07,23,28,50,
4e-07,24,9,52,
6e-07,19,45,52,
5e-07,32,31,54,
6e-07,41,49,52,
5e-07,39,41,55,
5e-07,21,37,48,
6e-07,20,44,49,
3e-07,7,5,50,
5e-07,8,21,46,
6e-07,42,40,44,
4e-07,32,5,45,
5e-07,12,26,45,
6e-07,29,40,42,
4e-07,22,10,41,
6e-07,15,24,42,
6e-07,26,37,40,
3e-07,32,7,37,
5e-07,41,18,35,
6e-07,39,33,36,
3e-07,43,1,34,
5e-07,9,30,33,
4e-07,21,10,34,
5e-07,45,13,31,
3e-07,29,0,31,
5e-07,3,24,32,
4e-07,21,6,32,
4e-07,33,14,32,
4e-07,8,26,33,
5e-07,6,19,31,
5e-07,26,15,27,
5e-07,9,8,28,
4e-07,8,4,27,
4e-07,28,4,28,
6e-07,7,27,30,
5e-07,32,15,31,
6e-07,13,18,32,
8e-07,28,20,34,
8e-07,36,5,32,
3e-07,5,0,27,
5e-07,21,25,27,
5e-07,16,23,27,
3e-07,22,7,25,
3e-07,44,10,25,
3e-07,8,6,26,
4e-07,11,17,27,
3e-07,33,2,28,
4e-07,28,7,29,
3e-07,27,5,30,
5e-07,14,26,31,
5e-07,17,23,30,
5e-07,34,18,30,
4e-07,28,12,28,
4e-07,45,16,31,
4e-07,7,19,31,
5e-07,2,22,31,
4e-07,6,14,32,
4e-07,13,11,30,
3e-07,25,5,31,
3e-07,11,3,34,
4e-07,13,12,34,
3e-07,13,2,35,
3e-07,43,3,36,
4e-07,31,7,37,
4e-07,8,13,37,
5e-07,44,25,37,
5e-07,44,34,39,
4e-07,17,11,37,
5e-07,8,20,38,
4e-07,36,19,38,
4e-07,26,8,41,
5e-07,7,35,47,
6e-07,5,45,48,
6e-07,18,41,49,
4e-07,23,10,52,
3e-07,2,3,53,
5e-07,10,20,50,
4e-07,3,16,47,
5e-07,35,17,47,
4e-07,5,6,47,
4e-07,35,8,47,
4e-07,40,11,45,
4e-07,19,15,42,
5e-07,13,24,43,
7e-07,5,36,44,
4e-07,27,24,38,
3e-07,38,1,39,
3e-07,40,4,38,
5e-07,41,35,39,
4e-07,7,19,39,
6e-07,13,31,40,
5e-07,33,19,37,
5e-07,21,33,39,
3e-07,33,1,40,
5e-07,19,30,36,
5e-07,34,30,38,
4e-07,3,2,39,
4e-07,14,17,41,
4e-07,31,9,40,
5e-07,19,31,40,
3e-07,39,10,34,
5e-07,33,20,33,
3e-07,1,7,34,
5e-07,11,21,33,
3e-07,26,6,32,
4e-07,36,13,24,
5e-07,21,20,24,
5e-07,39,14,21,
4e-07,10,15,17,
4e-07,1,8,18,
4e-07,2,2,24,
4e-07,16,20,23,
3e-07,33,2,23,
4e-07,39,19,26,
3e-07,34,7,25,
3e-07,41,5,26,
3e-07,41,3,27,
4e-07,7,26,28,
4e-07,6,14,31,
3e-07,21,1,32,
5e-07,1,23,32,
3e-07,31,2,35,
6e-07,36,26,36,
5e-07,11,32,36,
5e-07,4,29,37,
5e-07,14,29,35,
4e-07,41,10,37,
6e-07,35,35,39,
3e-07,11,8,37,
5e-07,6,23,37,
5e-07,6,30,34,
4e-07,43,29,35,
4e-07,27,2,34,
3e-07,36,0,36,
4e-07,38,7,32,
4e-07,23,25,32,
3e-07,41,2,34,
5e-07,17,26,35,
5e-07,32,19,32,
5e-07,3,25,31,
3e-07,17,7,31,
4e-07,8,18,31,
5e-07,2,20,34,
3e-07,39,8,35,
4e-07,45,12,35,
4e-07,6,14,33,
3e-07,32,2,32,
3e-07,21,0,33,
4e-07,21,18,36,
4e-07,9,18,31,
3e-07,29,0,30,
4e-07,30,23,27,
4e-07,18,16,26,
3e-07,2,7,28,
5e-07,42,22,29,
5e-07,2,19,27,
4e-07,9,11,24,
5e-07,44,22,25,
4e-07,28,16,26,
5e-07,29,16,28,
4e-07,2,7,31,
6e-07,15,28,33,
4e-07,41,4,25,
3e-07,13,0,25,
4e-07,1,7,22,
4e-07,25,7,22,
4e-07,45,15,21,
4e-07,20,9,20,
3e-07,4,1,22,
4e-07,36,19,21,
4e-07,14,5,22,
3e-07,19,7,21,
3e-07,10,0,18,
4e-07,24,12,19,
3e-07,11,0,20,
3e-07,19,2,20,
3e-07,25,5,18,
3e-07,7,9,20,
3e-07,17,2,14,
4e-07,40,7,15,
3e-07,4,6,16,
5e-07,43,11,17,
4e-07,19,8,16,
4e-07,21,7,23,
4e-07,40,11,21,
4e-07,20,17,27,
4e-07,13,20,27,
3e-07,37,7,25,
4e-07,27,8,26,
4e-07,6,13,25,
3e-07,4,3,24,
3e-07,42,1,22,
3e-07,18,1,22,
3e-07,5,0,22,
3e-07,38,1,22,
4e-07,10,13,19,
4e-07,28,3,20,
4e-07,5,15,22,
4e-07,30,13,20,
4e-07,36,7,24,
3e-07,17,2,24,
4e-07,12,11,25,
4e-07,41,21,26,
4e-07,43,19,22,
3e-07,38,1,22,
4e-07,6,17,23,
4e-07,29,21,24,
4e-07,32,9,17,
4e-07,16,11,14,
3e-07,13,13,15,
3e-07,13,3,10,
3e-07,38,4,11,
4e-07,30,3,10,
3e-07,3,0,11,
4e-07,17,3,11,
3e-07,1,0,11,
4e-07,29,4,11,
4e-07,15,8,11,
3e-07,27,7,11,
4e-07,12,7,12,
4e-07,26,7,12,
4e-07,21,10,13,
4e-07,36,13,15,
3e-07,8,3,16,
3e-07,36,2,15,
3e-07,16,4,16,
3e-07,45,0,19,
4e-07,19,11,17,
3e-07,15,7,18,
3e-07,32,2,20,
3e-07,11,4,18,
4e-07,12,1,16,
4e-07,44,0,17,
4e-07,18,10,19,
3e-07,16,3,20,
3e-07,7,6,21,
4e-07,32,10,21,
4e-07,13,12,15,
4e-07,30,2,12,
3e-07,2,11,14,
3e-07,31,11,15,
3e-07,11,0,16,
3e-07,14,0,17,
3e-07,5,7,17,
3e-07,8,9,12,
2e-07,24,0,11,
4e-07,40,5,11,
3e-07,33,4,10,
3e-07,9,5,10,
3e-07,45,6,9,
3e-07,24,0,2,
3e-07,35,0,2,
4e-07,31,2,4,
3e-07,40,0,2,
2e-07,26,0,1,
3e-07,15,0,1,
3e-07,44,0,1,
4e-07,25,2,5,
3e-07,1,4,8,
3e-07,8,0,8,
3e-07,26,4,9,
3e-07,21,5,8,
3e-07,20,0,9,
3e-07,33,0,1,
3e-07,21,0,2,
3e-07,22,0,2,
3e-07,45,0,1,
3e-07,10,0,2,
3e-07,32,0,2,
3e-07,18,0,3,
3e-07,37,0,4,
3e-07,40,2,5,
3e-07,36,0,1,
3e-07,43,0,1,
3e-07,18,0,2,
3e-07,39,2,4,
3e-07,17,2,7,
3e-07,42,6,9,
3e-07,27,0,8,
4e-07,33,7,11,
4e-07,17,4,8,
3e-07,29,4,8,
3e-07,3,1,7,
3e-07,4,2,5,
3e-07,24,4,6,
3e-07,44,4,7,
4e-07,15,6,8,
3e-07,6,2,7,
3e-07,35,4,7,
3e-07,3,0,4,
3e-07,38,0,2,
3e-07,18,1,3,
3e-07,27,1,4,
3e-07,25,0,6,
3e-07,1,4,6,
3e-07,42,0,7,
4e-07,10,5,7,
4e-07,44,5,8,
4e-07,29,4,10,
4e-07,7,8,11,
3e-07,2,0,12,
3e-07,3,10,12,
3e-07,31,2,11,
4e-07,31,8,11,
3e-07,40,1,11,
4e-07,17,6,12,
3e-07,29,7,12,
3e-07,22,1,11,
3e-07,12,6,12,
4e-07,37,9,12,
3e-07,11,10,14,
4e-07,1,11,15,
4e-07,18,13,16,
4e-07,42,13,17,
4e-07,36,5,19,
4e-07,29,13,15,
3e-07,33,1,17,
5e-07,25,17,19,
4e-07,39,13,21,
4e-07,4,17,20,
4e-07,12,14,20,
3e-07,12,6,21,
4e-07,17,8,22,
3e-07,39,1,20,
4e-07,39,9,19,
4e-07,21,17,20,
3e-07,27,4,21,
4e-07,35,5,23,
4e-07,6,15,30,
4e-07,38,7,31,
4e-07,12,16,32,
5e-07,25,17,33,
6e-07,39,32,34,
4e-07,36,9,36,
6e-07,41,33,38,
3e-07,26,1,30,
5e-07,28,14,31,
5e-07,27,14,32,
4e-07,3,20,30,
4e-07,10,8,29,
5e-07,45,19,34,
5e-07,35,24,33,
3e-07,11,7,29,
4e-07,37,18,29,
4e-07,31,8,24,
5e-07,31,21,29,
4e-07,16,2,21,
5e-07,35,14,21,
4e-07,24,16,22,
4e-07,28,12,24,
5e-07,41,18,25,
4e-07,9,12,18,
3e-07,10,5,18,
3e-07,7,0,18,
5e-07,40,15,19,
4e-07,13,2,19,
3e-07,22,4,20,
4e-07,21,15,23,
4e-07,28,17,21,
3e-07,33,2,21,
4e-07,42,7,22,
4e-07,19,13,18,
4e-07,41,14,20,
4e-07,41,8,21,
4e-07,8,10,19,
4e-07,4,15,24,
3e-07,42,10,26,
4e-07,1,8,26,
3e-07,33,7,24,
3e-07,20,5,25,
4e-07,16,14,22,
4e-07,33,4,24,
4e-07,13,13,24,
4e-07,4,11,23,
4e-07,18,12,24,
4e-07,44,11,20,
5e-07,39,12,20,
4e-07,4,13,21,
3e-07,3,0,24,
4e-07,3,10,22,
4e-07,7,10,23,
4e-07,25,19,24,
4e-07,16,15,25,
3e-07,44,0,28,
4e-07,36,15,28,
4e-07,38,12,28,
4e-07,27,6,28,
4e-07,15,9,29,
3e-07,31,8,27,
5e-07,7,19,28,
5e-07,13,15,29,
5e-07,29,19,30,
5e-07,37,24,29,
3e-07,7,1,27,
4e-07,42,9,29,
3e-07,44,9,30,
4e-07,13,8,29,
3e-07,22,1,30,
3e-07,1,0,31,
3e-07,23,1,34,
5e-07,26,29,36,
4e-07,39,12,36,
4e-07,22,19,35,
4e-07,32,6,35,
4e-07,15,19,32,
5e-07,14,28,31,
4e-07,8,10,30,
4e-07,43,15,32,
3e-07,15,3,34,
4e-07,27,13,37,
3e-07,33,10,38,
6e-07,34,32,39,
4e-07,27,21,40,
5e-07,18,29,40,
3e-07,19,4,43,
5e-07,17,41,45,
4e-07,16,21,40,
4e-07,25,13,33,
4e-07,1,8,30,
3e-07,6,5,28,
4e-07,10,7,29,
3e-07,41,3,30,
4e-07,35,14,31,
4e-07,21,19,36,
5e-07,16,24,38,
4e-07,23,10,35,
3e-07,29,6,38,
5e-07,21,20,39,
4e-07,22,8,40,
3e-07,39,4,37,
