cas operacie,cislo na indexe,index prvku,dlzka zoznamu,
1.5e-06,18,179,233,
1.1e-06,94,128,232,
1.8e-06,13,205,228,
6e-07,19,56,231,
8e-07,5,74,235,
8e-07,32,75,219,
1.7e-06,30,199,211,
6e-07,27,45,214,
1.7e-06,10,199,209,
6e-07,27,42,209,
4e-07,43,12,208,
2e-06,95,197,208,
1.6e-06,39,173,200,
1.8e-06,91,203,219,
1.7e-06,38,177,211,
4e-07,44,19,211,
1.8e-06,5,183,217,
3e-07,28,12,215,
1.6e-06,23,155,215,
7e-07,4,70,212,
2e-07,39,9,210,
1.6e-06,32,176,204,
1.7e-06,39,185,204,
9e-07,12,89,200,
1e-06,23,87,196,
1.5e-06,17,155,192,
9e-07,4,75,191,
2e-07,40,10,189,
4e-07,36,21,197,
8e-07,39,73,199,
1.2e-06,22,150,186,
1.2e-06,39,132,185,
7e-07,19,78,185,
5e-07,32,43,180,
5e-07,3,46,173,
6e-07,3,60,167,
4e-07,30,35,160,
9e-07,91,90,150,
1.2e-06,13,140,161,
1.1e-06,38,139,159,
7e-07,19,78,154,
6e-07,2,61,145,
1e-06,37,85,143,
6e-07,35,49,154,
8e-07,10,78,152,
4e-07,9,40,151,
3e-07,8,15,162,
8e-07,21,93,158,
3e-07,2,21,176,
7e-07,2,72,162,
9e-07,44,104,160,
1.1e-06,93,130,157,
7e-07,14,75,160,
4e-07,14,34,163,
4e-07,16,44,157,
4e-07,2,44,155,
2e-07,38,3,153,
1e-06,12,120,150,
1e-06,16,109,155,
2e-07,17,19,153,
5e-07,18,59,157,
1e-06,20,118,158,
4e-07,6,33,162,
1.2e-06,10,152,163,
4e-07,30,29,156,
9e-07,36,104,157,
1e-06,6,122,140,
3e-07,6,25,139,
9e-07,34,111,169,
3e-07,12,25,170,
8e-07,29,84,166,
9e-07,44,106,166,
4e-07,26,41,167,
9e-07,27,96,167,
4e-07,19,33,158,
1.1e-06,92,125,173,
4e-07,24,40,161,
2e-07,31,15,161,
7e-07,93,72,161,
1.4e-06,12,169,175,
6e-07,12,63,191,
8e-07,23,92,204,
1.1e-06,15,122,200,
1.1e-06,6,131,212,
6e-07,36,57,211,
9e-07,94,90,212,
2e-07,4,7,219,
4e-07,37,33,215,
7e-07,7,86,213,
1e-06,9,108,226,
3e-07,36,18,224,
3e-07,32,28,226,
8e-07,94,74,231,
1.1e-06,15,125,230,
1.2e-06,17,127,234,
6e-07,92,69,232,
1.4e-06,23,164,234,
3e-07,30,19,238,
1e-06,9,119,233,
5e-07,24,49,235,
1.5e-06,32,184,248,
1.4e-06,29,110,248,
1.8e-06,33,224,255,
1.3e-06,21,146,254,
1.2e-06,33,84,257,
1.8e-06,7,198,265,
6e-07,91,54,264,
1.1e-06,35,88,261,
2.1e-06,23,246,265,
1.1e-06,26,107,266,
2.1e-06,3,248,256,
5e-07,13,48,254,
7e-07,18,75,251,
2e-06,9,246,255,
6e-07,3,57,249,
8e-07,33,78,242,
5e-07,25,56,241,
6e-07,91,58,234,
6e-07,11,67,238,
6e-07,43,53,241,
5e-07,29,47,232,
1.2e-06,43,146,231,
8e-07,34,81,234,
5e-07,44,35,222,
2e-07,13,9,228,
1.6e-06,45,204,224,
5e-07,41,45,224,
1.1e-06,94,131,226,
1.2e-06,44,121,232,
1.5e-06,16,189,247,
4e-07,94,26,228,
1.3e-06,4,165,231,
1e-06,40,109,223,
2e-07,37,5,225,
5e-07,25,40,228,
1.1e-06,29,130,227,
1.5e-06,21,171,231,
1.7e-06,2,221,230,
2e-07,11,6,228,
6e-07,3,55,225,
7e-07,1,74,222,
1.6e-06,37,179,225,
1.6e-06,33,200,229,
1.1e-06,19,123,220,
6e-07,1,63,228,
9e-07,35,105,229,
2e-07,37,2,229,
1.2e-06,23,147,219,
1e-06,40,108,221,
7e-07,39,80,219,
4e-07,92,31,222,
5e-07,13,47,226,
1.2e-06,10,142,228,
4e-07,25,30,217,
7e-07,11,67,228,
3e-07,17,23,226,
1.4e-06,15,149,227,
1.7e-06,11,197,226,
2e-07,12,5,232,
9e-07,31,86,234,
1.6e-06,4,178,237,
1.1e-06,17,110,253,
5e-07,95,44,244,
3e-07,45,20,235,
5e-07,27,28,236,
6e-07,25,58,234,
1.6e-06,31,195,246,
1.5e-06,36,186,250,
1.3e-06,12,159,252,
1.5e-06,33,173,252,
1.4e-06,28,155,252,
1.3e-06,10,155,258,
8e-07,38,88,264,
5e-07,15,53,259,
1.8e-06,17,209,260,
1.4e-06,36,167,258,
1.2e-06,93,131,258,
1.4e-06,1,158,260,
1.8e-06,41,216,265,
1.4e-06,93,170,265,
2e-06,22,253,258,
8e-07,19,78,257,
6e-07,92,56,255,
1.3e-06,15,156,263,
1.8e-06,40,227,265,
7e-07,36,62,268,
1.4e-06,35,164,269,
6e-07,95,50,267,
1.3e-06,28,150,270,
2.1e-06,32,263,267,
1.3e-06,3,142,268,
1.4e-06,20,148,273,
1.9e-06,16,242,275,
8e-07,41,81,278,
9e-07,42,90,280,
9e-07,38,101,284,
9e-07,41,87,278,
1.7e-06,41,201,265,
2.1e-06,39,264,266,
1.8e-06,25,228,266,
1e-06,22,121,266,
3e-07,1,22,268,
1.1e-06,7,118,275,
5e-07,38,51,260,
1.1e-06,14,104,254,
2.5e-06,7,208,252,
7e-07,41,71,250,
2e-06,32,241,249,
4e-07,35,31,250,
5e-07,17,38,255,
6e-07,15,47,250,
1.2e-06,12,151,250,
1.3e-06,6,152,250,
1.1e-06,94,118,251,
1.8e-06,12,207,245,
1.8e-06,22,215,243,
1.3e-06,6,149,244,
1.5e-06,32,172,255,
3e-07,3,11,247,
1.2e-06,24,134,225,
1.8e-06,27,217,222,
1.5e-06,7,190,223,
6e-07,34,68,222,
1.6e-06,9,198,223,
2e-07,92,10,215,
4e-07,30,39,219,
1.2e-06,9,142,223,
1.6e-06,9,205,223,
1.2e-06,30,153,222,
1.8e-06,4,207,219,
5e-07,36,51,220,
1.3e-06,9,150,220,
1.1e-06,92,133,218,
1.7e-06,5,212,218,
8e-07,91,86,218,
1.1e-06,7,143,226,
1.1e-06,45,121,224,
7e-07,92,82,224,
1.4e-06,4,165,226,
1.4e-06,7,174,220,
9e-07,20,93,225,
4e-07,34,37,226,
1e-06,17,108,231,
1e-06,14,107,231,
6e-07,43,57,220,
4e-07,94,36,223,
6e-07,19,58,221,
1.2e-06,45,138,219,
4e-07,42,23,221,
6e-07,25,60,221,
9e-07,14,98,224,
1.4e-06,14,98,226,
1.1e-06,43,118,226,
8e-07,17,93,226,
8e-07,39,94,215,
1.7e-06,44,201,219,
1e-07,37,0,222,
1.7e-06,34,211,220,
9e-07,14,96,223,
1.6e-06,33,197,222,
1.3e-06,40,159,225,
1.7e-06,31,210,223,
1.3e-06,28,145,224,
1.8e-06,34,211,227,
5e-07,41,37,227,
1.4e-06,16,148,224,
7e-07,29,69,232,
1.5e-06,26,180,212,
3e-07,14,19,209,
3e-07,36,16,207,
1e-06,29,109,201,
1.4e-06,9,155,202,
1.1e-06,32,123,210,
4e-07,32,37,211,
4e-07,20,42,204,
8e-07,95,78,196,
1.1e-06,10,121,199,
9e-07,13,102,200,
7e-07,22,73,198,
3e-07,18,30,195,
1.5e-06,44,177,194,
1.2e-06,28,143,194,
1.2e-06,5,135,194,
1.4e-06,15,158,201,
1.6e-06,8,199,207,
2e-07,2,4,219,
9e-07,24,97,211,
3e-07,44,22,205,
1.5e-06,11,174,205,
1.6e-06,20,156,208,
1.3e-06,93,155,219,
7e-07,44,67,218,
3e-07,18,24,213,
1.4e-06,41,165,219,
1.2e-06,24,149,224,
6e-07,92,52,232,
3e-07,2,17,235,
6e-07,43,65,230,
9e-06,18,194,228,
1.3e-06,24,164,222,
1.4e-06,24,158,215,
3e-07,17,29,209,
1.2e-06,35,154,206,
1.2e-06,26,147,212,
1e-07,17,5,213,
4e-07,33,40,213,
1.7e-06,38,208,212,
1.2e-06,15,141,212,
5e-07,16,54,212,
1.9e-06,34,224,226,
5e-07,3,37,231,
1.3e-06,16,145,239,
1.2e-06,7,143,235,
1.7e-06,91,223,235,
5e-07,43,46,232,
1.4e-06,43,174,225,
5e-07,29,52,223,
1.1e-06,45,123,215,
1.5e-06,45,177,217,
1e-06,33,109,210,
6e-07,94,60,238,
2e-07,33,15,248,
5e-07,24,48,246,
1.1e-06,24,121,248,
5e-07,32,52,245,
1.7e-06,14,232,242,
1.7e-06,14,230,241,
3e-07,28,30,237,
2e-07,33,10,239,
1.7e-06,33,211,240,
9e-07,24,105,237,
5e-07,4,44,240,
3e-07,3,12,245,
2e-07,3,9,243,
1.6e-06,20,202,243,
1.3e-06,38,153,242,
1.1e-06,95,127,239,
4e-07,4,34,238,
1.4e-06,31,173,236,
4e-07,24,35,233,
1.5e-06,92,184,232,
1.6e-06,20,196,234,
6e-07,36,54,231,
3e-07,13,14,229,
8e-07,15,77,230,
1.6e-06,13,174,230,
1.4e-06,91,163,232,
8e-07,94,84,233,
1.3e-06,12,150,225,
1.4e-06,28,155,226,
4e-07,6,27,210,
1.6e-06,18,196,206,
7e-07,25,74,206,
1.1e-06,94,111,186,
6e-07,4,55,186,
1.3e-06,35,128,186,
1e-07,10,2,185,
7e-07,28,64,191,
9e-07,14,100,193,
9e-07,10,90,192,
1.3e-06,11,150,187,
1.4e-06,15,160,181,
7e-07,23,71,183,
9e-07,29,90,182,
4e-07,3,36,181,
1.3e-06,95,141,176,
2e-07,1,3,168,
6e-07,2,55,166,
3e-07,95,16,167,
1.5e-06,6,159,164,
5e-07,5,39,164,
4e-07,27,42,149,
1.1e-06,18,116,146,
9e-07,14,101,140,
8e-07,34,71,143,
1e-06,21,123,139,
8e-07,6,85,144,
3e-07,10,21,145,
1.1e-06,25,132,146,
5e-07,34,35,145,
1.1e-06,45,137,143,
9e-07,7,86,145,
1.1e-06,17,127,142,
6e-07,42,57,143,
1e-06,4,118,142,
3e-07,38,18,142,
7e-07,26,69,133,
9e-07,38,109,132,
3e-07,5,22,133,
4e-07,43,44,137,
6e-07,43,65,134,
9e-07,2,101,137,
4e-07,24,32,136,
3e-07,7,28,142,
1e-06,38,116,142,
1e-06,35,124,146,
8e-07,33,100,147,
5e-07,24,47,153,
1.1e-06,14,133,149,
9e-07,40,105,153,
3e-07,5,33,157,
2e-07,41,5,157,
1.1e-06,12,131,149,
2e-07,3,9,157,
3e-07,9,26,148,
7e-07,16,61,148,
5e-07,93,52,136,
2e-07,38,8,136,
1e-06,35,114,128,
1e-06,35,111,124,
8e-07,18,90,117,
2e-07,31,10,117,
5e-07,95,49,117,
1e-06,28,107,122,
7e-07,26,79,127,
1e-06,40,118,134,
4e-07,24,37,127,
4e-07,1,45,114,
8e-07,45,82,106,
6e-07,35,63,105,
2e-07,31,10,107,
7e-07,43,75,110,
7e-07,5,82,111,
5e-07,11,40,100,
2e-07,2,18,99,
5e-07,34,45,106,
1e-07,22,6,101,
8e-07,20,93,104,
3e-07,92,14,96,
7e-07,1,74,104,
8e-07,12,76,103,
8e-07,95,68,104,
4e-07,29,31,110,
2e-07,12,1,95,
6e-07,43,67,107,
6e-07,12,70,96,
4e-07,91,44,85,
4e-07,30,32,86,
4e-07,8,27,89,
7e-07,9,88,93,
3e-07,28,23,92,
4e-07,5,34,100,
2e-07,27,13,105,
5e-07,45,56,105,
3e-07,14,20,103,
5e-07,18,62,104,
7e-07,8,63,102,
9e-07,29,94,112,
6e-07,45,61,112,
7e-07,24,70,125,
2e-07,43,11,126,
4e-07,10,33,127,
6e-07,14,63,132,
4e-07,41,34,139,
6e-07,44,75,140,
7e-07,18,85,147,
1.2e-06,8,138,145,
8e-07,45,93,152,
8e-07,45,85,136,
6e-07,26,63,132,
1e-06,7,111,133,
8e-07,26,97,125,
8e-07,33,90,123,
5e-07,8,55,105,
8e-07,45,82,97,
7e-07,33,67,96,
6e-07,26,60,111,
8e-07,21,91,111,
8e-07,21,94,112,
1e-07,21,3,101,
9e-07,32,96,103,
2e-07,32,19,93,
7e-07,33,59,110,
5e-07,41,52,110,
8e-07,15,91,108,
7e-07,35,74,106,
4e-07,45,29,100,
2e-07,40,10,101,
5e-07,11,58,111,
7e-07,6,72,109,
4e-07,40,46,106,
7e-07,38,86,106,
4e-07,40,29,68,
6e-07,1,56,82,
3e-07,10,17,81,
5e-07,26,37,78,
5e-07,6,60,78,
2e-07,94,11,72,
2e-07,35,19,72,
3e-07,22,17,73,
5e-07,25,54,73,
6e-07,2,61,69,
2e-07,19,19,51,
2e-07,35,13,54,
4e-07,12,41,55,
5e-07,28,54,56,
2e-07,31,20,55,
3e-07,92,22,58,
5e-07,18,48,53,
4e-07,19,44,59,
2e-07,45,5,57,
2e-07,24,22,49,
1.6e-06,1,23,39,
4e-07,29,18,39,
3e-07,24,18,38,
2e-07,35,6,38,
1e-07,95,1,35,
3e-07,18,16,23,
2e-07,39,14,17,
2e-07,15,6,21,
1e-07,24,2,27,
2e-07,20,4,22,
2e-07,22,8,18,
1e-07,15,5,34,
3e-07,38,16,38,
4e-07,17,31,39,
4e-07,42,37,39,
2e-07,5,22,34,
2e-07,5,19,31,
3e-07,8,28,33,
3e-07,5,22,27,
3e-07,26,26,28,
3e-07,21,23,32,
3e-07,38,25,38,
2e-07,5,8,41,
2e-07,17,9,43,
2e-07,1,18,47,
3e-07,14,31,49,
3e-07,24,33,50,
2e-07,29,11,48,
4e-07,27,36,39,
3e-07,19,24,43,
2e-07,26,11,44,
3e-07,43,33,45,
4e-07,15,32,52,
4e-07,26,42,45,
2e-07,40,18,48,
3e-07,41,30,41,
3e-07,30,19,46,
4e-07,32,43,45,
3e-07,21,36,46,
2e-07,19,21,45,
4e-07,26,43,46,
1e-07,22,5,44,
4e-07,23,36,62,
2e-07,24,12,63,
2e-07,24,15,66,
3e-07,9,18,74,
3e-07,14,22,75,
4e-07,33,45,76,
2e-07,36,15,74,
2e-07,18,17,78,
1e-07,42,0,69,
1e-07,35,1,64,
5e-07,14,58,60,
1e-07,22,2,60,
2e-07,36,9,60,
2e-07,34,22,65,
6e-07,22,70,75,
2e-07,38,15,76,
7e-07,16,71,77,
5e-07,9,58,78,
3e-07,19,24,74,
5e-07,43,60,64,
3e-07,32,15,61,
2e-07,35,16,64,
2e-07,3,2,59,
1e-07,5,0,55,
5e-07,43,44,58,
3e-07,7,33,65,
4e-07,31,44,55,
2e-07,8,6,54,
2e-07,9,16,57,
3e-07,33,34,53,
4e-07,92,46,54,
3e-07,36,21,55,
4e-07,29,31,56,
1e-07,20,2,56,
5e-07,32,43,55,
1e-07,35,2,54,
2e-07,93,17,64,
3e-07,26,25,64,
3e-07,19,31,53,
4e-07,19,32,57,
3e-07,37,29,58,
4e-07,6,41,57,
3e-07,14,29,57,
4e-07,15,33,42,
1e-07,11,3,30,
3e-07,40,24,30,
2e-07,18,12,27,
2e-07,39,12,21,
2e-07,17,9,26,
1e-07,24,0,3,
1e-07,43,3,7,
2e-07,43,4,7,
1e-07,26,1,11,
2e-07,19,9,11,
1e-07,95,2,7,
1e-07,21,3,12,
2e-07,3,10,14,
2e-07,23,7,17,
1e-07,6,1,10,
1e-07,27,0,4,
2e-07,25,3,5,
1e-07,18,2,5,
1e-07,33,1,5,
1e-07,32,1,7,
1e-07,35,5,7,
1e-07,43,2,8,
2e-07,19,5,11,
1e-07,30,3,6,
1e-07,9,6,11,
1e-07,4,5,10,
1e-07,22,1,9,
2e-07,10,9,11,
1e-07,37,1,15,
1e-07,28,0,2,
1e-07,28,0,2,
1e-07,2,1,4,
1e-07,37,1,6,
2e-07,45,10,22,
2e-07,93,1,13,
1e-07,95,2,4,
2e-07,10,2,5,
2e-07,45,3,5,
1e-07,24,2,5,
2e-07,20,0,6,
1e-07,19,2,6,
1e-07,21,0,6,
1e-07,16,1,6,
1e-07,13,0,2,
1e-07,18,0,1,
2e-07,33,7,11,
1e-07,4,1,14,
1e-07,43,7,10,
1e-07,22,2,8,
2e-07,27,4,11,
1e-07,24,1,12,
2e-07,25,8,12,
1e-07,23,0,8,
1e-07,21,8,14,
1e-07,38,7,12,
1e-07,2,2,5,
1e-07,21,2,4,
2e-07,10,10,13,
2e-07,27,6,11,
1e-07,14,1,9,
1e-07,10,1,12,
2e-07,5,6,31,
3e-07,9,20,30,
2e-07,21,9,30,
3e-07,14,17,23,
1e-07,94,2,8,
1e-07,3,4,11,
1e-07,31,4,18,
1e-07,10,0,2,
1e-07,38,0,2,
2e-07,34,2,8,
1e-07,18,2,4,
1e-07,25,2,4,
2e-07,44,0,2,
1e-07,44,0,2,
2e-07,91,0,2,
2e-07,91,0,2,
1e-07,37,9,17,
2e-07,6,2,6,
2e-07,37,6,8,
1e-07,30,1,11,
1e-07,1,0,10,
1e-07,39,0,2,
1e-07,20,0,2,
1e-07,39,0,2,
1e-07,16,0,6,
4e-07,45,1,3,
2e-07,10,0,2,
2e-07,43,1,3,
1e-07,38,1,3,
1e-07,26,2,4,
1e-07,18,0,3,
1e-07,21,4,6,
1e-07,21,8,10,
2e-07,24,3,8,
2e-07,2,5,7,
1e-07,24,4,7,
1e-07,32,4,10,
2e-07,42,1,12,
1e-07,8,4,8,
2e-07,9,3,8,
3e-07,19,13,17,
2e-07,34,11,30,
2e-07,2,9,18,
2e-07,3,11,17,
2e-07,37,10,12,
2e-07,43,1,12,
1e-07,25,0,5,
2e-07,3,10,12,
3e-07,22,11,16,
2e-07,11,3,21,
3e-07,24,21,25,
1e-07,25,0,12,
3e-07,92,12,14,
2e-07,11,1,9,
2e-07,93,6,17,
3e-07,10,31,36,
2e-07,11,2,34,
3e-07,92,31,44,
2e-07,14,12,44,
4e-07,14,34,43,
2e-07,17,9,48,
2e-07,11,13,44,
6e-07,14,42,44,
2e-07,36,13,44,
3e-07,11,15,48,
1e-07,35,8,44,
4e-07,13,36,45,
3e-07,38,31,48,
3e-07,24,21,48,
4e-07,37,27,46,
3e-07,25,28,48,
3e-07,94,23,48,
3e-07,94,32,49,
3e-07,35,26,51,
2e-07,38,8,52,
3e-07,43,30,48,
3e-07,35,24,50,
1e-07,21,4,60,
2e-07,94,9,60,
1e-07,17,3,61,
4e-07,17,30,62,
4e-07,29,41,50,
3e-07,41,38,50,
1e-07,13,6,54,
4e-07,19,33,55,
5e-07,34,46,50,
4e-07,18,35,52,
5e-07,29,43,51,
1e-07,27,3,43,
2e-07,8,18,39,
3e-07,42,24,37,
1e-07,7,4,37,
2e-07,34,9,41,
2e-07,12,7,43,
3e-07,4,26,60,
1e-07,41,5,58,
3e-07,2,20,52,
1e-07,38,0,50,
3e-07,35,19,59,
3e-07,13,23,52,
1e-07,45,2,43,
3e-07,5,29,44,
2e-07,4,14,37,
2e-07,44,18,39,
3e-07,3,29,52,
2e-07,44,17,52,
4e-07,8,44,53,
5e-07,25,45,52,
2e-07,28,8,51,
5e-07,43,50,52,
2e-07,22,14,53,
2e-07,22,13,43,
2e-07,10,6,38,
1e-07,33,0,36,
3e-07,13,32,40,
4e-07,39,36,41,
2e-07,35,17,23,
2e-07,92,18,24,
2e-07,16,1,3,
2e-07,25,2,4,
2e-07,20,1,3,
2e-07,44,0,5,
2e-07,35,6,9,
4e-07,24,3,10,
1e-07,31,7,10,
3e-07,43,1,5,
1e-07,43,1,5,
2e-07,27,0,13,
2e-07,36,9,14,
2e-07,2,8,15,
3e-07,94,12,30,
2e-07,31,7,14,
2e-07,94,2,12,
1e-07,2,0,7,
2e-07,10,3,5,
2e-07,11,6,8,
2e-07,20,9,11,
2e-07,20,1,12,
1e-07,91,1,24,
2e-07,45,20,27,
2e-07,28,21,25,
2e-07,41,10,20,
2e-07,34,10,20,
2e-07,26,12,18,
2e-07,95,14,19,
1e-07,2,3,17,
2e-07,15,5,18,
2e-07,37,10,19,
2e-07,26,17,19,
1e-07,5,2,10,
2e-07,20,8,13,
1e-07,41,5,9,
1e-07,4,8,13,
1e-07,23,10,13,
2e-07,94,14,17,
2e-07,13,10,20,
1e-07,17,2,20,
2e-07,34,11,21,
2e-07,93,9,21,
2e-07,19,10,26,
2e-07,2,14,23,
2e-07,41,6,19,
1e-07,7,0,23,
2e-07,39,9,27,
1e-07,31,10,32,
1e-07,13,7,32,
2e-07,31,11,28,
1e-07,25,2,27,
2e-07,93,14,25,
1e-07,39,5,27,
2e-07,93,15,25,
2e-07,45,14,27,
2e-07,38,4,30,
3e-07,13,31,39,
2e-07,11,17,40,
3e-07,19,36,41,
3e-07,29,24,27,
1e-07,31,0,30,
2e-07,37,17,31,
2e-07,29,12,45,
4e-07,36,39,47,
1e-07,15,9,52,
1e-07,16,8,60,
4e-07,23,35,65,
3e-07,11,22,59,
4e-07,42,38,55,
2e-07,2,6,55,
3e-07,12,15,57,
2e-07,19,19,54,
2e-07,1,18,57,
2e-07,95,4,61,
1e-07,1,0,55,
2e-07,8,23,58,
4e-07,12,48,67,
4e-07,6,45,67,
4e-07,45,32,57,
4e-07,13,40,55,
3e-07,8,21,60,
3e-07,29,17,58,
5e-07,22,54,60,
3e-07,28,31,58,
2e-07,1,3,59,
5e-07,45,56,62,
2e-07,1,19,60,
2e-07,11,11,64,
2e-07,6,12,86,
7e-07,24,81,97,
5e-07,42,48,102,
8e-07,9,97,101,
3e-07,95,21,97,
5e-07,17,45,91,
1e-07,19,3,88,
1e-07,16,4,84,
1e-07,23,3,86,
5e-07,94,50,89,
6e-07,95,70,86,
5e-07,41,53,74,
5e-07,4,39,75,
4e-07,20,49,70,
4e-07,4,50,64,
5e-07,42,59,62,
5e-07,14,51,74,
5e-07,34,55,71,
2e-07,94,13,69,
3e-07,23,22,65,
2e-07,42,15,62,
3e-07,4,27,61,
6e-07,95,51,60,
2e-07,28,6,58,
3e-07,93,18,53,
1e-07,29,10,48,
1e-07,5,1,50,
4e-07,14,37,46,
3e-07,4,26,46,
3e-07,32,29,50,
2e-07,16,1,42,
3e-07,95,22,44,
3e-07,3,15,46,
3e-07,95,29,48,
2e-07,44,9,50,
2e-07,5,5,51,
4e-07,11,47,50,
3e-07,93,21,45,
2e-07,21,23,45,
3e-07,91,28,46,
2e-07,5,6,55,
2e-07,3,15,57,
3e-07,92,32,52,
3e-07,26,24,48,
2e-07,94,8,46,
2e-07,3,13,42,
2e-07,24,15,33,
2e-07,3,7,27,
2e-07,21,12,23,
3e-07,37,20,23,
3e-07,37,18,24,
2e-07,13,10,19,
2e-07,3,5,19,
3e-07,31,25,30,
3e-07,42,26,28,
3e-07,27,23,26,
2e-07,30,18,22,
2e-07,11,14,20,
2e-07,11,4,24,
2e-07,35,14,23,
1e-07,18,5,22,
3e-07,35,24,29,
2e-07,25,12,32,
4e-07,15,25,37,
2e-07,31,3,32,
1e-07,7,3,30,
1e-07,93,5,23,
3e-07,14,31,35,
2e-07,92,12,36,
2e-07,40,1,39,
3e-07,10,23,34,
2e-07,43,8,26,
3e-07,35,20,31,
3e-07,34,29,32,
3e-07,42,31,38,
3e-07,9,25,36,
3e-07,32,21,34,
1e-07,35,0,37,
3e-07,37,25,39,
1e-07,17,1,32,
2e-07,26,13,33,
2e-07,23,17,40,
2e-07,19,13,15,
2e-07,5,14,16,
2e-07,28,5,19,
1e-07,18,2,27,
1e-07,27,6,16,
2e-07,30,5,21,
2e-07,93,10,23,
2e-07,2,10,19,
2e-07,10,0,19,
2e-07,29,9,15,
1e-07,34,0,20,
1e-07,29,7,14,
2e-07,44,3,13,
1e-07,18,3,9,
2e-07,2,11,16,
2e-07,30,5,14,
1e-07,7,5,15,
2e-07,9,7,12,
2e-07,8,8,10,
2e-07,26,9,22,
1e-07,32,6,24,
2e-07,1,13,18,
2e-07,38,9,17,
1e-07,93,6,12,
2e-07,93,10,14,
3e-07,30,24,28,
3e-07,35,19,28,
2e-07,23,13,28,
4e-07,30,27,42,
2e-07,23,10,37,
4e-07,17,32,40,
4e-07,2,36,56,
4e-07,42,29,58,
3e-07,21,29,63,
5e-07,43,54,64,
3e-07,93,22,63,
5e-07,37,54,63,
3e-07,3,30,61,
5e-07,6,51,64,
4e-07,13,52,61,
3e-07,10,18,53,
4e-07,26,37,48,
4e-07,2,30,41,
1e-07,35,0,37,
2e-07,10,11,36,
1e-07,40,5,36,
3e-07,91,14,39,
4e-07,2,29,39,
4e-07,12,33,45,
3e-07,91,27,47,
2e-07,9,14,49,
3e-07,39,23,51,
4e-07,43,41,50,
4e-07,4,46,49,
2e-07,25,11,42,
3e-07,92,24,40,
2e-07,19,15,32,
2e-07,27,1,28,
3e-07,95,30,34,
2e-07,17,6,32,
3e-07,2,32,36,
2e-07,4,3,37,
2e-07,20,8,30,
2e-07,93,5,28,
2e-07,17,18,29,
3e-07,23,31,33,
2e-07,93,7,34,
1e-07,35,0,33,
3e-07,2,20,30,
3e-07,15,25,35,
3e-07,43,30,41,
2e-07,3,8,41,
2e-07,95,6,40,
3e-07,31,30,34,
2e-07,43,26,33,
3e-07,13,30,33,
2e-07,34,10,33,
1e-07,37,3,33,
1e-07,32,8,29,
1e-07,3,10,24,
1e-07,34,1,24,
3e-07,93,12,24,
2e-07,4,11,24,
2e-07,7,12,23,
2e-07,29,15,21,
2e-07,29,12,15,
1e-07,22,0,3,
2e-07,34,1,7,
1e-07,23,5,9,
1e-07,7,0,8,
1e-07,32,5,12,
2e-07,29,2,21,
1e-07,19,0,20,
2e-07,4,15,21,
2e-07,4,15,25,
3e-07,14,26,31,
3e-07,93,20,33,
3e-07,10,18,42,
1e-07,5,0,51,
5e-07,1,46,57,
2e-07,37,14,59,
3e-07,94,23,59,
5e-07,36,43,57,
4e-07,34,37,61,
2e-07,19,12,52,
4e-07,10,44,50,
1e-07,43,1,52,
3e-07,35,17,51,
2e-07,20,5,48,
4e-07,10,42,50,
4e-07,41,46,55,
5e-07,1,53,62,
4e-07,28,37,62,
5e-07,36,61,66,
3e-07,20,15,67,
4e-07,10,51,68,
5e-07,39,60,73,
5e-07,1,61,73,
3e-07,29,26,82,
5e-07,28,50,83,
2e-07,31,1,82,
7e-07,8,80,86,
4e-07,37,48,87,
7e-07,35,74,86,
1e-07,11,1,84,
7e-07,3,80,87,
3e-07,45,21,88,
3e-07,18,21,93,
8e-07,19,95,97,
2e-07,34,19,102,
8e-07,36,96,102,
6e-07,92,72,104,
7e-07,12,81,106,
7e-07,14,86,105,
9e-07,44,103,108,
5e-07,2,50,114,
5e-07,37,61,101,
3e-07,16,23,111,
7e-07,92,81,120,
5e-07,12,39,112,
8e-07,29,83,105,
2e-07,34,18,103,
3e-07,19,25,118,
7e-07,23,91,113,
8e-07,29,96,115,
8e-07,23,98,120,
8e-07,93,95,119,
3e-07,8,19,119,
6e-07,28,75,126,
4e-07,2,44,122,
7e-07,91,81,120,
9e-07,30,115,122,
2e-07,12,8,125,
3e-07,45,31,125,
3e-07,45,26,134,
1e-07,10,3,133,
6e-07,25,68,134,
9e-07,9,111,134,
8e-07,12,109,122,
8e-07,24,87,120,
4e-07,40,39,118,
7e-07,42,73,113,
2e-07,29,17,116,
4e-07,22,44,122,
3e-07,45,21,122,
6e-07,19,72,127,
7e-07,19,69,116,
7e-07,45,90,113,
4e-07,34,43,111,
9e-07,14,103,107,
6e-07,92,65,104,
6e-07,23,69,103,
6e-07,92,64,103,
7e-07,4,80,100,
6e-07,3,74,100,
8e-07,18,92,109,
2e-07,19,17,107,
3e-07,36,26,106,
4e-07,16,32,119,
5e-07,6,60,119,
4e-07,10,40,117,
8e-07,31,104,112,
6e-07,34,67,108,
6e-07,34,71,110,
5e-07,35,55,102,
1e-07,25,0,107,
5e-07,35,44,125,
8e-07,17,94,137,
4e-07,40,34,137,
2e-07,3,1,138,
2e-07,33,2,138,
1.1e-06,27,135,144,
8e-07,35,82,145,
6e-07,4,54,150,
1e-06,1,129,150,
6e-07,33,55,151,
2e-07,92,5,149,
8e-07,27,90,147,
7e-07,6,67,157,
