cas operacie,cislo,index prvku,dlzka zoznamu,
2e-07,94,0,4,
1e-07,92,4,18,
1e-07,91,0,12,
2e-07,93,14,16,
2e-07,94,16,25,
2e-07,91,2,26,
1e-07,91,5,29,
2e-07,92,2,20,
1e-07,91,3,21,
2e-07,93,1,18,
2e-07,91,5,18,
2e-07,91,11,24,
3e-07,94,11,24,
1.2e-06,92,15,19,
9e-07,92,13,17,
2e-07,91,11,29,
2e-07,93,2,29,
1e-07,93,4,26,
1e-07,92,2,18,
1e-07,91,0,12,
2e-07,95,12,15,
1e-07,95,0,1,
1e-07,94,0,1,
1e-07,94,0,2,
2e-07,93,4,6,
2e-07,93,0,5,
1e-07,94,0,2,
1e-07,91,5,7,
2e-07,93,3,9,
1e-07,91,5,18,
2e-07,95,17,29,
1e-07,93,3,27,
2e-07,94,5,37,
1e-07,94,4,44,
4e-07,91,31,47,
4e-07,92,34,41,
3e-07,93,21,34,
2e-07,95,13,37,
2e-07,93,10,43,
3e-07,93,24,40,
3e-07,91,12,50,
2e-07,95,23,50,
4e-07,93,38,47,
2e-07,91,17,48,
1e-07,93,2,45,
2e-07,95,10,45,
3e-07,94,26,38,
3e-07,94,20,39,
4e-07,92,37,59,
2e-07,91,4,59,
4e-07,95,31,61,
4e-07,94,53,68,
2e-07,94,12,61,
3e-07,92,27,62,
2e-07,95,15,68,
5e-07,95,51,69,
3e-07,93,14,70,
5e-07,93,55,64,
2e-07,91,0,65,
2e-07,92,11,62,
3e-07,94,33,67,
3e-07,92,27,65,
2e-07,92,19,66,
3e-07,93,23,68,
8e-07,95,41,73,
3e-07,94,13,70,
3e-07,91,27,59,
3e-07,95,18,58,
2e-07,94,15,45,
1e-07,95,8,44,
5e-07,94,45,48,
1e-07,93,2,49,
4e-07,94,36,40,
2e-07,94,6,45,
3e-07,91,26,45,
3e-07,95,22,48,
3e-07,93,29,48,
3e-07,92,33,48,
2e-07,91,10,48,
2e-07,95,17,47,
2e-07,95,5,44,
3e-07,94,26,44,
4e-07,94,37,43,
2e-07,91,3,35,
3e-07,94,22,34,
3e-07,95,27,42,
2e-07,91,26,41,
2e-07,91,12,40,
1e-07,91,4,43,
3e-07,94,38,44,
2e-07,93,16,39,
3e-07,95,22,40,
3e-07,91,29,40,
3e-07,91,35,40,
3e-07,94,28,38,
2e-07,91,16,40,
1e-07,92,9,33,
2e-07,91,14,25,
3e-07,93,19,21,
2e-07,92,4,21,
3e-07,92,18,23,
1e-07,92,6,21,
1e-07,92,1,22,
2e-07,91,15,21,
2e-07,91,11,14,
1e-07,91,6,13,
1e-07,92,6,18,
1e-07,94,9,15,
1e-07,93,6,14,
1e-07,94,7,10,
2e-07,94,6,10,
2e-07,94,11,13,
1e-07,94,8,11,
2e-07,91,7,12,
2e-07,94,4,26,
1e-07,94,12,25,
3e-07,91,20,33,
1e-07,92,10,33,
2e-07,92,10,33,
3e-07,94,31,34,
2e-07,91,1,26,
