cas operacie,vlozene cislo,priorita,velkost frontu,,,,,,,,
0.0003269,18,1916,26,,,,,0.0000555,10,5072,2
3.93E-05,25,9895,26,,,,,0.0000395,20,7187,2
0.0002388,23,195,26,,,,,0.0000389,13,6846,2
0.0001715,32,1745,27,,,,,0.0000393,12,4344,2
4.01E-05,3,7740,27,,,,,0.0000388,15,6796,2
0.0003453,20,191,27,,,,,0.0000555,24,5999,2
3.87E-05,5,7204,26,,,,,0.0000542,26,3139,2
3.92E-05,25,5877,27,,,,,0.0000552,13,3775,2
3.89E-05,14,6460,28,,,,,0.0000542,1,6143,2
3.90E-05,6,6686,28,,,,,0.0000559,32,4035,2
3.96E-05,21,6453,28,,,,,0.0000393,14,2504,2
3.87E-05,35,3620,27,,,,,0.0000522,7,53,2
3.85E-05,26,6585,28,,,,,0.0000508,13,9322,2
3.86E-05,15,5806,26,,,,,0.0000511,4,8284,2
3.84E-05,12,2676,27,,,,,0.0000583,24,6230,2
3.85E-05,14,9558,28,,,,,0.0000394,19,2035,2
3.84E-05,35,6210,26,,,,,0.0000389,5,9876,2
0.0001043,8,359,27,,,,,0.0000395,35,6689,2
3.86E-05,26,9204,26,,,,,0.0000394,8,1215,2
3.87E-05,9,2156,27,,,,,0.0000389,19,5864,2
0.0002363,19,167,28,,,,,0.0000391,18,9178,2
3.86E-05,18,5587,28,,,,,0.0000389,33,9871,2
3.86E-05,12,7090,28,,,,,0.00004,3,6200,2
3.86E-05,12,8923,29,,,,,0.0000391,28,210,2
0.0001054,16,701,24,,,,,0.0000395,35,4240,2
3.84E-05,29,5715,24,,,,,0.0000388,23,3167,2
3.90E-05,18,7156,22,,,,,0.0000544,35,9976,2
3.88E-05,7,9349,23,,,,,0.0000399,27,8993,2
0.0001064,25,417,24,,,,,0.0000392,35,4296,2
3.87E-05,12,4759,25,,,,,0.0000391,16,8778,2
3.87E-05,25,3852,26,,,,,0.0000389,35,632,2
3.86E-05,25,7355,27,,,,,0.0000391,30,2501,2
3.89E-05,34,4330,25,,,,,0.0000392,14,3839,2
3.89E-05,23,6776,25,,,,,0.0000391,12,3925,2
3.85E-05,3,7042,26,,,,,0.0000467,26,4927,2
3.85E-05,7,4055,26,,,,,0.0000506,14,7783,2
3.87E-05,12,2605,27,,,,,0.0000474,14,8728,2
3.90E-05,28,1467,26,,,,,0.0000478,16,3669,2
3.88E-05,24,8594,22,,,,,0.0000495,33,8388,2
5.07E-05,2,9021,23,,,,,0.0000467,14,1527,2
3.88E-05,2,3979,24,,,,,0.0000718,6,7845,2
3.85E-05,30,9679,25,,,,,0.0000567,9,3943,2
3.86E-05,23,3002,26,,,,,0.0000428,11,1854,2
3.87E-05,34,369,27,,,,,0.0000578,11,4347,2
6.28E-05,29,1831,26,,,,,0.0000666,6,6139,2
0.0001712,20,386,23,,,,,0.0000388,9,5686,2
3.88E-05,21,9349,24,,,,,0.0000541,16,6834,2
5.36E-05,26,1469,23,,,,,0.0000565,23,59,2
4.10E-05,6,9398,21,,,,,0.0000391,15,7448,2
3.89E-05,7,1812,20,,,,,0.0000564,6,1203,2
3.91E-05,9,6888,20,,,,,0.0000486,11,377,2
0.0001067,5,436,21,,,,,0.0000391,14,7141,2
6.45E-05,15,3998,18,,,,,0.000039,32,1679,2
5.24E-05,3,6423,17,,,,,0.0000389,5,8141,2
0.000143,23,812,18,,,,,0.0000388,8,6950,2
5.06E-05,19,2804,19,,,,,0.0000387,23,1752,2
0.000203,25,334,17,,,,,0.0000389,7,515,2
4.55E-05,29,2196,18,,,,,0.0000387,23,6701,2
4.83E-05,31,1738,19,,,,,0.0000387,16,759,2
4.59E-05,30,5547,18,,,,,0.0000536,20,2103,2
4.78E-05,9,7578,19,,,,,0.0000518,21,1464,2
4.61E-05,18,8998,18,,,,,0.0000396,21,2466,2
4.47E-05,5,6938,19,,,,,0.0001253,11,4266,2
4.59E-05,8,5560,20,,,,,0.0000389,13,3783,2
5.49E-05,32,2568,21,,,,,0.000039,29,1499,2
4.82E-05,22,9166,21,,,,,0.0000465,14,752,2
4.02E-05,17,524,21,,,,,0.0001221,26,5064,2
3.93E-05,28,1196,22,,,,,0.0000544,9,2461,2
0.0001841,10,7617,20,,,,,0.0000393,21,1506,2
4.92E-05,12,7778,20,,,,,0.0000519,29,5277,2
5.05E-05,9,9819,20,,,,,0.0000629,18,64,2
4.95E-05,24,1577,21,,,,,0.0000388,8,1675,2
4.96E-05,19,7588,22,,,,,0.000047,5,9647,2
4.99E-05,23,3333,22,,,,,0.0000386,24,5128,2
5.18E-05,7,8405,19,,,,,0.0000387,34,8098,2
5.79E-05,16,2742,20,,,,,0.0000388,8,5699,2
7.21E-05,35,7237,20,,,,,0.00005,24,2537,2
5.21E-05,6,3056,17,,,,,0.0000391,11,8332,2
5.06E-05,26,1260,17,,,,,0.0000386,23,163,2
0.000105,30,459,16,,,,,0.0000507,20,2521,2
3.90E-05,35,2639,14,,,,,0.0000503,30,8580,2
3.88E-05,22,9214,14,,,,,0.0000392,2,7288,2
3.87E-05,23,2081,15,,,,,0.0000391,4,2980,2
3.89E-05,2,7750,16,,,,,0.0000386,20,2314,2
3.87E-05,21,1222,16,,,,,0.0000384,14,3691,2
3.87E-05,32,7013,16,,,,,0.0000388,26,7713,2
3.87E-05,35,1079,17,,,,,0.0000389,1,425,2
4.03E-05,10,7626,18,,,,,0.000039,33,1255,2
0.0001141,34,1524,18,,,,,0.0000389,31,8976,2
5.30E-05,3,4821,14,,,,,0.0000379,13,9882,2
4.31E-05,2,9534,15,,,,,0.0000388,12,2497,2
3.91E-05,30,4406,16,,,,,0.0000385,22,6959,2
4.98E-05,14,5210,15,,,,,0.0000386,3,496,2
5.71E-05,34,4021,16,,,,,0.0000386,10,5519,2
5.64E-05,10,1453,16,,,,,0.000039,16,5173,2
5.49E-05,19,3100,17,,,,,0.0000388,6,5017,2
5.62E-05,14,6908,16,,,,,0.0000448,19,6028,2
5.03E-05,30,3015,17,,,,,0.0000485,14,5190,2
5.29E-05,19,8302,18,,,,,0.0000554,29,1201,2
0.0002372,32,297,17,,,,,0.0000561,8,2316,2
5.23E-05,23,2143,17,,,,,0.0000389,18,2029,2
5.40E-05,28,8148,18,,,,,0.0000544,7,7500,2
5.75E-05,18,3001,18,,,,,0.0000499,33,8215,2
0.000346,25,246,18,,,,,0.00005,2,9350,2
5.60E-05,24,6227,18,,,,,0.0000455,25,2618,2
0.0003211,17,33,19,,,,,0.0000532,12,5166,2
5.29E-05,21,6601,20,,,,,0.0000389,9,2201,2
5.46E-05,22,7383,20,,,,,0.0000391,34,8439,2
0.0001449,19,2397,20,,,,,0.0000394,15,2638,2
3.89E-05,14,1610,16,,,,,0.000039,34,5730,2
3.90E-05,7,5556,15,,,,,0.0000462,15,9727,2
3.89E-05,16,2736,16,,,,,0.0000491,6,8903,2
3.88E-05,20,5886,17,,,,,0.000049,1,5659,2
3.85E-05,3,4488,16,,,,,0.00004,18,2843,2
