cas operacie,vlozene cislo,priorita,velkost frontu,,,,,,,,
3.85E-05,1,6369,13,,,,,0.000121,5,1623,9
4.58E-05,3,6551,13,,,,,0.000039,16,8719,9
4.89E-05,18,4646,14,,,,,0.0001171,32,8020,9
4.78E-05,19,9595,13,,,,,0.0000386,14,4194,9
5.25E-05,10,7389,14,,,,,0.000039,11,8200,9
3.90E-05,19,3400,13,,,,,0.0000387,11,5212,9
3.89E-05,20,4992,14,,,,,0.0000392,17,1762,9
3.90E-05,9,5658,14,,,,,0.0000388,2,6613,9
3.90E-05,31,2732,15,,,,,0.0000386,30,7368,9
3.87E-05,2,1250,16,,,,,0.0000388,29,6277,9
3.90E-05,3,498,17,,,,,0.0000386,12,7117,9
3.86E-05,5,7775,18,,,,,0.0000389,14,6210,9
4.08E-05,3,962,19,,,,,0.000047,14,2221,9
3.88E-05,22,928,19,,,,,0.000053,19,9701,9
6.21E-05,15,2397,20,,,,,0.0000386,13,1684,9
0.0002885,3,3727,19,,,,,0.0000391,22,335,9
5.39E-05,7,4801,19,,,,,0.0000386,16,2142,9
5.06E-05,2,9380,20,,,,,0.0001524,17,8030,9
6.29E-05,1,1751,21,,,,,0.0000389,9,5657,9
7.14E-05,11,1239,20,,,,,0.0000388,30,8863,9
0.0001274,28,1696,21,,,,,0.0001047,19,2272,9
5.86E-05,12,9822,22,,,,,0.0001048,14,2096,9
0.0001137,28,6087,22,,,,,0.0000384,33,6969,9
0.0001732,21,3410,21,,,,,0.0000389,22,8818,9
5.04E-05,15,6182,22,,,,,0.0001072,23,431,9
5.33E-05,19,7015,20,,,,,0.000054,8,923,9
5.80E-05,24,1016,20,,,,,0.0000388,28,6965,9
5.79E-05,9,4664,21,,,,,0.0000388,23,4681,9
5.78E-05,2,6557,22,,,,,0.0000415,8,6814,9
0.0001568,10,3637,23,,,,,0.0001355,16,1033,9
5.70E-05,17,2470,24,,,,,0.000039,28,4378,9
5.71E-05,34,9599,24,,,,,0.0000391,3,5559,9
5.64E-05,28,7328,25,,,,,0.0000391,2,1595,9
5.61E-05,3,802,25,,,,,0.0000388,34,8594,9
5.58E-05,21,4123,26,,,,,0.0001059,30,681,9
5.68E-05,9,6611,25,,,,,0.0000388,23,5278,9
5.60E-05,9,9902,26,,,,,0.000048,9,9302,9
0.0001547,13,2334,27,,,,,0.0000388,20,9873,9
5.61E-05,14,6182,26,,,,,0.0000388,18,4782,9
5.33E-05,15,5709,23,,,,,0.0000393,23,1962,9
5.11E-05,23,6228,23,,,,,0.0000391,9,5333,9
5.11E-05,30,9611,24,,,,,0.0001103,17,2008,9
0.000316,16,53,25,,,,,0.0000387,14,5319,9
0.0001528,19,3473,23,,,,,0.0001252,26,9200,9
5.66E-05,11,2236,24,,,,,0.0000389,24,5194,9
5.59E-05,27,9479,23,,,,,0.0000385,31,4280,9
0.0001541,32,1674,23,,,,,0.0000387,31,2581,9
5.59E-05,35,8753,24,,,,,0.0000525,13,9847,9
5.65E-05,1,4081,25,,,,,0.0000573,19,7959,9
5.57E-05,26,5466,26,,,,,0.0000518,3,9879,9
5.62E-05,14,3130,27,,,,,0.000054,28,3037,9
5.60E-05,12,8023,25,,,,,0.000055,19,1806,9
5.56E-05,4,9579,25,,,,,0.0000525,25,3748,9
5.57E-05,30,5075,26,,,,,0.000131,1,158,9
5.58E-05,25,2672,26,,,,,0.0000458,3,9428,9
5.55E-05,31,6174,27,,,,,0.0000499,13,5195,9
5.63E-05,13,7416,27,,,,,0.0000387,30,408,9
5.61E-05,34,8874,28,,,,,0.0000389,19,775,9
0.0001548,31,3548,29,,,,,0.000039,9,9706,9
5.75E-05,9,4687,28,,,,,0.0000391,16,1432,9
5.52E-05,24,9795,29,,,,,0.000039,13,1989,9
5.57E-05,13,6424,30,,,,,0.0000389,33,5909,9
0.0001626,27,1082,31,,,,,0.0000388,20,1835,9
5.66E-05,1,6532,30,,,,,0.0000489,6,5704,9
0.0001292,18,1828,29,,,,,0.0000388,29,1971,9
3.94E-05,6,8972,28,,,,,0.000039,35,1056,9
3.93E-05,8,7248,26,,,,,0.0000389,1,2592,9
3.87E-05,34,2586,27,,,,,0.0000391,35,7204,9
3.88E-05,27,1245,24,,,,,0.0000388,31,4029,9
5.08E-05,5,4777,21,,,,,0.0000391,27,4822,9
5.72E-05,15,5215,20,,,,,0.0000389,13,5466,9
3.90E-05,28,4064,21,,,,,0.0000507,28,3426,9
3.87E-05,29,4916,19,,,,,0.000052,12,4952,9
3.86E-05,19,6016,20,,,,,0.0000509,25,4290,9
3.86E-05,2,9449,20,,,,,0.0000394,3,955,9
3.87E-05,29,2325,20,,,,,0.0000384,29,3265,9
3.85E-05,5,6097,21,,,,,0.0000386,3,2658,9
3.86E-05,34,8026,22,,,,,0.0000386,25,7593,9
0.000105,12,383,22,,,,,0.0000387,21,3828,9
3.89E-05,18,1065,20,,,,,0.0001051,35,2653,9
0.0001729,23,236,21,,,,,0.0000495,15,3942,9
6.93E-05,32,6406,20,,,,,0.000039,6,5188,9
7.07E-05,1,9419,21,,,,,0.0001728,28,477,9
0.0006739,31,6295,22,,,,,0.0000391,6,4104,9
6.34E-05,27,4292,23,,,,,0.0000388,4,7788,9
9.34E-05,20,213,24,,,,,0.0000542,31,2852,9
5.25E-05,35,9234,24,,,,,0.0000508,22,3325,9
7.09E-05,31,7964,24,,,,,0.0000508,1,8728,9
7.38E-05,9,7755,25,,,,,0.0000497,19,6216,9
4.50E-05,21,2899,24,,,,,0.0001353,34,868,9
4.66E-05,9,4748,25,,,,,0.0000389,11,1831,9
0.000124,19,1937,26,,,,,0.0000393,31,8974,9
0.0001198,30,1268,27,,,,,0.0000392,3,2636,9
4.56E-05,2,6203,27,,,,,0.0000411,14,6789,9
4.53E-05,26,1901,27,,,,,0.0000518,22,7726,9
5.22E-05,3,3857,27,,,,,0.0000391,29,9817,9
0.0001226,19,1726,28,,,,,0.0000392,27,6608,9
4.45E-05,17,8427,29,,,,,0.0000391,18,1376,9
4.35E-05,31,1299,30,,,,,0.0000389,23,599,9
5.22E-05,14,2378,31,,,,,0.0000389,20,6358,9
5.09E-05,18,2595,32,,,,,0.0000387,9,737,9
4.97E-05,34,7041,32,,,,,0.0000388,16,4725,9
4.93E-05,21,4046,26,,,,,0.0000389,33,3630,9
0.0001327,30,1040,26,,,,,0.0000388,22,7276,9
4.90E-05,33,1064,26,,,,,0.0000501,17,1294,9
4.84E-05,17,3547,27,,,,,0.0000493,4,6629,9
5.22E-05,29,3275,28,,,,,0.0000391,18,7711,9
5.35E-05,10,2108,29,,,,,0.0000386,1,5417,9
5.24E-05,2,5068,30,,,,,0.000054,9,7635,9
5.64E-05,3,1213,31,,,,,0.0000389,26,2598,9
5.34E-05,13,1354,32,,,,,0.0000393,22,6030,9
5.16E-05,3,9416,33,,,,,0.0001053,8,34,9
0.0001899,18,2236,34,,,,,0.0000389,24,7393,9
4.02E-05,32,1601,34,,,,,0.0001049,24,4443,9
4.35E-05,24,7847,34,,,,,0.0001046,25,102,9
0.000114,11,6712,35,,,,,0.0000389,28,867,9
5.71E-05,29,8663,36,,,,,0.0000527,25,1143,9
0.0001425,17,6160,37,,,,,0.0000542,8,8770,9
6.56E-05,31,4149,35,,,,,0.0001008,17,5032,9
0.0001413,34,4495,36,,,,,0.0001677,34,99,9
6.71E-05,4,4524,34,,,,,0.0000394,26,523,9
7.74E-05,1,3975,35,,,,,0.0000389,35,9759,9
0.0002419,29,551,36,,,,,0.0000386,10,9846,9
0.0001064,27,644,37,,,,,0.0000389,1,6643,9
0.0001066,3,1476,38,,,,,0.000052,18,3807,9
3.89E-05,9,6466,36,,,,,0.0001179,18,593,9
0.0003097,16,95,35,,,,,0.0000387,22,8050,9
5.37E-05,31,9785,34,,,,,0.0000397,10,5037,9
5.07E-05,13,9177,33,,,,,0.0000403,4,3917,9
3.90E-05,4,1908,24,,,,,0.0000389,5,2415,9
3.90E-05,25,5518,21,,,,,0.0000392,25,3107,9
3.90E-05,24,885,21,,,,,0.0000378,5,6119,9
3.89E-05,2,1892,22,,,,,0.0000387,12,8767,9
3.88E-05,12,2992,22,,,,,0.0000542,25,8159,9
3.89E-05,15,9890,23,,,,,0.0001415,10,94,9
0.0002671,23,4407,23,,,,,0.0000392,25,3983,9
0.0001102,10,479,19,,,,,0.0000536,4,7900,9
3.86E-05,26,3429,20,,,,,0.0000524,17,1903,9
3.90E-05,35,9705,20,,,,,0.0000511,21,4377,9
3.85E-05,30,9014,18,,,,,0.0000389,22,6326,9
3.87E-05,29,7897,16,,,,,0.0000389,11,2537,9
3.85E-05,23,1857,16,,,,,0.0000391,12,2309,9
3.83E-05,6,5400,17,,,,,0.0000387,10,1630,9
0.0001708,8,125,18,,,,,0.0000389,19,2157,9
0.0001345,13,196,18,,,,,0.0000392,6,9777,9
5.01E-05,9,471,19,,,,,0.0000499,25,9194,9
5.14E-05,28,5188,19,,,,,0.0000397,4,6614,9
4.71E-05,13,656,20,,,,,0.0000528,11,7908,9
4.74E-05,35,2708,21,,,,,0.0001572,5,2933,9
4.03E-05,12,4523,22,,,,,0.0002223,6,2127,9
3.97E-05,22,7396,22,,,,,0.0001376,25,2410,9
3.98E-05,28,922,23,,,,,0.0000424,27,2757,9
3.94E-05,31,4871,20,,,,,0.000039,32,2645,9
3.94E-05,16,7767,21,,,,,0.0001365,5,1524,9
8.08E-05,34,2331,22,,,,,0.0000388,35,1366,9
3.92E-05,33,8621,20,,,,,0.0001061,16,68,9
3.90E-05,34,3085,20,,,,,0.0000389,31,7720,9
3.90E-05,22,5698,19,,,,,0.0000394,31,5008,9
3.88E-05,34,1218,20,,,,,0.0000511,14,7725,9
3.87E-05,27,1477,21,,,,,0.0000571,11,160,9
3.88E-05,2,2542,19,,,,,0.0000392,12,5144,9
5.05E-05,12,3743,20,,,,,0.0000398,21,125,9
3.89E-05,26,2238,19,,,,,0.0000503,30,7992,9
5.17E-05,28,9773,17,,,,,0.0001063,22,5358,9
5.04E-05,6,8502,15,,,,,0.0001061,2,3061,9
4.95E-05,3,4982,16,,,,,0.0000533,6,9372,9
5.01E-05,15,8947,17,,,,,0.0001731,31,386,9
4.94E-05,34,8734,18,,,,,0.0000389,18,5433,9
6.50E-05,23,3771,18,,,,,0.0000389,29,1097,9
5.11E-05,18,7130,18,,,,,0.0000403,3,4545,9
0.0001127,17,2614,19,,,,,0.0000498,30,5768,9
7.57E-05,27,7450,19,,,,,0.0000509,1,7166,9
5.29E-05,21,8042,20,,,,,0.0000452,33,8725,9
4.00E-05,27,2833,20,,,,,0.0000471,8,1784,9
3.90E-05,15,6145,21,,,,,0.0000472,22,9483,9
5.14E-05,28,9698,22,,,,,0.0001432,7,674,9
3.94E-05,12,1362,22,,,,,0.0001055,18,4169,9
3.94E-05,5,495,21,,,,,0.0000526,15,6234,9
3.90E-05,7,6938,21,,,,,0.0000535,15,5176,9
3.89E-05,13,8216,22,,,,,0.0000387,33,4266,9
3.89E-05,32,7181,22,,,,,0.0000388,2,1669,9
3.86E-05,18,3406,21,,,,,0.0000401,2,9805,9
4.77E-05,2,4761,19,,,,,0.0000394,33,586,9
3.89E-05,26,4142,19,,,,,0.0000393,17,5248,9
3.88E-05,19,5153,20,,,,,0.0001063,19,222,9
3.89E-05,3,4563,21,,,,,0.0000387,15,5221,9
4.26E-05,3,8494,22,,,,,0.0000388,18,8518,9
3.89E-05,6,8124,22,,,,,0.0000387,20,7336,9
0.0002434,33,28,23,,,,,0.0000387,30,4755,9
3.88E-05,19,6433,24,,,,,0.0000383,20,2122,9
3.87E-05,30,7410,24,,,,,0.0000389,9,4204,9
3.90E-05,19,7494,20,,,,,0.0000388,29,3761,9
7.01E-05,32,2556,21,,,,,0.0000389,22,4588,9
3.92E-05,21,5204,22,,,,,0.0000504,11,2616,9
3.86E-05,17,1438,21,,,,,0.0000496,25,8874,9
3.85E-05,34,8827,22,,,,,0.0000636,32,1325,9
3.86E-05,16,736,23,,,,,0.0000487,25,6299,9
4.77E-05,25,155,24,,,,,0.0000389,32,7591,9
4.95E-05,8,2004,25,,,,,0.0000387,18,8184,9
4.99E-05,32,8619,25,,,,,0.0000388,7,2253,9
3.88E-05,14,8259,23,,,,,0.0000387,12,1432,9
3.87E-05,20,3554,24,,,,,0.0000502,9,6024,9
3.85E-05,14,8532,25,,,,,0.0000765,28,9773,9
3.88E-05,13,904,25,,,,,0.0000389,10,2429,9
7.13E-05,3,1723,22,,,,,0.0001057,35,3005,9
4.29E-05,31,2181,22,,,,,0.0000391,28,9479,9
4.17E-05,18,292,23,,,,,0.0000388,23,6646,9
3.91E-05,29,5866,24,,,,,0.0000387,25,394,9
4.19E-05,9,5281,23,,,,,0.0000389,18,1291,9
3.89E-05,23,9257,23,,,,,0.0000497,33,8734,9
3.86E-05,31,1365,24,,,,,0.00005,33,5363,9
3.86E-05,34,9340,24,,,,,0.0002085,3,8585,9
3.93E-05,16,646,22,,,,,0.0000389,22,6987,9
3.87E-05,10,2979,21,,,,,0.0000514,14,9811,9
3.84E-05,15,1848,21,,,,,0.0000406,10,4132,9
3.86E-05,22,2298,21,,,,,0.0001726,23,14,9
4.40E-05,4,3305,20,,,,,0.000039,22,5509,9
3.86E-05,34,2738,18,,,,,0.0001056,21,777,9
4.38E-05,7,8540,16,,,,,0.0001054,11,170,9
3.89E-05,10,3909,17,,,,,0.0000479,10,584,9
3.86E-05,24,5144,14,,,,,0.0000396,9,4471,9
3.87E-05,5,8250,15,,,,,0.0000388,18,1903,9
4.01E-05,17,9833,15,,,,,0.0000498,16,5248,9
8.46E-05,6,925,16,,,,,0.0000449,27,7393,9
3.89E-05,5,2182,17,,,,,0.0000445,10,1315,9
3.87E-05,5,5223,18,,,,,0.000052,9,7171,9
3.86E-05,8,2029,15,,,,,0.000039,24,5016,9
5.11E-05,35,4803,16,,,,,0.0001055,2,425,9
3.91E-05,1,4971,15,,,,,0.0000391,5,7779,9
3.92E-05,25,8424,16,,,,,0.0000387,17,9170,9
3.92E-05,8,6756,17,,,,,0.0000487,32,2739,9
3.94E-05,10,3883,13,,,,,0.0000499,35,3125,9
3.90E-05,1,5110,12,,,,,0.0000496,26,1360,9
5.29E-05,25,2280,11,,,,,0.0000394,20,8610,9
3.92E-05,31,815,7,,,,,0.0000389,6,7446,9
3.87E-05,1,5473,7,,,,,0.0000521,9,1536,9
6.70E-05,14,7032,8,,,,,0.0000388,27,6405,9
5.34E-05,11,938,8,,,,,0.0001718,28,263,9
4.96E-05,7,1412,9,,,,,0.0000389,33,3205,9
4.95E-05,1,4614,10,,,,,0.000039,32,6462,9
5.00E-05,28,4473,11,,,,,0.0001393,27,914,9
4.80E-05,12,9465,12,,,,,0.000039,12,6788,9
4.95E-05,2,401,12,,,,,0.0000509,2,3328,9
4.90E-05,20,5379,13,,,,,0.00005,34,1760,9
0.0001365,30,2862,14,,,,,0.0000478,32,8634,9
0.0001366,2,1059,15,,,,,0.0000684,25,5839,9
5.10E-05,1,1029,16,,,,,0.0000387,14,7684,9
4.02E-05,22,2878,15,,,,,0.0001349,32,6546,9
3.90E-05,26,7061,15,,,,,0.0000598,22,8363,9
3.90E-05,13,5431,16,,,,,0.0000388,35,8155,9
3.89E-05,7,8166,17,,,,,0.000051,32,9914,9
3.89E-05,35,4016,18,,,,,0.0000393,22,4277,9
3.89E-05,33,5072,16,,,,,0.0001067,17,1849,10
3.87E-05,4,5706,14,,,,,0.0000519,25,619,10
3.89E-05,8,2404,14,,,,,0.000106,35,543,10
3.90E-05,24,7845,15,,,,,0.000106,24,430,10
3.91E-05,5,7473,15,,,,,0.0000389,24,9749,10
3.88E-05,4,3300,14,,,,,0.0000385,29,7956,10
3.91E-05,3,2903,12,,,,,0.000039,27,9588,10
3.88E-05,23,1667,12,,,,,0.0000389,28,7656,10
8.12E-05,12,6847,11,,,,,0.0000391,17,6734,10
3.89E-05,24,8616,12,,,,,0.0000388,26,9405,10
3.89E-05,13,4045,13,,,,,0.0000391,15,569,10
3.88E-05,35,5768,14,,,,,0.0000388,25,988,10
3.86E-05,4,9773,13,,,,,0.0000572,24,7646,10
3.92E-05,25,1444,13,,,,,0.0000587,18,6622,10
3.88E-05,6,4152,13,,,,,0.0000396,27,2084,10
3.87E-05,21,6037,14,,,,,0.000142,6,7337,10
4.00E-05,32,330,11,,,,,0.000051,8,7077,10
4.80E-05,8,2000,12,,,,,0.0001065,29,1314,10
3.86E-05,17,8934,12,,,,,0.0000389,6,1850,10
3.88E-05,33,2625,13,,,,,0.000039,26,1958,10
3.89E-05,32,1224,11,,,,,0.0000388,17,5607,10
3.90E-05,7,158,11,,,,,0.0000464,3,3828,10
3.86E-05,25,1683,10,,,,,0.0000389,32,466,10
3.88E-05,35,3266,10,,,,,0.0000378,31,6864,10
3.88E-05,15,5062,8,,,,,0.0000397,19,8518,10
3.90E-05,16,7991,9,,,,,0.0000391,5,2919,10
3.87E-05,3,638,9,,,,,0.0000392,19,3446,10
4.26E-05,31,2550,9,,,,,0.0000388,11,9851,10
3.87E-05,26,2617,8,,,,,0.0000554,1,8443,10
3.91E-05,4,319,9,,,,,0.0000519,27,7896,10
3.89E-05,21,9596,10,,,,,0.0000389,23,9962,10
3.87E-05,26,608,11,,,,,0.0001071,18,2092,10
3.90E-05,9,7173,12,,,,,0.0000568,12,3833,10
3.87E-05,15,1929,11,,,,,0.0000872,24,647,10
3.95E-05,28,6439,8,,,,,0.0000391,14,7623,10
3.88E-05,31,2565,8,,,,,0.000045,7,1246,10
3.88E-05,6,8811,9,,,,,0.0000534,7,6983,10
3.90E-05,33,3927,10,,,,,0.000071,15,5308,10
3.89E-05,8,4360,11,,,,,0.0000393,4,3604,10
3.89E-05,19,4244,12,,,,,0.0000486,34,5680,10
4.77E-05,9,1919,12,,,,,0.0000389,10,4186,10
4.95E-05,18,3999,13,,,,,0.0001398,21,653,10
0.0001343,7,780,14,,,,,0.000039,31,9115,10
3.89E-05,10,4010,13,,,,,0.0000388,14,5985,10
0.0001051,9,50,13,,,,,0.0000387,32,4330,10
3.87E-05,12,3052,14,,,,,0.0000385,9,338,10
4.67E-05,16,5350,15,,,,,0.0000386,17,7483,10
3.90E-05,8,6944,16,,,,,0.0000573,23,8404,10
3.88E-05,7,7626,17,,,,,0.0000556,20,8850,10
0.0001057,16,5649,18,,,,,0.0002361,9,116,10
0.0002928,24,2,18,,,,,0.0000515,16,7497,10
3.87E-05,34,3738,17,,,,,0.0000705,31,3501,10
3.87E-05,30,5764,18,,,,,0.0001283,16,7223,10
3.88E-05,19,7983,19,,,,,0.0000387,18,316,10
3.87E-05,32,7789,20,,,,,0.0000495,1,4614,10
0.0001052,22,359,21,,,,,0.0000386,25,1683,10
3.87E-05,10,8969,22,,,,,0.0000388,35,3266,10
3.85E-05,26,7253,21,,,,,0.0000389,21,9596,10
3.90E-05,35,7034,22,,,,,0.000039,33,3927,10
3.88E-05,7,5680,22,,,,,0.0000391,3,6666,10
0.0001051,2,4239,23,,,,,0.0000486,1,24,10
3.87E-05,21,6448,22,,,,,0.0000391,11,8965,10
0.0001171,13,3460,23,,,,,0.0000389,10,1487,10
3.89E-05,21,1717,21,,,,,0.0000396,29,2989,10
3.86E-05,15,899,21,,,,,0.0000501,6,1981,10
3.86E-05,15,8003,20,,,,,0.0000535,10,1176,10
3.88E-05,15,9892,20,,,,,0.0000565,16,1307,10
3.87E-05,24,8065,20,,,,,0.0000504,13,1202,10
3.88E-05,27,2088,21,,,,,0.0001367,28,3678,10
3.98E-05,8,8274,21,,,,,0.0001202,20,2608,10
3.90E-05,33,3691,22,,,,,0.0001335,5,2350,10
3.91E-05,1,7264,23,,,,,0.0000391,35,5487,10
4.09E-05,28,9647,24,,,,,0.0000393,5,7310,10
3.94E-05,9,3302,25,,,,,0.0000427,7,4280,10
0.0001081,20,1283,24,,,,,0.0000489,23,765,10
4.18E-05,9,3409,25,,,,,0.0000392,15,1652,10
4.38E-05,30,5930,25,,,,,0.0000389,27,7749,10
0.0001482,25,297,25,,,,,0.0000388,2,8213,10
5.39E-05,21,7233,26,,,,,0.0000387,10,713,10
3.90E-05,12,1160,25,,,,,0.000055,7,1395,10
5.28E-05,27,4595,24,,,,,0.0000561,3,1997,10
3.90E-05,28,7092,24,,,,,0.0000495,33,3467,10
3.86E-05,14,7112,24,,,,,0.000039,10,7660,10
3.85E-05,26,7014,25,,,,,0.0000388,7,1922,10
0.0001054,17,1171,23,,,,,0.0002283,4,316,10
3.88E-05,12,9053,23,,,,,0.0000393,33,5331,10
3.89E-05,13,6173,22,,,,,0.000039,16,9964,10
3.88E-05,4,2802,23,,,,,0.0000389,27,5211,10
3.87E-05,13,398,24,,,,,0.0001386,16,1185,10
3.87E-05,35,6302,23,,,,,0.000039,5,1860,10
3.85E-05,2,9423,23,,,,,0.000039,9,2810,10
3.87E-05,4,9960,24,,,,,0.0000497,23,2740,10
3.88E-05,25,8796,24,,,,,0.0000634,7,4222,10
3.86E-05,14,2078,24,,,,,0.0000779,12,3543,10
3.88E-05,7,8264,25,,,,,0.0000524,29,1690,10
3.87E-05,2,715,26,,,,,0.0000385,33,6043,10
5.31E-05,9,9038,23,,,,,0.0000386,1,9182,10
3.95E-05,23,4011,21,,,,,0.0002124,14,8,10
3.91E-05,29,9177,22,,,,,0.000048,33,7185,10
3.88E-05,2,5438,23,,,,,0.0000388,19,9121,10
3.91E-05,8,4110,24,,,,,0.0001941,18,6881,10
0.0001066,16,240,25,,,,,0.0003379,16,5442,10
3.92E-05,8,4152,24,,,,,0.0002459,15,3393,10
3.93E-05,24,9357,25,,,,,0.0000388,9,7192,10
3.89E-05,11,7680,26,,,,,0.0001348,33,1812,10
4.78E-05,6,7317,25,,,,,0.000047,12,4630,10
3.92E-05,31,5539,25,,,,,0.0000475,29,5299,10
3.90E-05,32,8585,26,,,,,0.0000472,8,4242,10
3.89E-05,30,9955,27,,,,,0.0001289,5,1504,10
3.89E-05,29,9993,27,,,,,0.0000394,22,9983,10
0.0001248,17,1458,28,,,,,0.0000558,12,9838,10
3.94E-05,33,6275,29,,,,,0.0000483,32,4095,10
3.89E-05,26,2169,28,,,,,0.0001436,25,3059,10
3.87E-05,4,8131,29,,,,,0.0001049,18,5528,10
0.0001717,16,573,30,,,,,0.0000519,27,8569,10
3.86E-05,23,2513,30,,,,,0.0000521,14,7362,10
3.86E-05,20,7819,31,,,,,0.000039,34,7238,10
3.86E-05,4,4477,31,,,,,0.0000388,35,4844,10
0.0001713,23,1348,32,,,,,0.0002345,20,520,10
3.88E-05,6,9684,32,,,,,0.0001585,15,217,10
0.0001713,22,131,33,,,,,0.0000572,6,3649,10
3.86E-05,17,4281,33,,,,,0.0000593,22,3465,10
3.86E-05,33,4052,34,,,,,0.000054,7,3294,10
3.90E-05,16,2771,29,,,,,0.0000392,11,5240,10
3.88E-05,29,7024,30,,,,,0.0000386,34,8237,10
3.97E-05,6,4002,30,,,,,0.0000501,21,3839,10
0.0001206,8,8197,26,,,,,0.0000506,34,7571,10
5.38E-05,16,9333,26,,,,,0.0000705,24,3483,10
4.37E-05,14,4714,26,,,,,0.0000626,2,2610,10
3.87E-05,28,6268,23,,,,,0.0000479,1,5063,10
3.88E-05,18,7855,24,,,,,0.0000487,22,8245,10
3.89E-05,2,6671,25,,,,,0.0000449,18,9858,10
3.88E-05,32,3097,26,,,,,0.0000387,23,7600,10
3.88E-05,7,7695,27,,,,,0.0000388,34,8240,10
3.89E-05,16,8945,28,,,,,0.0001123,29,3104,10
3.86E-05,1,9736,27,,,,,0.0000389,31,5482,10
3.88E-05,9,8193,28,,,,,0.0002067,3,195,10
4.27E-05,22,5963,26,,,,,0.0000393,28,2738,10
3.88E-05,1,5550,26,,,,,0.0000766,14,6930,10
3.86E-05,4,2971,27,,,,,0.0001712,16,950,10
3.88E-05,30,1312,24,,,,,0.0000525,12,1778,10
3.86E-05,6,9839,24,,,,,0.0000515,21,8116,10
5.12E-05,4,9704,25,,,,,0.0000395,25,5059,10
3.88E-05,18,9830,26,,,,,0.0000553,21,7834,10
3.86E-05,10,6798,27,,,,,0.0001089,12,636,10
3.88E-05,27,7223,28,,,,,0.000039,19,7452,10
3.84E-05,29,7659,29,,,,,0.0000387,27,6015,10
3.87E-05,24,8945,29,,,,,0.0000572,16,6564,10
3.85E-05,9,7561,30,,,,,0.0001769,21,54,10
0.0001052,26,773,29,,,,,0.0000385,34,1955,10
3.87E-05,22,9182,28,,,,,0.0000425,27,3217,10
3.84E-05,30,2488,27,,,,,0.0000388,14,8008,10
3.86E-05,32,1227,28,,,,,0.0000385,12,9170,10
0.0001711,2,117,29,,,,,0.0001777,19,8548,10
3.85E-05,25,8325,30,,,,,0.0001102,16,3891,10
4.99E-05,16,6117,29,,,,,0.0001054,18,2298,10
4.84E-05,27,8351,30,,,,,0.0000386,16,8019,10
0.0003109,32,9,31,,,,,0.0000386,6,5424,10
4.63E-05,4,5074,32,,,,,0.0000387,30,5992,10
3.88E-05,24,4969,31,,,,,0.0000387,3,6219,10
4.77E-05,6,1382,31,,,,,0.0000392,31,8490,10
3.90E-05,6,3752,31,,,,,0.0000475,3,9448,10
0.0001059,19,459,32,,,,,0.0000387,20,2579,10
0.0001062,29,311,33,,,,,0.0000388,5,3406,10
5.34E-05,33,2684,32,,,,,0.0000386,20,5650,10
5.04E-05,17,8631,33,,,,,0.0000386,2,7483,10
0.0001292,18,532,29,,,,,0.0000386,28,5825,10
5.19E-05,31,3982,30,,,,,0.0000385,17,1335,10
5.84E-05,10,4205,31,,,,,0.0000393,8,8131,10
6.12E-05,7,1729,32,,,,,0.0000389,29,7784,10
4.73E-05,15,8960,33,,,,,0.0000389,23,9615,10
4.66E-05,10,7576,34,,,,,0.0000388,35,2697,10
0.0002067,11,37,35,,,,,0.0000388,29,3761,10
4.54E-05,23,6662,36,,,,,0.0000387,15,1989,10
0.0001268,34,803,37,,,,,0.0000433,29,9619,10
0.0001385,1,1738,38,,,,,0.0000477,5,8960,10
0.0001261,12,1703,38,,,,,0.0000525,17,4310,10
0.0001283,5,1109,39,,,,,0.0001053,4,2554,10
0.0001222,17,7308,40,,,,,0.0000478,34,5223,10
0.0001255,3,243,39,,,,,0.0001055,5,8828,10
0.0001579,9,216,39,,,,,0.0000401,27,4271,10
0.0001333,32,7383,37,,,,,0.0000535,9,3920,10
5.21E-05,21,6900,37,,,,,0.0000521,28,2443,10
5.14E-05,35,9297,38,,,,,0.0000447,35,9983,10
5.09E-05,31,9757,38,,,,,0.000062,14,1227,10
4.94E-05,27,1563,39,,,,,0.0000389,22,3026,10
0.0001351,15,4766,40,,,,,0.0000387,27,1157,10
0.0001371,10,2802,41,,,,,0.0001055,26,413,10
0.0001387,5,3372,42,,,,,0.0000387,17,2324,10
5.24E-05,13,1508,39,,,,,0.0000388,7,4336,10
5.44E-05,20,5825,40,,,,,0.0000388,3,6453,10
5.77E-05,5,965,39,,,,,0.0000516,10,2821,10
3.92E-05,9,1963,39,,,,,0.0000531,22,3010,10
3.88E-05,32,9492,40,,,,,0.0001309,7,3593,10
3.92E-05,30,8262,41,,,,,0.0000502,18,6181,10
3.89E-05,9,6275,41,,,,,0.0001101,1,2410,10
0.0001064,5,2645,41,,,,,0.0000388,6,6487,10
3.86E-05,20,7135,42,,,,,0.000039,34,6376,10
3.91E-05,8,8273,40,,,,,0.0000387,15,7412,10
3.91E-05,32,6543,41,,,,,0.0000387,29,6253,10
3.91E-05,5,3834,42,,,,,0.0001058,20,600,10
5.37E-05,3,8718,39,,,,,0.0000388,28,5870,10
3.93E-05,32,9181,40,,,,,0.0000581,7,8342,10
3.86E-05,5,7383,38,,,,,0.0000506,16,7887,10
3.94E-05,17,6881,36,,,,,0.0000387,6,7282,10
5.13E-05,18,9880,36,,,,,0.0000386,9,9657,10
