cas operacie,vybrane cislo,velkost frontu,,,,,,,
0.0002021,6,19,,,,,0.0001275,35,1
0.0002031,7,19,,,,,0.000113,30,1
0.0002017,8,20,,,,,0.0001136,14,1
0.0004184,9,19,,,,,0.0001371,35,1
0.0003253,4,18,,,,,0.0001366,26,1
0.0002544,17,17,,,,,0.0001383,14,1
0.0002685,15,17,,,,,0.0001378,16,1
0.0002715,28,16,,,,,0.0001364,16,1
0.0002576,19,18,,,,,0.000135,33,1
0.0002762,32,17,,,,,0.0001636,10,1
0.0002489,3,16,,,,,0.0001681,6,1
0.0002612,31,18,,,,,0.0001243,1,1
0.0002319,29,17,,,,,0.0001232,11,1
0.0002384,9,18,,,,,0.0001694,11,1
0.0002557,30,17,,,,,0.000114,6,1
0.0002609,32,20,,,,,0.0007268,30,1
0.0003683,22,20,,,,,0.0001128,24,1
0.0002026,28,21,,,,,0.0001136,23,1
0.0002077,17,20,,,,,0.0001123,21,1
0.0003768,8,19,,,,,0.000142,6,1
0.0002679,10,19,,,,,0.0001187,11,1
0.0002548,12,19,,,,,0.0001127,14,1
0.0002615,19,21,,,,,0.0001131,32,1
0.0002739,23,21,,,,,0.000112,3,1
0.0002778,24,20,,,,,0.0001129,8,1
0.0002721,9,19,,,,,0.0001119,23,1
0.0002764,5,18,,,,,0.0001119,7,1
0.0004716,16,19,,,,,0.0001118,23,1
0.0004108,35,19,,,,,0.0001539,29,1
0.0002665,7,18,,,,,0.0001503,20,1
0.0002714,18,17,,,,,0.0001429,29,1
0.0002688,15,16,,,,,0.0001265,20,1
0.0002664,6,16,,,,,0.0001127,24,1
0.0002721,26,16,,,,,0.000113,13,1
0.0002053,11,15,,,,,0.0001134,29,1
0.000201,17,15,,,,,0.0001107,14,1
0.0002254,1,14,,,,,0.0001601,26,1
0.0002016,31,13,,,,,0.0001245,9,1
0.0002018,35,13,,,,,0.0001463,21,1
0.0002006,2,15,,,,,0.0001521,35,1
0.0002011,21,15,,,,,0.0001129,18,1
0.0002201,10,17,,,,,0.0001124,23,1
0.0002746,34,17,,,,,0.0001125,14,1
0.0002747,35,16,,,,,0.0001124,24,1
0.000285,32,15,,,,,0.0001125,34,1
0.0003017,23,14,,,,,0.0001424,23,1
0.0003046,22,13,,,,,0.0001132,24,1
0.0003765,30,15,,,,,0.0001173,11,1
0.0003264,2,14,,,,,0.0001452,23,1
0.0003063,34,15,,,,,0.0003248,20,1
0.0002492,19,16,,,,,0.0001151,30,1
0.0003468,10,15,,,,,0.0001129,19,1
0.0002894,19,17,,,,,0.0001122,4,1
0.0002844,30,16,,,,,0.0001125,20,1
0.0002775,30,16,,,,,0.0001163,14,1
0.0002891,28,17,,,,,0.0001127,33,1
0.0002985,18,17,,,,,0.0001172,1,1
0.0002819,23,17,,,,,0.0001126,33,1
0.0002806,21,19,,,,,0.0001196,31,1
0.0002976,22,19,,,,,0.0001129,13,1
0.0003018,19,19,,,,,0.0001118,11,1
0.0003642,32,18,,,,,0.0001125,34,1
0.0002261,24,17,,,,,0.0001122,3,1
0.0002007,23,16,,,,,0.0001171,10,1
0.0002441,14,15,,,,,0.0001121,16,1
0.0003599,14,15,,,,,0.0001291,35,1
0.0002014,14,14,,,,,0.0001415,5,1
0.0002025,20,16,,,,,0.0003305,27,1
0.0001998,16,15,,,,,0.0001593,29,1
0.0002005,3,15,,,,,0.0001126,8,1
0.0002009,29,15,,,,,0.0001482,26,1
0.0002815,26,15,,,,,0.0001478,7,1
0.0002893,20,15,,,,,0.0001486,33,1
0.0002532,11,15,,,,,0.0001383,2,1
0.0002234,26,18,,,,,0.0001331,25,1
0.0002037,26,20,,,,,0.000113,12,1
0.0002021,30,19,,,,,0.0001148,9,1
0.0002099,22,18,,,,,0.0001145,34,1
0.0002016,6,19,,,,,0.0001135,15,1
0.0002017,18,18,,,,,0.000133,18,1
0.0002435,5,19,,,,,0.0001444,15,1
0.000201,35,18,,,,,0.0001435,6,1
0.0002007,14,18,,,,,0.0001227,1,1
0.0003745,20,17,,,,,0.000149,34,1
0.0002865,33,19,,,,,0.0001397,35,1
0.0003119,25,18,,,,,0.0001473,18,1
0.000293,26,19,,,,,0.0001465,9,1
0.0002839,33,19,,,,,0.0001441,5,1
0.0003713,6,18,,,,,0.0001561,17,1
0.0002692,28,17,,,,,0.0001463,23,1
0.0002626,31,17,,,,,0.0001464,22,1
0.000282,3,21,,,,,0.0001123,17,1
0.000277,23,20,,,,,0.0001126,6,1
0.0002746,13,19,,,,,0.0001128,27,1
0.0008432,5,18,,,,,0.0001123,10,1
0.000313,7,18,,,,,0.0001176,7,1
0.0002981,11,18,,,,,0.0001125,18,1
0.0002892,17,20,,,,,0.0001119,22,1
0.0002832,34,20,,,,,0.0001124,35,1
0.0006419,19,23,,,,,0.0001342,20,1
0.0007995,31,22,,,,,0.0001136,27,1
0.0002647,3,23,,,,,0.0001445,6,1
0.0002649,3,28,,,,,0.0001383,27,1
0.0003322,23,27,,,,,0.0001459,22,1
0.0003236,26,26,,,,,0.0001464,32,1
0.0002495,13,27,,,,,0.0001457,21,1
0.0002136,26,26,,,,,0.0001452,5,1
0.0002756,8,25,,,,,0.0001465,2,1
0.0003263,3,26,,,,,0.0003118,30,1
0.0002918,28,25,,,,,0.0001502,24,1
0.0002577,24,25,,,,,0.0001449,26,1
0.0004751,15,25,,,,,0.0001464,9,1
0.0002019,3,30,,,,,0.0001465,2,1
0.0002017,15,29,,,,,0.0001459,23,1
0.0003403,22,28,,,,,0.0001456,9,1
0.0006315,14,27,,,,,0.0001477,29,1
0.00027,7,26,,,,,0.0001505,13,1
0.0002004,35,26,,,,,0.0001588,25,1
0.0002003,19,27,,,,,0.0001658,33,1
0.0003846,27,26,,,,,0.0001436,23,1
0.0003122,15,26,,,,,0.000135,13,1
0.0002597,35,27,,,,,0.0001352,28,1
0.0005205,4,26,,,,,0.0001504,22,1
0.0002035,26,30,,,,,0.0001508,30,1
0.0002577,26,31,,,,,0.0001662,2,1
0.0002108,13,34,,,,,0.0001566,15,1
0.0003034,26,33,,,,,0.0001533,26,1
0.0002983,20,32,,,,,0.0001402,35,1
0.0003517,34,32,,,,,0.0001379,31,1
0.0003264,7,31,,,,,0.0003364,1,1
0.0002048,19,31,,,,,0.0001496,29,1
