cas operacie,cislo,velkost frontu,,,,,,,
2.33E-05,15,25,,,,,0.0000236,10,1
3.96E-05,15,26,,,,,0.0000327,10,1
2.39E-05,15,24,,,,,0.0000306,10,1
2.33E-05,15,24,,,,,0.0000301,10,1
2.34E-05,15,24,,,,,0.0000232,10,1
2.88E-05,15,23,,,,,0.0000233,10,1
2.40E-05,15,21,,,,,0.0000309,10,1
2.99E-05,15,20,,,,,0.0000234,10,1
2.38E-05,15,20,,,,,0.0000425,10,1
2.36E-05,15,19,,,,,0.000024,10,1
3.06E-05,15,17,,,,,0.0000235,10,1
3.96E-05,15,18,,,,,0.0000232,10,1
3.16E-05,15,18,,,,,0.0000235,10,1
3.13E-05,15,18,,,,,0.0000233,10,1
2.71E-05,15,17,,,,,0.0000233,10,1
2.82E-05,15,17,,,,,0.0000233,10,1
2.70E-05,15,18,,,,,0.0000235,10,1
2.75E-05,15,19,,,,,0.0000235,10,1
2.77E-05,15,17,,,,,0.0000238,10,1
2.92E-05,15,20,,,,,0.0000236,10,1
2.36E-05,15,21,,,,,0.0000235,10,1
2.32E-05,15,20,,,,,0.0000237,10,1
2.94E-05,15,19,,,,,0.0000305,10,1
3.07E-05,15,22,,,,,0.00004,10,1
2.98E-05,15,22,,,,,0.0000382,10,1
3.03E-05,15,22,,,,,0.0000233,10,1
3.18E-05,15,21,,,,,0.0000233,10,1
3.18E-05,15,21,,,,,0.0000234,10,1
3.87E-05,15,19,,,,,0.0000301,10,1
4.51E-05,15,20,,,,,0.0000304,10,1
3.10E-05,15,16,,,,,0.0000235,10,1
3.22E-05,15,14,,,,,0.0000235,10,1
0.0001124,15,14,,,,,0.0000235,10,1
2.45E-05,15,14,,,,,0.0000231,10,1
2.31E-05,15,16,,,,,0.0000234,10,1
2.31E-05,15,16,,,,,0.0000231,10,1
2.33E-05,15,16,,,,,0.0000234,10,1
2.35E-05,15,18,,,,,0.0000233,10,1
2.69E-05,15,18,,,,,0.0000231,10,1
3.17E-05,15,18,,,,,0.0000233,10,1
2.37E-05,15,15,,,,,0.0000233,10,1
2.35E-05,15,16,,,,,0.0000233,10,1
2.38E-05,15,16,,,,,0.0000233,10,1
3.98E-05,15,17,,,,,0.0000231,10,1
3.07E-05,15,17,,,,,0.0000234,10,1
3.46E-05,15,17,,,,,0.0000235,10,1
3.41E-05,15,15,,,,,0.0000232,10,1
3.28E-05,15,17,,,,,0.0000234,10,1
3.15E-05,15,17,,,,,0.0000302,10,1
3.06E-05,15,17,,,,,0.0000273,10,1
3.73E-05,15,19,,,,,0.0000238,10,1
2.45E-05,15,18,,,,,0.0000238,10,1
2.35E-05,15,17,,,,,0.0000238,10,1
2.38E-05,15,15,,,,,0.0000234,10,1
2.33E-05,15,15,,,,,0.0000236,10,1
2.34E-05,15,15,,,,,0.0000237,10,1
2.35E-05,15,17,,,,,0.0000309,10,1
2.33E-05,15,16,,,,,0.0000287,10,1
2.33E-05,15,15,,,,,0.0000277,10,1
3.15E-05,15,16,,,,,0.0000303,10,1
2.39E-05,15,16,,,,,0.0000233,3,1
2.39E-05,15,19,,,,,0.0000236,3,1
2.36E-05,15,20,,,,,0.0000234,3,1
2.35E-05,15,19,,,,,0.0000232,3,1
4.39E-05,15,17,,,,,0.0000233,3,1
3.34E-05,15,19,,,,,0.0000234,3,1
3.03E-05,15,18,,,,,0.0000233,3,1
3.03E-05,15,20,,,,,0.0000287,3,1
3.01E-05,15,20,,,,,0.0000305,3,1
3.26E-05,15,19,,,,,0.0000307,3,1
3.23E-05,15,19,,,,,0.0000335,3,1
3.46E-05,15,20,,,,,0.0000313,3,1
3.19E-05,15,20,,,,,0.0000369,3,1
3.61E-05,15,21,,,,,0.0000307,3,1
3.51E-05,15,21,,,,,0.0000305,3,1
3.28E-05,15,21,,,,,0.0000304,3,1
3.41E-05,15,20,,,,,0.0000323,3,1
3.52E-05,15,21,,,,,0.0000301,3,1
3.27E-05,15,21,,,,,0.0000301,3,1
3.60E-05,15,21,,,,,0.0000298,3,1
3.29E-05,15,24,,,,,0.0000299,3,1
2.42E-05,15,22,,,,,0.0000303,3,1
2.36E-05,15,22,,,,,0.0000267,3,1
2.39E-05,15,23,,,,,0.0000307,3,1
2.36E-05,15,24,,,,,0.0000308,3,1
3.21E-05,15,24,,,,,0.000031,3,1
3.45E-05,15,26,,,,,0.000031,3,1
3.31E-05,15,26,,,,,0.0000311,3,1
3.56E-05,15,27,,,,,0.000031,3,1
2.55E-05,15,27,,,,,0.0000302,3,1
3.81E-05,15,26,,,,,0.0000306,3,1
3.85E-05,15,27,,,,,0.0000306,3,1
3.83E-05,15,27,,,,,0.0001341,3,1
3.33E-05,15,26,,,,,0.0000477,3,1
3.37E-05,15,26,,,,,0.0000235,3,1
2.33E-05,15,25,,,,,0.0000234,3,1
2.33E-05,15,26,,,,,0.0000235,3,1
2.32E-05,15,26,,,,,0.0000234,3,1
2.33E-05,15,27,,,,,0.0000235,3,1
2.34E-05,15,30,,,,,0.0000234,3,1
2.35E-05,15,30,,,,,0.0000233,3,1
2.35E-05,15,30,,,,,0.0000233,3,1
3.43E-05,15,27,,,,,0.0000237,3,1
4.71E-05,15,27,,,,,0.0000274,3,1
2.36E-05,15,27,,,,,0.0000234,3,1
2.35E-05,15,28,,,,,0.0000234,3,1
2.34E-05,15,28,,,,,0.0000234,3,1
2.33E-05,15,27,,,,,0.0000239,3,1
3.10E-05,15,27,,,,,0.0000236,3,1
3.42E-05,15,27,,,,,0.0000238,3,1
2.96E-05,15,26,,,,,0.0000236,3,1
2.33E-05,15,30,,,,,0.0000236,3,1
2.35E-05,15,31,,,,,0.0000235,3,1
