cas operacie,cislo,velkost frontu,,,
6.00E-07,12,21925,,,
6.00E-07,48,21926,,,
6.00E-07,48,21927,,,
6.00E-07,48,21931,,,
7.00E-07,14,21945,,,
6.00E-07,9,21958,,,
6.00E-07,59,21966,,,
7.00E-07,40,21975,,,
6.00E-07,38,21975,,,
7.00E-07,23,21981,,,
6.00E-07,23,21981,,,
1.10E-06,6,21982,,,
6.00E-07,10,21983,,,
7.00E-07,45,21995,,,
6.00E-07,27,22001,,,
6.00E-07,61,22010,,,
5.00E-07,61,22010,,,
6.00E-07,49,22030,,,
6.00E-07,25,22044,,,
6.00E-07,50,22051,,,
6.00E-07,62,22072,,,
6.00E-07,42,22083,,,
6.00E-07,53,22088,,,
6.00E-07,41,22107,,,
6.00E-07,44,22112,,,
6.00E-07,36,22111,,,
6.00E-07,17,22114,,,
6.00E-07,42,22116,,,
6.00E-07,44,22119,,,
6.00E-07,7,22155,,,
6.00E-07,40,22154,,,
6.00E-07,40,22156,,,
6.00E-07,52,22180,,,
7.00E-07,3,22195,,,
6.00E-07,3,22195,,,
8.00E-07,3,22195,,,
6.00E-07,47,22202,,,
6.00E-07,3,22211,,,
6.00E-07,46,22242,,,
5.00E-07,19,22243,,,
6.00E-07,61,22241,,,
6.00E-07,42,22239,,,
6.00E-07,54,22241,,,
6.00E-07,39,22249,,,
6.00E-07,49,22250,,,
6.00E-07,55,22251,,,
6.00E-07,27,22250,,,
6.00E-07,12,22257,,,
6.00E-07,35,22269,,,
6.00E-07,31,22275,,,
6.00E-07,67,22284,,,
6.00E-07,37,22288,,,
6.00E-07,13,22311,,,
6.00E-07,40,22319,,,
7.00E-07,65,22319,,,
6.00E-07,51,22331,,,
6.00E-07,51,22332,,,
6.00E-07,51,22332,,,
6.00E-07,41,22398,,,
6.00E-07,18,22428,,,
6.00E-07,65,22437,,,
6.00E-07,40,22474,,,
5.00E-07,21,22473,,,
6.00E-07,37,22477,,,
6.00E-07,65,22487,,,
6.00E-07,22,22520,,,
6.00E-07,22,22520,,,
6.00E-07,1,22524,,,
6.00E-07,27,22524,,,
6.00E-07,25,22540,,,
6.00E-07,8,22555,,,
6.00E-07,13,22588,,,
6.00E-07,3,22596,,,
6.00E-07,53,22601,,,
6.00E-07,68,22615,,,
6.00E-07,16,22663,,,
7.00E-07,24,22684,,,
6.00E-07,24,22685,,,
6.00E-07,32,22686,,,
6.00E-07,27,22693,,,
6.00E-07,27,22693,,,
6.00E-07,35,22704,,,
6.00E-07,53,22707,,,
6.00E-07,34,22734,,,
6.00E-07,19,22772,,,
6.00E-07,35,22777,,,
6.00E-07,60,22791,,,
6.00E-07,44,22801,,,
6.00E-07,1,22818,,,
5.00E-07,57,22821,,,
6.00E-07,67,22871,,,
6.00E-07,61,22880,,,
6.00E-07,8,22882,,,
7.00E-07,67,22891,,,
6.00E-07,8,22894,,,
7.00E-07,8,22898,,,
6.00E-07,30,22907,,,
6.00E-07,30,22909,,,
6.00E-07,17,22942,,,
6.00E-07,37,22956,,,
6.00E-07,47,22966,,,
6.00E-07,33,22977,,,
6.00E-07,46,22989,,,
6.00E-07,17,22996,,,
6.00E-07,25,23000,,,
6.00E-07,40,23007,,,
6.00E-07,40,23007,,,
6.00E-07,29,23009,,,
6.00E-07,46,23013,,,
6.00E-07,2,23026,,,
6.00E-07,2,23032,,,
6.00E-07,37,23057,,,
7.00E-07,37,23058,,,
6.00E-07,12,23068,,,
6.00E-07,49,23067,,,
6.00E-07,15,23076,,,
6.00E-07,67,23092,,,
6.00E-07,28,23093,,,
6.00E-07,55,23136,,,
6.00E-07,9,23144,,,
6.00E-07,33,23154,,,
6.00E-07,15,23163,,,
7.00E-07,57,23164,,,
7.00E-07,2,23168,,,
6.00E-07,3,23181,,,
6.00E-07,17,23188,,,
6.00E-07,33,23195,,,
6.00E-07,22,23200,,,
7.00E-07,37,23201,,,
6.00E-07,34,23209,,,
6.00E-07,35,23213,,,
6.00E-07,20,23218,,,
6.00E-07,37,23218,,,
6.00E-07,10,23231,,,
6.00E-07,1,23232,,,
6.00E-07,9,23249,,,
6.00E-07,9,23259,,,
6.00E-07,14,23269,,,
7.00E-07,43,23287,,,
5.00E-07,6,23291,,,
7.00E-07,58,23310,,,
6.00E-07,26,23315,,,
6.00E-07,57,23336,,,
6.00E-07,6,23366,,,
6.00E-07,46,23369,,,
6.00E-07,61,23384,,,
6.00E-07,38,23385,,,
6.00E-07,30,23392,,,
6.00E-07,64,23392,,,
6.00E-07,46,23393,,,
8.00E-07,5,23398,,,
1.00E-06,5,23398,,,
8.00E-07,64,23398,,,
6.00E-07,31,23403,,,
6.00E-07,21,23409,,,
6.00E-07,37,23415,,,
6.00E-07,5,23453,,,
7.00E-07,69,23465,,,
6.00E-07,69,23468,,,
6.00E-07,3,23473,,,
1.40E-06,56,23501,,,
6.00E-07,52,23505,,,
7.00E-07,61,23518,,,
2.10E-06,25,23576,,,
6.00E-07,69,23592,,,
6.00E-07,8,23593,,,
6.00E-07,30,23616,,,
7.00E-07,67,23632,,,
6.00E-07,12,23641,,,
6.00E-07,18,23652,,,
6.00E-07,26,23658,,,
6.00E-07,66,23671,,,
7.00E-07,58,23680,,,
6.00E-07,21,23699,,,
6.00E-07,11,23708,,,
6.00E-07,41,23719,,,
6.00E-07,43,23718,,,
6.00E-07,36,23740,,,
7.00E-07,8,23760,,,
6.00E-07,43,23762,,,
6.00E-07,61,23766,,,
6.00E-07,30,23779,,,
6.00E-07,58,23785,,,
6.00E-07,25,23784,,,
7.00E-07,70,23792,,,
6.00E-07,44,23791,,,
6.00E-07,21,23791,,,
7.00E-07,4,23791,,,
6.00E-07,3,23806,,,
6.00E-07,3,23818,,,
6.00E-07,3,23822,,,
6.00E-07,34,23824,,,
1.20E-06,45,23833,,,
8.00E-07,56,23837,,,
6.00E-07,2,23838,,,
5.00E-07,36,23838,,,
9.00E-07,42,23860,,,
1.00E-06,18,23860,,,
9.00E-07,18,23865,,,
7.00E-07,45,23868,,,
1.90E-06,1,23868,,,
9.00E-07,70,23874,,,
6.00E-07,16,23903,,,
6.00E-07,16,23903,,,
6.00E-07,16,23906,,,
6.00E-07,67,23906,,,
6.00E-07,25,23912,,,
6.00E-07,5,23916,,,
6.00E-07,47,23921,,,
6.00E-07,47,23921,,,
7.00E-07,15,23947,,,
7.00E-07,42,23966,,,
6.00E-07,19,23984,,,
6.00E-07,39,24004,,,
6.00E-07,18,24012,,,
6.00E-07,8,24013,,,
6.00E-07,6,24016,,,
6.00E-07,36,24059,,,
6.00E-07,40,24061,,,
6.00E-07,44,24099,,,
6.00E-07,24,24119,,,
6.00E-07,3,24120,,,
6.00E-07,26,24123,,,
6.00E-07,23,24130,,,
6.00E-07,61,24134,,,
6.00E-07,54,24142,,,
6.00E-07,1,24154,,,
6.00E-07,1,24156,,,
6.00E-07,53,24163,,,
6.00E-07,19,24171,,,
6.00E-07,40,24183,,,
6.00E-07,23,24183,,,
6.00E-07,51,24192,,,
6.00E-07,11,24202,,,
6.00E-07,29,24208,,,
6.00E-07,52,24211,,,
7.00E-07,6,24212,,,
6.00E-07,43,24217,,,
6.00E-07,40,24219,,,
6.00E-07,24,24238,,,
6.00E-07,24,24241,,,
6.00E-07,62,24276,,,
6.00E-07,62,24285,,,
6.00E-07,62,24286,,,
6.00E-07,25,24306,,,
6.00E-07,66,24308,,,
6.00E-07,66,24309,,,
7.00E-07,53,24355,,,
6.00E-07,46,24355,,,
6.00E-07,56,24362,,,
6.00E-07,47,24361,,,
6.00E-07,56,24363,,,
6.00E-07,47,24362,,,
6.00E-07,19,24380,,,
6.00E-07,62,24382,,,
6.00E-07,38,24383,,,
6.00E-07,38,24385,,,
6.00E-07,51,24408,,,
7.00E-07,49,24427,,,
6.00E-07,37,24450,,,
6.00E-07,2,24462,,,
6.00E-07,26,24464,,,
6.00E-07,62,24469,,,
6.00E-07,43,24480,,,
6.00E-07,34,24487,,,
6.00E-07,25,24502,,,
6.00E-07,64,24502,,,
6.00E-07,36,24541,,,
5.00E-07,22,24542,,,
6.00E-07,21,24554,,,
6.00E-07,47,24572,,,
6.00E-07,57,24574,,,
6.00E-07,57,24575,,,
8.00E-07,57,24577,,,
6.00E-07,16,24580,,,
6.00E-07,11,24591,,,
6.00E-07,58,24609,,,
6.00E-07,5,24613,,,
6.00E-07,2,24624,,,
6.00E-07,8,24630,,,
6.00E-07,7,24642,,,
6.00E-07,19,24660,,,
6.00E-07,21,24668,,,
6.00E-07,34,24686,,,
6.00E-07,33,24703,,,
6.00E-07,23,24716,,,
6.00E-07,23,24721,,,
6.00E-07,5,24720,,,
6.00E-07,58,24721,,,
