cas operacie,vybrane cislo,velkost frontu,,,
1.30E-06,35,20551,,,
1.40E-06,70,20556,,,
1.40E-06,49,20561,,,
1.30E-06,22,20560,,,
1.40E-06,7,20561,,,
1.30E-06,70,20562,,,
1.80E-06,39,20565,,,
1.40E-06,15,20564,,,
2.00E-06,55,20565,,,
1.80E-06,11,20567,,,
1.30E-06,56,20569,,,
1.40E-06,26,20568,,,
1.40E-06,19,20568,,,
1.30E-06,11,20568,,,
1.40E-06,49,20571,,,
1.50E-06,63,20575,,,
2.00E-06,1,20574,,,
1.90E-06,41,20576,,,
2.00E-06,32,20576,,,
1.40E-06,70,20576,,,
2.20E-06,12,20576,,,
2.30E-06,68,20579,,,
2.40E-06,4,20579,,,
2.80E-06,35,20578,,,
2.60E-06,18,20577,,,
1.50E-06,20,20576,,,
3.40E-06,24,20581,,,
3.00E-06,53,20581,,,
2.40E-06,29,20581,,,
3.20E-06,64,20583,,,
3.00E-06,65,20582,,,
3.20E-06,11,20581,,,
3.30E-06,13,20583,,,
1.90E-06,29,20587,,,
2.50E-06,16,20587,,,
2.20E-06,20,20586,,,
2.00E-06,45,20590,,,
2.60E-06,17,20595,,,
1.60E-06,48,20597,,,
1.60E-06,1,20600,,,
1.60E-06,30,20599,,,
1.50E-06,9,20610,,,
1.40E-06,32,20609,,,
1.40E-06,47,20610,,,
1.40E-06,62,20612,,,
1.40E-06,28,20612,,,
1.40E-06,66,20611,,,
1.40E-06,56,20615,,,
1.40E-06,51,20614,,,
1.40E-06,5,20614,,,
1.40E-06,1,20614,,,
1.40E-06,48,20614,,,
1.40E-06,36,20614,,,
1.60E-06,16,20614,,,
1.30E-06,40,20619,,,
1.40E-06,11,20624,,,
1.40E-06,3,20626,,,
1.30E-06,40,20625,,,
1.40E-06,50,20628,,,
1.30E-06,57,20628,,,
1.30E-06,26,20628,,,
1.40E-06,68,20628,,,
1.40E-06,48,20628,,,
1.30E-06,12,20627,,,
1.50E-06,52,20635,,,
1.30E-06,19,20638,,,
1.30E-06,68,20639,,,
1.40E-06,26,20642,,,
1.40E-06,51,20642,,,
1.30E-06,29,20641,,,
1.30E-06,69,20640,,,
1.40E-06,53,20641,,,
1.40E-06,47,20642,,,
1.30E-06,39,20648,,,
1.30E-06,48,20650,,,
1.30E-06,40,20653,,,
1.40E-06,49,20654,,,
2.70E-06,47,20660,,,
2.80E-06,46,20663,,,
2.20E-06,37,20664,,,
1.50E-06,11,20670,,,
1.40E-06,6,20676,,,
1.30E-06,20,20679,,,
1.30E-06,9,20678,,,
1.30E-06,20,20681,,,
1.40E-06,36,20682,,,
1.40E-06,50,20684,,,
1.40E-06,31,20686,,,
1.40E-06,66,20691,,,
1.40E-06,27,20691,,,
1.40E-06,24,20690,,,
1.70E-06,15,20694,,,
1.40E-06,9,20700,,,
1.30E-06,19,20700,,,
1.40E-06,64,20706,,,
1.40E-06,28,20715,,,
1.40E-06,63,20715,,,
1.30E-06,61,20725,,,
1.40E-06,26,20725,,,
1.30E-06,8,20725,,,
1.30E-06,31,20729,,,
1.40E-06,62,20734,,,
1.40E-06,55,20734,,,
1.40E-06,9,20734,,,
1.40E-06,10,20734,,,
1.40E-06,17,20740,,,
1.30E-06,15,20740,,,
1.40E-06,55,20741,,,
1.30E-06,69,20740,,,
1.40E-06,45,20741,,,
1.40E-06,32,20744,,,
1.30E-06,47,20744,,,
1.40E-06,22,20743,,,
1.30E-06,34,20742,,,
1.40E-06,27,20746,,,
1.50E-06,51,20748,,,
1.40E-06,13,20749,,,
1.30E-06,64,20748,,,
1.30E-06,10,20747,,,
1.30E-06,23,20746,,,
1.30E-06,45,20756,,,
1.40E-06,65,20759,,,
1.30E-06,7,20780,,,
1.40E-06,16,20780,,,
1.30E-06,52,20780,,,
1.30E-06,56,20779,,,
1.30E-06,12,20785,,,
1.20E-06,35,20785,,,
1.30E-06,30,20787,,,
1.30E-06,53,20788,,,
1.30E-06,50,20790,,,
1.30E-06,12,20791,,,
1.30E-06,23,20792,,,
1.30E-06,17,20792,,,
1.40E-06,57,20791,,,
1.30E-06,38,20790,,,
1.30E-06,49,20790,,,
1.70E-06,66,20797,,,
1.40E-06,1,20807,,,
1.30E-06,47,20806,,,
1.30E-06,64,20806,,,
1.30E-06,33,20806,,,
1.30E-06,20,20805,,,
1.40E-06,57,20807,,,
1.30E-06,1,20808,,,
1.30E-06,5,20807,,,
1.30E-06,17,20806,,,
1.30E-06,21,20805,,,
1.40E-06,19,20806,,,
1.30E-06,30,20814,,,
1.30E-06,68,20815,,,
1.40E-06,70,20818,,,
1.40E-06,3,20817,,,
1.50E-06,52,20817,,,
1.30E-06,61,20818,,,
1.40E-06,69,20820,,,
1.30E-06,1,20828,,,
1.40E-06,61,20828,,,
1.40E-06,28,20828,,,
1.30E-06,69,20828,,,
1.30E-06,52,20828,,,
1.30E-06,9,20828,,,
3.70E-06,34,20834,,,
2.20E-06,62,20833,,,
3.40E-06,16,20834,,,
2.20E-06,44,20834,,,
2.90E-06,61,20835,,,
2.00E-06,58,20835,,,
2.50E-06,9,20847,,,
2.20E-06,30,20848,,,
1.90E-06,9,20848,,,
1.90E-06,53,20848,,,
2.10E-06,51,20847,,,
2.20E-06,29,20849,,,
2.30E-06,15,20853,,,
2.70E-06,67,20855,,,
2.40E-06,65,20857,,,
2.20E-06,6,20857,,,
2.20E-06,16,20860,,,
2.40E-06,8,20860,,,
2.60E-06,14,20859,,,
2.30E-06,55,20868,,,
2.20E-06,3,20869,,,
2.50E-06,38,20871,,,
2.60E-06,4,20871,,,
1.70E-06,4,20879,,,
1.30E-06,67,20884,,,
1.30E-06,19,20889,,,
1.30E-06,65,20889,,,
1.30E-06,22,20889,,,
1.40E-06,58,20890,,,
1.40E-06,42,20889,,,
1.40E-06,58,20888,,,
1.30E-06,68,20887,,,
1.30E-06,10,20886,,,
1.30E-06,13,20885,,,
1.40E-06,15,20884,,,
1.30E-06,42,20886,,,
1.50E-06,7,20885,,,
1.30E-06,3,20885,,,
1.50E-06,48,20884,,,
1.30E-06,41,20887,,,
1.40E-06,69,20886,,,
1.40E-06,22,20886,,,
1.40E-06,53,20885,,,
1.30E-06,35,20884,,,
1.40E-06,7,20886,,,
1.40E-06,18,20885,,,
1.40E-06,7,20889,,,
1.30E-06,68,20893,,,
1.30E-06,70,20898,,,
1.40E-06,38,20898,,,
1.40E-06,63,20898,,,
1.40E-06,10,20898,,,
1.40E-06,22,20901,,,
1.40E-06,4,20901,,,
1.30E-06,63,20903,,,
1.30E-06,22,20904,,,
1.30E-06,32,20903,,,
1.40E-06,31,20903,,,
1.40E-06,8,20904,,,
1.40E-06,11,20908,,,
1.30E-06,2,20909,,,
1.30E-06,44,20908,,,
1.40E-06,61,20910,,,
1.40E-06,68,20911,,,
1.30E-06,20,20911,,,
1.40E-06,67,20911,,,
1.30E-06,41,20912,,,
1.40E-06,34,20911,,,
1.40E-06,7,20910,,,
1.40E-06,15,20912,,,
1.30E-06,13,20912,,,
1.40E-06,40,20917,,,
1.30E-06,21,20922,,,
1.40E-06,19,20924,,,
1.50E-06,28,20923,,,
1.40E-06,33,20924,,,
1.30E-06,1,20925,,,
1.30E-06,32,20924,,,
1.30E-06,15,20923,,,
1.30E-06,42,20929,,,
1.30E-06,58,20935,,,
1.30E-06,23,20941,,,
1.30E-06,29,20944,,,
1.40E-06,1,20945,,,
1.40E-06,43,20953,,,
1.60E-06,22,20953,,,
1.30E-06,54,20955,,,
1.40E-06,5,20965,,,
1.40E-06,65,20966,,,
1.40E-06,34,20967,,,
1.30E-06,12,20966,,,
1.30E-06,35,20965,,,
1.30E-06,35,20965,,,
1.40E-06,27,20966,,,
1.40E-06,32,20966,,,
1.30E-06,15,20966,,,
1.30E-06,55,20969,,,
1.40E-06,39,20969,,,
1.40E-06,39,20975,,,
1.30E-06,15,20977,,,
1.50E-06,31,20991,,,
1.30E-06,48,20993,,,
1.40E-06,1,20996,,,
1.30E-06,55,20996,,,
1.30E-06,20,20997,,,
1.30E-06,58,20997,,,
1.30E-06,7,21006,,,
1.40E-06,22,21016,,,
1.30E-06,11,21016,,,
1.30E-06,51,21023,,,
1.40E-06,28,21025,,,
1.30E-06,60,21025,,,
1.30E-06,42,21035,,,
1.30E-06,60,21037,,,
1.30E-06,66,21036,,,
1.30E-06,41,21041,,,
1.20E-06,52,21040,,,
1.30E-06,1,21039,,,
1.30E-06,30,21040,,,
1.30E-06,62,21039,,,
1.40E-06,41,21039,,,
1.40E-06,70,21044,,,
1.40E-06,46,21044,,,
1.30E-06,44,21043,,,
1.30E-06,40,21051,,,
1.30E-06,4,21050,,,
1.30E-06,41,21052,,,
1.30E-06,60,21051,,,
1.40E-06,26,21051,,,
1.30E-06,53,21052,,,
1.30E-06,55,21051,,,
1.30E-06,64,21058,,,
1.30E-06,46,21058,,,
1.30E-06,5,21058,,,
1.30E-06,58,21057,,,
1.30E-06,62,21062,,,
1.30E-06,64,21067,,,
1.30E-06,26,21066,,,
1.30E-06,7,21065,,,
1.30E-06,6,21068,,,
1.40E-06,45,21071,,,
1.30E-06,23,21070,,,
1.30E-06,65,21073,,,
1.30E-06,17,21074,,,
1.30E-06,55,21081,,,
1.40E-06,38,21080,,,
1.30E-06,17,21083,,,
1.30E-06,69,21086,,,
1.30E-06,49,21087,,,
1.30E-06,1,21086,,,
1.30E-06,56,21085,,,
1.30E-06,20,21087,,,
1.20E-06,27,21086,,,
1.20E-06,40,21088,,,
1.20E-06,45,21088,,,
1.30E-06,62,21089,,,
1.30E-06,70,21090,,,
1.80E-06,24,21092,,,
1.30E-06,41,21094,,,
1.60E-06,26,21110,,,
1.30E-06,12,21109,,,
1.40E-06,45,21110,,,
1.50E-06,36,21116,,,
1.40E-06,57,21118,,,
1.40E-06,24,21124,,,
1.40E-06,44,21123,,,
1.80E-06,27,21124,,,
1.60E-06,35,21124,,,
2.30E-06,44,21127,,,
2.10E-06,46,21129,,,
1.40E-06,21,21129,,,
1.30E-06,55,21129,,,
2.90E-06,64,21134,,,
2.40E-06,12,21133,,,
1.90E-06,40,21132,,,
2.90E-06,3,21139,,,
3.10E-06,1,21141,,,
1.60E-06,63,21143,,,
1.30E-06,26,21144,,,
1.30E-06,55,21143,,,
1.30E-06,67,21147,,,
1.30E-06,68,21151,,,
1.30E-06,51,21153,,,
1.40E-06,44,21157,,,
1.30E-06,35,21156,,,
1.30E-06,54,21161,,,
1.40E-06,20,21170,,,
1.30E-06,28,21174,,,
1.30E-06,38,21175,,,
1.40E-06,14,21182,,,
1.30E-06,35,21187,,,
1.50E-06,4,21188,,,
1.30E-06,64,21188,,,
2.30E-06,40,21190,,,
1.60E-06,63,21189,,,
1.50E-06,27,21196,,,
2.30E-06,41,21199,,,
1.90E-06,36,21201,,,
1.40E-06,7,21202,,,
1.70E-06,34,21207,,,
1.40E-06,32,21213,,,
1.40E-06,65,21218,,,
1.30E-06,28,21220,,,
1.30E-06,58,21219,,,
1.30E-06,25,21219,,,
1.30E-06,50,21219,,,
1.30E-06,25,21227,,,
1.50E-06,69,21234,,,
1.30E-06,54,21238,,,
1.30E-06,31,21237,,,
1.30E-06,30,21236,,,
1.30E-06,11,21250,,,
1.30E-06,47,21251,,,
1.40E-06,53,21251,,,
1.40E-06,43,21251,,,
1.30E-06,29,21251,,,
1.30E-06,6,21252,,,
1.30E-06,6,21262,,,
1.30E-06,38,21264,,,
1.30E-06,44,21268,,,
1.40E-06,60,21267,,,
1.40E-06,29,21270,,,
1.30E-06,35,21272,,,
1.40E-06,40,21272,,,
1.30E-06,42,21276,,,
1.30E-06,59,21281,,,
1.20E-06,61,21281,,,
1.30E-06,62,21285,,,
1.30E-06,64,21285,,,
1.30E-06,34,21286,,,
1.30E-06,41,21287,,,
1.30E-06,26,21303,,,
1.30E-06,5,21302,,,
1.30E-06,60,21303,,,
1.30E-06,15,21302,,,
