cas operacie,vybrane cislo,velkost frontu,,,
0.000272,42,196,,,
0.0002647,11,198,,,
0.0002623,42,197,,,
0.0013531,9,196,,,
0.0003642,40,195,,,
0.0002723,16,195,,,
0.0002634,37,195,,,
0.0002586,44,194,,,
0.0002601,2,196,,,
0.0002721,17,195,,,
0.0002697,44,194,,,
0.0002733,31,194,,,
0.0002556,42,196,,,
0.0005979,45,195,,,
0.0002775,5,194,,,
0.0003407,29,193,,,
0.0002528,2,194,,,
0.0002052,32,194,,,
0.0002625,7,207,,,
0.0004039,32,207,,,
0.0002389,7,206,,,
0.0002427,7,206,,,
0.000235,15,205,,,
0.0002593,49,211,,,
0.0002582,30,212,,,
0.0002555,34,216,,,
0.0002545,4,215,,,
0.0002598,28,214,,,
0.0002571,46,213,,,
0.0002726,48,212,,,
0.0002688,37,215,,,
0.0002678,11,216,,,
0.0002803,15,219,,,
0.0002687,1,218,,,
0.0003371,34,217,,,
0.0002813,10,217,,,
0.0002665,42,216,,,
0.0004045,30,217,,,
0.0004238,47,216,,,
0.0002586,29,215,,,
0.000232,32,214,,,
0.0002608,14,217,,,
0.0002574,14,216,,,
0.0002778,1,215,,,
0.0003693,45,218,,,
0.0003316,43,220,,,
0.0003212,33,222,,,
0.0002934,11,221,,,
0.0002331,30,221,,,
0.0004734,31,221,,,
0.0002954,42,221,,,
0.0011006,34,224,,,
0.0003285,15,224,,,
0.0006415,50,227,,,
0.0002343,33,228,,,
0.0003249,3,230,,,
0.0002552,44,233,,,
0.0002477,23,235,,,
0.0003035,50,236,,,
0.0002817,29,237,,,
0.0002896,48,236,,,
0.0004899,48,236,,,
0.000256,16,235,,,
0.0002478,36,242,,,
0.0002434,29,241,,,
0.0002404,37,243,,,
0.0002412,2,242,,,
0.0002778,12,244,,,
0.0002677,7,247,,,
0.0002622,44,249,,,
0.0002633,15,248,,,
0.0006504,28,248,,,
0.0002488,18,247,,,
0.0002445,26,251,,,
0.0006175,31,250,,,
0.0002467,45,251,,,
0.0002431,27,256,,,
0.0002492,17,259,,,
0.0002445,14,258,,,
0.0002464,43,258,,,
0.0002446,44,257,,,
0.0002423,12,258,,,
0.0002458,38,257,,,
0.0002475,22,257,,,
0.0002565,50,258,,,
0.0003977,48,257,,,
0.0002696,8,256,,,
0.0002401,22,258,,,
0.0002433,21,258,,,
0.0002473,49,260,,,
0.0002518,29,262,,,
0.0002459,26,261,,,
0.0002442,37,261,,,
0.000244,34,265,,,
0.0002472,37,264,,,
0.0002449,40,264,,,
0.0002444,31,267,,,
0.0002583,21,267,,,
0.0002681,40,269,,,
0.0002521,11,268,,,
0.0002686,12,267,,,
0.0002685,31,267,,,
0.0002489,48,270,,,
