cas operacie,vlozene cislo,priorita,velkost frontu,,,
5.02E-05,43,8344,93,,,
0.0001912,47,2226,94,,,
5.89E-05,26,7665,94,,,
5.81E-05,31,3787,93,,,
5.43E-05,24,4589,90,,,
5.42E-05,47,6227,91,,,
4.19E-05,6,5291,91,,,
0.0001682,45,3469,88,,,
6.53E-05,17,4991,89,,,
5.95E-05,6,7375,90,,,
4.94E-05,14,6263,91,,,
4.99E-05,47,9620,92,,,
4.79E-05,26,7846,90,,,
5.00E-05,35,8509,88,,,
7.22E-05,20,4935,87,,,
0.0002156,32,1713,88,,,
7.10E-05,1,9067,89,,,
5.74E-05,42,4725,89,,,
0.0002532,11,773,90,,,
5.19E-05,42,6128,90,,,
0.0004863,38,207,91,,,
6.70E-05,18,7316,92,,,
5.89E-05,42,3633,92,,,
5.99E-05,11,6489,93,,,
5.77E-05,2,3972,94,,,
5.83E-05,2,5579,95,,,
5.30E-05,22,4584,95,,,
3.92E-05,40,9153,95,,,
0.0001079,16,1735,96,,,
3.91E-05,34,5507,97,,,
3.88E-05,49,2930,98,,,
3.94E-05,46,3062,98,,,
0.0001451,40,9598,96,,,
7.00E-05,35,4452,97,,,
6.91E-05,17,8730,98,,,
6.44E-05,13,3736,96,,,
0.0001387,7,1429,96,,,
4.96E-05,2,5824,96,,,
5.11E-05,42,9230,97,,,
0.0003909,42,212,94,,,
5.08E-05,21,9688,95,,,
4.90E-05,4,6062,96,,,
5.68E-05,50,3692,96,,,
5.03E-05,20,8543,97,,,
0.0001377,47,1070,98,,,
4.91E-05,33,4777,99,,,
5.00E-05,17,7221,100,,,
0.0001338,47,1452,101,,,
5.24E-05,39,5394,102,,,
4.85E-05,8,8738,103,,,
4.82E-05,28,3973,103,,,
5.20E-05,7,855,102,,,
4.98E-05,15,7530,103,,,
5.33E-05,1,3152,104,,,
0.0003957,6,172,105,,,
4.91E-05,15,3952,105,,,
5.08E-05,43,1727,106,,,
4.93E-05,16,4448,107,,,
5.03E-05,43,1883,107,,,
4.96E-05,2,6345,107,,,
0.0001369,4,6113,108,,,
5.51E-05,14,7764,106,,,
4.97E-05,21,2702,105,,,
4.61E-05,26,6925,105,,,
4.82E-05,14,3531,106,,,
4.94E-05,14,2013,106,,,
5.07E-05,32,7205,107,,,
5.11E-05,26,7224,107,,,
5.12E-05,46,4833,107,,,
0.0001381,37,3556,108,,,
5.10E-05,4,7458,108,,,
5.00E-05,34,6998,109,,,
5.06E-05,44,8094,110,,,
