cas operacie,index prvku,dlzka zoznamu,,,,,,,
0.0001222,0,38,,,,,0.0000844,0,1
0.0001701,0,38,,,,,0.0001092,0,1
0.0003889,0,38,,,,,0.000093,0,1
0.0001708,0,36,,,,,0.0000846,0,1
9.97E-05,0,35,,,,,0.0000839,0,1
0.0001521,0,36,,,,,0.0002575,0,1
0.000176,0,35,,,,,0.000183,0,1
0.0001722,0,36,,,,,0.0000862,0,1
0.0001684,0,35,,,,,0.0000832,0,1
0.0003518,0,39,,,,,0.0000833,0,1
0.0001712,0,37,,,,,0.0000848,0,1
0.0001697,0,36,,,,,0.0000839,0,1
0.0001244,0,34,,,,,0.0000854,0,1
0.0001692,0,31,,,,,0.0000839,0,1
0.0001027,0,34,,,,,0.0000919,0,1
8.87E-05,0,33,,,,,0.0000842,0,1
0.0001257,0,31,,,,,0.0000837,0,1
0.000798,0,31,,,,,0.0000839,0,1
0.0001156,0,31,,,,,0.0000836,0,1
9.38E-05,0,30,,,,,0.0000854,0,1
0.0001284,0,28,,,,,0.0001118,0,1
0.0001351,0,30,,,,,0.0000855,0,1
0.0001083,0,29,,,,,0.0000836,0,1
0.0003313,0,29,,,,,0.0000834,0,1
0.0001282,0,32,,,,,0.000084,0,1
0.0001212,0,34,,,,,0.0000854,0,1
0.0001172,0,33,,,,,0.0000838,0,1
9.31E-05,0,29,,,,,0.0000839,0,1
0.0001149,0,27,,,,,0.0000835,0,1
0.0001244,0,29,,,,,0.0000938,0,1
0.0001187,0,28,,,,,0.0000845,0,1
0.0001398,0,28,,,,,0.000084,0,1
0.0001705,0,28,,,,,0.0000848,0,1
0.0002143,0,28,,,,,0.0000836,0,1
0.000121,0,29,,,,,0.0000843,0,1
0.0001767,0,29,,,,,0.0000837,0,1
8.82E-05,0,27,,,,,0.000093,0,1
8.77E-05,0,25,,,,,0.0000911,0,1
8.97E-05,0,28,,,,,0.0000841,0,1
0.0001704,0,32,,,,,0.0000841,0,1
0.0001225,0,35,,,,,0.0001075,0,1
0.0001277,0,31,,,,,0.0000833,0,1
0.0004063,0,30,,,,,0.0000849,0,1
0.0003719,0,32,,,,,0.0000839,0,1
0.0001732,0,30,,,,,0.0001023,0,1
0.0006443,0,29,,,,,0.0001262,0,1
0.00017,0,33,,,,,0.0000857,0,1
0.0001335,0,33,,,,,0.000085,0,1
0.0001699,0,33,,,,,0.0000877,0,1
0.0001722,0,33,,,,,0.0000842,0,1
0.0001708,0,34,,,,,0.000085,0,1
0.0001578,0,37,,,,,0.0001543,0,1
0.0005071,0,36,,,,,0.0000834,0,1
0.0002488,0,36,,,,,0.0000951,0,1
0.0006314,0,36,,,,,0.000085,0,1
0.0001203,0,37,,,,,0.0001219,0,1
0.0001019,0,35,,,,,0.0001219,0,1
0.0001605,0,32,,,,,0.0000838,0,1
0.0001215,0,42,,,,,0.0000837,0,1
0.0001746,0,41,,,,,0.0000919,0,1
9.74E-05,0,40,,,,,0.0000836,0,1
0.0001689,0,40,,,,,0.0000844,0,1
0.0001754,0,39,,,,,0.0000874,0,1
0.0001732,0,39,,,,,0.0000933,0,1
0.0001712,0,38,,,,,0.0000851,0,1
0.0001256,0,37,,,,,0.0001274,0,1
0.000172,0,35,,,,,0.0000841,0,1
0.0001707,0,33,,,,,0.0000849,0,1
9.20E-05,0,35,,,,,0.0000837,0,1
0.0001694,0,35,,,,,0.000085,0,1
0.0002738,0,34,,,,,0.0000923,0,1
0.0001693,0,36,,,,,0.0000843,0,1
0.0001696,0,37,,,,,0.0001801,0,1
0.0001533,0,40,,,,,0.0000839,0,1
0.0001935,0,40,,,,,0.0005686,0,1
9.39E-05,0,40,,,,,0.000084,0,1
9.08E-05,0,41,,,,,0.0000857,0,1
0.0002876,0,42,,,,,0.0000849,0,1
0.0001699,0,44,,,,,0.000107,0,1
0.0008179,0,41,,,,,0.0000834,0,1
0.0001679,0,41,,,,,0.0000852,0,1
0.0001695,0,41,,,,,0.000095,0,1
0.0001732,0,43,,,,,0.0000834,0,1
0.0001089,0,42,,,,,0.0000829,0,1
0.0001693,0,41,,,,,0.0000913,0,1
0.0001707,0,43,,,,,0.00009,0,1
0.000121,0,41,,,,,0.0000845,0,1
0.0001699,0,40,,,,,0.0000837,0,1
0.0001733,0,40,,,,,0.000087,0,1
0.0001227,0,37,,,,,0.0000844,0,1
0.0001167,0,35,,,,,0.0000836,0,1
0.0001723,0,39,,,,,0.0000839,0,1
0.0001701,0,38,,,,,0.000084,0,1
0.000657,0,39,,,,,0.0000835,0,1
0.0001127,0,40,,,,,0.0000837,0,1
0.0001862,0,40,,,,,0.0000892,0,1
0.0001126,0,39,,,,,0.0000886,0,1
0.0001281,0,37,,,,,0.0000835,0,1
0.0006307,0,36,,,,,0.0000832,0,1
0.0001049,0,34,,,,,0.0000934,0,1
0.0001491,0,34,,,,,0.000084,0,1
0.0001157,0,33,,,,,0.0000839,0,1
0.0007723,0,32,,,,,0.0000835,0,1
0.0005281,0,32,,,,,0.0001026,0,1
0.0001229,0,32,,,,,0.000094,0,1
0.0001705,0,33,,,,,0.000084,0,1
8.78E-05,0,32,,,,,0.0000853,0,1
0.0001629,0,35,,,,,0.0000838,0,1
0.0001982,0,35,,,,,0.0001601,0,1
0.0001057,0,35,,,,,0.000084,0,1
0.0007263,0,39,,,,,0.0000844,0,1
9.21E-05,0,39,,,,,0.0000837,0,1
0.0001082,0,38,,,,,0.0000933,0,1
0.0001767,0,37,,,,,0.0000841,0,1
0.000314,0,42,,,,,0.0000875,0,1
0.000117,0,40,,,,,0.000084,0,1
0.0002129,0,40,,,,,0.0000844,0,1
