cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,
4.12E-05,10,0,9,,
2.81E-05,75,2,9,,
2.81E-05,48,6,10,,
3.93E-05,64,6,9,,
3.26E-05,64,8,12,,
3.05E-05,64,8,12,,
2.82E-05,53,0,11,,
2.85E-05,75,4,13,,
2.79E-05,16,0,12,,
3.92E-05,15,6,12,,
2.91E-05,12,1,12,,
3.18E-05,15,7,13,,
4.21E-05,64,8,13,,
3.63E-05,52,5,14,,
2.81E-05,15,8,13,,
2.82E-05,52,6,14,,
2.82E-05,64,7,11,,
3.83E-05,64,7,11,,
2.82E-05,75,5,11,,
3.80E-05,54,5,10,,
3.64E-05,59,3,12,,
2.88E-05,70,4,12,,
2.81E-05,59,3,12,,
2.80E-05,6,10,12,,
4.03E-05,1,2,12,,
3.99E-05,70,9,13,,
4.19E-05,70,9,12,,
0.00016,59,3,12,,
2.79E-05,1,11,15,,
2.79E-05,70,8,15,,
2.79E-05,18,6,15,,
2.80E-05,64,5,15,,
2.87E-05,64,5,15,,
2.80E-05,13,12,14,,
2.81E-05,9,0,14,,
2.88E-05,9,0,14,,
2.83E-05,64,5,13,,
2.80E-05,65,1,13,,
2.65E-05,89,4,12,,
4.01E-05,65,1,11,,
3.99E-05,59,2,11,,
3.85E-05,50,6,10,,
2.80E-05,50,5,9,,
2.83E-05,55,4,8,,
2.82E-05,6,5,8,,
7.23E-05,10,0,7,,
4.45E-05,59,1,7,,
2.81E-05,6,3,6,,
3.12E-05,13,5,7,,
2.82E-05,9,5,7,,
9.76E-05,80,3,6,,
3.81E-05,11,1,6,,
3.49E-05,48,2,6,,
4.17E-05,11,1,8,,
0.0002065,57,3,7,,
3.22E-05,6,4,7,,
3.35E-05,48,2,7,,
0.0001093,80,2,9,,
0.000199,6,5,8,,
4.36E-05,11,2,7,,
3.10E-05,20,2,8,,
0.0001269,46,3,6,,
4.29E-05,13,0,6,,
4.28E-05,13,0,6,,
4.01E-05,49,0,3,,
0.0001723,49,0,2,,
3.73E-05,43,0,2,,
3.95E-05,43,0,2,,
9.59E-05,11,1,3,,
4.74E-05,84,2,4,,
4.40E-05,18,0,5,,
0.0001789,80,1,5,,
5.83E-05,44,1,5,,
2.90E-05,74,2,5,,
3.21E-05,44,1,5,,
0.0001281,1,1,6,,
0.0001146,4,3,5,,
4.04E-05,1,1,5,,
3.47E-05,41,2,4,,
4.00E-05,41,2,4,,
4.15E-05,73,1,5,,
3.36E-05,4,1,4,,
0.0002232,84,2,4,,
