cas operacie,index prvku,dlzka zoznamu,,,,,,
3.72E-05,32,32,,,,0.0000288,1,1
2.98E-05,33,33,,,,0.0000357,1,1
2.92E-05,35,35,,,,0.0000361,1,1
3.01E-05,39,39,,,,0.0000296,1,1
3.96E-05,38,38,,,,0.0000317,1,1
2.91E-05,35,35,,,,0.000025,1,1
4.19E-05,36,36,,,,0.000026,1,1
3.78E-05,35,35,,,,0.0000255,1,1
3.26E-05,40,40,,,,0.0000393,1,1
2.85E-05,39,39,,,,0.0000248,1,1
3.13E-05,38,38,,,,0.0000262,1,1
2.86E-05,33,33,,,,0.0000263,1,1
2.86E-05,32,32,,,,0.0000304,1,1
2.82E-05,32,32,,,,0.0000248,1,1
3.23E-05,31,31,,,,0.0000248,1,1
2.90E-05,33,33,,,,0.0000247,1,1
3.19E-05,32,32,,,,0.0000248,1,1
2.82E-05,31,31,,,,0.0000247,1,1
3.92E-05,31,31,,,,0.0000258,1,1
0.0002705,32,32,,,,0.0000247,1,1
0.0001554,33,33,,,,0.0000249,1,1
4.77E-05,32,32,,,,0.0000303,1,1
4.99E-05,30,30,,,,0.0001323,1,1
3.38E-05,30,30,,,,0.0000381,1,1
0.0003527,32,32,,,,0.0000263,1,1
0.0004056,35,35,,,,0.0000259,1,1
4.09E-05,33,33,,,,0.0000296,1,1
4.08E-05,34,34,,,,0.0000263,1,1
4.22E-05,33,33,,,,0.0000271,1,1
4.15E-05,33,33,,,,0.0000247,1,1
0.0001571,35,35,,,,0.0000251,1,1
4.43E-05,34,34,,,,0.0000321,1,1
4.28E-05,32,32,,,,0.0000266,1,1
3.87E-05,29,29,,,,0.0000301,1,1
0.0001187,29,29,,,,0.0000355,1,1
2.84E-05,28,28,,,,0.0000261,1,1
2.80E-05,29,29,,,,0.0000248,1,1
2.84E-05,29,29,,,,0.0000246,1,1
2.90E-05,29,29,,,,0.0000245,1,1
4.12E-05,28,28,,,,0.0000247,1,1
3.81E-05,28,28,,,,0.0000352,1,1
3.15E-05,26,26,,,,0.000025,1,1
3.28E-05,26,26,,,,0.0000245,1,1
3.93E-05,27,27,,,,0.0000255,1,1
3.27E-05,28,28,,,,0.0000262,1,1
3.42E-05,28,28,,,,0.0000246,1,1
2.85E-05,27,27,,,,0.0000264,1,1
2.86E-05,26,26,,,,0.0000386,1,1
3.20E-05,36,36,,,,0.0000247,1,1
4.33E-05,35,35,,,,0.000026,1,1
2.84E-05,32,32,,,,0.0000258,1,1
3.32E-05,31,31,,,,0.0006009,1,1
2.84E-05,31,31,,,,0.0000247,1,1
3.30E-05,32,32,,,,0.0000296,1,1
2.89E-05,29,29,,,,0.0000245,1,1
3.72E-05,32,32,,,,0.000026,1,1
3.58E-05,31,31,,,,0.0000259,1,1
3.42E-05,32,32,,,,0.0000246,1,1
3.35E-05,32,32,,,,0.0000408,1,1
5.04E-05,34,34,,,,0.0000245,1,1
2.86E-05,34,34,,,,0.0000316,1,1
2.82E-05,32,32,,,,0.000026,1,1
2.85E-05,33,33,,,,0.0000258,1,1
2.87E-05,32,32,,,,0.0000484,1,1
2.90E-05,34,34,,,,0.0000249,1,1
3.87E-05,38,38,,,,0.0000264,1,1
3.76E-05,37,37,,,,0.0000251,1,1
3.70E-05,37,37,,,,0.0000297,1,1
2.98E-05,36,36,,,,0.0000256,1,1
4.33E-05,38,38,,,,0.000026,1,1
4.25E-05,34,34,,,,0.0000318,1,1
4.55E-05,32,32,,,,0.000025,1,1
4.29E-05,43,43,,,,0.0000256,1,1
4.26E-05,42,42,,,,0.0000265,1,1
2.84E-05,42,42,,,,0.0000256,1,1
2.83E-05,40,40,,,,0.0000246,1,1
3.31E-05,39,39,,,,0.0000246,1,1
3.07E-05,37,37,,,,0.000027,1,1
0.0001015,35,35,,,,0.0000244,1,1
3.38E-05,34,34,,,,0.0000356,1,1
3.76E-05,34,34,,,,0.0000246,1,1
3.93E-05,33,33,,,,0.0000249,1,1
3.08E-05,36,36,,,,0.0000252,1,1
3.29E-05,34,34,,,,0.0000259,1,1
3.23E-05,36,36,,,,0.0000247,1,1
2.83E-05,35,35,,,,0.0000247,1,1
2.86E-05,34,34,,,,0.0000247,1,1
0.0001332,42,42,,,,0.0000252,1,1
3.96E-05,42,42,,,,0.0000328,1,1
5.03E-05,43,43,,,,0.0000252,1,1
3.57E-05,42,42,,,,0.0000279,1,1
2.88E-05,44,44,,,,0.0000249,1,1
3.08E-05,46,46,,,,0.0000249,1,1
2.86E-05,45,45,,,,0.0000248,1,1
4.38E-05,45,45,,,,0.0000247,1,1
3.11E-05,44,44,,,,0.000025,1,1
5.19E-05,41,41,,,,0.0000294,1,1
3.77E-05,43,43,,,,0.0000246,1,1
2.86E-05,42,42,,,,0.0000255,1,1
3.68E-05,40,40,,,,0.0000263,1,1
2.82E-05,40,40,,,,0.0000283,1,1
2.81E-05,39,39,,,,0.000025,1,1
4.08E-05,36,36,,,,0.0000253,1,1
0.0001057,36,36,,,,0.0000251,1,1
