cas operacie,cislo,index prvku,dlzka zoznamu,,
0.0000425,54,6,12,,
0.0000403,83,10,12,,
0.0000286,82,3,12,,
0.00003,75,3,12,,
0.0000282,90,2,11,,
0.0000297,56,0,11,,
0.0000287,59,4,11,,
0.0000326,70,5,11,,
0.0000319,73,5,10,,
0.0000287,59,2,10,,
0.0000287,50,6,10,,
0.0000322,70,7,12,,
0.000032,79,8,11,,
0.0000308,66,8,11,,
0.0000312,48,4,12,,
0.0000758,57,0,12,,
0.0000441,52,4,12,,
0.0001097,70,9,12,,
0.0000417,48,2,12,,
0.0000383,82,0,12,,
0.0006024,66,4,12,,
0.0000332,58,2,12,,
0.0000293,46,4,16,,
0.000028,47,4,15,,
0.0000284,89,4,15,,
0.0000281,64,3,15,,
0.0000322,61,13,15,,
0.000029,80,2,14,,
0.0000281,65,2,14,,
0.000033,63,11,14,,
0.0000408,66,1,11,,
0.000038,44,5,10,,
0.0000287,55,4,9,,
0.0005015,77,4,8,,
0.0000317,82,0,7,,
0.0000313,86,0,6,,
0.0000414,41,1,6,,
0.0000286,68,1,7,,
0.0000285,42,4,7,,
0.0000386,84,5,7,,
0.0000282,48,2,6,,
0.0000404,80,3,6,,
0.0000421,44,3,6,,
0.0000412,80,0,6,,
0.0000397,60,4,6,,
0.0001853,57,3,6,,
0.0001713,42,0,10,,
0.0009394,82,0,8,,
0.0000434,44,4,8,,
0.0006724,52,5,8,,
0.0000443,53,6,8,,
0.0000331,46,2,5,,
0.0002734,90,2,6,,
0.0006343,60,1,6,,
0.0000418,75,0,4,,
0.0005115,49,0,3,,
0.0004433,43,0,2,,
0.0000455,80,0,3,,
0.0005145,84,1,3,,
0.0000451,82,4,7,,
0.0000315,81,5,7,,
0.0000435,70,3,7,,
0.0000709,74,2,7,,
0.0000317,74,1,7,,
0.0000283,54,3,7,,
0.0000285,84,4,7,,
0.0000403,44,2,9,,
0.0000438,66,0,5,,
0.0000379,63,3,6,,
0.0000401,77,3,6,,
0.000038,52,2,6,,
