cas operacie,index prvku,dlzka zoznamu,,,
1.80E-05,6,12,,,
1.78E-05,1,12,,,
1.81E-05,6,8,,,
1.76E-05,2,7,,,
1.77E-05,1,6,,,
1.79E-05,1,6,,,
1.80E-05,3,7,,,
1.03E-05,0,1,,,
1.97E-05,2,3,,,
1.04E-05,0,1,,,
1.02E-05,0,0,,,
1.77E-05,5,7,,,
2.20E-05,5,7,,,
1.81E-05,3,9,,,
1.82E-05,6,7,,,
2.16E-05,4,8,,,
1.54E-05,0,7,,,
2.57E-05,4,6,,,
2.07E-05,0,6,,,
1.91E-05,3,5,,,
1.79E-05,1,5,,,
1.81E-05,1,3,,,
1.76E-05,1,3,,,
1.80E-05,1,11,,,
2.51E-05,6,11,,,
1.79E-05,12,13,,,
1.81E-05,7,12,,,
1.78E-05,9,13,,,
1.79E-05,5,12,,,
1.89E-05,8,12,,,
1.86E-05,2,11,,,
2.60E-05,3,15,,,
1.86E-05,12,15,,,
1.77E-05,16,17,,,
1.80E-05,6,20,,,
2.61E-05,1,22,,,
7.45E-05,4,20,,,
1.89E-05,9,20,,,
1.89E-05,16,21,,,
1.88E-05,17,23,,,
9.34E-05,4,25,,,
2.19E-05,5,24,,,
2.06E-05,19,24,,,
3.10E-05,8,24,,,
1.89E-05,16,19,,,
2.59E-05,1,16,,,
1.89E-05,15,17,,,
1.86E-05,3,16,,,
2.01E-05,11,17,,,
2.29E-05,4,13,,,
1.86E-05,3,12,,,
1.90E-05,7,12,,,
1.14E-05,0,10,,,
2.62E-05,7,14,,,
1.90E-05,6,12,,,
1.86E-05,9,10,,,
1.88E-05,3,10,,,
1.86E-05,4,9,,,
1.91E-05,5,11,,,
1.85E-05,6,9,,,
2.53E-05,4,8,,,
3.89E-05,3,4,,,
3.91E-05,1,2,,,
3.81E-05,1,2,,,
1.09E-05,0,0,,,
1.12E-05,0,0,,,
1.45E-05,0,0,,,
1.88E-05,2,3,,,
1.13E-05,0,2,,,
1.10E-05,0,0,,,
1.11E-05,0,0,,,
1.10E-05,0,0,,,
1.15E-05,0,4,,,
1.12E-05,0,6,,,
1.53E-05,0,7,,,
1.85E-05,6,7,,,
1.86E-05,2,7,,,
1.86E-05,3,5,,,
1.86E-05,2,4,,,
1.13E-05,0,2,,,
1.10E-05,0,0,,,
1.12E-05,0,2,,,
1.09E-05,0,1,,,
1.12E-05,0,3,,,
1.12E-05,0,2,,,
1.86E-05,1,3,,,
2.11E-05,0,0,,,
1.78E-05,0,1,,,
2.15E-05,1,2,,,
1.12E-05,0,0,,,
1.14E-05,0,3,,,
1.88E-05,5,8,,,
1.78E-05,0,7,,,
1.25E-05,0,5,,,
1.87E-05,8,11,,,
1.91E-05,8,10,,,
2.02E-05,8,9,,,
2.03E-05,5,8,,,
1.87E-05,1,6,,,
1.89E-05,1,5,,,
1.12E-05,0,3,,,
1.11E-05,0,1,,,
1.10E-05,0,1,,,
1.08E-05,0,0,,,
1.97E-05,9,10,,,
1.87E-05,8,9,,,
2.26E-05,3,15,,,
1.87E-05,4,16,,,
1.14E-05,0,13,,,
1.90E-05,2,13,,,
1.88E-05,2,13,,,
1.90E-05,4,11,,,
2.29E-05,6,10,,,
1.91E-05,7,9,,,
1.88E-05,7,8,,,
1.85E-05,9,13,,,
1.88E-05,16,17,,,
1.90E-05,14,17,,,
1.88E-05,3,15,,,
1.86E-05,6,16,,,
2.05E-05,14,15,,,
1.98E-05,6,14,,,
1.89E-05,2,11,,,
1.86E-05,1,9,,,
2.90E-05,2,8,,,
1.85E-05,6,7,,,
1.11E-05,0,6,,,
1.84E-05,1,3,,,
1.13E-05,0,1,,,
1.14E-05,0,0,,,
1.13E-05,0,0,,,
1.13E-05,0,0,,,
1.91E-05,1,3,,,
1.88E-05,2,4,,,
1.12E-05,0,4,,,
1.87E-05,1,8,,,
