cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
2.50E-06,32,32,62,,
1.80E-06,22,22,65,,
8.00E-07,6,6,65,,
1.60E-06,18,18,66,,
3.60E-06,49,49,65,,
3.10E-06,37,37,70,,
1.20E-06,12,12,73,,
1.00E-06,8,8,75,,
1.10E-06,10,10,75,,
6.00E-07,2,2,75,,
4.00E-07,0,0,76,,
2.20E-06,26,26,77,,
4.70E-06,57,57,79,,
9.00E-07,8,8,83,,
4.20E-06,46,46,79,,
5.50E-06,74,74,80,,
1.70E-06,21,21,79,,
5.80E-06,75,75,79,,
4.00E-07,1,1,79,,
1.30E-06,11,11,78,,
1.20E-06,13,13,77,,
5.10E-06,70,70,74,,
4.80E-06,71,71,74,,
1.90E-06,25,25,76,,
5.00E-07,2,2,76,,
6.00E-07,3,3,75,,
4.90E-06,65,65,73,,
4.00E-06,55,55,74,,
1.60E-06,15,15,69,,
1.20E-06,11,11,72,,
1.90E-06,21,21,72,,
1.60E-06,18,18,70,,
7.00E-07,6,6,70,,
1.20E-06,14,14,71,,
1.90E-06,26,26,71,,
3.50E-06,46,46,73,,
5.70E-06,50,50,73,,
1.40E-06,14,14,73,,
2.00E-06,24,24,73,,
6.20E-06,66,66,69,,
6.60E-06,52,52,69,,
2.80E-06,35,35,72,,
6.00E-07,3,3,73,,
4.30E-06,55,55,73,,
5.00E-07,0,0,74,,
1.00E-06,9,9,74,,
8.00E-07,4,4,69,,
2.30E-06,26,26,69,,
4.60E-06,55,55,68,,
3.30E-06,45,45,66,,
3.60E-06,30,30,66,,
6.00E-07,1,1,68,,
6.00E-07,2,2,74,,
1.40E-06,16,16,74,,
5.40E-06,38,38,74,,
3.20E-06,43,43,76,,
4.00E-07,0,0,76,,
1.70E-06,17,17,75,,
1.70E-06,19,19,81,,
3.60E-06,32,32,81,,
2.40E-06,31,31,81,,
1.50E-06,17,17,84,,
2.80E-06,38,38,85,,
4.30E-06,62,62,87,,
1.60E-06,18,18,85,,
1.70E-06,22,22,85,,
1.70E-06,21,21,86,,
3.30E-06,42,42,86,,
3.90E-06,52,52,85,,
1.10E-06,10,10,85,,
1.90E-06,24,24,85,,
5.80E-06,75,75,88,,
1.80E-06,24,24,88,,
3.00E-07,0,0,89,,
2.00E-06,26,26,89,,
7.00E-07,4,4,97,,
6.00E-07,2,2,95,,
9.00E-07,9,9,95,,
5.40E-06,65,65,99,,
4.50E-06,63,63,98,,
1.10E-06,11,11,98,,
6.00E-07,4,4,98,,
4.00E-06,58,58,97,,
1.40E-06,11,11,96,,
5.00E-07,1,1,96,,
2.50E-06,31,31,97,,
4.00E-07,1,1,97,,
1.10E-06,11,11,93,,
7.00E-07,4,4,99,,
1.40E-06,17,17,99,,
5.70E-06,70,70,101,,
1.10E-06,11,11,102,,
6.00E-07,5,5,102,,
8.00E-07,7,7,99,,
5.40E-06,59,59,100,,
2.40E-06,31,31,100,,
1.30E-06,10,10,99,,
1.00E-06,10,10,99,,
1.50E-06,14,14,98,,
1.00E-06,11,11,100,,
1.25E-05,11,11,101,,
5.60E-06,56,56,104,,
3.90E-06,56,56,103,,
7.10E-06,80,80,103,,
4.90E-06,62,62,103,,
4.00E-06,59,59,104,,
6.50E-06,95,95,104,,
2.90E-06,34,34,104,,
3.80E-06,53,53,103,,
3.60E-06,52,52,102,,
1.80E-06,24,24,102,,
3.10E-06,37,37,103,,
2.70E-06,38,38,104,,
5.40E-06,67,67,105,,
4.20E-06,46,46,104,,
5.20E-06,58,58,102,,
1.50E-06,19,19,101,,
1.80E-06,23,23,101,,
6.80E-06,56,56,103,,
4.80E-06,62,62,103,,
3.40E-06,46,46,102,,
5.60E-06,79,79,102,,
4.80E-06,57,57,98,,
4.40E-06,41,41,99,,
1.20E-06,13,13,97,,
3.00E-06,37,37,97,,
1.00E-06,9,9,97,,
1.10E-06,9,9,97,,
4.60E-06,52,52,97,,
1.20E-06,13,13,96,,
8.00E-07,6,6,96,,
1.10E-06,12,12,94,,
1.10E-06,11,11,95,,
8.00E-07,4,4,93,,
1.70E-06,19,19,94,,
1.60E-06,20,20,94,,
1.60E-06,20,20,94,,
3.50E-06,45,45,93,,
2.60E-06,35,35,92,,
4.80E-06,65,65,96,,
2.20E-06,26,26,95,,
8.00E-07,7,7,90,,
1.70E-06,16,16,89,,
6.00E-07,2,2,96,,
1.40E-06,15,15,91,,
2.70E-06,33,33,92,,
2.40E-06,33,33,92,,
5.00E-07,2,2,94,,
7.00E-07,5,5,94,,
