cas operacie,index prvku,dlzka zoznamu,,
1.35E-05,86,86,,
1.06E-05,84,84,,
1.22E-05,84,84,,
1.03E-05,84,84,,
1.02E-05,83,83,,
1.02E-05,84,84,,
1.02E-05,94,94,,
1.05E-05,93,93,,
1.04E-05,92,92,,
1.02E-05,90,90,,
1.04E-05,89,89,,
1.02E-05,100,100,,
1.05E-05,99,99,,
1.02E-05,100,100,,
1.08E-05,100,100,,
1.03E-05,99,99,,
1.08E-05,97,97,,
1.03E-05,96,96,,
1.07E-05,95,95,,
1.02E-05,93,93,,
1.02E-05,91,91,,
3.01E-05,89,89,,
1.05E-05,89,89,,
1.03E-05,90,90,,
1.02E-05,91,91,,
1.14E-05,95,95,,
1.33E-05,96,96,,
1.03E-05,95,95,,
1.69E-05,94,94,,
1.04E-05,93,93,,
1.15E-05,92,92,,
1.04E-05,85,85,,
1.04E-05,88,88,,
1.01E-05,89,89,,
1.15E-05,95,95,,
1.39E-05,95,95,,
1.03E-05,93,93,,
1.04E-05,92,92,,
1.03E-05,91,91,,
1.59E-05,89,89,,
6.01E-05,90,90,,
1.04E-05,89,89,,
1.04E-05,87,87,,
1.06E-05,88,88,,
1.01E-05,81,81,,
1.03E-05,80,80,,
1.52E-05,82,82,,
1.06E-05,79,79,,
1.04E-05,77,77,,
1.03E-05,80,80,,
1.08E-05,80,80,,
1.61E-05,82,82,,
1.05E-05,83,83,,
1.06E-05,84,84,,
1.09E-05,85,85,,
1.02E-05,84,84,,
1.02E-05,84,84,,
1.02E-05,83,83,,
1.13E-05,84,84,,
1.37E-05,87,87,,
1.13E-05,88,88,,
1.02E-05,88,88,,
1.10E-05,88,88,,
1.10E-05,89,89,,
1.04E-05,88,88,,
1.12E-05,89,89,,
1.03E-05,89,89,,
1.04E-05,92,92,,
1.01E-05,91,91,,
1.06E-05,90,90,,
1.07E-05,91,91,,
1.40E-05,92,92,,
1.08E-05,93,93,,
1.03E-05,88,88,,
1.02E-05,85,85,,
1.08E-05,81,81,,
1.18E-05,81,81,,
1.02E-05,79,79,,
1.04E-05,76,76,,
1.03E-05,75,75,,
1.04E-05,74,74,,
1.02E-05,72,72,,
1.02E-05,75,75,,
1.04E-05,79,79,,
1.06E-05,80,80,,
1.03E-05,79,79,,
1.11E-05,80,80,,
1.40E-05,86,86,,
1.83E-05,85,85,,
1.16E-05,88,88,,
1.51E-05,88,88,,
1.15E-05,87,87,,
1.12E-05,85,85,,
1.15E-05,83,83,,
1.33E-05,86,86,,
1.19E-05,87,87,,
1.16E-05,86,86,,
1.16E-05,86,86,,
1.10E-05,87,87,,
1.04E-05,88,88,,
1.06E-05,87,87,,
1.01E-05,88,88,,
1.05E-05,90,90,,
1.22E-05,88,88,,
1.17E-05,86,86,,
1.04E-05,83,83,,
1.02E-05,82,82,,
1.04E-05,87,87,,
1.01E-05,86,86,,
1.02E-05,84,84,,
1.14E-05,83,83,,
1.39E-05,81,81,,
1.04E-05,83,83,,
1.05E-05,83,83,,
1.04E-05,83,83,,
1.19E-05,82,82,,
1.34E-05,83,83,,
1.25E-05,80,80,,
1.14E-05,79,79,,
1.13E-05,78,78,,
1.15E-05,74,74,,
1.14E-05,73,73,,
1.12E-05,72,72,,
1.23E-05,71,71,,
2.08E-05,71,71,,
1.15E-05,71,71,,
1.12E-05,70,70,,
1.07E-05,73,73,,
1.06E-05,74,74,,
1.05E-05,72,72,,
1.02E-05,73,73,,
1.03E-05,74,74,,
1.17E-05,80,80,,
1.32E-05,81,81,,
1.04E-05,79,79,,
1.07E-05,83,83,,
1.04E-05,82,82,,
2.28E-05,83,83,,
1.17E-05,83,83,,
1.75E-05,84,84,,
1.19E-05,83,83,,
0.0002195,82,82,,
1.16E-05,80,80,,
1.96E-05,76,76,,
1.12E-05,77,77,,
1.71E-05,76,76,,
7.60E-05,73,73,,
1.61E-05,72,72,,
2.27E-05,71,71,,
1.57E-05,70,70,,
1.55E-05,69,69,,
1.08E-05,70,70,,
1.05E-05,72,72,,
1.02E-05,71,71,,
1.02E-05,75,75,,
1.04E-05,75,75,,
1.08E-05,80,80,,
1.47E-05,79,79,,
1.04E-05,78,78,,
1.04E-05,80,80,,
1.40E-05,80,80,,
1.08E-05,79,79,,
1.03E-05,79,79,,
1.01E-05,78,78,,
1.53E-05,78,78,,
2.23E-05,77,77,,
1.03E-05,76,76,,
1.03E-05,76,76,,
1.20E-05,77,77,,
1.48E-05,75,75,,
1.06E-05,73,73,,
1.02E-05,72,72,,
1.05E-05,71,71,,
1.73E-05,71,71,,
2.25E-05,68,68,,
1.18E-05,73,73,,
1.29E-05,79,79,,
1.73E-05,81,81,,
1.06E-05,83,83,,
1.08E-05,86,86,,
1.01E-05,90,90,,
1.03E-05,90,90,,
1.02E-05,89,89,,
1.02E-05,89,89,,
1.03E-05,91,91,,
1.03E-05,91,91,,
1.04E-05,90,90,,
1.03E-05,90,90,,
1.09E-05,93,93,,
1.01E-05,94,94,,
1.13E-05,95,95,,
1.08E-05,94,94,,
1.22E-05,93,93,,
1.50E-05,91,91,,
1.04E-05,89,89,,
1.10E-05,88,88,,
1.17E-05,86,86,,
1.03E-05,82,82,,
1.01E-05,81,81,,
1.01E-05,89,89,,
1.02E-05,89,89,,
1.01E-05,87,87,,
1.54E-05,88,88,,
1.08E-05,87,87,,
1.03E-05,90,90,,
1.02E-05,90,90,,
1.70E-05,89,89,,
1.04E-05,86,86,,
1.07E-05,88,88,,
1.04E-05,90,90,,
1.02E-05,91,91,,
5.11E-05,91,91,,
1.16E-05,90,90,,
1.87E-05,95,95,,
1.04E-05,94,94,,
1.21E-05,100,100,,
1.12E-05,100,100,,
1.15E-05,100,100,,
1.07E-05,98,98,,
1.05E-05,97,97,,
1.01E-05,99,99,,
1.04E-05,98,98,,
1.48E-05,98,98,,
1.09E-05,94,94,,
1.01E-05,96,96,,
1.03E-05,98,98,,
1.02E-05,97,97,,
1.02E-05,98,98,,
1.07E-05,98,98,,
1.02E-05,97,97,,
1.05E-05,96,96,,
1.04E-05,94,94,,
1.06E-05,98,98,,
1.02E-05,98,98,,
1.02E-05,97,97,,
1.02E-05,95,95,,
1.65E-05,92,92,,
1.03E-05,97,97,,
1.05E-05,95,95,,
1.01E-05,94,94,,
1.03E-05,93,93,,
1.03E-05,92,92,,
1.05E-05,100,100,,
1.02E-05,99,99,,
1.30E-05,98,98,,
1.01E-05,99,99,,
1.14E-05,98,98,,
1.16E-05,95,95,,
1.14E-05,98,98,,
1.17E-05,99,99,,
1.20E-05,99,99,,
1.18E-05,102,102,,
1.08E-05,101,101,,
1.03E-05,102,102,,
1.05E-05,102,102,,
1.05E-05,102,102,,
1.03E-05,103,103,,
1.32E-05,102,102,,
1.06E-05,105,105,,
1.05E-05,109,109,,
1.06E-05,110,110,,
1.07E-05,115,115,,
1.02E-05,111,111,,
1.01E-05,110,110,,
1.05E-05,112,112,,
1.02E-05,113,113,,
1.09E-05,115,115,,
1.07E-05,117,117,,
1.04E-05,114,114,,
1.02E-05,119,119,,
1.02E-05,117,117,,
1.04E-05,113,113,,
1.02E-05,112,112,,
1.05E-05,111,111,,
1.02E-05,110,110,,
1.04E-05,109,109,,
1.05E-05,109,109,,
1.25E-05,110,110,,
1.49E-05,109,109,,
1.03E-05,111,111,,
1.58E-05,106,106,,
1.02E-05,108,108,,
1.20E-05,110,110,,
1.14E-05,108,108,,
1.13E-05,107,107,,
1.23E-05,109,109,,
1.25E-05,108,108,,
1.13E-05,109,109,,
1.13E-05,107,107,,
1.14E-05,105,105,,
1.12E-05,105,105,,
1.04E-05,107,107,,
1.67E-05,108,108,,
1.09E-05,106,106,,
1.05E-05,104,104,,
1.05E-05,103,103,,
1.03E-05,102,102,,
1.02E-05,101,101,,
1.03E-05,104,104,,
1.04E-05,104,104,,
1.03E-05,109,109,,
1.29E-05,109,109,,
1.03E-05,108,108,,
1.71E-05,105,105,,
1.75E-05,104,104,,
1.07E-05,103,103,,
1.03E-05,103,103,,
1.16E-05,108,108,,
1.59E-05,107,107,,
1.05E-05,105,105,,
1.31E-05,105,105,,
2.08E-05,105,105,,
2.84E-05,104,104,,
1.73E-05,105,105,,
1.03E-05,108,108,,
1.03E-05,105,105,,
1.01E-05,104,104,,
1.05E-05,108,108,,
1.03E-05,106,106,,
1.04E-05,108,108,,
1.74E-05,107,107,,
1.02E-05,106,106,,
1.03E-05,108,108,,
1.04E-05,105,105,,
1.01E-05,104,104,,
2.10E-05,103,103,,
1.02E-05,100,100,,
1.10E-05,100,100,,
1.08E-05,109,109,,
1.48E-05,109,109,,
1.02E-05,110,110,,
1.02E-05,109,109,,
1.64E-05,110,110,,
1.01E-05,113,113,,
1.02E-05,115,115,,
1.03E-05,116,116,,
1.01E-05,115,115,,
1.05E-05,121,121,,
1.03E-05,122,122,,
1.04E-05,122,122,,
1.05E-05,123,123,,
1.08E-05,126,126,,
1.02E-05,125,125,,
1.16E-05,121,121,,
1.07E-05,120,120,,
1.01E-05,117,117,,
1.05E-05,117,117,,
1.17E-05,122,122,,
1.00E-05,125,125,,
1.16E-05,125,125,,
1.12E-05,124,124,,
1.03E-05,123,123,,
1.04E-05,122,122,,
1.61E-05,122,122,,
1.06E-05,120,120,,
1.18E-05,118,118,,
1.05E-05,122,122,,
1.07E-05,123,123,,
1.04E-05,119,119,,
1.02E-05,114,114,,
1.15E-05,113,113,,
1.04E-05,112,112,,
1.04E-05,112,112,,
1.02E-05,110,110,,
1.42E-05,115,115,,
1.04E-05,116,116,,
1.03E-05,115,115,,
1.07E-05,112,112,,
1.46E-05,112,112,,
1.05E-05,113,113,,
1.02E-05,116,116,,
1.18E-05,117,117,,
1.04E-05,114,114,,
1.02E-05,113,113,,
1.03E-05,112,112,,
1.02E-05,109,109,,
1.60E-05,109,109,,
1.02E-05,109,109,,
1.58E-05,106,106,,
1.03E-05,105,105,,
1.02E-05,103,103,,
1.00E-05,103,103,,
1.03E-05,103,103,,
1.63E-05,102,102,,
1.84E-05,101,101,,
1.68E-05,101,101,,
1.57E-05,101,101,,
1.15E-05,103,103,,
1.27E-05,107,107,,
1.51E-05,107,107,,
1.32E-05,108,108,,
1.47E-05,106,106,,
1.37E-05,106,106,,
1.33E-05,105,105,,
1.22E-05,105,105,,
1.12E-05,104,104,,
1.18E-05,104,104,,
1.15E-05,104,104,,
1.53E-05,101,101,,
1.16E-05,102,102,,
1.20E-05,103,103,,
1.05E-05,105,105,,
1.76E-05,108,108,,
1.31E-05,107,107,,
1.04E-05,105,105,,
1.03E-05,107,107,,
1.03E-05,106,106,,
1.04E-05,106,106,,
1.01E-05,106,106,,
1.08E-05,109,109,,
1.05E-05,108,108,,
1.03E-05,109,109,,
1.02E-05,107,107,,
1.06E-05,106,106,,
1.04E-05,104,104,,
1.02E-05,103,103,,
1.04E-05,101,101,,
1.02E-05,103,103,,
1.03E-05,102,102,,
2.00E-05,107,107,,
1.48E-05,108,108,,
1.14E-05,109,109,,
1.13E-05,109,109,,
1.18E-05,108,108,,
1.15E-05,107,107,,
2.14E-05,106,106,,
1.60E-05,112,112,,
1.26E-05,111,111,,
1.09E-05,110,110,,
1.18E-05,109,109,,
1.14E-05,108,108,,
1.14E-05,107,107,,
1.15E-05,106,106,,
1.12E-05,104,104,,
