cas operacie,index prvku,dlzka zoznamu,,
1.84E-05,85,100,,
1.91E-05,61,100,,
1.99E-05,27,99,,
2.73E-05,44,98,,
1.84E-05,14,97,,
2.38E-05,48,98,,
1.87E-05,73,96,,
2.00E-05,43,98,,
2.07E-05,36,96,,
1.85E-05,84,95,,
1.86E-05,71,94,,
1.87E-05,21,95,,
1.80E-05,84,94,,
1.89E-05,57,90,,
1.90E-05,75,88,,
1.88E-05,63,89,,
3.65E-05,54,89,,
1.85E-05,80,88,,
1.81E-05,90,92,,
4.34E-05,84,94,,
2.29E-05,36,95,,
1.95E-05,31,94,,
2.00E-05,58,93,,
2.39E-05,74,88,,
2.45E-05,30,87,,
2.50E-05,27,88,,
3.07E-05,32,87,,
2.20E-05,21,86,,
1.95E-05,73,87,,
2.03E-05,31,86,,
1.78E-05,1,86,,
1.91E-05,46,86,,
1.85E-05,65,85,,
1.89E-05,57,82,,
1.88E-05,61,87,,
1.79E-05,84,85,,
2.01E-05,57,84,,
1.93E-05,79,85,,
1.91E-05,46,84,,
1.97E-05,36,87,,
3.02E-05,70,83,,
1.91E-05,53,84,,
1.88E-05,81,82,,
1.81E-05,91,92,,
2.47E-05,54,96,,
2.16E-05,42,95,,
1.89E-05,77,97,,
1.84E-05,77,93,,
1.85E-05,71,94,,
2.12E-05,49,101,,
1.89E-05,21,100,,
1.86E-05,12,99,,
2.49E-05,62,100,,
2.09E-05,34,101,,
1.82E-05,99,100,,
2.23E-05,13,98,,
1.98E-05,28,94,,
2.54E-05,51,90,,
1.92E-05,65,89,,
1.89E-05,87,97,,
1.95E-05,21,95,,
2.43E-05,62,97,,
1.98E-05,18,94,,
2.13E-05,65,98,,
2.08E-05,87,95,,
2.23E-05,92,94,,
1.85E-05,81,96,,
2.02E-05,43,89,,
1.92E-05,24,87,,
1.88E-05,56,87,,
1.85E-05,73,87,,
2.66E-05,54,90,,
1.87E-05,70,96,,
1.93E-05,28,94,,
2.46E-05,29,94,,
1.92E-05,54,91,,
1.82E-05,76,90,,
1.99E-05,39,90,,
1.82E-05,76,87,,
2.59E-05,16,86,,
1.94E-05,40,85,,
1.85E-05,62,84,,
1.80E-05,7,83,,
1.85E-05,18,82,,
2.67E-05,59,81,,
1.88E-05,21,78,,
1.81E-05,65,76,,
1.84E-05,70,79,,
1.83E-05,71,82,,
1.88E-05,52,83,,
1.83E-05,72,84,,
1.83E-05,15,82,,
1.91E-05,31,84,,
1.82E-05,68,82,,
1.99E-05,2,84,,
2.02E-05,69,83,,
1.92E-05,83,87,,
1.87E-05,63,90,,
1.78E-05,87,89,,
1.87E-05,63,87,,
2.28E-05,36,89,,
1.21E-05,0,90,,
2.84E-05,62,89,,
1.99E-05,4,89,,
1.90E-05,82,93,,
1.81E-05,7,90,,
2.38E-05,89,92,,
