cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
1.81E-05,9,45,46,,,,
1.76E-05,4,47,48,,,,
2.61E-05,17,48,49,,,,
1.72E-05,2,49,50,,,,
2.18E-05,33,52,53,,,,
2.09E-05,1,54,55,,,,
2.23E-05,8,55,56,,,,
1.80E-05,43,55,56,,,,
1.82E-05,11,53,54,,,,
1.82E-05,13,53,54,,,,
1.80E-05,24,51,52,,,,
1.83E-05,1,45,46,,,,
1.78E-05,43,45,46,,,,
1.77E-05,10,45,46,,,,
1.77E-05,20,45,46,,,,
1.77E-05,23,42,43,,,,
6.51E-05,27,43,44,,,,
1.83E-05,27,44,45,,,,
1.79E-05,4,45,46,,,,
1.81E-05,6,44,45,,,,
1.80E-05,36,43,44,,,,
1.80E-05,42,45,46,,,,
1.81E-05,12,46,47,,,,
1.77E-05,42,44,45,,,,
1.76E-05,18,43,44,,,,
1.70E-05,44,43,44,,,,
1.72E-05,34,40,41,,,,
1.71E-05,20,43,44,,,,
2.26E-05,26,38,39,,,,
1.70E-05,18,35,36,,,,
1.74E-05,26,39,40,,,,
1.69E-05,36,44,45,,,,
1.69E-05,3,42,43,,,,
1.70E-05,20,43,44,,,,
1.71E-05,34,45,46,,,,
1.72E-05,17,46,47,,,,
2.69E-05,3,48,49,,,,
1.70E-05,4,47,48,,,,
1.70E-05,44,47,48,,,,
1.74E-05,7,45,46,,,,
1.71E-05,22,39,40,,,,
1.75E-05,2,41,42,,,,
1.74E-05,37,44,45,,,,
1.75E-05,10,45,46,,,,
1.73E-05,27,48,49,,,,
1.81E-05,1,46,47,,,,
1.72E-05,12,46,47,,,,
1.72E-05,44,47,48,,,,
1.71E-05,37,45,46,,,,
1.71E-05,28,45,46,,,,
1.71E-05,13,46,47,,,,
2.17E-05,14,45,46,,,,
1.73E-05,10,42,43,,,,
1.69E-05,44,43,44,,,,
1.70E-05,44,36,37,,,,
1.71E-05,19,35,36,,,,
1.73E-05,39,30,31,,,,
1.81E-05,23,34,35,,,,
1.81E-05,33,33,34,,,,
2.94E-05,12,31,32,,,,
1.85E-05,22,32,33,,,,
2.52E-05,6,29,30,,,,
2.26E-05,21,30,31,,,,
3.01E-05,5,31,32,,,,
1.82E-05,32,35,36,,,,
1.81E-05,15,33,34,,,,
1.80E-05,31,34,35,,,,
1.83E-05,6,33,34,,,,
1.79E-05,39,31,32,,,,
1.72E-05,3,28,29,,,,
1.70E-05,30,29,30,,,,
1.72E-05,8,29,30,,,,
3.07E-05,10,26,27,,,,
1.82E-05,36,25,26,,,,
1.72E-05,26,16,17,,,,
1.71E-05,40,15,16,,,,
1.72E-05,36,19,20,,,,
1.83E-05,37,17,18,,,,
1.71E-05,45,15,16,,,,
1.70E-05,17,15,16,,,,
1.72E-05,39,16,17,,,,
1.70E-05,6,17,18,,,,
2.32E-05,34,18,19,,,,
1.76E-05,16,17,18,,,,
1.74E-05,23,18,19,,,,
1.70E-05,18,17,18,,,,
1.71E-05,19,16,17,,,,
2.24E-05,17,16,17,,,,
1.71E-05,8,12,13,,,,
1.73E-05,40,13,14,,,,
1.72E-05,39,11,12,,,,
1.73E-05,42,6,7,,,,
1.71E-05,41,7,8,,,,
1.70E-05,42,8,9,,,,
1.72E-05,6,14,15,,,,
1.71E-05,15,15,16,,,,
1.87E-05,31,15,16,,,,
1.71E-05,9,14,15,,,,
1.72E-05,2,13,14,,,,
1.70E-05,38,13,14,,,,
1.73E-05,34,13,14,,,,
1.70E-05,35,13,14,,,,
1.70E-05,33,13,14,,,,
1.70E-05,20,3,4,,,,
1.72E-05,13,0,1,,,,
1.97E-05,39,1,2,,,,
1.85E-05,19,2,3,,,,
1.82E-05,40,0,1,,,,
1.81E-05,18,1,2,,,,
1.74E-05,21,0,1,,,,
1.71E-05,34,1,2,,,,
1.70E-05,20,2,3,,,,
1.69E-05,28,1,2,,,,
1.73E-05,38,0,1,,,,
