cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
8.48E-05,37,0,46,,,,
8.43E-05,22,0,46,,,,
8.40E-05,39,0,46,,,,
8.43E-05,17,0,47,,,,
9.19E-05,13,0,46,,,,
8.66E-05,19,0,42,,,,
8.57E-05,45,0,45,,,,
8.46E-05,25,0,44,,,,
8.47E-05,5,0,45,,,,
8.36E-05,31,0,45,,,,
8.43E-05,44,0,42,,,,
8.38E-05,5,0,43,,,,
8.36E-05,29,0,37,,,,
8.35E-05,19,0,37,,,,
8.32E-05,25,0,43,,,,
0.0001255,17,0,42,,,,
8.47E-05,41,0,45,,,,
8.44E-05,26,0,46,,,,
0.0001199,23,0,45,,,,
9.43E-05,10,0,48,,,,
8.36E-05,18,0,48,,,,
8.39E-05,20,0,50,,,,
8.39E-05,21,0,48,,,,
8.42E-05,36,0,43,,,,
8.39E-05,33,0,44,,,,
8.44E-05,42,0,48,,,,
8.39E-05,26,0,47,,,,
8.42E-05,36,0,47,,,,
8.37E-05,36,0,47,,,,
8.36E-05,17,0,44,,,,
8.34E-05,31,0,45,,,,
8.37E-05,8,0,37,,,,
8.46E-05,4,0,37,,,,
8.50E-05,8,0,37,,,,
9.89E-05,19,0,33,,,,
8.53E-05,19,0,33,,,,
9.15E-05,19,0,34,,,,
8.92E-05,34,0,34,,,,
8.42E-05,30,0,33,,,,
9.98E-05,28,0,30,,,,
8.75E-05,37,0,33,,,,
0.0015994,13,0,34,,,,
8.63E-05,16,0,32,,,,
8.54E-05,32,0,33,,,,
8.51E-05,24,0,34,,,,
8.51E-05,34,0,35,,,,
8.43E-05,21,0,35,,,,
8.39E-05,3,0,32,,,,
8.42E-05,13,0,20,,,,
8.37E-05,16,0,16,,,,
8.46E-05,20,0,18,,,,
8.43E-05,13,0,19,,,,
8.45E-05,44,0,21,,,,
9.16E-05,2,0,21,,,,
8.49E-05,10,0,15,,,,
8.42E-05,7,0,16,,,,
8.37E-05,42,0,17,,,,
8.49E-05,43,0,18,,,,
9.16E-05,33,0,20,,,,
8.48E-05,33,0,20,,,,
9.11E-05,10,0,11,,,,
8.41E-05,5,0,12,,,,
9.18E-05,29,0,13,,,,
9.33E-05,26,0,12,,,,
8.37E-05,16,0,11,,,,
8.37E-05,25,0,12,,,,
8.42E-05,19,0,8,,,,
8.41E-05,14,0,8,,,,
8.38E-05,36,0,9,,,,
8.38E-05,4,0,9,,,,
8.38E-05,2,0,12,,,,
8.35E-05,33,0,13,,,,
8.61E-05,11,0,14,,,,
8.40E-05,38,0,14,,,,
8.38E-05,37,0,14,,,,
8.41E-05,37,0,14,,,,
8.36E-05,26,0,9,,,,
8.40E-05,43,0,7,,,,
8.39E-05,3,0,2,,,,
9.40E-05,3,0,2,,,,
8.69E-05,26,0,2,,,,
8.58E-05,12,0,2,,,,
8.53E-05,38,0,3,,,,
1.91E-05,24,0,1,,,,
1.72E-05,42,0,1,,,,
8.42E-05,2,0,3,,,,
1.73E-05,41,0,1,,,,
1.73E-05,15,0,1,,,,
8.41E-05,7,0,3,,,,
8.40E-05,42,0,5,,,,
8.41E-05,34,0,3,,,,
2.38E-05,4,0,1,,,,
8.37E-05,31,0,2,,,,
0.0001116,36,0,3,,,,
0.0001077,38,0,6,,,,
0.0001155,27,0,4,,,,
8.46E-05,13,0,4,,,,
1.83E-05,30,0,1,,,,
1.81E-05,6,0,1,,,,
8.44E-05,6,0,2,,,,
0.0001061,12,0,3,,,,
0.0001087,29,0,2,,,,
0.0001041,1,0,3,,,,
0.0001235,40,0,4,,,,
0.0001083,31,0,5,,,,
0.000116,20,0,6,,,,
0.0001149,16,0,7,,,,
8.56E-05,2,0,11,,,,
0.0001105,39,0,12,,,,
0.0001154,16,0,11,,,,
8.43E-05,44,0,11,,,,
0.0001231,38,0,15,,,,
0.0001096,28,0,15,,,,
0.000116,5,0,11,,,,
0.0001187,16,0,13,,,,
0.0001161,21,0,12,,,,
0.0001088,10,0,10,,,,
0.0001079,34,0,11,,,,
0.0001297,32,0,12,,,,
0.0001073,23,0,13,,,,
0.00012,28,0,10,,,,
8.61E-05,3,0,12,,,,
8.51E-05,5,0,13,,,,
8.46E-05,40,0,16,,,,
8.44E-05,41,0,17,,,,
8.40E-05,8,0,17,,,,
8.58E-05,9,0,21,,,,
8.54E-05,32,0,24,,,,
8.47E-05,25,0,25,,,,
9.23E-05,13,0,26,,,,
8.99E-05,29,0,22,,,,
8.43E-05,20,0,23,,,,
8.40E-05,31,0,24,,,,
8.40E-05,42,0,25,,,,
8.48E-05,33,0,26,,,,
8.50E-05,8,0,25,,,,
8.77E-05,39,0,27,,,,
0.0001679,27,0,29,,,,
8.41E-05,20,0,28,,,,
0.0001436,6,0,27,,,,
0.0001121,4,0,28,,,,
0.0006887,23,0,30,,,,
9.03E-05,33,0,31,,,,
9.18E-05,14,0,31,,,,
8.59E-05,26,0,32,,,,
0.0001131,29,0,32,,,,
8.32E-05,15,0,32,,,,
8.50E-05,35,0,39,,,,
8.36E-05,45,0,28,,,,
