cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,
2.37E-05,0,0,13,,,,
0.0002219,9,9,11,,,,
0.0001598,6,6,9,,,,
0.0001372,5,5,19,,,,
0.0003337,14,14,19,,,,
0.0002697,11,11,17,,,,
4.50E-05,1,1,12,,,,
4.55E-05,1,1,13,,,,
0.0003666,8,8,14,,,,
0.0002877,12,12,15,,,,
6.75E-05,2,2,5,,,,
9.61E-05,3,3,7,,,,
6.69E-05,2,2,7,,,,
8.87E-05,3,3,5,,,,
0.0001559,6,6,10,,,,
8.91E-05,3,3,11,,,,
6.72E-05,2,2,11,,,,
0.0001115,4,4,9,,,,
0.0001105,4,4,15,,,,
4.59E-05,1,1,19,,,,
4.52E-05,1,1,19,,,,
6.70E-05,2,2,15,,,,
0.0001565,6,6,13,,,,
0.0004856,3,3,14,,,,
0.0002686,11,11,14,,,,
0.0001105,4,4,15,,,,
9.04E-05,3,3,14,,,,
0.0001116,4,4,12,,,,
2.29E-05,0,0,14,,,,
2.29E-05,0,0,16,,,,
0.0001046,3,3,12,,,,
0.0001573,6,6,12,,,,
0.0001345,5,5,15,,,,
0.0002426,10,10,16,,,,
0.0001992,8,8,17,,,,
0.0003676,8,8,15,,,,
0.0001556,6,6,16,,,,
0.0002254,9,9,17,,,,
4.53E-05,1,1,17,,,,
0.000244,10,10,22,,,,
0.0002009,8,8,19,,,,
4.51E-05,1,1,13,,,,
4.55E-05,1,1,2,,,,
4.55E-05,1,1,2,,,,
4.52E-05,1,1,3,,,,
4.62E-05,1,1,9,,,,
4.50E-05,1,1,10,,,,
2.28E-05,0,0,11,,,,
2.27E-05,0,0,10,,,,
0.000178,7,7,9,,,,
0.0001336,5,5,11,,,,
0.0002103,8,8,11,,,,
0.0001338,5,5,10,,,,
0.0001343,5,5,8,,,,
0.0001564,6,6,14,,,,
0.0003331,14,14,15,,,,
0.0002452,10,10,13,,,,
0.0001111,4,4,11,,,,
6.76E-05,2,2,14,,,,
2.27E-05,0,0,15,,,,
0.0003791,16,16,19,,,,
0.0001133,4,4,17,,,,
6.76E-05,2,2,19,,,,
0.0002448,10,10,14,,,,
0.0001999,8,8,17,,,,
0.0003538,15,15,21,,,,
0.0002654,11,11,22,,,,
0.0002868,12,12,22,,,,
2.97E-05,0,0,15,,,,
9.22E-05,3,3,25,,,,
0.0021548,23,23,25,,,,
0.0001669,6,6,27,,,,
0.0040176,27,27,28,,,,
9.95E-05,2,2,31,,,,
0.0003561,15,15,29,,,,
0.0002003,8,8,38,,,,
0.0004651,9,9,41,,,,
0.0001675,4,4,43,,,,
0.0001343,5,5,41,,,,
0.0001953,5,5,43,,,,
0.0006715,28,28,43,,,,
0.0005157,22,22,47,,,,
4.50E-05,1,1,45,,,,
0.000756,33,33,44,,,,
0.0007533,33,33,44,,,,
0.0001995,8,8,40,,,,
2.30E-05,0,0,39,,,,
0.0007976,30,30,38,,,,
0.0004883,21,21,38,,,,
0.0005525,18,18,33,,,,
0.0001772,7,7,30,,,,
0.00014,5,5,23,,,,
0.0003887,11,11,27,,,,
0.0001309,3,3,28,,,,
0.0004741,20,20,30,,,,
0.0003955,13,13,29,,,,
0.0003611,15,15,26,,,,
0.000398,13,13,25,,,,
0.0005194,22,22,31,,,,
0.0004265,13,13,32,,,,
9.13E-05,3,3,32,,,,
4.55E-05,1,1,32,,,,
0.0006321,27,27,33,,,,
0.0001783,7,7,32,,,,
0.0002917,12,12,33,,,,
8.99E-05,3,3,34,,,,
9.86E-05,3,3,37,,,,
0.0010773,27,27,39,,,,
6.69E-05,2,2,46,,,,
5.49E-05,1,1,42,,,,
0.0002699,11,11,42,,,,
0.0007386,32,32,42,,,,
4.58E-05,1,1,30,,,,
2.32E-05,0,0,31,,,,
0.0001767,7,7,31,,,,
8.92E-05,3,3,30,,,,
9.01E-05,3,3,30,,,,
0.0004093,17,17,29,,,,
0.0004293,15,15,31,,,,
2.42E-05,0,0,42,,,,
4.50E-05,1,1,43,,,,
0.0018657,41,41,42,,,,
0.0007793,34,34,58,,,,
0.0005366,23,23,60,,,,
0.0001116,4,4,58,,,,
0.0004118,17,17,59,,,,
0.0002645,11,11,60,,,,
0.0001118,4,4,58,,,,
0.0022368,57,57,61,,,,
0.0001207,2,2,58,,,,
0.0004679,13,13,58,,,,
0.0006899,30,30,57,,,,
0.000222,9,9,54,,,,
0.0001789,7,7,54,,,,
0.0003596,15,15,54,,,,
0.0001483,3,3,52,,,,
0.0003096,13,13,53,,,,
0.0002448,10,10,48,,,,
0.0003323,11,11,46,,,,
0.0002909,12,12,46,,,,
0.0010771,20,20,44,,,,
0.0003446,14,14,43,,,,
0.0003414,14,14,45,,,,
0.0004415,14,14,44,,,,
0.0006015,26,26,43,,,,
0.000224,9,9,42,,,,
0.0006009,26,26,43,,,,
0.0002887,12,12,46,,,,
0.0005762,24,24,50,,,,
2.32E-05,0,0,47,,,,
0.000922,41,41,50,,,,
0.000601,26,26,51,,,,
0.0011332,41,41,50,,,,
0.000466,20,20,53,,,,
0.0006863,30,30,52,,,,
0.0003775,16,16,55,,,,
0.0004916,21,21,54,,,,
0.0010564,46,46,54,,,,
0.00085,37,37,54,,,,
0.0001783,7,7,54,,,,
4.50E-05,1,1,52,,,,
0.0002189,8,8,48,,,,
0.0004009,17,17,52,,,,
0.0001347,5,5,50,,,,
0.0003786,16,16,50,,,,
0.0002916,12,12,50,,,,
0.0004014,17,17,47,,,,
0.000335,14,14,46,,,,
0.0004891,21,21,47,,,,
0.0002896,12,12,45,,,,
0.0008245,36,36,40,,,,
0.0005588,24,24,37,,,,
0.0003336,14,14,35,,,,
0.0007144,31,31,43,,,,
6.63E-05,2,2,47,,,,
6.66E-05,2,2,50,,,,
0.000684,12,12,38,,,,
0.0003764,16,16,37,,,,
0.0001112,4,4,39,,,,
0.0003572,15,15,35,,,,
0.0002873,8,8,37,,,,
0.0002015,8,8,37,,,,
0.0007053,30,30,37,,,,
0.0004606,19,19,33,,,,
0.0002454,10,10,27,,,,
0.0003565,15,15,28,,,,
2.27E-05,0,0,28,,,,
0.000179,7,7,24,,,,
0.0002225,9,9,23,,,,
0.0002674,11,11,28,,,,
0.0003134,13,13,28,,,,
0.0005508,24,24,26,,,,
0.0003337,7,7,26,,,,
0.0002895,12,12,28,,,,
0.0005594,24,24,27,,,,
0.0009104,28,28,31,,,,
0.0001772,7,7,29,,,,
0.0005552,24,24,27,,,,
0.000311,13,13,27,,,,
0.0002448,10,10,31,,,,
0.0006008,26,26,44,,,,
0.0001576,6,6,44,,,,
4.48E-05,1,1,43,,,,
0.0003959,13,13,40,,,,
0.000541,20,20,43,,,,
0.0009482,26,26,42,,,,
0.0002523,10,10,46,,,,
0.0003768,16,16,49,,,,
8.95E-05,3,3,51,,,,
0.0006993,29,29,50,,,,
0.0006047,26,26,53,,,,
4.52E-05,1,1,48,,,,
8.97E-05,3,3,48,,,,
0.0007524,18,18,51,,,,
8.92E-05,3,3,49,,,,
0.0001335,5,5,56,,,,
0.0002534,9,9,58,,,,
0.000224,9,9,59,,,,
0.0007379,32,32,62,,,,
0.0010398,46,46,62,,,,
6.70E-05,2,2,59,,,,
0.0003396,14,14,58,,,,
0.0009312,41,41,58,,,,
0.0002061,4,4,60,,,,
0.0009256,27,27,58,,,,
0.0003315,14,14,51,,,,
0.0001764,7,7,54,,,,
0.0002255,9,9,60,,,,
0.0012412,55,55,61,,,,
0.0003212,13,13,39,,,,
0.000409,17,17,41,,,,
0.0003796,16,16,38,,,,
0.0001578,6,6,38,,,,
0.0005356,19,19,36,,,,
0.0001766,5,5,40,,,,
0.0005629,22,22,40,,,,
8.87E-05,3,3,34,,,,
7.93E-05,1,1,37,,,,
0.0003144,13,13,33,,,,
0.0002911,12,12,35,,,,
0.0005587,24,24,33,,,,
0.0012323,22,22,38,,,,
0.0002899,12,12,40,,,,
0.0002688,11,11,34,,,,
0.000157,6,6,35,,,,
4.50E-05,1,1,30,,,,
0.0002443,10,10,25,,,,
4.50E-05,1,1,25,,,,
0.0003109,13,13,23,,,,
2.28E-05,0,0,25,,,,
2.27E-05,0,0,24,,,,
2.30E-05,0,0,24,,,,
0.0001138,4,4,23,,,,
0.0002005,8,8,25,,,,
9.18E-05,3,3,23,,,,
0.0005784,25,25,26,,,,
8.98E-05,3,3,26,,,,
0.0002475,10,10,23,,,,
2.28E-05,0,0,5,,,,
2.32E-05,0,0,2,,,,
2.27E-05,0,0,7,,,,
4.84E-05,0,0,3,,,,
0.0001054,2,2,3,,,,
0.0001556,6,6,10,,,,
8.95E-05,3,3,16,,,,
0.0001125,4,4,12,,,,
0.0001424,4,4,5,,,,
4.50E-05,1,1,2,,,,
2.28E-05,0,0,1,,,,
2.32E-05,0,0,2,,,,
4.58E-05,1,1,10,,,,
0.0001927,7,7,10,,,,
0.0001771,7,7,13,,,,
2.30E-05,0,0,16,,,,
0.0003607,15,15,16,,,,
0.0002886,12,12,18,,,,
0.0002916,10,10,18,,,,
0.0004524,19,19,21,,,,
0.0002078,8,8,21,,,,
8.97E-05,3,3,20,,,,
0.0004485,19,19,25,,,,
0.0001784,7,7,17,,,,
0.0003366,14,14,16,,,,
6.92E-05,2,2,15,,,,
0.0003113,13,13,17,,,,
0.0001333,5,5,20,,,,
0.0001134,4,4,14,,,,
0.0003399,13,13,17,,,,
6.72E-05,2,2,18,,,,
0.0002225,9,9,25,,,,
0.0002698,11,11,26,,,,
0.0002236,9,9,24,,,,
0.0005113,22,22,24,,,,
0.0003127,13,13,17,,,,
8.98E-05,3,3,18,,,,
0.0002301,9,9,18,,,,
6.71E-05,2,2,20,,,,
0.0004454,19,19,20,,,,
0.0001779,7,7,20,,,,
0.0001134,4,4,33,,,,
0.0002885,12,12,13,,,,
8.97E-05,3,3,15,,,,
2.27E-05,0,0,12,,,,
5.77E-05,0,0,21,,,,
4.51E-05,1,1,25,,,,
0.0003774,16,16,35,,,,
0.0003043,12,12,45,,,,
0.0005183,22,22,43,,,,
0.0006739,29,29,40,,,,
8.98E-05,3,3,39,,,,
4.49E-05,1,1,36,,,,
0.0001809,7,7,39,,,,
4.53E-05,1,1,32,,,,
0.0001332,5,5,36,,,,
0.0001989,8,8,38,,,,
0.0007778,34,34,37,,,,
0.0001106,4,4,43,,,,
6.96E-05,2,2,53,,,,
0.0005813,25,25,49,,,,
0.0002928,12,12,50,,,,
0.0001781,7,7,50,,,,
4.61E-05,0,0,56,,,,
0.0010738,47,47,57,,,,
0.0003384,14,14,54,,,,
0.0009769,43,43,56,,,,
0.000568,22,22,59,,,,
0.0002455,10,10,77,,,,
0.0011983,52,52,77,,,,
0.0001796,7,7,73,,,,
0.0011142,49,49,75,,,,
0.000425,10,10,76,,,,
0.0003498,13,13,78,,,,
0.0002446,10,10,85,,,,
0.0015586,69,69,83,,,,
9.01E-05,3,3,81,,,,
0.0016852,72,72,81,,,,
0.0003211,13,13,77,,,,
0.0004441,19,19,83,,,,
0.0011546,51,51,96,,,,
0.0003583,15,15,92,,,,
0.0011365,50,50,90,,,,
9.66E-05,3,3,93,,,,
0.0012793,56,56,100,,,,
0.001581,65,65,99,,,,
2.29E-05,0,0,99,,,,
0.0002009,8,8,96,,,,
6.78E-05,2,2,96,,,,
0.0011449,27,27,98,,,,
9.07E-05,3,3,96,,,,
0.0018122,81,81,99,,,,
0.0001567,6,6,97,,,,
0.0002682,11,11,96,,,,
0.0015996,70,70,94,,,,
0.0013757,60,60,93,,,,
0.0001555,6,6,93,,,,
0.0009402,22,22,95,,,,
0.0006022,26,26,95,,,,
0.0003573,15,15,95,,,,
0.0012436,54,54,98,,,,
0.0002913,12,12,91,,,,
8.89E-05,3,3,89,,,,
0.0008194,36,36,88,,,,
0.0003139,13,13,89,,,,
0.0018877,84,84,87,,,,
0.0004235,18,18,88,,,,
0.0001563,6,6,94,,,,
0.0005207,18,18,100,,,,
0.0012656,55,55,105,,,,
0.0003555,15,15,109,,,,
0.0001195,4,4,101,,,,
0.0005091,22,22,107,,,,
0.0004695,20,20,107,,,,
0.0001788,7,7,109,,,,
0.0002972,12,12,109,,,,
0.0011999,49,49,103,,,,
0.000267,11,11,105,,,,
0.0014217,63,63,109,,,,
0.0004022,17,17,95,,,,
0.00043,18,18,96,,,,
0.0018497,68,68,98,,,,
0.000335,10,10,101,,,,
0.0003631,15,15,111,,,,
0.0005889,25,25,119,,,,
0.0017012,75,75,119,,,,
2.33E-05,0,0,119,,,,
0.00073,31,31,117,,,,
0.0001564,6,6,121,,,,
0.000222,9,9,121,,,,
0.000492,21,21,119,,,,
0.000641,28,28,109,,,,
0.0011569,50,50,114,,,,
6.68E-05,2,2,112,,,,
0.0004044,17,17,105,,,,
0.0012262,46,46,107,,,,
0.0015459,68,68,104,,,,
0.0027692,50,50,113,,,,
0.0018338,59,59,110,,,,
0.000786,19,19,109,,,,
0.000157,6,6,110,,,,
0.0001924,6,6,112,,,,
0.0009141,40,40,109,,,,
0.0001568,6,6,105,,,,
0.0004443,19,19,101,,,,
0.0001105,4,4,103,,,,
0.0002447,10,10,105,,,,
0.000535,23,23,106,,,,
9.00E-05,3,3,115,,,,
0.0015348,67,67,114,,,,
4.55E-05,1,1,124,,,,
0.000778,32,32,124,,,,
9.72E-05,3,3,119,,,,
0.0003629,15,15,116,,,,
0.0004781,16,16,118,,,,
0.0009679,42,42,119,,,,
0.0004867,21,21,120,,,,
0.0013274,58,58,118,,,,
0.0021905,74,74,116,,,,
0.0023815,106,106,114,,,,
0.0009512,42,42,115,,,,
0.0002466,10,10,116,,,,
0.0002891,12,12,115,,,,
6.82E-05,2,2,114,,,,
6.71E-05,2,2,121,,,,
0.001314,58,58,120,,,,
0.0002456,10,10,128,,,,
0.0002452,10,10,130,,,,
0.0017715,74,74,131,,,,
0.0005173,22,22,135,,,,
0.000112,4,4,135,,,,
6.75E-05,2,2,133,,,,
0.001718,76,76,131,,,,
0.0005244,22,22,130,,,,
0.002009,89,89,129,,,,
0.0013722,61,61,135,,,,
0.0028421,126,126,129,,,,
0.0011462,50,50,130,,,,
0.001137,50,50,131,,,,
0.0005976,26,26,130,,,,
0.0012288,54,54,131,,,,
0.000779,34,34,133,,,,
0.0012673,56,56,131,,,,
0.0001546,6,6,133,,,,
0.0019625,82,82,134,,,,
0.0014305,63,63,121,,,,
0.0001766,7,7,123,,,,
0.0004036,17,17,119,,,,
0.0001128,4,4,119,,,,
0.0014423,64,64,121,,,,
0.0006603,25,25,126,,,,
0.0008643,38,38,133,,,,
0.0002993,9,9,138,,,,
0.0006571,28,28,141,,,,
0.0001565,6,6,141,,,,
0.001218,48,48,133,,,,
0.0015628,69,69,133,,,,
0.0009173,30,30,131,,,,
0.0007073,25,25,131,,,,
0.0023655,105,105,130,,,,
0.001364,60,60,132,,,,
0.0009649,42,42,134,,,,
0.0005628,24,24,135,,,,
0.0020758,92,92,131,,,,
0.0017454,77,77,131,,,,
0.0005858,25,25,130,,,,
0.0003011,11,11,125,,,,
0.000747,32,32,122,,,,
0.0005604,24,24,126,,,,
0.0001558,6,6,124,,,,
0.0001256,4,4,126,,,,
0.0002036,8,8,132,,,,
0.0010416,43,43,140,,,,
0.0004489,19,19,143,,,,
0.0002013,8,8,150,,,,
0.0001119,4,4,148,,,,
0.0007751,34,34,148,,,,
0.0013944,41,41,144,,,,
0.0008869,39,39,144,,,,
0.0009503,42,42,144,,,,
0.0002793,7,7,139,,,,
0.0006264,26,26,139,,,,
0.0004193,16,16,135,,,,
0.0017077,75,75,138,,,,
0.0004302,18,18,150,,,,
0.0001123,4,4,152,,,,
0.0004738,20,20,151,,,,
0.0001343,5,5,153,,,,
0.0001618,5,5,153,,,,
0.0006571,28,28,154,,,,
0.0017059,76,76,150,,,,
0.0003317,14,14,151,,,,
0.0019223,80,80,153,,,,
0.0008444,37,37,151,,,,
0.0001785,7,7,150,,,,
6.77E-05,2,2,149,,,,
0.0018079,54,54,153,,,,
0.0011995,36,36,151,,,,
0.0007916,30,30,152,,,,
0.0018886,84,84,163,,,,
0.0009241,35,35,160,,,,
0.0017284,77,77,161,,,,
0.002106,75,75,155,,,,
0.0013025,58,58,160,,,,
2.33E-05,0,0,156,,,,
0.0001182,3,3,159,,,,
0.0008526,37,37,158,,,,
0.0007401,26,26,162,,,,
0.0006919,30,30,166,,,,
4.52E-05,1,1,162,,,,
0.0009803,31,31,163,,,,
0.0012436,55,55,161,,,,
0.0012347,55,55,161,,,,
4.44E-05,1,1,161,,,,
0.0007803,34,34,156,,,,
0.0003351,14,14,162,,,,
0.0006293,27,27,161,,,,
0.0011592,29,29,164,,,,
0.0009664,31,31,174,,,,
9.07E-05,3,3,173,,,,
0.0002897,12,12,172,,,,
0.000598,26,26,174,,,,
0.0009345,41,41,175,,,,
0.0011957,53,53,173,,,,
0.0021935,98,98,178,,,,
0.0004485,19,19,176,,,,
0.0014376,64,64,176,,,,
6.63E-05,2,2,178,,,,
0.0012323,55,55,179,,,,
8.94E-05,3,3,177,,,,
0.0012742,35,35,179,,,,
0.0007711,29,29,184,,,,
0.0015357,68,68,187,,,,
0.0017576,78,78,188,,,,
0.0003775,16,16,186,,,,
4.62E-05,1,1,187,,,,
0.0015127,67,67,186,,,,
6.69E-05,2,2,190,,,,
0.0006505,28,28,190,,,,
9.18E-05,3,3,188,,,,
0.0005808,25,25,188,,,,
2.30E-05,0,0,187,,,,
0.0007787,34,34,183,,,,
0.0005113,22,22,190,,,,
0.0013506,51,51,189,,,,
0.0004373,12,12,186,,,,
0.000609,26,26,184,,,,
0.0013714,61,61,181,,,,
0.0010685,23,23,181,,,,
0.0010997,41,41,181,,,,
0.000663,29,29,182,,,,
0.0017641,64,64,183,,,,
0.0008972,39,39,178,,,,
0.0023934,107,107,183,,,,
0.0007572,33,33,183,,,,
0.0002452,10,10,179,,,,
0.0023216,104,104,177,,,,
0.0008191,36,36,177,,,,
0.0005137,22,22,179,,,,
0.0001345,5,5,183,,,,
0.0012443,55,55,187,,,,
0.0002687,11,11,187,,,,
2.28E-05,0,0,193,,,,
0.0014269,63,63,195,,,,
0.0001331,5,5,196,,,,
0.0003996,17,17,189,,,,
0.0005778,25,25,189,,,,
0.0001067,3,3,192,,,,
0.0020728,92,92,198,,,,
0.002744,100,100,198,,,,
0.0004664,20,20,205,,,,
0.0005952,26,26,212,,,,
0.0013199,58,58,216,,,,
0.0003868,16,16,214,,,,
0.0020607,91,91,215,,,,
0.0002882,12,12,202,,,,
0.0002052,8,8,201,,,,
0.0002927,9,9,201,,,,
0.0031578,127,127,201,,,,
0.0003796,16,16,201,,,,
4.53E-05,1,1,211,,,,
0.0022227,98,98,211,,,,
0.0011256,30,30,212,,,,
0.000291,12,12,216,,,,
0.0005353,23,23,221,,,,
0.0016596,69,69,211,,,,
0.001708,76,76,209,,,,
0.0004259,18,18,208,,,,
0.000464,20,20,207,,,,
0.001523,67,67,209,,,,
0.0017531,78,78,214,,,,
0.0008486,37,37,214,,,,
0.0031194,138,138,214,,,,
0.0007991,35,35,216,,,,
0.0018281,80,80,213,,,,
0.0015987,70,70,221,,,,
0.0003107,13,13,221,,,,
0.0007682,33,33,229,,,,
0.0004005,17,17,228,,,,
0.0038885,157,157,238,,,,
0.000342,14,14,237,,,,
5.66E-05,1,1,235,,,,
6.80E-05,2,2,232,,,,
0.0025836,30,30,230,,,,
0.0007063,31,31,231,,,,
0.000156,6,6,233,,,,
0.001336,59,59,233,,,,
0.0010871,48,48,232,,,,
0.0004254,18,18,228,,,,
0.0015847,39,39,227,,,,
0.0013126,56,56,229,,,,
0.0004961,21,21,229,,,,
0.0007421,31,31,232,,,,
0.0003752,16,16,229,,,,
0.0005572,24,24,229,,,,
0.0023518,103,103,228,,,,
0.0004313,18,18,227,,,,
0.0001122,4,4,226,,,,
2.30E-05,0,0,227,,,,
0.0008263,35,35,226,,,,
0.0002076,6,6,222,,,,
0.0009418,41,41,222,,,,
0.0001115,4,4,225,,,,
0.0001291,4,4,228,,,,
0.0005859,25,25,229,,,,
0.0025664,105,105,241,,,,
0.000426,18,18,238,,,,
0.0002896,12,12,238,,,,
0.0009642,42,42,236,,,,
0.0015714,66,66,228,,,,
9.12E-05,3,3,228,,,,
0.0001779,7,7,235,,,,
0.0020239,63,63,236,,,,
0.0016434,69,69,235,,,,
0.0002986,9,9,240,,,,
0.0019875,89,89,246,,,,
0.0006003,26,26,247,,,,
0.0015633,70,70,250,,,,
0.000778,34,34,246,,,,
0.0020574,92,92,247,,,,
0.0005295,23,23,247,,,,
4.55E-05,1,1,246,,,,
0.0003867,16,16,250,,,,
0.0021115,94,94,252,,,,
0.0008811,35,35,255,,,,
0.0005782,25,25,251,,,,
2.29E-05,0,0,250,,,,
0.0020704,92,92,244,,,,
0.0021432,96,96,247,,,,
0.0003576,15,15,245,,,,
0.0039262,157,157,245,,,,
6.76E-05,2,2,231,,,,
8.93E-05,3,3,228,,,,
0.0005416,23,23,229,,,,
0.0003125,13,13,229,,,,
0.0001577,5,5,229,,,,
0.0011449,51,51,227,,,,
0.000424,18,18,228,,,,
0.0046778,182,182,232,,,,
0.0001405,5,5,235,,,,
0.0003972,17,17,232,,,,
0.0008757,38,38,237,,,,
0.0001328,5,5,236,,,,
0.0006165,27,27,230,,,,
0.0006234,26,26,232,,,,
0.0016199,72,72,232,,,,
4.55E-05,1,1,228,,,,
0.000291,12,12,237,,,,
0.0016232,72,72,236,,,,
0.0013484,59,59,236,,,,
0.0001336,5,5,237,,,,
4.55E-05,1,1,238,,,,
0.0001331,5,5,240,,,,
0.0003977,17,17,235,,,,
0.0013136,58,58,247,,,,
0.0012967,57,57,250,,,,
0.0009866,43,43,252,,,,
0.0009534,42,42,246,,,,
0.0006228,27,27,237,,,,
0.0008454,37,37,236,,,,
0.0009973,44,44,239,,,,
0.0001345,5,5,232,,,,
0.0007618,33,33,227,,,,
0.002465,100,100,226,,,,
0.0031116,139,139,223,,,,
0.0030159,104,104,218,,,,
0.0001558,6,6,227,,,,
2.28E-05,0,0,227,,,,
0.0004004,17,17,234,,,,
0.0004066,17,17,234,,,,
0.0003777,16,16,233,,,,
0.0002737,11,11,235,,,,
0.0014803,40,40,239,,,,
0.0012937,41,41,242,,,,
0.0001559,6,6,243,,,,
4.47E-05,1,1,243,,,,
0.0001344,5,5,239,,,,
0.0015118,59,59,240,,,,
4.54E-05,1,1,240,,,,
0.0014161,60,60,237,,,,
0.0008292,36,36,236,,,,
0.0053883,164,164,233,,,,
0.0004225,18,18,231,,,,
0.0002673,11,11,232,,,,
4.50E-05,1,1,232,,,,
0.0009497,41,41,232,,,,
0.0004638,20,20,232,,,,
0.0005358,23,23,232,,,,
0.0003075,13,13,231,,,,
0.0010211,42,42,234,,,,
0.0008767,25,25,235,,,,
0.0021263,95,95,232,,,,
0.0020891,85,85,235,,,,
0.0005505,24,24,235,,,,
0.0004892,21,21,235,,,,
0.0015036,66,66,235,,,,
0.0002693,11,11,233,,,,
2.29E-05,0,0,231,,,,
0.0008568,32,32,230,,,,
0.000617,21,21,231,,,,
0.0008775,38,38,239,,,,
0.0001338,5,5,236,,,,
0.0005426,23,23,236,,,,
0.0002895,12,12,240,,,,
0.000583,18,18,240,,,,
0.0011047,36,36,240,,,,
0.0001341,5,5,239,,,,
0.0011754,52,52,235,,,,
0.0010357,44,44,235,,,,
9.00E-05,3,3,232,,,,
0.000179,7,7,231,,,,
0.0003567,15,15,233,,,,
0.0002036,8,8,235,,,,
0.0001792,7,7,235,,,,
0.0004561,20,20,216,,,,
0.0001739,7,7,212,,,,
0.0003028,13,13,214,,,,
0.0009299,42,42,209,,,,
4.35E-05,1,1,207,,,,
0.0015652,40,40,205,,,,
0.0008949,40,40,208,,,,
0.0003532,15,15,208,,,,
2.29E-05,0,0,210,,,,
0.0024501,109,109,202,,,,
0.0002445,10,10,203,,,,
0.0001558,6,6,203,,,,
0.0035676,139,139,203,,,,
0.0002031,8,8,200,,,,
0.0005349,23,23,201,,,,
0.0005298,23,23,202,,,,
0.0008666,38,38,199,,,,
0.0012449,56,56,197,,,,
0.0008088,20,20,202,,,,
0.0003986,17,17,204,,,,
0.0006349,27,27,206,,,,
0.0002231,9,9,202,,,,
0.0015973,72,72,205,,,,
0.0009852,43,43,202,,,,
0.0005135,22,22,202,,,,
0.0010912,48,48,205,,,,
0.0007685,33,33,208,,,,
2.29E-05,0,0,203,,,,
0.0003417,14,14,204,,,,
0.0003211,13,13,204,,,,
0.0014789,48,48,196,,,,
0.0006051,24,24,189,,,,
0.0009784,43,43,181,,,,
0.0021496,96,96,182,,,,
0.0011314,49,49,189,,,,
0.0008005,35,35,184,,,,
0.0003099,13,13,178,,,,
6.70E-05,2,2,181,,,,
0.0007796,34,34,185,,,,
0.0029861,133,133,189,,,,
0.0006447,28,28,190,,,,
6.74E-05,2,2,196,,,,
0.0011569,50,50,195,,,,
0.0002903,12,12,200,,,,
0.0011137,37,37,201,,,,
0.0005852,24,24,195,,,,
0.0001562,6,6,194,,,,
0.0004523,19,19,197,,,,
0.0017387,76,76,195,,,,
0.0009794,40,40,199,,,,
0.0003188,13,13,201,,,,
4.55E-05,1,1,199,,,,
2.29E-05,0,0,199,,,,
9.07E-05,3,3,202,,,,
0.0013405,59,59,203,,,,
0.0008475,37,37,206,,,,
0.0009633,42,42,207,,,,
0.0031361,121,121,207,,,,
0.000619,27,27,208,,,,
0.000511,22,22,206,,,,
0.00122,50,50,204,,,,
0.0013774,60,60,207,,,,
0.0007599,33,33,210,,,,
0.0025239,84,84,210,,,,
0.0001903,6,6,211,,,,
0.0001894,5,5,206,,,,
0.0016266,40,40,205,,,,
0.0023634,68,68,206,,,,
0.0016445,72,72,226,,,,
0.0003092,13,13,226,,,,
0.0020342,72,72,215,,,,
0.0019244,85,85,219,,,,
0.001237,54,54,218,,,,
0.0014757,63,63,222,,,,
0.0008458,36,36,226,,,,
0.0014273,63,63,223,,,,
0.0001342,5,5,220,,,,
0.0017441,51,51,224,,,,
0.0017432,55,55,228,,,,
0.0016729,56,56,222,,,,
0.0012202,43,43,226,,,,
0.0020195,89,89,227,,,,
0.0010222,45,45,231,,,,
0.0003555,15,15,230,,,,
0.0006301,27,27,230,,,,
0.0001566,6,6,224,,,,
0.0006601,28,28,228,,,,
0.0006444,28,28,226,,,,
0.0001779,7,7,222,,,,
0.0010881,48,48,222,,,,
0.0001113,4,4,219,,,,
0.0018145,70,70,212,,,,
0.0018606,83,83,214,,,,
0.0006253,27,27,216,,,,
0.0010753,47,47,217,,,,
0.0006109,26,26,218,,,,
0.0002464,10,10,217,,,,
0.0024321,108,108,217,,,,
0.0013457,59,59,216,,,,
0.001122,26,26,218,,,,
0.0016253,70,70,219,,,,
0.0015757,69,69,218,,,,
0.0010257,45,45,224,,,,
0.0001114,4,4,228,,,,
0.0015498,68,68,218,,,,
0.0004683,20,20,216,,,,
0.0004231,18,18,214,,,,
9.02E-05,3,3,213,,,,
0.0023431,75,75,212,,,,
0.0015091,66,66,203,,,,
0.000756,33,33,205,,,,
0.0008263,36,36,204,,,,
0.0022542,92,92,202,,,,
0.0009714,34,34,202,,,,
0.0004462,19,19,203,,,,
0.0020551,92,92,203,,,,
0.0011331,50,50,197,,,,
0.003077,133,133,203,,,,
0.0007534,32,32,211,,,,
0.001483,63,63,211,,,,
0.0003526,15,15,210,,,,
0.001352,60,60,209,,,,
0.002163,93,93,208,,,,
0.0001999,8,8,205,,,,
0.001485,63,63,201,,,,
0.000423,18,18,196,,,,
0.0005837,25,25,194,,,,
0.0001559,6,6,189,,,,
0.0017376,75,75,189,,,,
0.0009667,42,42,180,,,,
0.0005392,23,23,179,,,,
0.0010679,47,47,179,,,,
0.0010684,47,47,180,,,,
0.0006403,28,28,178,,,,
0.0002232,9,9,180,,,,
0.0009584,42,42,186,,,,
