cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,
0.0001994,8,8,20,,,,
3.80E-05,0,0,14,,,,
0.0001106,4,4,15,,,,
0.0004824,14,14,15,,,,
2.27E-05,0,0,13,,,,
0.0001561,6,6,15,,,,
6.90E-05,2,2,13,,,,
0.0002016,8,8,10,,,,
0.0001508,4,4,9,,,,
0.0001113,4,4,6,,,,
2.30E-05,0,0,4,,,,
6.67E-05,2,2,4,,,,
2.28E-05,0,0,1,,,,
2.35E-05,0,0,11,,,,
6.73E-05,2,2,5,,,,
9.06E-05,3,3,9,,,,
0.0001116,4,4,11,,,,
0.0001352,5,5,11,,,,
0.000178,7,7,11,,,,
0.000222,9,9,17,,,,
2.28E-05,0,0,5,,,,
7.37E-05,2,2,5,,,,
0.0001118,4,4,6,,,,
0.0001166,4,4,8,,,,
4.53E-05,1,1,2,,,,
2.27E-05,0,0,2,,,,
3.05E-05,0,0,2,,,,
4.51E-05,1,1,4,,,,
4.63E-05,1,1,2,,,,
2.74E-05,0,0,3,,,,
9.36E-05,3,3,5,,,,
5.85E-05,1,1,2,,,,
4.52E-05,1,1,2,,,,
0.0002007,8,8,13,,,,
0.0002455,10,10,15,,,,
0.0002272,9,9,17,,,,
0.0005577,24,24,28,,,,
0.0002252,9,9,25,,,,
0.0002959,12,12,29,,,,
0.0004133,14,14,28,,,,
0.0002224,9,9,25,,,,
0.0002446,10,10,30,,,,
0.0002006,8,8,27,,,,
0.0002139,6,6,24,,,,
0.0001617,6,6,26,,,,
0.000132,5,5,26,,,,
0.0001554,6,6,43,,,,
0.0007486,33,33,43,,,,
8.95E-05,3,3,41,,,,
0.000364,15,15,42,,,,
0.0002455,10,10,34,,,,
0.0006673,29,29,34,,,,
0.0005184,22,22,34,,,,
0.0001865,7,7,35,,,,
0.0005639,24,24,25,,,,
0.0001121,4,4,27,,,,
0.0005803,25,25,39,,,,
0.0002235,9,9,38,,,,
0.0005546,24,24,37,,,,
0.0002443,10,10,38,,,,
0.0005344,23,23,39,,,,
0.0002901,12,12,45,,,,
0.0004666,20,20,43,,,,
0.0007693,33,33,40,,,,
0.0003119,13,13,34,,,,
0.0007498,32,32,37,,,,
0.0007104,31,31,38,,,,
4.51E-05,1,1,35,,,,
0.0002254,9,9,39,,,,
0.0002463,10,10,36,,,,
0.0008026,35,35,38,,,,
0.0004363,15,15,31,,,,
0.000223,9,9,33,,,,
5.88E-05,0,0,33,,,,
0.0003988,17,17,36,,,,
0.0008939,19,19,30,,,,
0.0004467,19,19,32,,,,
0.0003135,13,13,28,,,,
0.0001568,6,6,19,,,,
2.29E-05,0,0,18,,,,
0.0002836,3,3,18,,,,
0.0002016,8,8,23,,,,
4.51E-05,1,1,29,,,,
0.0002268,7,7,25,,,,
2.27E-05,0,0,26,,,,
0.0001754,7,7,24,,,,
0.0002739,11,11,23,,,,
4.48E-05,1,1,23,,,,
0.0003154,13,13,20,,,,
0.0001774,7,7,29,,,,
0.0002905,12,12,26,,,,
0.0002773,10,10,26,,,,
0.0002693,11,11,23,,,,
0.000223,9,9,21,,,,
0.0006084,22,22,23,,,,
0.0003391,14,14,17,,,,
0.0002436,10,10,19,,,,
8.88E-05,3,3,15,,,,
0.0001985,8,8,14,,,,
4.51E-05,1,1,10,,,,
0.0001835,6,6,11,,,,
4.49E-05,1,1,10,,,,
0.0001335,5,5,11,,,,
2.27E-05,0,0,11,,,,
6.76E-05,2,2,12,,,,
0.0002219,9,9,10,,,,
3.70E-05,0,0,11,,,,
4.52E-05,1,1,2,,,,
4.56E-05,1,1,2,,,,
0.000202,8,8,11,,,,
4.49E-05,1,1,10,,,,
3.10E-05,0,0,9,,,,
4.85E-05,1,1,16,,,,
0.0001344,5,5,15,,,,
0.0002231,9,9,11,,,,
6.18E-05,1,1,6,,,,
7.39E-05,2,2,5,,,,
0.0001108,4,4,7,,,,
4.54E-05,1,1,8,,,,
4.52E-05,1,1,2,,,,
4.53E-05,1,1,6,,,,
6.74E-05,1,1,8,,,,
0.0001777,7,7,8,,,,
0.0001997,8,8,10,,,,
6.75E-05,2,2,11,,,,
0.0002214,9,9,10,,,,
2.27E-05,0,0,10,,,,
0.000223,9,9,21,,,,
0.0001327,5,5,26,,,,
0.0001469,5,5,25,,,,
6.63E-05,2,2,22,,,,
0.0002686,11,11,23,,,,
0.0002754,11,11,22,,,,
0.0002661,11,11,20,,,,
2.29E-05,0,0,20,,,,
0.0001576,6,6,12,,,,
2.29E-05,0,0,20,,,,
0.0002481,10,10,18,,,,
0.0004177,12,12,20,,,,
0.0005345,21,21,33,,,,
2.30E-05,0,0,39,,,,
0.0004875,21,21,35,,,,
0.0001125,4,4,33,,,,
0.0001124,4,4,29,,,,
0.0005305,20,20,31,,,,
0.0004936,20,20,31,,,,
0.0002458,10,10,27,,,,
0.0001566,6,6,27,,,,
6.76E-05,2,2,24,,,,
0.0003558,15,15,24,,,,
0.0002022,8,8,24,,,,
0.000312,13,13,28,,,,
6.86E-05,2,2,27,,,,
0.0005703,21,21,26,,,,
0.0004611,18,18,26,,,,
0.0003113,13,13,27,,,,
0.0005438,12,12,23,,,,
0.0004697,16,16,26,,,,
0.0006114,21,21,24,,,,
6.77E-05,2,2,22,,,,
0.0002209,9,9,21,,,,
0.0001119,4,4,19,,,,
0.0003138,13,13,14,,,,
0.0089456,5,5,10,,,,
0.0003236,8,8,10,,,,
0.0003715,7,7,11,,,,
0.0001632,5,5,9,,,,
0.0003561,4,4,8,,,,
0.0002885,9,9,11,,,,
8.97E-05,3,3,11,,,,
0.0001331,5,5,15,,,,
2.26E-05,0,0,13,,,,
0.0001126,4,4,14,,,,
0.0004228,13,13,14,,,,
0.0002771,8,8,14,,,,
8.79E-05,2,2,13,,,,
0.0001728,5,5,14,,,,
0.000342,9,9,15,,,,
0.0001178,4,4,14,,,,
6.18E-05,1,1,14,,,,
0.0001262,3,3,17,,,,
0.0004944,15,15,17,,,,
2.35E-05,0,0,16,,,,
0.0003736,12,12,16,,,,
2.95E-05,0,0,7,,,,
2.30E-05,0,0,2,,,,
0.0001115,4,4,5,,,,
0.0001113,4,4,6,,,,
4.58E-05,1,1,2,,,,
6.76E-05,2,2,3,,,,
4.51E-05,1,1,4,,,,
0.0001553,6,6,8,,,,
2.37E-05,0,0,1,,,,
0.0001548,2,2,4,,,,
3.37E-05,0,0,6,,,,
2.34E-05,0,0,1,,,,
