cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
8.42E-05,35,0,23,,,,
8.41E-05,8,16,24,,,,
8.38E-05,42,5,25,,,,
8.73E-05,40,0,27,,,,
8.45E-05,16,17,26,,,,
9.07E-05,18,26,28,,,,
8.39E-05,9,8,29,,,,
8.37E-05,20,18,30,,,,
8.47E-05,20,25,31,,,,
9.10E-05,29,27,38,,,,
9.87E-05,2,1,40,,,,
0.000121,2,37,41,,,,
8.48E-05,18,12,42,,,,
8.43E-05,11,12,42,,,,
8.42E-05,38,35,41,,,,
8.41E-05,28,20,42,,,,
8.46E-05,9,27,43,,,,
8.39E-05,35,37,43,,,,
8.42E-05,42,38,46,,,,
8.38E-05,7,27,45,,,,
8.40E-05,20,40,48,,,,
9.99E-05,29,13,46,,,,
8.75E-05,43,40,47,,,,
0.0001722,31,41,47,,,,
0.0001278,10,37,50,,,,
8.39E-05,44,38,49,,,,
8.53E-05,17,34,53,,,,
8.43E-05,11,18,51,,,,
8.46E-05,23,13,52,,,,
0.0002614,39,19,54,,,,
0.0001152,26,32,52,,,,
0.0001191,13,43,54,,,,
8.48E-05,12,4,55,,,,
8.40E-05,22,37,53,,,,
8.44E-05,31,22,56,,,,
8.47E-05,29,5,52,,,,
8.51E-05,18,6,44,,,,
8.49E-05,30,20,45,,,,
0.0001227,1,32,43,,,,
8.57E-05,42,1,46,,,,
8.50E-05,29,6,45,,,,
8.49E-05,20,34,45,,,,
8.51E-05,37,36,45,,,,
8.41E-05,11,37,43,,,,
8.36E-05,16,4,45,,,,
8.36E-05,36,2,45,,,,
8.34E-05,15,19,37,,,,
8.30E-05,15,33,38,,,,
8.32E-05,12,28,39,,,,
8.36E-05,9,20,40,,,,
8.32E-05,8,21,41,,,,
8.33E-05,26,34,42,,,,
8.33E-05,34,2,44,,,,
8.33E-05,31,41,45,,,,
8.30E-05,6,7,43,,,,
0.000122,14,9,43,,,,
8.92E-05,35,21,44,,,,
8.40E-05,30,15,44,,,,
8.42E-05,43,1,46,,,,
9.35E-05,28,4,49,,,,
9.38E-05,43,44,47,,,,
9.37E-05,7,7,48,,,,
8.43E-05,13,24,47,,,,
8.41E-05,24,9,41,,,,
8.37E-05,22,35,43,,,,
8.41E-05,41,43,46,,,,
8.41E-05,25,41,47,,,,
9.03E-05,32,39,46,,,,
8.42E-05,32,23,46,,,,
8.37E-05,40,38,47,,,,
8.41E-05,34,10,45,,,,
8.37E-05,40,3,45,,,,
8.39E-05,38,12,46,,,,
8.40E-05,7,16,46,,,,
0.0002271,38,16,46,,,,
8.79E-05,37,34,47,,,,
8.36E-05,6,19,44,,,,
8.33E-05,2,32,36,,,,
9.07E-05,12,29,38,,,,
8.38E-05,14,6,37,,,,
8.42E-05,1,13,36,,,,
8.39E-05,43,15,35,,,,
8.41E-05,24,18,36,,,,
8.37E-05,31,9,37,,,,
8.51E-05,23,13,37,,,,
9.14E-05,39,17,30,,,,
8.39E-05,19,5,32,,,,
8.52E-05,32,28,34,,,,
9.09E-05,15,28,32,,,,
9.49E-05,44,24,33,,,,
8.35E-05,10,4,32,,,,
0.000134,6,11,31,,,,
8.43E-05,7,5,31,,,,
8.91E-05,41,16,32,,,,
8.79E-05,21,6,32,,,,
9.37E-05,3,5,34,,,,
8.50E-05,32,3,35,,,,
8.52E-05,28,21,37,,,,
8.67E-05,6,13,30,,,,
8.48E-05,9,12,30,,,,
8.44E-05,7,3,31,,,,
8.40E-05,15,19,27,,,,
8.48E-05,22,9,19,,,,
9.08E-05,42,5,17,,,,
8.43E-05,22,0,22,,,,
8.37E-05,17,1,16,,,,
8.38E-05,6,5,19,,,,
8.40E-05,12,16,20,,,,
0.000156,8,3,18,,,,
0.0001183,21,10,18,,,,
8.50E-05,16,3,18,,,,
8.40E-05,45,4,15,,,,
8.43E-05,6,0,10,,,,
8.40E-05,20,5,11,,,,
8.41E-05,43,9,13,,,,
8.49E-05,31,6,15,,,,
8.39E-05,33,1,15,,,,
8.41E-05,6,5,15,,,,
8.38E-05,35,5,13,,,,
9.25E-05,39,8,10,,,,
8.71E-05,25,2,11,,,,
8.40E-05,5,2,7,,,,
8.38E-05,17,2,5,,,,
8.40E-05,18,3,5,,,,
8.39E-05,1,4,6,,,,
8.39E-05,8,0,3,,,,
1.70E-05,2,0,1,,,,
8.50E-05,37,0,2,,,,
2.08E-05,12,0,1,,,,
1.82E-05,13,0,1,,,,
1.80E-05,35,0,1,,,,
8.53E-05,24,2,4,,,,
1.80E-05,44,0,1,,,,
1.83E-05,23,0,1,,,,
9.24E-05,23,0,2,,,,
1.74E-05,8,0,1,,,,
8.39E-05,2,0,2,,,,
1.72E-05,26,0,1,,,,
1.72E-05,34,0,1,,,,
8.38E-05,18,0,2,,,,
8.39E-05,34,1,3,,,,
1.91E-05,25,0,1,,,,
8.47E-05,17,0,2,,,,
1.72E-05,11,0,1,,,,
0.0001096,39,0,1,,,,
8.72E-05,44,0,3,,,,
1.74E-05,31,0,1,,,,
9.12E-05,20,0,2,,,,
0.0001636,39,0,4,,,,
0.0001139,7,0,4,,,,
8.51E-05,34,0,2,,,,
1.82E-05,6,0,1,,,,
8.49E-05,20,0,2,,,,
8.45E-05,20,0,2,,,,
0.0002284,33,0,2,,,,
0.0001542,43,0,3,,,,
0.0009677,33,1,4,,,,
0.000111,18,1,5,,,,
9.51E-05,24,3,5,,,,
1.81E-05,28,0,1,,,,
8.41E-05,2,0,2,,,,
8.41E-05,39,0,3,,,,
0.0001106,7,0,3,,,,
8.97E-05,38,5,10,,,,
0.0001164,20,2,11,,,,
8.36E-05,21,1,10,,,,
8.43E-05,38,2,13,,,,
0.0001227,6,5,14,,,,
0.0001197,10,7,12,,,,
0.0001677,16,3,12,,,,
0.000108,18,3,11,,,,
0.000107,32,3,14,,,,
0.0001181,13,3,10,,,,
0.0001102,26,3,12,,,,
8.42E-05,13,9,15,,,,
8.42E-05,26,12,17,,,,
8.44E-05,13,6,18,,,,
9.87E-05,37,3,19,,,,
8.50E-05,43,14,21,,,,
8.53E-05,30,13,22,,,,
8.46E-05,15,19,23,,,,
8.45E-05,24,24,30,,,,
0.0001126,37,24,29,,,,
0.0001159,7,27,31,,,,
8.50E-05,24,0,33,,,,
8.36E-05,42,8,37,,,,
8.46E-05,33,1,38,,,,
8.43E-05,39,16,27,,,,
8.48E-05,27,1,25,,,,
8.53E-05,1,2,25,,,,
8.39E-05,26,10,27,,,,
8.40E-05,16,5,28,,,,
8.42E-05,36,12,26,,,,
8.38E-05,22,13,27,,,,
9.64E-05,31,9,28,,,,
8.68E-05,12,4,29,,,,
8.53E-05,42,7,27,,,,
8.30E-05,38,20,26,,,,
8.47E-05,4,20,27,,,,
8.77E-05,18,14,28,,,,
9.02E-05,15,12,31,,,,
8.42E-05,2,9,32,,,,
8.50E-05,12,8,28,,,,
8.58E-05,24,22,29,,,,
8.47E-05,6,26,30,,,,
8.40E-05,2,5,31,,,,
8.42E-05,17,9,31,,,,
8.38E-05,22,25,32,,,,
8.35E-05,30,28,33,,,,
8.60E-05,10,14,35,,,,
0.0001626,23,26,39,,,,
0.0001245,39,21,40,,,,
8.73E-05,15,16,36,,,,
8.35E-05,40,36,38,,,,
8.41E-05,16,32,36,,,,
8.45E-05,3,1,35,,,,
8.64E-05,41,3,30,,,,
8.38E-05,4,5,26,,,,
8.35E-05,28,24,27,,,,
8.35E-05,19,22,27,,,,
8.36E-05,10,16,26,,,,
8.40E-05,44,18,26,,,,
8.44E-05,11,17,21,,,,
9.43E-05,26,16,23,,,,
8.65E-05,33,14,24,,,,
8.39E-05,14,8,22,,,,
8.37E-05,33,16,23,,,,
8.36E-05,12,13,22,,,,
0.0001323,33,4,23,,,,
9.35E-05,20,4,24,,,,
8.36E-05,39,22,25,,,,
8.40E-05,13,10,22,,,,
8.34E-05,28,1,22,,,,
8.39E-05,33,20,23,,,,
8.65E-05,16,9,20,,,,
8.33E-05,16,1,20,,,,
8.87E-05,22,1,21,,,,
8.32E-05,43,21,23,,,,
8.31E-05,38,5,22,,,,
8.34E-05,35,14,23,,,,
8.35E-05,2,21,24,,,,
0.0001226,26,1,24,,,,
8.42E-05,25,15,28,,,,
8.39E-05,30,23,30,,,,
8.39E-05,12,14,28,,,,
8.41E-05,43,20,29,,,,
8.39E-05,37,21,28,,,,
9.66E-05,43,9,24,,,,
9.55E-05,30,18,23,,,,
8.41E-05,40,19,22,,,,
8.39E-05,31,4,20,,,,
8.40E-05,18,1,19,,,,
8.49E-05,43,9,20,,,,
8.51E-05,27,1,21,,,,
8.49E-05,21,0,22,,,,
8.35E-05,11,10,15,,,,
9.04E-05,28,7,15,,,,
9.27E-05,10,1,16,,,,
8.39E-05,9,10,13,,,,
8.38E-05,18,5,13,,,,
8.71E-05,23,10,16,,,,
0.0001847,45,2,22,,,,
0.0001159,20,4,25,,,,
0.0001195,3,19,28,,,,
0.0001457,4,27,29,,,,
8.71E-05,34,1,29,,,,
8.40E-05,3,1,28,,,,
8.37E-05,12,26,29,,,,
8.46E-05,33,17,29,,,,
9.31E-05,39,17,33,,,,
8.48E-05,35,25,35,,,,
8.38E-05,34,3,35,,,,
8.49E-05,17,5,36,,,,
0.0001738,14,1,36,,,,
0.0001243,45,15,38,,,,
8.41E-05,7,31,35,,,,
8.44E-05,45,23,34,,,,
8.44E-05,20,1,32,,,,
0.0005326,40,27,33,,,,
8.47E-05,29,4,33,,,,
8.48E-05,24,8,34,,,,
8.56E-05,13,33,35,,,,
8.53E-05,10,14,33,,,,
8.46E-05,45,22,36,,,,
8.39E-05,26,8,32,,,,
0.0001167,36,8,32,,,,
8.62E-05,34,27,32,,,,
8.51E-05,17,12,30,,,,
9.17E-05,16,2,27,,,,
8.39E-05,10,14,25,,,,
8.49E-05,34,9,27,,,,
8.42E-05,38,17,31,,,,
8.61E-05,10,5,37,,,,
8.44E-05,6,31,35,,,,
8.43E-05,38,14,31,,,,
8.46E-05,28,21,32,,,,
8.38E-05,6,28,34,,,,
9.55E-05,36,13,32,,,,
8.39E-05,7,0,29,,,,
9.27E-05,16,9,30,,,,
8.42E-05,10,0,31,,,,
8.40E-05,10,2,27,,,,
8.40E-05,22,17,28,,,,
0.0001075,29,21,23,,,,
0.0001519,1,4,15,,,,
0.0001908,2,1,13,,,,
0.0001136,29,10,16,,,,
0.0001179,28,4,16,,,,
0.0001173,25,9,16,,,,
0.0001075,18,1,16,,,,
0.0002834,5,7,17,,,,
8.41E-05,4,4,12,,,,
8.44E-05,45,1,12,,,,
0.0001159,29,0,13,,,,
0.0001138,33,4,8,,,,
9.26E-05,4,0,12,,,,
8.39E-05,41,4,14,,,,
8.42E-05,5,1,15,,,,
8.35E-05,4,8,10,,,,
0.0001182,30,8,12,,,,
0.0001085,22,9,13,,,,
0.0001135,2,3,14,,,,
9.18E-05,20,5,15,,,,
8.65E-05,12,5,16,,,,
8.48E-05,12,9,16,,,,
8.54E-05,8,6,18,,,,
8.45E-05,15,12,19,,,,
9.42E-05,39,7,19,,,,
8.47E-05,22,9,19,,,,
0.00011,17,6,15,,,,
0.0001105,12,3,16,,,,
9.01E-05,38,5,18,,,,
8.45E-05,12,5,18,,,,
8.44E-05,41,10,17,,,,
8.42E-05,13,6,18,,,,
8.89E-05,13,3,16,,,,
8.44E-05,32,7,18,,,,
8.42E-05,38,13,19,,,,
8.41E-05,19,9,18,,,,
8.44E-05,26,9,19,,,,
8.51E-05,42,6,19,,,,
8.42E-05,3,11,21,,,,
0.0001078,39,15,20,,,,
8.41E-05,18,20,23,,,,
8.40E-05,37,2,21,,,,
8.90E-05,23,16,25,,,,
8.47E-05,3,7,27,,,,
8.43E-05,3,19,29,,,,
8.42E-05,29,21,28,,,,
8.38E-05,5,17,27,,,,
8.43E-05,4,14,28,,,,
8.45E-05,43,15,27,,,,
8.46E-05,14,11,28,,,,
8.40E-05,37,26,28,,,,
8.44E-05,30,7,29,,,,
8.41E-05,8,11,29,,,,
8.88E-05,15,21,30,,,,
9.08E-05,23,7,29,,,,
8.50E-05,16,26,32,,,,
8.39E-05,25,10,32,,,,
8.38E-05,34,2,31,,,,
8.45E-05,29,26,33,,,,
8.39E-05,41,12,33,,,,
0.00013,34,28,34,,,,
8.44E-05,38,17,35,,,,
8.43E-05,4,1,36,,,,
8.41E-05,16,6,36,,,,
8.36E-05,34,29,36,,,,
0.0001141,1,10,35,,,,
0.0001444,32,18,38,,,,
8.38E-05,43,23,38,,,,
8.45E-05,7,11,39,,,,
8.47E-05,3,4,39,,,,
8.36E-05,25,16,31,,,,
0.0001294,16,11,31,,,,
0.0001377,45,26,32,,,,
8.49E-05,40,18,34,,,,
0.0001542,31,8,27,,,,
0.0001148,32,16,28,,,,
8.45E-05,21,7,30,,,,
0.000114,35,14,26,,,,
8.45E-05,33,13,23,,,,
8.38E-05,43,13,26,,,,
0.0001086,40,1,19,,,,
9.95E-05,20,2,20,,,,
8.59E-05,17,14,22,,,,
8.51E-05,27,10,21,,,,
0.0001248,2,6,20,,,,
0.0001094,5,8,15,,,,
0.0001107,24,8,16,,,,
8.63E-05,23,17,19,,,,
8.50E-05,25,6,19,,,,
0.0001215,41,2,19,,,,
8.50E-05,43,5,20,,,,
8.50E-05,2,12,19,,,,
8.48E-05,41,8,20,,,,
8.55E-05,36,14,17,,,,
8.57E-05,4,15,19,,,,
8.99E-05,32,12,19,,,,
8.48E-05,17,18,20,,,,
8.43E-05,37,15,19,,,,
0.0001852,15,12,15,,,,
8.54E-05,4,12,18,,,,
0.0001111,9,7,17,,,,
0.0001874,28,10,16,,,,
8.52E-05,16,12,16,,,,
0.0001884,40,3,12,,,,
8.53E-05,23,9,13,,,,
8.65E-05,1,18,20,,,,
8.48E-05,38,1,20,,,,
0.0002494,41,6,21,,,,
0.0001542,8,0,16,,,,
0.0001392,28,7,17,,,,
9.05E-05,21,12,15,,,,
8.50E-05,30,1,12,,,,
8.51E-05,19,3,10,,,,
8.52E-05,8,0,11,,,,
8.48E-05,30,9,11,,,,
8.89E-05,17,5,12,,,,
0.0001298,10,4,8,,,,
0.0001342,38,2,6,,,,
0.0001181,24,0,2,,,,
0.0001226,6,0,2,,,,
0.0001238,17,1,4,,,,
0.0001215,30,3,6,,,,
0.0001159,32,1,7,,,,
8.56E-05,5,1,4,,,,
9.45E-05,30,1,7,,,,
8.49E-05,23,3,8,,,,
8.54E-05,39,5,10,,,,
8.50E-05,21,7,11,,,,
9.36E-05,18,8,12,,,,
0.0001164,22,1,11,,,,
8.43E-05,11,4,10,,,,
8.54E-05,38,2,11,,,,
8.57E-05,30,7,12,,,,
8.45E-05,31,0,13,,,,
8.45E-05,17,7,11,,,,
8.49E-05,18,4,11,,,,
8.46E-05,6,4,13,,,,
8.43E-05,5,12,14,,,,
8.46E-05,27,4,15,,,,
8.46E-05,10,3,9,,,,
0.0001094,16,0,10,,,,
8.82E-05,42,4,10,,,,
8.38E-05,17,6,11,,,,
8.34E-05,30,9,12,,,,
8.58E-05,3,5,10,,,,
8.39E-05,37,6,8,,,,
9.34E-05,8,6,8,,,,
8.38E-05,11,6,9,,,,
8.97E-05,41,1,10,,,,
8.38E-05,43,2,8,,,,
8.41E-05,24,2,10,,,,
8.41E-05,15,9,11,,,,
8.46E-05,39,4,13,,,,
8.47E-05,38,8,13,,,,
8.42E-05,6,3,18,,,,
8.41E-05,32,14,19,,,,
8.40E-05,39,16,19,,,,
9.34E-05,24,4,18,,,,
8.60E-05,45,0,19,,,,
8.90E-05,40,4,19,,,,
8.40E-05,26,12,23,,,,
8.37E-05,8,4,23,,,,
8.39E-05,5,10,20,,,,
8.34E-05,6,14,19,,,,
0.0001293,3,4,15,,,,
0.0001051,29,2,15,,,,
8.47E-05,25,6,17,,,,
8.41E-05,6,2,17,,,,
0.0001217,27,4,15,,,,
8.89E-05,36,7,16,,,,
9.26E-05,14,2,16,,,,
0.0001141,37,13,16,,,,
8.45E-05,5,11,13,,,,
8.45E-05,36,11,15,,,,
8.41E-05,16,9,18,,,,
8.40E-05,30,5,12,,,,
8.54E-05,22,5,11,,,,
8.35E-05,7,2,8,,,,
8.34E-05,15,2,9,,,,
8.43E-05,9,2,4,,,,
8.37E-05,29,0,4,,,,
8.36E-05,11,3,5,,,,
8.40E-05,26,3,5,,,,
8.33E-05,31,0,3,,,,
8.38E-05,12,0,4,,,,
1.73E-05,23,0,1,,,,
8.42E-05,13,0,5,,,,
8.42E-05,5,0,9,,,,
0.0001172,38,0,10,,,,
8.37E-05,27,1,10,,,,
8.58E-05,41,3,5,,,,
8.42E-05,2,1,6,,,,
8.37E-05,32,2,6,,,,
9.88E-05,13,1,5,,,,
8.40E-05,23,1,8,,,,
8.67E-05,34,0,10,,,,
8.58E-05,37,0,9,,,,
8.36E-05,15,2,10,,,,
8.35E-05,26,9,11,,,,
9.40E-05,34,3,9,,,,
8.42E-05,27,0,10,,,,
8.36E-05,38,3,10,,,,
8.88E-05,32,3,11,,,,
8.65E-05,23,8,12,,,,
8.37E-05,25,6,13,,,,
0.0001679,3,1,12,,,,
8.46E-05,41,7,16,,,,
