cas operacie,cislo,index prvku,dlzka zoznamu,,,,,,,,
1.84E-05,92,32,81,,,,,0.0000174,91,1,9
2.05E-05,92,80,82,,,,,0.0000173,92,6,9
1.79E-05,95,13,78,,,,,0.0000219,95,5,9
1.98E-05,93,45,84,,,,,0.0000183,95,5,9
1.98E-05,93,44,94,,,,,0.0000173,93,7,10
1.87E-05,95,42,94,,,,,0.0000177,92,5,10
2.03E-05,92,60,97,,,,,0.0000173,94,6,10
2.32E-05,93,4,97,,,,,0.0000189,94,7,10
2.34E-05,93,70,97,,,,,0.0000173,95,1,10
2.24E-05,95,64,94,,,,,0.0000207,93,6,10
2.09E-05,94,80,97,,,,,0.0000174,94,7,10
1.88E-05,94,18,99,,,,,0.0000176,93,4,10
1.99E-05,92,69,100,,,,,0.0000173,93,4,10
1.79E-05,91,23,101,,,,,0.0000173,92,5,10
2.03E-05,91,90,100,,,,,0.0000248,92,2,10
1.73E-05,94,6,95,,,,,0.000017,91,1,10
1.72E-05,91,3,97,,,,,0.0000173,93,4,10
2.16E-05,92,82,93,,,,,0.0000171,92,2,10
1.76E-05,94,11,97,,,,,0.0000177,94,4,10
1.73E-05,94,1,93,,,,,0.0000186,93,5,11
7.33E-05,93,79,94,,,,,0.0000182,92,1,11
2.09E-05,95,77,83,,,,,0.0000181,91,0,11
2.35E-05,91,29,80,,,,,0.0000175,91,2,11
2.17E-05,93,86,90,,,,,0.0000175,92,5,11
2.07E-05,91,76,86,,,,,0.0000173,93,4,11
1.82E-05,95,10,86,,,,,0.0000181,91,8,11
2.21E-05,92,81,85,,,,,0.0000175,95,2,11
2.52E-05,91,15,86,,,,,0.0000249,91,9,11
1.84E-05,91,28,78,,,,,0.0000314,91,8,11
1.86E-05,92,37,88,,,,,0.0000173,91,7,11
2.57E-05,95,88,96,,,,,0.0000174,92,9,11
1.85E-05,92,36,85,,,,,0.0000173,95,2,11
1.82E-05,94,27,91,,,,,0.0000173,91,3,11
1.95E-05,95,62,92,,,,,0.0000173,94,3,11
1.96E-05,92,72,94,,,,,0.0000177,94,2,11
1.93E-05,95,58,96,,,,,0.0000181,95,9,11
1.78E-05,91,10,97,,,,,0.0000175,92,3,11
3.06E-05,91,21,90,,,,,0.0000207,92,7,11
2.72E-05,95,11,100,,,,,0.0000175,92,7,12
1.80E-05,95,23,88,,,,,0.000018,92,5,12
2.39E-05,91,49,81,,,,,0.0000179,94,8,12
1.96E-05,94,34,77,,,,,0.0000187,93,10,12
1.99E-05,93,76,80,,,,,0.0000181,95,1,12
2.77E-05,92,77,81,,,,,0.0000174,92,10,12
3.30E-05,93,28,93,,,,,0.0000174,92,10,12
2.19E-05,94,96,100,,,,,0.0000174,94,5,12
1.99E-05,91,49,97,,,,,0.0000173,93,7,12
1.99E-05,93,44,90,,,,,0.0000173,93,5,12
2.54E-05,91,62,87,,,,,0.0000172,91,2,12
1.91E-05,95,47,87,,,,,0.0000178,95,10,12
2.01E-05,91,82,89,,,,,0.0000171,93,0,12
1.85E-05,92,30,88,,,,,0.0000176,93,2,12
2.19E-05,94,19,88,,,,,0.0000179,93,7,12
2.08E-05,91,75,87,,,,,0.0000174,95,7,12
1.97E-05,93,60,81,,,,,0.0000191,92,1,12
1.98E-05,94,69,82,,,,,0.0000176,92,9,12
1.94E-05,91,63,79,,,,,0.0000218,95,10,12
