cas operacie,cislo,index prvku,dlzka zoznamu,,,,,,,,
9.36E-05,92,15,22,,,,,0.0000182,95,34,36
1.76E-05,92,8,13,,,,,0.0000183,91,25,36
1.71E-05,92,0,7,,,,,0.0000182,92,24,36
1.72E-05,92,3,8,,,,,0.0000179,92,20,36
1.71E-05,92,1,14,,,,,0.0000229,91,28,37
2.48E-05,92,1,6,,,,,0.0000189,92,5,37
3.50E-05,94,7,9,,,,,0.0000188,92,30,37
1.84E-05,95,6,13,,,,,0.0000176,94,15,37
1.85E-05,92,5,17,,,,,0.0000187,92,33,37
1.77E-05,94,6,21,,,,,0.0000284,94,27,37
2.02E-05,92,19,27,,,,,0.0000205,95,34,37
1.77E-05,94,3,28,,,,,0.0000196,92,13,37
1.89E-05,91,18,27,,,,,0.0000179,92,5,37
1.78E-05,93,18,22,,,,,0.0000193,92,33,37
1.74E-05,91,4,21,,,,,0.0000183,92,24,38
1.72E-05,93,5,22,,,,,0.0000188,91,0,38
1.87E-05,93,3,27,,,,,0.0000181,92,25,38
1.86E-05,94,17,26,,,,,0.000019,95,21,38
1.72E-05,93,0,21,,,,,0.0000197,92,10,38
1.76E-05,95,7,28,,,,,0.0000173,92,8,38
1.85E-05,94,10,29,,,,,0.0000175,93,16,38
1.86E-05,94,10,30,,,,,0.0000188,92,11,38
1.99E-05,91,12,26,,,,,0.0000171,94,0,39
1.96E-05,92,23,34,,,,,0.0000183,95,28,39
2.84E-05,94,27,37,,,,,0.0000179,94,3,39
1.97E-05,92,10,38,,,,,0.0000183,91,29,39
1.84E-05,93,31,41,,,,,0.0000196,91,8,39
1.72E-05,92,0,41,,,,,0.0000179,95,17,39
1.95E-05,92,31,42,,,,,0.0000187,95,21,40
1.75E-05,91,6,32,,,,,0.0000185,92,37,40
1.79E-05,94,17,41,,,,,0.0000184,92,4,40
1.76E-05,93,3,34,,,,,0.0000191,91,34,40
1.73E-05,95,3,31,,,,,0.000018,93,27,40
2.20E-05,95,18,20,,,,,0.0000183,91,2,40
1.73E-05,92,3,23,,,,,0.0000182,91,6,40
1.77E-05,92,14,23,,,,,0.0000181,95,10,40
1.93E-05,91,18,24,,,,,0.0000198,94,22,40
2.22E-05,91,5,13,,,,,0.0000429,94,26,40
1.78E-05,95,13,15,,,,,0.0000195,92,37,40
1.72E-05,94,2,14,,,,,0.0000193,93,34,40
1.77E-05,94,5,9,,,,,0.0000181,95,24,41
1.73E-05,92,2,9,,,,,0.0000186,92,14,41
1.74E-05,92,9,11,,,,,0.0000184,93,31,41
1.73E-05,92,5,10,,,,,0.0000172,92,0,41
1.82E-05,92,0,1,,,,,0.0000179,94,17,41
1.82E-05,92,0,3,,,,,0.0000171,94,0,41
1.83E-05,93,3,7,,,,,0.000018,95,12,41
1.87E-05,94,1,5,,,,,0.0000192,93,32,41
1.76E-05,94,2,4,,,,,0.0000184,94,36,42
1.93E-05,92,5,8,,,,,0.0000185,93,12,42
2.00E-05,92,6,16,,,,,0.0000195,92,31,42
1.78E-05,95,10,12,,,,,0.0000192,91,30,42
1.87E-05,92,5,16,,,,,0.0000181,91,28,42
2.36E-05,95,1,15,,,,,0.0000549,91,31,42
1.81E-05,91,3,14,,,,,0.0000171,94,0,43
1.87E-05,93,11,15,,,,,0.0000229,91,28,43
1.87E-05,94,5,19,,,,,0.0000192,94,21,43
1.73E-05,91,0,14,,,,,0.0000184,95,0,43
1.74E-05,93,5,17,,,,,0.0000181,94,24,43
1.73E-05,91,1,13,,,,,0.0000185,92,6,43
1.76E-05,93,17,21,,,,,0.0000183,91,10,44
1.82E-05,95,12,21,,,,,0.000018,91,20,44
1.92E-05,93,20,22,,,,,0.0000199,93,37,44
1.89E-05,95,23,32,,,,,0.0000187,91,26,44
1.84E-05,92,37,48,,,,,0.0000224,94,25,44
2.05E-05,95,34,37,,,,,0.000018,93,26,44
1.81E-05,92,26,48,,,,,0.0000182,93,23,44
2.52E-05,93,22,47,,,,,0.0000208,91,40,44
1.84E-05,95,0,43,,,,,0.0000181,92,1,44
1.92E-05,94,43,45,,,,,0.0000187,92,18,44
1.79E-05,95,20,46,,,,,0.0000178,91,12,45
1.81E-05,95,10,40,,,,,0.0000187,92,27,45
1.96E-05,92,13,37,,,,,0.0000176,95,15,45
2.01E-05,92,24,47,,,,,0.0000192,93,24,45
1.98E-05,93,13,50,,,,,0.0000192,94,43,45
2.41E-05,95,32,47,,,,,0.0000185,92,29,45
1.87E-05,91,40,48,,,,,0.0000189,92,43,45
1.80E-05,94,24,49,,,,,0.000018,91,23,45
1.80E-05,91,20,44,,,,,0.0000184,91,29,45
1.99E-05,93,37,44,,,,,0.0000173,93,4,45
1.73E-05,92,8,38,,,,,0.0000176,92,14,45
1.87E-05,91,26,44,,,,,0.0000181,94,28,46
2.31E-05,93,42,46,,,,,0.0000177,92,12,46
1.74E-05,92,0,50,,,,,0.0000179,94,10,46
1.87E-05,95,25,49,,,,,0.0000179,95,20,46
1.84E-05,91,15,55,,,,,0.0000231,93,42,46
1.75E-05,92,10,52,,,,,0.0000236,93,13,46
1.82E-05,92,31,60,,,,,0.0000176,92,9,46
1.83E-05,91,22,57,,,,,0.0000178,91,5,46
1.77E-05,91,17,51,,,,,0.0000236,93,34,46
1.90E-05,92,42,47,,,,,0.0000181,92,22,47
1.81E-05,92,25,47,,,,,0.0000184,94,40,47
1.85E-05,92,29,45,,,,,0.0000211,95,41,47
1.74E-05,93,5,52,,,,,0.0000182,94,6,47
2.02E-05,94,48,56,,,,,0.0000252,93,22,47
1.97E-05,95,21,57,,,,,0.0000201,92,24,47
1.79E-05,91,18,70,,,,,0.0000241,95,32,47
2.05E-05,93,58,67,,,,,0.000019,92,42,47
1.74E-05,91,6,75,,,,,0.0000181,92,25,47
1.75E-05,92,2,60,,,,,0.0000188,92,38,47
1.89E-05,95,52,57,,,,,0.000019,95,28,47
9.49E-05,95,5,56,,,,,0.0000176,95,10,47
2.29E-05,91,18,56,,,,,0.0000174,93,11,47
2.13E-05,91,44,49,,,,,0.0000176,93,12,47
1.77E-05,93,10,50,,,,,0.0000187,94,9,47
1.86E-05,91,45,51,,,,,0.0000191,92,30,48
1.77E-05,92,13,48,,,,,0.0000184,92,37,48
1.86E-05,95,26,53,,,,,0.0000181,92,26,48
1.75E-05,94,12,54,,,,,0.0000187,91,40,48
2.05E-05,94,28,67,,,,,0.0000177,92,13,48
1.93E-05,91,61,64,,,,,0.0000189,94,45,48
1.74E-05,95,5,65,,,,,0.0000181,91,18,48
2.06E-05,93,30,71,,,,,0.0000188,94,46,48
2.05E-05,94,69,71,,,,,0.000018,91,3,49
2.00E-05,94,39,74,,,,,0.0000325,92,16,49
1.75E-05,92,6,74,,,,,0.000018,93,19,49
2.70E-05,94,14,61,,,,,0.0000226,94,32,49
1.74E-05,93,4,63,,,,,0.0000189,94,43,49
1.90E-05,92,49,68,,,,,0.0000196,95,47,49
1.87E-05,92,41,73,,,,,0.000018,94,24,49
1.99E-05,95,73,78,,,,,0.0000187,95,25,49
1.79E-05,92,12,88,,,,,0.0000213,91,44,49
2.24E-05,93,24,88,,,,,0.0000182,91,25,49
3.23E-05,91,104,106,,,,,0.0000203,91,39,49
2.16E-05,94,61,106,,,,,0.0000183,93,29,49
1.91E-05,95,52,107,,,,,0.0000183,92,3,50
1.80E-05,93,28,108,,,,,0.0000182,91,31,50
2.65E-05,95,89,111,,,,,0.0000174,95,6,50
1.99E-05,95,79,103,,,,,0.0000198,93,13,50
2.32E-05,94,79,104,,,,,0.0000174,92,0,50
1.82E-05,95,24,112,,,,,0.0000177,93,10,50
2.00E-05,95,74,117,,,,,0.0000176,92,7,50
1.88E-05,93,36,115,,,,,0.0000174,91,1,50
3.77E-05,93,26,117,,,,,0.0000183,95,26,50
2.20E-05,94,91,112,,,,,0.0000173,95,2,50
1.93E-05,94,37,112,,,,,0.0000177,91,10,50
2.11E-05,92,62,108,,,,,0.0000186,95,39,51
5.76E-05,92,71,109,,,,,0.0000198,91,45,51
1.86E-05,94,33,114,,,,,0.0000185,94,34,51
2.28E-05,95,105,115,,,,,0.0000177,91,17,51
1.75E-05,93,1,116,,,,,0.0000186,91,45,51
2.10E-05,94,72,114,,,,,0.0000188,92,46,51
1.78E-05,95,14,118,,,,,0.0000185,93,43,51
1.91E-05,92,51,119,,,,,0.0000249,93,15,51
2.29E-05,91,98,116,,,,,0.0000198,92,3,51
2.20E-05,91,95,109,,,,,0.0000189,93,40,51
1.77E-05,93,10,103,,,,,0.0000185,92,42,51
1.78E-05,91,17,101,,,,,0.0000247,92,31,51
2.09E-05,93,25,90,,,,,0.0000191,93,7,51
1.80E-05,94,17,91,,,,,0.0000365,94,0,52
2.18E-05,91,40,81,,,,,0.0000182,93,38,52
1.91E-05,94,48,83,,,,,0.0000194,92,42,52
2.38E-05,94,35,65,,,,,0.0000178,95,4,52
1.87E-05,94,47,65,,,,,0.0000175,92,10,52
1.83E-05,91,32,66,,,,,0.0000174,93,5,52
2.59E-05,94,42,67,,,,,0.000024,92,37,52
2.91E-05,92,51,65,,,,,0.0000185,93,36,52
1.86E-05,91,44,64,,,,,0.0000231,91,40,52
1.83E-05,91,23,64,,,,,0.0000179,91,20,52
2.24E-05,94,5,64,,,,,0.0000196,94,4,52
1.85E-05,94,39,66,,,,,0.0000175,93,4,52
1.74E-05,92,6,58,,,,,0.0000174,92,2,52
1.89E-05,94,45,48,,,,,0.0000193,92,48,52
2.35E-05,95,48,53,,,,,0.0000244,91,41,52
1.83E-05,94,30,55,,,,,0.0000214,94,45,52
1.84E-05,91,38,55,,,,,0.0000195,93,44,52
1.73E-05,94,2,54,,,,,0.0001182,92,39,53
2.40E-05,92,37,52,,,,,0.0000215,92,31,53
1.81E-05,93,27,56,,,,,0.0000176,92,10,53
2.04E-05,91,6,55,,,,,0.0000186,95,26,53
1.85E-05,93,36,52,,,,,0.0000235,95,48,53
1.99E-05,95,18,63,,,,,0.0000259,93,31,53
2.01E-05,94,49,62,,,,,0.0000178,92,14,53
2.34E-05,91,54,57,,,,,0.0000172,92,0,53
1.88E-05,92,46,51,,,,,0.0000211,94,43,54
2.08E-05,95,33,55,,,,,0.0000181,93,3,54
1.85E-05,95,43,56,,,,,0.0000183,93,4,54
2.31E-05,91,40,52,,,,,0.0000188,93,39,54
2.59E-05,93,31,53,,,,,0.0000186,91,30,54
2.36E-05,93,13,46,,,,,0.0000175,94,12,54
1.78E-05,92,14,53,,,,,0.0000173,94,2,54
1.72E-05,92,0,53,,,,,0.0000201,94,25,54
1.85E-05,93,43,51,,,,,0.0000204,92,44,55
1.76E-05,92,7,50,,,,,0.000018,92,23,55
2.24E-05,94,25,44,,,,,0.0000177,91,12,55
1.74E-05,91,1,50,,,,,0.0000185,92,37,55
2.49E-05,93,15,51,,,,,0.0000184,91,15,55
1.98E-05,92,3,51,,,,,0.0000183,94,30,55
1.83E-05,95,26,50,,,,,0.0000184,91,38,55
1.92E-05,91,30,42,,,,,0.0000204,91,6,55
1.96E-05,91,8,39,,,,,0.0000208,95,33,55
1.75E-05,93,16,38,,,,,0.0000246,92,26,55
1.80E-05,93,26,44,,,,,0.000018,94,18,55
1.71E-05,94,0,41,,,,,0.0000181,93,15,55
1.80E-05,95,12,41,,,,,0.0000195,91,48,55
1.89E-05,92,43,45,,,,,0.0000193,91,51,55
1.80E-05,91,23,45,,,,,0.0000194,94,33,56
1.88E-05,95,42,64,,,,,0.0000177,92,12,56
1.95E-05,91,58,61,,,,,0.000025,91,7,56
2.01E-05,93,47,58,,,,,0.0000202,94,48,56
2.07E-05,93,55,57,,,,,0.0000949,95,5,56
3.20E-05,91,49,61,,,,,0.0000229,91,18,56
2.25E-05,93,42,58,,,,,0.0000181,93,27,56
2.33E-05,93,41,62,,,,,0.0000185,95,43,56
1.83E-05,95,25,57,,,,,0.0000187,94,30,56
1.83E-05,94,38,63,,,,,0.0000183,94,24,57
1.79E-05,91,20,52,,,,,0.0000173,91,6,57
1.84E-05,95,35,60,,,,,0.0000183,91,22,57
1.84E-05,93,25,57,,,,,0.0000197,95,21,57
1.81E-05,94,28,66,,,,,0.0000189,95,52,57
1.88E-05,93,11,62,,,,,0.0000234,91,54,57
1.97E-05,95,39,66,,,,,0.0000207,93,55,57
1.89E-05,92,24,57,,,,,0.0000183,95,25,57
1.96E-05,92,46,57,,,,,0.0000184,93,25,57
1.91E-05,92,14,59,,,,,0.0000189,92,24,57
1.94E-05,92,50,74,,,,,0.0000196,92,46,57
2.36E-05,95,24,62,,,,,0.0000172,94,0,57
2.24E-05,91,55,61,,,,,0.0000186,94,11,57
1.90E-05,91,39,67,,,,,0.0000198,93,49,57
1.84E-05,92,29,72,,,,,0.0000182,94,25,57
1.96E-05,93,68,76,,,,,0.0000181,95,21,58
2.02E-05,95,67,85,,,,,0.0000196,92,38,58
1.97E-05,92,68,78,,,,,0.0000204,91,23,58
2.31E-05,93,53,68,,,,,0.0000174,92,6,58
2.52E-05,92,12,67,,,,,0.0000201,93,47,58
2.98E-05,92,50,67,,,,,0.0000225,93,42,58
2.09E-05,93,16,65,,,,,0.0000175,93,2,58
2.08E-05,94,22,59,,,,,0.0000176,93,6,58
2.82E-05,93,9,66,,,,,0.0000193,93,30,58
1.86E-05,95,16,66,,,,,0.000019,92,17,58
1.82E-05,91,19,73,,,,,0.0000198,92,45,58
1.91E-05,92,55,78,,,,,0.0000241,94,36,59
1.82E-05,93,28,70,,,,,0.0000258,94,56,59
1.92E-05,93,23,66,,,,,0.0000173,93,3,59
2.10E-05,92,53,66,,,,,0.0000409,95,51,59
1.83E-05,95,29,75,,,,,0.0000195,91,57,59
1.76E-05,92,16,75,,,,,0.0000188,95,48,59
2.20E-05,95,69,75,,,,,0.0000191,92,14,59
1.90E-05,92,19,77,,,,,0.0000208,94,22,59
1.85E-05,95,5,77,,,,,0.0000201,93,31,59
1.80E-05,92,20,69,,,,,0.0000223,91,7,59
1.93E-05,94,61,70,,,,,0.0000196,94,25,59
1.74E-05,91,1,73,,,,,0.0000186,95,37,60
1.95E-05,93,72,74,,,,,0.000019,95,47,60
1.78E-05,94,2,73,,,,,0.000019,93,30,60
3.00E-05,91,9,68,,,,,0.0000262,91,49,60
2.08E-05,94,69,71,,,,,0.0000185,91,38,60
1.94E-05,94,46,71,,,,,0.0000183,94,23,60
1.71E-05,92,4,67,,,,,0.000019,91,36,60
1.98E-05,92,48,70,,,,,0.0000182,92,31,60
1.79E-05,92,17,75,,,,,0.0000175,92,2,60
1.94E-05,92,69,78,,,,,0.0000184,95,35,60
1.84E-05,94,22,70,,,,,0.0000233,93,50,60
1.80E-05,93,26,63,,,,,0.0000197,91,46,60
2.06E-05,92,49,64,,,,,0.0000257,91,11,61
1.86E-05,95,20,62,,,,,0.0000174,91,2,61
1.93E-05,95,2,63,,,,,0.0000588,95,17,61
1.93E-05,92,31,65,,,,,0.000019,93,9,61
1.91E-05,91,59,64,,,,,0.0000353,93,55,61
1.83E-05,91,26,64,,,,,0.000027,94,14,61
2.54E-05,91,58,64,,,,,0.0000195,91,58,61
1.79E-05,94,18,66,,,,,0.000032,91,49,61
1.80E-05,92,22,67,,,,,0.0000224,91,55,61
2.03E-05,95,13,63,,,,,0.0000186,93,45,61
1.86E-05,93,45,61,,,,,0.0000333,92,25,61
1.75E-05,93,2,58,,,,,0.0000178,91,21,61
2.33E-05,93,50,60,,,,,0.0000185,94,43,61
1.79E-05,91,14,69,,,,,0.0000187,91,35,62
1.87E-05,92,44,67,,,,,0.0000184,94,13,62
1.93E-05,93,48,62,,,,,0.0000182,94,31,62
1.70E-05,94,1,62,,,,,0.0000201,94,49,62
1.87E-05,94,30,56,,,,,0.0000233,93,41,62
1.73E-05,95,2,50,,,,,0.0000188,93,11,62
1.88E-05,92,38,47,,,,,0.0000236,95,24,62
1.89E-05,93,40,51,,,,,0.0000186,95,20,62
1.85E-05,92,42,51,,,,,0.0000193,93,48,62
1.72E-05,94,0,57,,,,,0.000017,94,1,62
2.46E-05,92,26,55,,,,,0.0000192,92,42,62
1.79E-05,93,24,65,,,,,0.0000174,93,4,63
1.80E-05,94,18,55,,,,,0.0000199,95,18,63
1.96E-05,94,4,52,,,,,0.0000183,94,38,63
1.75E-05,93,4,52,,,,,0.000018,93,26,63
1.82E-05,93,23,44,,,,,0.0000193,95,2,63
1.84E-05,91,29,45,,,,,0.0000203,95,13,63
1.73E-05,95,0,1,,,,,0.0000191,94,46,63
1.73E-05,95,1,8,,,,,0.0000237,95,50,63
2.04E-05,92,6,14,,,,,0.0000176,93,12,64
1.76E-05,91,9,28,,,,,0.0000187,93,40,64
1.75E-05,94,14,27,,,,,0.0000191,94,24,64
1.74E-05,92,8,27,,,,,0.000018,94,17,64
1.79E-05,92,22,30,,,,,0.0000193,91,61,64
1.82E-05,91,28,31,,,,,0.0000186,91,44,64
1.80E-05,92,12,32,,,,,0.0000183,91,23,64
1.72E-05,94,7,26,,,,,0.0000224,94,5,64
1.71E-05,93,0,12,,,,,0.0000188,95,42,64
1.77E-05,95,10,21,,,,,0.0000206,92,49,64
2.86E-05,94,0,3,,,,,0.0000191,91,59,64
2.48E-05,92,2,10,,,,,0.0000183,91,26,64
2.98E-05,91,0,1,,,,,0.0000254,91,58,64
2.50E-05,94,4,8,,,,,0.0000192,92,57,64
1.75E-05,94,0,5,,,,,0.0000188,93,48,64
1.76E-05,91,1,3,,,,,0.0000301,92,9,64
1.72E-05,94,0,3,,,,,0.0000265,93,49,64
2.11E-05,95,0,4,,,,,0.0000248,92,53,65
2.15E-05,91,12,25,,,,,0.0000175,95,10,65
1.89E-05,94,21,28,,,,,0.0000174,95,5,65
1.76E-05,93,2,12,,,,,0.0000238,94,35,65
1.73E-05,95,2,11,,,,,0.0000187,94,47,65
1.85E-05,91,5,13,,,,,0.0000291,92,51,65
2.29E-05,94,7,9,,,,,0.0000209,93,16,65
1.72E-05,93,2,6,,,,,0.0000193,92,31,65
1.74E-05,92,2,7,,,,,0.0000179,93,24,65
1.73E-05,94,4,9,,,,,0.000017,95,7,65
1.75E-05,94,5,15,,,,,0.0000261,94,39,66
1.75E-05,95,6,15,,,,,0.0000226,92,26,66
1.79E-05,93,7,12,,,,,0.0000198,95,28,66
2.17E-05,92,3,8,,,,,0.0000196,93,56,66
1.76E-05,94,3,20,,,,,0.0000183,91,32,66
1.73E-05,94,8,18,,,,,0.0000185,94,39,66
1.96E-05,93,12,14,,,,,0.0000181,94,28,66
1.74E-05,92,8,13,,,,,0.0000197,95,39,66
1.73E-05,91,3,11,,,,,0.0000282,93,9,66
1.74E-05,95,0,14,,,,,0.0000186,95,16,66
1.74E-05,95,7,12,,,,,0.0000192,93,23,66
1.98E-05,92,4,15,,,,,0.000021,92,53,66
1.91E-05,92,3,5,,,,,0.0000179,94,18,66
1.77E-05,91,4,6,,,,,0.0000177,92,19,66
1.71E-05,94,0,2,,,,,0.000019,95,47,67
2.27E-05,93,0,1,,,,,0.0000185,94,1,67
1.74E-05,91,1,9,,,,,0.0000234,92,42,67
1.75E-05,91,2,8,,,,,0.0000179,91,5,67
1.99E-05,94,1,5,,,,,0.00002,95,42,67
1.80E-05,91,0,5,,,,,0.0000205,93,58,67
1.73E-05,95,1,4,,,,,0.0000205,94,28,67
1.73E-05,92,6,9,,,,,0.0000259,94,42,67
1.70E-05,91,1,10,,,,,0.000019,91,39,67
1.73E-05,93,4,10,,,,,0.0000252,92,12,67
2.90E-05,92,4,15,,,,,0.0000298,92,50,67
2.19E-05,95,5,9,,,,,0.0000171,92,4,67
1.71E-05,92,1,7,,,,,0.000018,92,22,67
1.71E-05,92,2,10,,,,,0.0000187,92,44,67
1.77E-05,94,4,10,,,,,0.0000191,94,24,68
1.72E-05,94,0,8,,,,,0.0000205,94,60,68
1.73E-05,94,3,11,,,,,0.000019,92,49,68
1.78E-05,95,13,16,,,,,0.0000231,93,53,68
1.82E-05,92,11,18,,,,,0.00003,91,9,68
2.30E-05,92,20,35,,,,,0.00002,93,35,68
1.94E-05,94,30,33,,,,,0.0000201,91,52,69
5.15E-05,95,0,4,,,,,0.0000182,91,25,69
1.91E-05,92,1,12,,,,,0.0000196,95,64,69
1.86E-05,95,11,27,,,,,0.0000186,95,39,69
1.82E-05,91,25,49,,,,,0.000018,92,20,69
1.76E-05,93,6,58,,,,,0.0000179,91,14,69
1.81E-05,93,15,55,,,,,0.0000183,92,32,69
2.47E-05,92,31,51,,,,,0.0000183,93,3,69
1.74E-05,92,2,52,,,,,0.0000204,91,7,70
1.90E-05,95,28,47,,,,,0.0000179,91,18,70
1.73E-05,93,4,45,,,,,0.0000182,93,28,70
1.76E-05,92,9,46,,,,,0.0000193,94,61,70
2.08E-05,91,40,44,,,,,0.0000198,92,48,70
1.81E-05,94,24,43,,,,,0.0000184,94,22,70
2.03E-05,91,39,49,,,,,0.0000239,93,8,70
1.78E-05,91,5,46,,,,,0.0000198,91,69,71
1.82E-05,94,24,35,,,,,0.0000206,93,30,71
1.79E-05,95,17,39,,,,,0.0000205,94,69,71
1.79E-05,92,5,37,,,,,0.0000208,94,69,71
1.98E-05,94,22,40,,,,,0.0000194,94,46,71
4.29E-05,94,26,40,,,,,0.0000195,94,48,71
1.81E-05,91,28,42,,,,,0.0000217,92,15,71
1.95E-05,92,37,40,,,,,0.0000226,93,2,72
1.86E-05,92,33,35,,,,,0.0000192,95,57,72
1.85E-05,92,11,33,,,,,0.0000177,95,16,72
1.88E-05,92,3,35,,,,,0.0000184,92,29,72
1.86E-05,91,19,35,,,,,0.0000263,93,56,72
1.74E-05,93,8,25,,,,,0.0000179,94,20,72
1.73E-05,91,1,25,,,,,0.0000328,92,34,73
1.82E-05,94,1,16,,,,,0.0000187,92,41,73
1.85E-05,93,10,16,,,,,0.0000182,91,19,73
1.81E-05,91,0,5,,,,,0.0000174,91,1,73
1.72E-05,91,0,3,,,,,0.0000178,94,2,73
1.73E-05,92,1,5,,,,,0.0000186,91,8,73
1.76E-05,91,1,3,,,,,0.0000225,91,26,73
1.74E-05,95,4,6,,,,,0.0000198,93,72,74
2.05E-05,91,1,6,,,,,0.00002,94,39,74
1.77E-05,94,2,11,,,,,0.0000175,92,6,74
1.72E-05,95,0,5,,,,,0.0000194,92,50,74
1.71E-05,92,0,3,,,,,0.0000195,93,72,74
1.72E-05,94,1,5,,,,,0.0000191,93,49,74
1.72E-05,92,1,6,,,,,0.0000178,95,13,74
1.81E-05,95,9,11,,,,,0.0000259,93,50,74
1.75E-05,92,3,11,,,,,0.0000182,92,26,75
1.76E-05,93,6,15,,,,,0.0000174,91,6,75
1.80E-05,91,11,17,,,,,0.0000183,95,29,75
1.79E-05,91,15,18,,,,,0.0000176,92,16,75
1.81E-05,94,11,21,,,,,0.000022,95,69,75
2.74E-05,94,2,15,,,,,0.0000179,92,17,75
1.81E-05,92,20,27,,,,,0.0000195,95,68,75
1.74E-05,94,1,15,,,,,0.0000337,93,10,75
1.74E-05,95,9,13,,,,,0.0000301,94,26,75
1.75E-05,94,13,15,,,,,0.0000195,94,66,76
1.78E-05,92,21,25,,,,,0.000032,92,46,76
1.80E-05,95,24,26,,,,,0.0000226,91,19,76
1.76E-05,92,9,12,,,,,0.0000196,93,68,76
1.74E-05,92,2,7,,,,,0.0000197,94,43,76
1.71E-05,95,0,2,,,,,0.0000192,93,49,77
1.71E-05,92,0,2,,,,,0.0000196,94,34,77
2.84E-05,94,0,1,,,,,0.0000189,93,46,77
2.23E-05,94,3,6,,,,,0.000019,92,19,77
1.92E-05,91,2,7,,,,,0.0000185,95,5,77
2.18E-05,95,10,12,,,,,0.0000191,92,49,77
1.84E-05,94,4,8,,,,,0.0000183,95,28,77
2.07E-05,92,7,11,,,,,0.0000186,92,40,77
1.93E-05,95,2,14,,,,,0.0000182,91,33,77
2.36E-05,94,2,4,,,,,0.0000198,91,72,77
1.73E-05,91,5,17,,,,,0.0000182,94,24,77
1.78E-05,92,15,26,,,,,0.0000182,94,23,77
1.78E-05,93,8,25,,,,,0.0000312,94,30,77
1.80E-05,95,29,31,,,,,0.0000179,95,13,78
1.74E-05,92,1,33,,,,,0.0000184,91,28,78
1.79E-05,94,14,24,,,,,0.0000199,95,73,78
1.74E-05,93,7,21,,,,,0.0000197,92,68,78
3.38E-05,92,13,20,,,,,0.0000191,92,55,78
1.73E-05,95,7,22,,,,,0.0000194,92,69,78
1.77E-05,94,15,23,,,,,0.0000353,92,11,78
1.78E-05,91,18,21,,,,,0.0000229,93,51,78
1.73E-05,95,3,23,,,,,0.000019,91,24,78
1.77E-05,93,1,23,,,,,0.0000197,92,33,78
1.79E-05,91,15,21,,,,,0.0000194,91,63,79
1.82E-05,91,25,27,,,,,0.000018,93,25,79
3.21E-05,94,5,29,,,,,0.0000174,94,3,79
1.79E-05,95,15,27,,,,,0.0000197,93,45,79
1.75E-05,94,4,28,,,,,0.0000218,92,7,79
1.78E-05,91,15,26,,,,,0.0000199,94,37,79
1.73E-05,91,6,31,,,,,0.0000235,91,29,80
1.77E-05,93,5,28,,,,,0.0000199,93,76,80
1.79E-05,94,19,23,,,,,0.0000196,94,69,80
1.72E-05,93,0,26,,,,,0.0000262,91,5,80
1.76E-05,93,18,20,,,,,0.0000196,92,45,80
1.74E-05,93,5,30,,,,,0.0000189,92,44,80
1.84E-05,95,13,30,,,,,0.000023,92,48,80
2.27E-05,91,23,30,,,,,0.0000189,93,36,80
1.85E-05,95,1,31,,,,,0.0000285,91,26,80
2.36E-05,93,34,46,,,,,0.0000184,92,32,81
1.81E-05,91,18,48,,,,,0.0000239,91,49,81
1.88E-05,94,46,48,,,,,0.0000277,92,77,81
1.91E-05,94,46,63,,,,,0.0000197,93,60,81
1.70E-05,95,7,65,,,,,0.0000275,94,29,81
1.86E-05,91,8,73,,,,,0.0000172,92,2,81
2.63E-05,93,56,72,,,,,0.0000218,91,40,81
2.00E-05,93,73,90,,,,,0.0000175,95,9,81
1.95E-05,91,53,88,,,,,0.0000195,95,43,81
3.87E-05,92,20,93,,,,,0.0000351,92,76,81
2.24E-05,94,83,93,,,,,0.0000418,95,70,81
1.82E-05,92,36,91,,,,,0.0000178,94,21,82
1.86E-05,95,17,97,,,,,0.0000205,92,80,82
2.74E-05,92,58,97,,,,,0.0000198,94,69,82
1.77E-05,94,7,106,,,,,0.0000205,92,70,82
2.63E-05,92,76,103,,,,,0.000021,95,80,82
2.06E-05,92,71,101,,,,,0.0000379,94,75,82
1.90E-05,95,18,105,,,,,0.0000209,95,77,83
2.88E-05,94,57,112,,,,,0.0000235,92,39,83
1.90E-05,95,56,103,,,,,0.0000235,92,11,83
1.73E-05,95,6,102,,,,,0.0000176,91,9,83
3.28E-05,92,38,102,,,,,0.0000191,94,48,83
1.94E-05,93,60,101,,,,,0.0000233,92,21,83
2.62E-05,93,93,100,,,,,0.0000239,95,66,83
1.96E-05,95,75,96,,,,,0.0000185,93,44,84
1.88E-05,93,49,101,,,,,0.0000198,93,45,84
2.12E-05,94,49,106,,,,,0.0000249,91,0,84
2.09E-05,92,83,108,,,,,0.0000191,94,59,84
1.83E-05,95,6,111,,,,,0.0000192,94,63,84
2.10E-05,91,85,94,,,,,0.0000182,91,28,84
1.80E-05,95,20,96,,,,,0.0000221,92,81,85
1.75E-05,95,8,89,,,,,0.0000185,92,36,85
1.77E-05,95,19,97,,,,,0.0000289,94,61,85
1.82E-05,94,33,99,,,,,0.0000202,95,67,85
2.05E-05,92,90,103,,,,,0.000018,93,26,85
2.05E-05,93,85,98,,,,,0.0000193,95,56,85
1.85E-05,92,28,97,,,,,0.0000257,91,80,85
2.34E-05,95,27,96,,,,,0.0000221,94,68,85
1.82E-05,94,31,93,,,,,0.0000174,91,6,85
2.59E-05,91,9,96,,,,,0.0000213,91,61,85
2.15E-05,95,4,98,,,,,0.0000209,94,46,85
