cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
1.80E-05,32,19,23,,,
1.78E-05,2,11,24,,,
2.32E-05,10,9,27,,,
3.09E-05,38,19,30,,,
2.00E-05,41,25,28,,,
2.73E-05,21,25,29,,,
1.80E-05,23,7,29,,,
1.80E-05,34,20,29,,,
1.75E-05,17,7,29,,,
1.95E-05,7,16,28,,,
1.88E-05,28,6,30,,,
1.86E-05,11,6,30,,,
1.09E-05,25,0,31,,,
1.85E-05,28,6,32,,,
3.02E-05,15,26,36,,,
1.92E-05,24,14,38,,,
1.91E-05,35,22,42,,,
1.86E-05,6,35,39,,,
1.84E-05,24,23,39,,,
1.82E-05,10,20,39,,,
1.78E-05,42,14,40,,,
1.86E-05,20,30,41,,,
1.87E-05,35,2,39,,,
1.99E-05,12,1,42,,,
1.77E-05,7,7,43,,,
2.50E-05,4,37,40,,,
1.79E-05,5,10,43,,,
1.75E-05,34,6,41,,,
2.00E-05,39,36,43,,,
1.92E-05,34,41,44,,,
1.86E-05,3,24,45,,,
1.86E-05,16,28,45,,,
1.89E-05,37,9,41,,,
2.04E-05,14,2,44,,,
1.79E-05,29,5,41,,,
1.00E-05,10,0,42,,,
1.78E-05,42,5,43,,,
1.83E-05,7,26,45,,,
1.84E-05,40,22,46,,,
2.18E-05,18,14,45,,,
1.97E-05,16,26,47,,,
2.52E-05,10,33,44,,,
1.85E-05,25,28,43,,,
2.08E-05,34,9,43,,,
1.80E-05,18,12,43,,,
1.84E-05,42,32,42,,,
1.77E-05,13,13,40,,,
1.88E-05,15,38,41,,,
1.99E-05,35,43,48,,,
1.90E-05,39,32,41,,,
1.85E-05,33,25,42,,,
1.79E-05,25,9,42,,,
1.80E-05,25,16,42,,,
1.82E-05,17,23,40,,,
1.84E-05,32,32,40,,,
2.36E-05,35,14,40,,,
1.80E-05,22,8,40,,,
1.82E-05,17,17,41,,,
1.80E-05,8,13,41,,,
1.85E-05,5,22,41,,,
1.89E-05,2,37,43,,,
1.86E-05,28,24,44,,,
1.84E-05,7,24,47,,,
1.80E-05,12,18,46,,,
1.87E-05,32,34,47,,,
1.80E-05,5,14,46,,,
1.82E-05,22,25,47,,,
2.61E-05,20,37,46,,,
1.84E-05,29,24,47,,,
1.83E-05,35,11,48,,,
1.79E-05,40,10,47,,,
1.86E-05,32,39,45,,,
1.83E-05,10,22,46,,,
1.75E-05,1,6,47,,,
2.41E-05,24,30,49,,,
1.84E-05,16,27,50,,,
1.80E-05,38,3,49,,,
1.90E-05,25,30,41,,,
1.87E-05,37,30,42,,,
2.09E-05,43,39,43,,,
1.87E-05,5,36,44,,,
1.89E-05,25,24,45,,,
1.77E-05,39,7,48,,,
1.85E-05,1,23,50,,,
1.86E-05,1,1,51,,,
1.83E-05,32,23,51,,,
1.99E-05,45,30,54,,,
2.01E-05,27,42,55,,,
1.99E-05,12,39,55,,,
1.97E-05,44,41,56,,,
2.98E-05,14,12,57,,,
2.22E-05,15,46,58,,,
2.62E-05,45,27,57,,,
2.61E-05,21,16,60,,,
1.88E-05,23,27,56,,,
1.89E-05,33,43,55,,,
1.94E-05,29,53,56,,,
1.78E-05,19,8,58,,,
1.80E-05,29,14,56,,,
1.93E-05,6,47,53,,,
1.89E-05,43,43,54,,,
1.95E-05,23,21,56,,,
2.59E-05,12,54,57,,,
2.16E-05,5,43,58,,,
1.91E-05,26,42,58,,,
1.78E-05,42,8,59,,,
1.86E-05,37,29,60,,,
1.83E-05,44,14,62,,,
1.84E-05,20,31,60,,,
1.87E-05,2,26,60,,,
1.88E-05,17,31,61,,,
1.80E-05,8,11,60,,,
1.78E-05,5,9,61,,,
3.51E-05,32,22,62,,,
1.95E-05,17,52,61,,,
1.92E-05,32,49,62,,,
2.48E-05,18,61,63,,,
1.99E-05,28,28,64,,,
1.94E-05,32,42,67,,,
1.97E-05,21,25,72,,,
2.01E-05,39,20,71,,,
2.49E-05,8,10,69,,,
1.84E-05,6,21,67,,,
1.86E-05,18,35,66,,,
1.79E-05,38,6,66,,,
1.99E-05,24,40,68,,,
1.89E-05,28,44,69,,,
2.13E-05,45,43,71,,,
2.01E-05,20,57,77,,,
2.02E-05,38,76,79,,,
1.92E-05,5,30,76,,,
1.90E-05,37,41,76,,,
1.79E-05,37,7,77,,,
1.95E-05,41,56,73,,,
3.06E-05,27,18,73,,,
2.64E-05,5,70,72,,,
2.57E-05,32,61,72,,,
2.76E-05,1,30,73,,,
1.99E-05,2,35,74,,,
1.87E-05,20,39,70,,,
1.82E-05,7,25,71,,,
1.88E-05,6,5,68,,,
1.99E-05,32,33,69,,,
2.20E-05,34,65,71,,,
1.88E-05,39,35,72,,,
2.44E-05,19,23,71,,,
2.02E-05,15,43,65,,,
2.05E-05,26,64,71,,,
2.59E-05,19,54,71,,,
2.94E-05,2,9,72,,,
7.68E-05,19,61,75,,,
2.45E-05,14,47,77,,,
1.75E-05,22,2,66,,,
1.93E-05,11,53,66,,,
0.0001097,5,41,67,,,
3.36E-05,27,56,69,,,
1.94E-05,13,34,68,,,
1.83E-05,8,1,68,,,
2.50E-05,31,62,66,,,
1.88E-05,5,3,67,,,
2.28E-05,36,64,69,,,
1.99E-05,44,43,68,,,
1.90E-05,35,15,72,,,
2.03E-05,4,58,72,,,
2.01E-05,43,52,73,,,
1.96E-05,31,41,66,,,
2.02E-05,27,52,65,,,
2.04E-05,33,48,67,,,
1.82E-05,40,4,68,,,
1.91E-05,19,25,69,,,
2.01E-05,42,53,72,,,
3.02E-05,6,61,70,,,
2.02E-05,44,55,71,,,
2.79E-05,29,57,73,,,
3.29E-05,3,18,74,,,
2.60E-05,27,47,72,,,
2.41E-05,45,18,73,,,
2.71E-05,11,26,71,,,
2.72E-05,34,12,72,,,
2.69E-05,30,41,73,,,
0.0004423,4,19,74,,,
2.02E-05,3,49,68,,,
1.89E-05,10,16,61,,,
2.84E-05,17,36,62,,,
2.59E-05,8,26,61,,,
2.61E-05,40,12,62,,,
2.36E-05,11,20,58,,,
2.45E-05,11,23,61,,,
2.61E-05,14,44,62,,,
2.03E-05,7,37,66,,,
1.95E-05,36,22,66,,,
1.92E-05,14,19,67,,,
2.78E-05,6,51,69,,,
2.68E-05,44,44,64,,,
2.53E-05,7,55,61,,,
2.09E-05,26,43,60,,,
2.05E-05,14,57,61,,,
2.01E-05,31,53,62,,,
2.06E-05,4,19,60,,,
2.01E-05,30,33,61,,,
2.08E-05,17,48,61,,,
1.97E-05,7,41,59,,,
1.95E-05,30,35,50,,,
2.51E-05,41,34,50,,,
2.69E-05,15,38,50,,,
4.71E-05,11,31,41,,,
1.89E-05,24,14,41,,,
2.49E-05,44,37,41,,,
1.96E-05,6,31,41,,,
1.88E-05,37,12,42,,,
1.88E-05,27,22,43,,,
1.84E-05,27,4,44,,,
2.59E-05,34,14,44,,,
2.81E-05,41,2,43,,,
2.54E-05,12,3,44,,,
3.12E-05,1,36,45,,,
2.49E-05,20,18,44,,,
2.63E-05,37,24,45,,,
2.59E-05,40,31,45,,,
2.60E-05,33,15,47,,,
2.92E-05,31,43,52,,,
5.56E-05,6,30,52,,,
3.50E-05,26,15,48,,,
1.83E-05,31,26,47,,,
1.80E-05,30,15,41,,,
1.83E-05,26,28,41,,,
1.84E-05,7,27,41,,,
1.76E-05,13,6,43,,,
1.87E-05,7,32,44,,,
1.88E-05,34,41,45,,,
1.99E-05,35,4,50,,,
1.89E-05,6,35,51,,,
1.87E-05,18,26,52,,,
1.80E-05,40,5,52,,,
1.85E-05,36,28,53,,,
1.92E-05,32,47,53,,,
1.85E-05,4,31,53,,,
1.85E-05,2,30,54,,,
1.86E-05,3,34,52,,,
1.89E-05,44,36,55,,,
1.97E-05,40,23,53,,,
1.97E-05,9,26,54,,,
2.05E-05,19,48,55,,,
1.81E-05,21,17,46,,,
1.89E-05,14,36,46,,,
1.87E-05,1,42,44,,,
2.29E-05,17,13,47,,,
2.15E-05,20,9,50,,,
1.78E-05,30,11,47,,,
1.87E-05,22,37,47,,,
1.82E-05,42,22,50,,,
1.86E-05,12,29,48,,,
1.89E-05,31,11,55,,,
1.83E-05,28,17,56,,,
1.88E-05,4,41,50,,,
1.79E-05,45,11,48,,,
1.87E-05,42,6,46,,,
1.97E-05,10,39,49,,,
1.82E-05,39,14,50,,,
1.89E-05,41,39,52,,,
1.80E-05,6,19,54,,,
1.87E-05,30,38,52,,,
1.81E-05,34,25,50,,,
1.76E-05,1,11,51,,,
1.88E-05,22,40,51,,,
1.96E-05,13,32,52,,,
1.82E-05,20,25,44,,,
1.88E-05,41,40,45,,,
1.89E-05,13,43,46,,,
2.07E-05,24,42,44,,,
1.94E-05,34,36,45,,,
1.89E-05,24,34,45,,,
1.87E-05,4,23,45,,,
1.78E-05,42,4,41,,,
2.04E-05,45,34,39,,,
1.83E-05,40,30,41,,,
1.82E-05,27,20,42,,,
1.77E-05,3,9,39,,,
1.81E-05,44,13,42,,,
1.97E-05,35,12,43,,,
1.80E-05,9,11,40,,,
1.79E-05,4,9,41,,,
1.79E-05,26,10,42,,,
1.87E-05,45,38,40,,,
1.76E-05,38,4,41,,,
2.34E-05,38,4,41,,,
1.83E-05,33,17,39,,,
1.88E-05,41,24,37,,,
1.90E-05,36,28,40,,,
1.79E-05,11,14,36,,,
1.83E-05,33,30,36,,,
1.79E-05,34,13,36,,,
1.81E-05,15,17,33,,,
2.59E-05,28,9,28,,,
1.89E-05,14,1,29,,,
1.87E-05,26,1,26,,,
1.87E-05,32,21,23,,,
1.78E-05,13,11,23,,,
1.75E-05,12,2,22,,,
1.78E-05,5,10,23,,,
1.76E-05,28,7,25,,,
2.00E-05,32,9,26,,,
1.88E-05,45,23,26,,,
1.81E-05,12,17,27,,,
1.81E-05,10,20,24,,,
2.51E-05,36,3,24,,,
1.78E-05,22,14,20,,,
1.81E-05,42,16,22,,,
1.95E-05,2,6,24,,,
1.84E-05,23,4,25,,,
2.77E-05,44,6,27,,,
1.84E-05,39,28,31,,,
1.86E-05,14,29,33,,,
1.83E-05,28,17,34,,,
1.77E-05,21,13,33,,,
1.91E-05,34,21,35,,,
1.82E-05,23,16,36,,,
1.83E-05,25,26,37,,,
1.94E-05,33,28,38,,,
1.78E-05,9,3,38,,,
1.79E-05,15,1,38,,,
1.94E-05,17,28,44,,,
1.77E-05,10,6,45,,,
1.91E-05,37,45,47,,,
2.51E-05,2,15,46,,,
1.79E-05,2,17,41,,,
1.80E-05,22,10,38,,,
1.84E-05,35,9,37,,,
1.78E-05,37,2,38,,,
1.75E-05,22,2,40,,,
3.43E-05,29,8,38,,,
1.86E-05,44,28,40,,,
1.91E-05,3,17,30,,,
1.82E-05,18,26,31,,,
1.00E-05,11,0,34,,,
1.84E-05,39,1,31,,,
1.83E-05,13,12,32,,,
1.81E-05,39,6,30,,,
1.82E-05,23,16,31,,,
1.76E-05,16,4,32,,,
1.78E-05,15,7,31,,,
1.76E-05,39,5,32,,,
1.76E-05,39,7,31,,,
2.52E-05,33,18,31,,,
1.85E-05,25,28,32,,,
1.90E-05,18,29,35,,,
1.83E-05,33,25,34,,,
1.80E-05,7,16,35,,,
1.83E-05,45,25,36,,,
1.89E-05,3,28,36,,,
1.77E-05,11,9,37,,,
1.79E-05,40,14,36,,,
1.87E-05,39,25,35,,,
1.83E-05,45,27,36,,,
1.87E-05,20,1,33,,,
2.57E-05,40,15,25,,,
1.06E-05,16,0,26,,,
1.80E-05,19,8,17,,,
1.75E-05,44,3,18,,,
1.76E-05,22,2,18,,,
1.85E-05,27,14,19,,,
1.75E-05,11,2,19,,,
1.87E-05,16,20,24,,,
1.82E-05,26,20,22,,,
1.75E-05,38,9,22,,,
1.82E-05,26,20,24,,,
1.86E-05,7,14,26,,,
1.85E-05,34,20,24,,,
1.78E-05,37,3,26,,,
2.03E-05,20,22,24,,,
1.81E-05,32,19,25,,,
1.83E-05,26,23,26,,,
1.76E-05,41,1,26,,,
2.58E-05,16,2,21,,,
1.85E-05,1,3,19,,,
