cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,,,,,,
1.70E-05,29,1,5,,,,,0.000018,32,9,30
1.81E-05,12,4,16,,,,,0.0000175,41,15,31
1.88E-05,13,13,19,,,,,0.0000168,43,1,31
1.75E-05,92,6,21,,,,,0.0000176,12,22,31
1.82E-05,8,2,29,,,,,0.0000178,44,25,31
1.78E-05,35,16,32,,,,,0.0000172,16,12,31
1.80E-05,29,5,33,,,,,0.000017,1,0,31
1.95E-05,8,1,36,,,,,0.0000178,27,28,31
2.69E-05,21,25,29,,,,,0.0000168,2,0,31
1.70E-05,23,4,29,,,,,0.0000178,29,23,31
2.20E-05,8,19,24,,,,,0.0000178,44,1,31
1.77E-05,8,16,24,,,,,0.0000249,26,2,32
2.50E-05,36,13,27,,,,,0.0000176,13,21,32
1.76E-05,8,17,21,,,,,0.0000178,37,30,32
1.75E-05,8,16,20,,,,,0.0000172,20,3,32
1.77E-05,8,17,23,,,,,0.0000181,34,25,32
1.73E-05,5,11,22,,,,,0.0000184,25,26,32
1.70E-05,19,2,33,,,,,0.0000178,35,16,32
1.83E-05,15,9,27,,,,,0.0000184,17,17,32
1.84E-05,17,17,32,,,,,0.0000181,39,21,32
1.84E-05,22,32,36,,,,,0.0000171,15,2,32
1.78E-05,44,25,31,,,,,0.0000237,16,14,32
1.72E-05,16,12,31,,,,,0.0000179,37,1,32
2.93E-05,6,6,37,,,,,0.0000182,5,6,32
1.80E-05,11,19,40,,,,,0.0000186,37,15,32
1.81E-05,5,36,40,,,,,0.0000174,3,2,33
1.81E-05,92,14,35,,,,,0.0000171,7,10,33
1.75E-05,91,18,33,,,,,0.0000271,20,19,33
1.85E-05,16,32,40,,,,,0.0000174,94,15,33
1.76E-05,13,3,40,,,,,0.0000172,43,3,33
1.70E-05,7,4,30,,,,,0.000018,29,5,33
1.72E-05,94,8,27,,,,,0.000017,19,2,33
1.80E-05,94,12,22,,,,,0.0000175,91,18,33
1.73E-05,25,17,22,,,,,0.000018,24,29,33
1.75E-05,39,15,25,,,,,0.0000207,26,17,33
1.72E-05,10,4,20,,,,,0.0000178,32,13,33
1.70E-05,12,0,16,,,,,0.0000174,26,13,33
2.22E-05,39,17,19,,,,,0.0000217,91,11,33
1.70E-05,91,4,13,,,,,0.000019,16,16,34
1.72E-05,43,12,20,,,,,0.000017,31,5,34
3.41E-05,44,5,18,,,,,0.0000171,35,4,34
1.76E-05,91,7,17,,,,,0.0000172,38,7,34
1.78E-05,29,2,11,,,,,0.0000177,43,30,34
1.78E-05,39,1,10,,,,,0.0000182,7,32,34
1.81E-05,33,7,11,,,,,0.0000185,11,7,34
2.20E-05,40,0,9,,,,,0.0000209,20,28,34
2.08E-05,15,1,5,,,,,0.0000235,32,0,34
1.77E-05,5,0,2,,,,,0.0000191,3,29,34
1.73E-05,27,2,15,,,,,0.0000178,24,24,35
2.01E-05,91,10,19,,,,,0.000018,41,28,35
1.87E-05,93,14,17,,,,,0.0000174,35,5,35
1.76E-05,19,9,15,,,,,0.0000172,29,2,35
2.05E-05,30,0,13,,,,,0.0000179,15,20,35
1.72E-05,6,2,16,,,,,0.0000181,92,14,35
1.70E-05,44,5,8,,,,,0.0000174,21,9,35
1.73E-05,20,4,10,,,,,0.000019,32,27,35
1.71E-05,6,0,8,,,,,0.0000185,33,18,35
1.71E-05,30,4,16,,,,,0.0000181,12,23,36
1.72E-05,25,3,21,,,,,0.0000169,39,1,36
1.70E-05,1,0,31,,,,,0.0000195,8,1,36
1.83E-05,28,13,45,,,,,0.0000184,22,32,36
1.86E-05,17,19,45,,,,,0.00002,4,29,36
1.81E-05,17,37,42,,,,,0.0000196,91,29,36
1.74E-05,16,18,39,,,,,0.0000182,16,3,37
1.74E-05,95,18,37,,,,,0.0000179,6,30,37
2.00E-05,4,29,36,,,,,0.0000192,32,22,37
2.93E-05,16,1,42,,,,,0.0000293,6,6,37
1.72E-05,2,10,51,,,,,0.0000174,95,18,37
2.15E-05,45,46,60,,,,,0.0000188,37,32,37
1.95E-05,3,48,55,,,,,0.0000171,1,12,37
1.99E-05,22,52,57,,,,,0.0000185,35,27,37
1.78E-05,95,28,45,,,,,0.0000183,4,1,37
1.89E-05,18,8,56,,,,,0.000019,92,15,37
1.79E-05,91,14,55,,,,,0.0000231,6,27,37
1.84E-05,23,50,55,,,,,0.0000186,93,26,37
1.79E-05,45,27,57,,,,,0.0000199,11,8,38
1.82E-05,17,44,54,,,,,0.0000177,2,14,38
1.89E-05,92,9,51,,,,,0.0000176,36,15,38
1.70E-05,38,8,62,,,,,0.0000176,6,5,38
1.87E-05,6,41,58,,,,,0.0000181,9,10,38
1.84E-05,14,40,56,,,,,0.0000183,2,21,38
2.17E-05,31,27,49,,,,,0.0000177,21,28,39
2.64E-05,35,36,50,,,,,0.0000176,21,15,39
1.87E-05,44,45,56,,,,,0.0000182,8,35,39
1.76E-05,19,22,59,,,,,0.0000174,16,18,39
1.77E-05,39,21,60,,,,,0.0000173,6,7,39
1.87E-05,20,5,66,,,,,0.0000188,36,25,39
1.75E-05,91,20,70,,,,,0.000017,40,4,40
1.85E-05,28,34,66,,,,,0.0000177,5,5,40
1.71E-05,9,3,69,,,,,0.0000978,4,1,40
1.90E-05,30,56,63,,,,,0.0000171,8,5,40
1.80E-05,9,37,60,,,,,0.0000183,36,0,40
2.12E-05,28,37,62,,,,,0.0000185,92,7,40
1.84E-05,13,4,59,,,,,0.0000183,20,6,40
1.78E-05,37,26,56,,,,,0.0000187,26,29,40
1.80E-05,18,25,51,,,,,0.000018,11,19,40
1.84E-05,25,28,51,,,,,0.0000181,5,36,40
1.70E-05,38,0,53,,,,,0.0000185,16,32,40
1.89E-05,44,55,59,,,,,0.0000176,13,3,40
1.99E-05,7,19,59,,,,,0.0000178,12,0,40
1.87E-05,33,40,65,,,,,0.000017,24,5,40
1.89E-05,13,57,71,,,,,0.0000181,26,14,40
1.78E-05,16,33,71,,,,,0.0000179,45,7,40
5.40E-05,14,0,69,,,,,0.0000182,30,15,40
1.72E-05,17,5,64,,,,,0.0000184,91,15,40
3.13E-05,26,44,65,,,,,0.0000197,13,37,41
2.56E-05,45,21,64,,,,,0.0000178,12,26,41
2.16E-05,30,10,61,,,,,0.000017,22,1,41
3.24E-05,44,55,62,,,,,0.0000208,33,30,41
1.92E-05,9,39,66,,,,,0.0000186,16,22,41
1.85E-05,12,14,67,,,,,0.0000179,39,9,42
1.87E-05,37,24,66,,,,,0.0000185,24,39,42
1.92E-05,33,38,69,,,,,0.0000205,34,40,42
1.97E-05,26,51,75,,,,,0.0000186,43,13,42
1.81E-05,4,3,72,,,,,0.0000181,17,37,42
1.81E-05,42,18,66,,,,,0.0000293,16,1,42
1.86E-05,4,33,62,,,,,0.0000185,5,20,42
1.78E-05,30,26,79,,,,,0.0000232,27,9,42
1.91E-05,9,35,99,,,,,0.0000184,6,33,42
2.29E-05,25,63,106,,,,,0.0000245,11,20,42
1.93E-05,9,34,102,,,,,0.0000172,93,3,43
2.00E-05,95,79,108,,,,,0.000018,24,26,44
1.75E-05,22,7,112,,,,,0.0000176,25,15,44
1.72E-05,19,12,103,,,,,0.0000271,32,21,44
2.02E-05,39,92,111,,,,,0.0000184,4,39,44
1.93E-05,39,67,116,,,,,0.0000182,36,32,44
1.97E-05,21,51,118,,,,,0.0000179,43,34,44
1.77E-05,32,21,114,,,,,0.0000173,37,11,45
2.16E-05,3,106,114,,,,,0.0000233,31,18,45
2.03E-05,16,90,110,,,,,0.0000295,6,27,45
1.87E-05,2,42,112,,,,,0.0000174,24,9,45
2.42E-05,23,105,113,,,,,0.0000195,36,43,45
1.82E-05,32,38,110,,,,,0.0000183,28,13,45
1.88E-05,14,52,116,,,,,0.0000186,17,19,45
2.04E-05,30,99,116,,,,,0.0000178,95,28,45
1.95E-05,12,17,119,,,,,0.0000185,40,36,45
1.78E-05,14,30,109,,,,,0.0000192,40,18,45
1.79E-05,36,15,106,,,,,0.000018,7,33,46
2.51E-05,30,65,99,,,,,0.0000197,18,43,46
1.75E-05,27,3,105,,,,,0.0000185,26,13,46
2.03E-05,13,75,92,,,,,0.0000175,32,16,46
1.92E-05,42,63,96,,,,,0.0000178,1,18,46
1.78E-05,29,16,99,,,,,0.0000178,11,31,46
1.93E-05,16,63,72,,,,,0.0000184,32,42,46
1.76E-05,40,21,59,,,,,0.0000173,92,11,46
1.90E-05,38,64,66,,,,,0.000018,32,28,46
1.80E-05,16,34,71,,,,,0.0000179,31,24,47
1.78E-05,93,21,70,,,,,0.0000174,8,10,47
1.85E-05,94,42,66,,,,,0.0000181,7,30,47
1.80E-05,28,30,69,,,,,0.0000177,32,24,47
1.84E-05,94,38,69,,,,,0.0000188,9,34,47
1.78E-05,9,31,66,,,,,0.0000172,5,10,48
1.80E-05,21,33,64,,,,,0.000017,3,0,48
1.71E-05,1,0,68,,,,,0.0000207,26,0,48
0.0001305,42,58,64,,,,,0.000018,16,0,48
1.82E-05,22,22,68,,,,,0.000018,35,32,48
1.79E-05,31,23,54,,,,,0.0000219,94,19,48
1.83E-05,34,38,56,,,,,0.0000188,44,46,49
1.94E-05,14,44,53,,,,,0.0000188,9,45,49
0.0001204,36,54,59,,,,,0.0000187,95,8,49
2.27E-05,22,14,59,,,,,0.0000217,31,27,49
1.86E-05,28,45,55,,,,,0.0000184,93,14,49
1.86E-05,23,50,55,,,,,0.000017,33,3,49
1.88E-05,30,51,53,,,,,0.0000404,20,17,49
1.84E-05,44,48,52,,,,,0.000019,42,45,50
1.76E-05,41,24,52,,,,,0.0000187,6,43,50
3.47E-05,9,58,61,,,,,0.0000176,10,26,50
1.67E-05,5,0,61,,,,,0.0000264,35,36,50
1.76E-05,8,1,61,,,,,0.0000174,32,11,50
1.86E-05,31,44,60,,,,,0.0000173,8,12,50
1.72E-05,28,9,54,,,,,0.0000182,29,34,50
2.28E-05,12,22,55,,,,,0.0000184,43,34,50
3.76E-05,39,32,55,,,,,0.0000189,17,47,50
1.84E-05,93,14,49,,,,,0.0000178,45,32,51
1.74E-05,32,11,50,,,,,0.0000178,29,25,51
1.70E-05,33,3,49,,,,,0.0000172,2,10,51
1.97E-05,18,43,46,,,,,0.0000189,92,9,51
1.78E-05,12,0,40,,,,,0.000018,18,25,51
1.70E-05,24,5,40,,,,,0.0000184,25,28,51
1.76E-05,6,5,38,,,,,0.0000174,45,13,51
1.85E-05,26,13,46,,,,,0.0000227,9,14,51
1.73E-05,6,7,39,,,,,0.0000179,43,25,51
1.82E-05,36,32,44,,,,,0.0000198,44,32,51
1.75E-05,32,16,46,,,,,0.0000184,4,42,51
1.77E-05,32,24,47,,,,,0.0000174,36,14,51
1.70E-05,26,3,63,,,,,0.0000193,36,1,52
1.88E-05,5,60,62,,,,,0.0000175,6,18,52
2.50E-05,12,29,57,,,,,0.0000179,24,2,52
1.75E-05,40,6,62,,,,,0.0000182,29,40,52
1.84E-05,34,43,53,,,,,0.0000182,34,30,52
1.74E-05,45,13,51,,,,,0.000018,14,16,52
1.93E-05,30,50,57,,,,,0.0000182,9,36,52
1.79E-05,19,22,57,,,,,0.0000184,44,48,52
1.83E-05,19,10,64,,,,,0.0000176,41,24,52
2.69E-05,6,53,76,,,,,0.0000179,6,12,52
2.07E-05,92,20,76,,,,,0.0000178,43,22,53
1.88E-05,34,46,73,,,,,0.000017,38,0,53
1.72E-05,43,3,72,,,,,0.0000194,14,44,53
1.81E-05,93,4,63,,,,,0.0000188,30,51,53
1.88E-05,3,53,56,,,,,0.0000184,34,43,53
2.05E-05,32,72,76,,,,,0.0000173,41,5,53
1.88E-05,39,30,75,,,,,0.0000186,12,24,53
1.81E-05,91,34,65,,,,,0.0000228,17,0,54
1.75E-05,22,20,77,,,,,0.0000177,23,20,54
2.04E-05,35,27,79,,,,,0.0000175,5,1,54
1.92E-05,14,70,74,,,,,0.0000178,42,3,54
1.81E-05,11,24,74,,,,,0.0000223,41,7,54
1.88E-05,11,27,85,,,,,0.0000171,31,1,54
1.89E-05,7,56,84,,,,,0.0000182,17,44,54
1.74E-05,92,6,77,,,,,0.0000179,31,23,54
1.79E-05,36,26,77,,,,,0.0000172,28,9,54
1.92E-05,12,50,73,,,,,0.0000188,92,28,54
2.04E-05,37,33,69,,,,,0.0000169,1,0,54
1.98E-05,44,39,70,,,,,0.0000185,92,36,54
1.81E-05,38,4,63,,,,,0.0000193,7,33,54
2.60E-05,1,30,56,,,,,0.0000177,13,2,54
1.85E-05,26,7,61,,,,,0.0000183,91,36,55
2.14E-05,95,53,67,,,,,0.0000187,39,49,55
2.21E-05,35,57,70,,,,,0.0000178,12,21,55
3.04E-05,92,26,68,,,,,0.000025,24,43,55
1.76E-05,8,25,68,,,,,0.0000171,41,10,55
1.88E-05,44,56,67,,,,,0.0000267,18,44,55
1.80E-05,38,30,65,,,,,0.000024,36,30,55
2.32E-05,44,14,74,,,,,0.0000182,94,10,55
1.97E-05,25,76,78,,,,,0.0000172,22,8,55
1.89E-05,44,56,75,,,,,0.0000174,14,12,55
2.12E-05,34,67,69,,,,,0.0000195,3,48,55
1.77E-05,2,4,73,,,,,0.0000179,91,14,55
1.92E-05,19,29,73,,,,,0.0000184,23,50,55
1.73E-05,94,2,68,,,,,0.0000186,28,45,55
1.77E-05,92,15,66,,,,,0.0000186,23,50,55
1.75E-05,93,10,70,,,,,0.0000228,12,22,55
1.73E-05,92,9,69,,,,,0.0000376,39,32,55
1.91E-05,15,50,69,,,,,0.000019,9,50,55
1.80E-05,31,35,61,,,,,0.000017,7,3,55
1.79E-05,21,29,61,,,,,0.0000195,40,46,55
2.15E-05,94,54,65,,,,,0.0000187,10,17,55
1.77E-05,38,19,60,,,,,0.0000203,19,28,56
1.80E-05,92,34,67,,,,,0.0000189,18,8,56
1.67E-05,17,0,62,,,,,0.0000184,14,40,56
1.84E-05,23,36,58,,,,,0.0000187,44,45,56
1.73E-05,41,5,53,,,,,0.0000178,37,26,56
2.27E-05,9,14,51,,,,,0.0000183,34,38,56
1.79E-05,43,25,51,,,,,0.0000188,3,53,56
1.83E-05,6,40,57,,,,,0.000026,1,30,56
1.72E-05,45,10,65,,,,,0.0000172,40,0,56
1.88E-05,92,28,54,,,,,0.0000219,12,47,56
1.98E-05,44,32,51,,,,,0.0000188,15,43,57
1.69E-05,1,0,54,,,,,0.0000184,22,33,57
1.79E-05,6,12,52,,,,,0.0000179,45,28,57
1.78E-05,27,28,31,,,,,0.0000189,10,45,57
1.81E-05,6,18,26,,,,,0.0000188,42,55,57
1.72E-05,42,8,23,,,,,0.0000199,22,52,57
1.75E-05,20,4,16,,,,,0.0000179,45,27,57
1.74E-05,41,2,13,,,,,0.000025,12,29,57
1.75E-05,28,1,7,,,,,0.0000193,30,50,57
2.24E-05,45,2,5,,,,,0.0000179,19,22,57
1.71E-05,95,4,7,,,,,0.0000183,6,40,57
1.71E-05,13,0,8,,,,,0.0000194,43,42,57
1.67E-05,13,1,27,,,,,0.0000174,36,15,57
1.72E-05,91,7,30,,,,,0.0000187,39,51,58
1.68E-05,2,0,31,,,,,0.0000212,7,5,58
1.76E-05,92,20,30,,,,,0.0000189,44,32,58
1.72E-05,94,9,30,,,,,0.0000187,6,41,58
1.79E-05,40,22,29,,,,,0.0000184,23,36,58
1.70E-05,37,7,20,,,,,0.0000239,41,53,58
1.75E-05,45,8,17,,,,,0.0000186,26,45,58
1.73E-05,92,1,13,,,,,0.0000182,17,13,58
1.73E-05,25,4,14,,,,,0.0000182,16,15,58
1.72E-05,92,2,17,,,,,0.0000199,5,55,58
1.74E-05,22,11,16,,,,,0.0000185,17,47,59
1.70E-05,25,3,6,,,,,0.0000226,42,2,59
1.90E-05,22,0,1,,,,,0.0000189,33,26,59
1.70E-05,43,1,5,,,,,0.0000185,11,20,59
1.82E-05,34,2,5,,,,,0.0000184,18,6,59
2.29E-05,5,5,9,,,,,0.0000176,19,22,59
2.65E-05,25,3,10,,,,,0.0000184,13,4,59
2.72E-05,24,0,1,,,,,0.0000189,44,55,59
2.39E-05,18,1,5,,,,,0.0000199,7,19,59
2.64E-05,2,0,1,,,,,0.0000176,40,21,59
2.57E-05,18,6,11,,,,,0.0001204,36,54,59
1.80E-05,24,6,10,,,,,0.0000227,22,14,59
2.54E-05,21,6,8,,,,,0.0000178,17,27,60
1.70E-05,35,1,6,,,,,0.000018,93,21,60
1.67E-05,15,0,2,,,,,0.0000189,36,29,60
1.73E-05,21,3,8,,,,,0.0000191,15,57,60
1.72E-05,27,3,10,,,,,0.0000178,20,24,60
3.08E-05,43,0,1,,,,,0.0000215,45,46,60
1.69E-05,41,0,1,,,,,0.0000177,39,21,60
1.69E-05,41,0,1,,,,,0.000018,9,37,60
1.72E-05,43,0,2,,,,,0.0000186,31,44,60
1.69E-05,23,3,6,,,,,0.0000177,38,19,60
2.73E-05,37,2,9,,,,,0.0000176,36,15,61
1.88E-05,45,4,9,,,,,0.0000182,5,38,61
1.80E-05,1,1,12,,,,,0.0000185,8,42,61
1.87E-05,43,10,15,,,,,0.0000216,30,10,61
2.08E-05,2,4,25,,,,,0.0000347,9,58,61
1.75E-05,16,18,26,,,,,0.0000167,5,0,61
1.74E-05,30,8,21,,,,,0.0000176,8,1,61
1.72E-05,10,3,20,,,,,0.0000185,26,7,61
1.88E-05,36,4,15,,,,,0.000018,31,35,61
1.73E-05,20,5,11,,,,,0.0000179,21,29,61
1.91E-05,2,4,16,,,,,0.0000199,10,5,61
1.73E-05,42,7,14,,,,,0.0000189,15,31,61
1.69E-05,16,0,16,,,,,0.0000173,17,14,61
1.93E-05,16,8,13,,,,,0.0000179,39,4,61
2.56E-05,9,1,15,,,,,0.0000185,25,37,62
1.72E-05,38,1,13,,,,,0.0000176,91,21,62
1.70E-05,25,5,13,,,,,0.000017,24,6,62
1.69E-05,9,3,13,,,,,0.0000173,28,2,62
1.67E-05,30,1,11,,,,,0.000017,38,8,62
1.73E-05,18,8,13,,,,,0.0000212,28,37,62
1.70E-05,95,3,12,,,,,0.0000324,44,55,62
1.75E-05,20,11,20,,,,,0.0000186,4,33,62
1.71E-05,12,10,19,,,,,0.0000188,5,60,62
1.81E-05,28,16,24,,,,,0.0000175,40,6,62
1.74E-05,22,7,18,,,,,0.0000167,17,0,62
1.69E-05,43,1,18,,,,,0.0000233,7,16,63
1.73E-05,24,5,11,,,,,0.000019,30,56,63
1.72E-05,28,10,13,,,,,0.000017,26,3,63
1.70E-05,17,0,5,,,,,0.0000181,93,4,63
1.71E-05,41,1,6,,,,,0.0000181,38,4,63
1.73E-05,18,3,11,,,,,0.0000181,23,11,63
1.71E-05,30,1,12,,,,,0.0000279,29,58,64
1.74E-05,8,0,3,,,,,0.0000172,17,5,64
1.71E-05,22,4,6,,,,,0.0000256,45,21,64
1.70E-05,19,2,7,,,,,0.000018,21,33,64
1.71E-05,44,2,5,,,,,0.0001305,42,58,64
1.71E-05,24,0,1,,,,,0.0000183,19,10,64
1.70E-05,94,0,3,,,,,0.0000184,25,33,65
1.71E-05,11,0,2,,,,,0.0000187,33,40,65
1.68E-05,32,2,4,,,,,0.0000313,26,44,65
1.69E-05,40,5,9,,,,,0.0000181,91,34,65
1.73E-05,24,3,7,,,,,0.000018,38,30,65
1.78E-05,19,2,5,,,,,0.0000215,94,54,65
1.77E-05,20,1,4,,,,,0.0000172,45,10,65
1.70E-05,15,0,2,,,,,0.0000176,32,20,66
0.0001052,3,1,7,,,,,0.0000181,25,40,66
1.70E-05,30,3,5,,,,,0.0000187,20,5,66
1.69E-05,95,1,5,,,,,0.0000185,28,34,66
1.72E-05,13,0,4,,,,,0.0000192,9,39,66
1.72E-05,15,3,13,,,,,0.0000187,37,24,66
1.71E-05,93,3,10,,,,,0.0000181,42,18,66
1.70E-05,15,3,11,,,,,0.000019,38,64,66
1.69E-05,30,5,11,,,,,0.0000185,94,42,66
1.70E-05,92,7,16,,,,,0.0000178,9,31,66
1.75E-05,12,16,20,,,,,0.0000177,92,15,66
1.69E-05,44,4,20,,,,,0.0000181,35,31,66
1.75E-05,30,16,24,,,,,0.0000188,94,48,67
1.82E-05,7,32,34,,,,,0.0000199,42,25,67
1.85E-05,11,7,34,,,,,0.0000174,92,16,67
2.09E-05,20,28,34,,,,,0.0000179,23,30,67
1.78E-05,25,18,29,,,,,0.000017,5,3,67
1.79E-05,25,13,17,,,,,0.0000173,34,10,67
1.79E-05,14,2,11,,,,,0.0000191,92,61,67
1.75E-05,29,0,6,,,,,0.0000185,12,14,67
1.79E-05,35,7,17,,,,,0.0000214,95,53,67
1.74E-05,21,9,35,,,,,0.0000188,44,56,67
2.35E-05,32,0,34,,,,,0.000018,92,34,67
2.39E-05,41,53,58,,,,,0.0000198,41,40,67
1.86E-05,26,45,58,,,,,0.0000178,32,22,68
1.73E-05,8,12,50,,,,,0.000026,42,62,68
1.82E-05,29,34,50,,,,,0.0000171,1,0,68
1.85E-05,92,36,54,,,,,0.0000182,22,22,68
1.84E-05,4,42,51,,,,,0.0000304,92,26,68
1.78E-05,1,18,46,,,,,0.0000176,8,25,68
1.72E-05,93,3,43,,,,,0.0000173,94,2,68
1.78E-05,11,31,46,,,,,0.0000188,37,35,68
1.79E-05,43,34,44,,,,,0.0000175,17,15,69
1.84E-05,32,42,46,,,,,0.0000171,9,3,69
1.88E-05,37,32,37,,,,,0.000054,14,0,69
1.71E-05,1,12,37,,,,,0.0000192,33,38,69
1.80E-05,24,29,33,,,,,0.000018,28,30,69
1.86E-05,16,22,41,,,,,0.0000184,94,38,69
1.88E-05,36,25,39,,,,,0.0000204,37,33,69
1.81E-05,26,14,40,,,,,0.0000212,34,67,69
1.79E-05,45,7,40,,,,,0.0000173,92,9,69
1.85E-05,5,20,42,,,,,0.0000191,15,50,69
1.85E-05,35,27,37,,,,,0.0000186,38,37,69
1.81E-05,39,21,32,,,,,0.0000189,17,55,69
1.71E-05,15,2,32,,,,,0.0000179,94,24,69
2.07E-05,26,17,33,,,,,0.0000183,38,33,69
1.90E-05,32,27,35,,,,,0.0000236,7,60,70
1.83E-05,4,1,37,,,,,0.0000179,26,27,70
2.37E-05,16,14,32,,,,,0.000019,4,54,70
1.73E-05,93,14,29,,,,,0.0000175,91,20,70
1.78E-05,33,3,13,,,,,0.0000178,93,21,70
1.91E-05,5,10,15,,,,,0.0000198,44,39,70
1.70E-05,37,0,14,,,,,0.0000221,35,57,70
1.68E-05,7,4,9,,,,,0.0000175,93,10,70
1.81E-05,33,0,6,,,,,0.0000192,24,40,71
2.26E-05,27,2,4,,,,,0.0000187,34,24,71
1.69E-05,36,1,6,,,,,0.000019,11,43,71
1.70E-05,19,10,12,,,,,0.0000189,13,57,71
1.73E-05,18,6,12,,,,,0.0000178,16,33,71
2.24E-05,5,9,11,,,,,0.000018,16,34,71
1.88E-05,18,2,10,,,,,0.0000187,33,43,71
1.71E-05,94,3,7,,,,,0.0000237,45,13,71
1.73E-05,18,0,4,,,,,0.0000186,28,45,72
1.70E-05,36,2,11,,,,,0.0000184,92,35,72
1.74E-05,22,5,17,,,,,0.0000264,8,24,72
1.76E-05,12,14,19,,,,,0.0000387,6,21,72
1.76E-05,31,16,20,,,,,0.0000181,4,3,72
1.74E-05,12,11,18,,,,,0.0000193,16,63,72
1.82E-05,6,17,19,,,,,0.0000172,43,3,72
1.75E-05,3,15,22,,,,,0.0000181,95,32,72
1.72E-05,20,13,21,,,,,0.0000171,20,3,72
1.75E-05,2,21,24,,,,,0.0000185,14,1,73
1.75E-05,32,21,29,,,,,0.0000211,95,32,73
1.77E-05,39,17,27,,,,,0.0000171,28,1,73
1.76E-05,16,12,16,,,,,0.0000183,5,34,73
1.71E-05,45,8,24,,,,,0.0000188,34,46,73
1.75E-05,41,19,24,,,,,0.0000192,12,50,73
1.74E-05,16,6,20,,,,,0.0000177,2,4,73
1.73E-05,16,4,15,,,,,0.0000192,19,29,73
1.73E-05,33,6,9,,,,,0.0000196,24,46,73
1.69E-05,24,1,7,,,,,0.0000247,34,46,73
1.72E-05,39,4,7,,,,,0.0000192,14,70,74
1.68E-05,44,0,1,,,,,0.0000181,11,24,74
2.20E-05,94,0,1,,,,,0.0000232,44,14,74
1.69E-05,24,0,7,,,,,0.0000178,28,19,74
1.71E-05,42,2,5,,,,,0.0000172,5,15,75
1.75E-05,42,0,4,,,,,0.0000174,5,15,75
1.77E-05,28,8,13,,,,,0.0000197,26,51,75
1.70E-05,30,7,10,,,,,0.0000188,39,30,75
1.68E-05,37,0,10,,,,,0.0000189,44,56,75
3.17E-05,23,5,10,,,,,0.0000186,13,2,75
2.03E-05,18,13,19,,,,,0.0000175,42,15,75
1.74E-05,11,5,14,,,,,0.0000188,91,58,75
1.72E-05,94,8,17,,,,,0.0000174,36,13,76
1.75E-05,15,18,21,,,,,0.0000217,26,51,76
1.71E-05,41,10,21,,,,,0.0000197,34,49,76
1.83E-05,91,15,25,,,,,0.0000269,6,53,76
1.71E-05,93,7,25,,,,,0.0000207,92,20,76
1.78E-05,29,23,31,,,,,0.0000205,32,72,76
1.76E-05,17,21,24,,,,,0.0000215,32,51,76
1.70E-05,38,4,27,,,,,0.0000173,45,10,77
1.75E-05,23,18,27,,,,,0.0000282,10,61,77
2.29E-05,24,1,20,,,,,0.000019,18,26,77
1.73E-05,40,4,24,,,,,0.0000173,21,8,77
1.89E-05,7,11,17,,,,,0.0000265,25,26,77
1.74E-05,7,10,19,,,,,0.0000175,22,20,77
1.73E-05,40,17,21,,,,,0.0000174,92,6,77
1.69E-05,25,6,22,,,,,0.0000179,36,26,77
1.71E-05,38,0,27,,,,,0.0000192,43,72,77
1.69E-05,30,0,29,,,,,0.000032,7,29,77
1.73E-05,15,0,28,,,,,0.0000193,14,68,78
1.72E-05,21,6,30,,,,,0.0000182,27,35,78
1.87E-05,28,14,27,,,,,0.0000185,5,43,78
1.78E-05,44,1,31,,,,,0.0000197,25,76,78
1.81E-05,20,16,29,,,,,0.0000201,4,70,78
1.77E-05,19,24,28,,,,,0.0000199,38,59,78
1.72E-05,38,11,24,,,,,0.0000277,41,21,78
1.73E-05,1,4,26,,,,,0.0000239,39,37,79
1.75E-05,41,18,27,,,,,0.0000169,27,0,79
1.77E-05,27,22,27,,,,,0.0000203,24,42,79
1.78E-05,41,15,28,,,,,0.0000178,30,26,79
1.77E-05,42,24,30,,,,,0.0000204,35,27,79
1.80E-05,93,4,29,,,,,0.0000337,14,72,79
1.77E-05,7,23,30,,,,,0.0000197,92,51,80
1.91E-05,38,10,30,,,,,0.0000194,5,32,80
1.92E-05,39,21,28,,,,,0.0000178,26,24,80
1.92E-05,41,18,28,,,,,0.0000188,91,53,80
1.80E-05,32,9,30,,,,,0.0000188,21,21,80
1.76E-05,91,19,29,,,,,0.0000167,1,0,80
1.78E-05,32,13,33,,,,,0.0000176,41,22,80
1.74E-05,26,13,33,,,,,0.000019,3,3,80
2.32E-05,27,9,42,,,,,0.0000209,28,43,80
1.86E-05,38,37,69,,,,,0.000021,43,78,80
1.81E-05,35,31,66,,,,,0.0000197,32,47,81
1.89E-05,17,55,69,,,,,0.0000233,43,25,81
1.67E-05,1,0,80,,,,,0.0000195,94,53,81
1.73E-05,3,5,81,,,,,0.0000173,3,5,81
1.76E-05,41,22,80,,,,,0.0000195,20,71,81
1.88E-05,36,17,96,,,,,0.0000282,4,59,81
1.95E-05,28,50,92,,,,,0.0000292,92,29,81
1.83E-05,16,10,96,,,,,0.0000276,18,64,82
2.13E-05,12,73,98,,,,,0.0000191,16,65,82
3.17E-05,2,10,97,,,,,0.0000194,6,51,82
2.80E-05,37,15,95,,,,,0.0000175,29,19,82
2.25E-05,32,59,109,,,,,0.0000186,42,11,82
1.76E-05,34,26,101,,,,,0.0000272,19,4,82
1.95E-05,91,57,105,,,,,0.00002,91,55,82
