cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,,,,,,
1.87E-05,6,43,50,,,,,0.000017,44,5,8
2.95E-05,6,27,45,,,,,0.0000171,6,0,8
1.79E-05,24,2,52,,,,,0.0000171,13,0,8
1.80E-05,93,21,60,,,,,0.0000254,21,6,8
1.70E-05,24,6,62,,,,,0.0000173,21,3,8
1.87E-05,34,24,71,,,,,0.0000173,93,7,9
1.85E-05,14,1,73,,,,,0.000017,95,1,9
2.11E-05,95,32,73,,,,,0.0000171,43,6,9
1.97E-05,92,51,80,,,,,0.0000184,94,1,9
1.74E-05,36,13,76,,,,,0.0000179,25,6,9
2.76E-05,18,64,82,,,,,0.000017,7,0,9
1.91E-05,16,65,82,,,,,0.0000169,93,4,9
2.37E-05,16,71,88,,,,,0.0000168,7,2,9
1.93E-05,14,68,78,,,,,0.0000172,45,0,9
1.73E-05,45,10,77,,,,,0.0000171,5,4,9
1.72E-05,5,15,75,,,,,0.0000174,37,4,9
1.74E-05,5,15,75,,,,,0.0000172,24,4,9
2.39E-05,39,37,79,,,,,0.000022,40,0,9
2.57E-05,4,59,83,,,,,0.0000229,5,5,9
1.97E-05,32,47,81,,,,,0.0000273,37,2,9
1.94E-05,6,51,82,,,,,0.0000188,45,4,9
2.05E-05,14,74,94,,,,,0.0000169,40,5,9
2.40E-05,42,83,91,,,,,0.0000168,7,4,9
1.86E-05,25,42,96,,,,,0.0000173,33,6,9
1.82E-05,28,33,96,,,,,0.000018,45,7,9
4.33E-05,7,20,96,,,,,0.0000172,36,3,10
1.92E-05,44,30,94,,,,,0.0000179,1,8,10
2.05E-05,35,85,104,,,,,0.0000171,33,5,10
2.20E-05,31,66,108,,,,,0.0000199,42,0,10
2.05E-05,18,74,99,,,,,0.000018,33,5,10
1.90E-05,36,62,99,,,,,0.0000182,10,5,10
1.73E-05,24,11,100,,,,,0.0000246,94,7,10
1.80E-05,38,30,97,,,,,0.0000183,93,5,10
1.86E-05,93,42,97,,,,,0.000018,2,2,10
1.87E-05,32,46,97,,,,,0.0000285,40,4,10
2.00E-05,15,84,95,,,,,0.0000178,39,1,10
2.03E-05,8,92,98,,,,,0.0000173,20,4,10
1.83E-05,13,37,94,,,,,0.0000265,25,3,10
1.87E-05,14,42,92,,,,,0.000018,24,6,10
2.13E-05,37,6,97,,,,,0.0000172,27,3,10
2.02E-05,10,91,93,,,,,0.0000171,93,3,10
1.98E-05,93,78,92,,,,,0.0000188,18,2,10
1.71E-05,7,12,90,,,,,0.000017,30,7,10
2.33E-05,43,25,81,,,,,0.0000168,37,0,10
1.99E-05,8,57,84,,,,,0.0000317,23,5,10
2.04E-05,20,74,84,,,,,0.0000169,29,1,11
1.90E-05,43,36,86,,,,,0.0000177,33,0,11
2.28E-05,13,34,85,,,,,0.0000172,94,7,11
2.46E-05,6,65,93,,,,,0.0000224,36,3,11
1.86E-05,26,49,94,,,,,0.000017,16,0,11
1.87E-05,9,58,91,,,,,0.0000259,36,0,11
1.92E-05,14,63,91,,,,,0.0000171,45,9,11
2.03E-05,14,91,96,,,,,0.0000171,1,3,11
1.77E-05,18,13,100,,,,,0.0000178,29,2,11
2.82E-05,10,61,77,,,,,0.0000181,33,7,11
1.90E-05,18,26,77,,,,,0.0000257,18,6,11
1.94E-05,5,32,80,,,,,0.0000173,20,5,11
1.93E-05,8,59,89,,,,,0.0000167,30,1,11
2.24E-05,8,5,91,,,,,0.0000173,24,5,11
1.96E-05,42,47,88,,,,,0.0000173,18,3,11
1.85E-05,8,1,89,,,,,0.000017,15,3,11
1.73E-05,21,8,77,,,,,0.0000169,30,5,11
1.78E-05,26,24,80,,,,,0.0000179,14,2,11
2.26E-05,6,61,83,,,,,0.0000224,5,9,11
1.87E-05,30,51,84,,,,,0.000017,36,2,11
1.93E-05,20,60,83,,,,,0.0000176,21,10,12
1.75E-05,29,19,82,,,,,0.0000167,35,0,12
1.88E-05,91,53,80,,,,,0.0000173,95,9,12
1.69E-05,27,0,79,,,,,0.0000349,18,10,12
4.52E-05,6,61,86,,,,,0.0000171,37,9,12
1.99E-05,9,84,90,,,,,0.0000172,41,5,12
1.78E-05,19,18,90,,,,,0.0000175,23,10,12
1.92E-05,43,46,96,,,,,0.0000169,19,1,12
2.86E-05,35,9,92,,,,,0.0000169,39,2,12
1.74E-05,17,6,94,,,,,0.0000244,12,8,12
1.87E-05,30,52,94,,,,,0.0000172,25,9,12
5.98E-05,17,51,94,,,,,0.000018,1,1,12
2.17E-05,26,51,76,,,,,0.000017,95,3,12
1.88E-05,21,21,80,,,,,0.0000171,30,1,12
1.95E-05,94,53,81,,,,,0.000017,19,10,12
1.94E-05,26,40,85,,,,,0.0000173,18,6,12
1.79E-05,18,34,90,,,,,0.0000181,36,8,13
1.82E-05,27,35,78,,,,,0.000017,27,1,13
2.00E-05,92,83,92,,,,,0.0000168,34,1,13
2.60E-05,42,62,68,,,,,0.0000188,93,9,13
1.99E-05,42,25,67,,,,,0.0000169,35,2,13
1.74E-05,92,16,67,,,,,0.0000169,12,1,13
1.79E-05,23,30,67,,,,,0.0000184,19,11,13
1.71E-05,28,1,73,,,,,0.0000249,92,11,13
2.03E-05,24,42,79,,,,,0.0000171,3,6,13
2.65E-05,25,26,77,,,,,0.0000173,11,6,13
1.85E-05,5,43,78,,,,,0.0000171,43,4,13
1.70E-05,5,3,67,,,,,0.000017,91,4,13
1.73E-05,34,10,67,,,,,0.0000205,30,0,13
1.82E-05,5,38,61,,,,,0.0000174,41,2,13
1.85E-05,17,47,59,,,,,0.0000173,92,1,13
2.26E-05,42,2,59,,,,,0.0000193,16,8,13
1.78E-05,12,21,55,,,,,0.0000172,38,1,13
1.84E-05,22,33,57,,,,,0.000017,25,5,13
1.89E-05,36,29,60,,,,,0.0000169,9,3,13
1.91E-05,15,57,60,,,,,0.0000173,18,8,13
1.97E-05,34,49,76,,,,,0.0000172,28,10,13
3.87E-05,6,21,72,,,,,0.0000172,15,3,13
1.83E-05,5,34,73,,,,,0.0000178,33,3,13
1.90E-05,11,43,71,,,,,0.0000177,28,8,13
1.79E-05,26,27,70,,,,,0.000018,41,0,13
1.90E-05,4,54,70,,,,,0.0000183,19,1,13
1.84E-05,25,33,65,,,,,0.0000183,25,8,14
1.89E-05,33,26,59,,,,,0.0000172,9,10,14
2.50E-05,24,43,55,,,,,0.0000169,22,2,14
2.12E-05,7,5,58,,,,,0.0000181,13,7,14
1.91E-05,92,61,67,,,,,0.000017,9,5,14
1.71E-05,41,10,55,,,,,0.0000173,2,10,14
1.85E-05,8,42,61,,,,,0.0000169,2,0,14
2.28E-05,17,0,54,,,,,0.0000169,19,0,14
2.67E-05,18,44,55,,,,,0.0000169,42,3,14
2.40E-05,36,30,55,,,,,0.0000171,37,4,14
1.85E-05,11,20,59,,,,,0.0000169,21,1,14
1.89E-05,44,32,58,,,,,0.0000171,93,4,14
1.82E-05,94,10,55,,,,,0.0000173,19,10,14
1.83E-05,36,0,40,,,,,0.0000173,25,4,14
2.05E-05,34,40,42,,,,,0.0000173,42,7,14
1.76E-05,36,15,38,,,,,0.000017,37,0,14
1.79E-05,6,30,37,,,,,0.0000174,11,5,14
