cas operacie,index prvku,dlzka zoznamu,,
2.02E-05,48,48,,
1.92E-05,47,47,,
1.89E-05,44,44,,
1.94E-05,43,43,,
1.93E-05,40,40,,
2.47E-05,42,42,,
1.92E-05,43,43,,
1.93E-05,46,46,,
3.27E-05,53,53,,
2.05E-05,59,59,,
2.73E-05,58,58,,
2.06E-05,60,60,,
2.01E-05,59,59,,
2.73E-05,58,58,,
2.04E-05,55,55,,
1.94E-05,55,55,,
1.94E-05,54,54,,
1.92E-05,55,55,,
1.95E-05,57,57,,
1.97E-05,54,54,,
2.26E-05,56,56,,
1.97E-05,57,57,,
1.96E-05,60,60,,
1.96E-05,59,59,,
1.96E-05,58,58,,
2.55E-05,58,58,,
2.00E-05,60,60,,
1.98E-05,60,60,,
2.44E-05,62,62,,
1.95E-05,61,61,,
2.08E-05,60,60,,
3.26E-05,63,63,,
2.00E-05,71,71,,
2.15E-05,70,70,,
2.16E-05,67,67,,
2.04E-05,66,66,,
1.99E-05,66,66,,
1.98E-05,65,65,,
1.99E-05,65,65,,
2.58E-05,66,66,,
1.99E-05,67,67,,
2.02E-05,67,67,,
2.10E-05,79,79,,
2.09E-05,77,77,,
2.07E-05,76,76,,
2.06E-05,79,79,,
2.04E-05,78,78,,
2.34E-05,75,75,,
2.04E-05,75,75,,
2.82E-05,74,74,,
2.03E-05,72,72,,
2.78E-05,72,72,,
2.77E-05,71,71,,
2.57E-05,73,73,,
2.42E-05,72,72,,
2.28E-05,71,71,,
2.01E-05,69,69,,
2.01E-05,70,70,,
1.99E-05,69,69,,
2.26E-05,68,68,,
2.04E-05,71,71,,
2.24E-05,70,70,,
2.11E-05,67,67,,
2.12E-05,67,67,,
2.25E-05,62,62,,
2.08E-05,67,67,,
2.11E-05,68,68,,
2.86E-05,71,71,,
2.20E-05,73,73,,
2.00E-05,71,71,,
2.00E-05,70,70,,
2.00E-05,69,69,,
2.00E-05,69,69,,
1.98E-05,67,67,,
2.01E-05,66,66,,
2.23E-05,69,69,,
2.15E-05,67,67,,
2.12E-05,68,68,,
2.13E-05,67,67,,
3.09E-05,66,66,,
2.09E-05,66,66,,
3.25E-05,65,65,,
2.13E-05,67,67,,
2.09E-05,70,70,,
2.12E-05,70,70,,
2.12E-05,70,70,,
2.10E-05,71,71,,
2.11E-05,72,72,,
2.09E-05,71,71,,
2.09E-05,71,71,,
2.09E-05,70,70,,
2.39E-05,67,67,,
2.12E-05,66,66,,
2.12E-05,70,70,,
2.09E-05,69,69,,
2.10E-05,69,69,,
3.89E-05,71,71,,
3.48E-05,73,73,,
3.09E-05,71,71,,
3.22E-05,72,72,,
3.15E-05,71,71,,
3.10E-05,70,70,,
3.06E-05,73,73,,
3.38E-05,71,71,,
2.65E-05,68,68,,
3.45E-05,68,68,,
3.59E-05,70,70,,
2.11E-05,68,68,,
2.13E-05,67,67,,
2.11E-05,67,67,,
2.98E-05,66,66,,
2.61E-05,65,65,,
3.39E-05,63,63,,
2.16E-05,61,61,,
2.80E-05,60,60,,
2.83E-05,60,60,,
2.85E-05,60,60,,
2.20E-05,60,60,,
2.07E-05,59,59,,
2.75E-05,59,59,,
2.86E-05,62,62,,
2.08E-05,65,65,,
2.14E-05,64,64,,
3.77E-05,63,63,,
2.85E-05,63,63,,
2.86E-05,63,63,,
4.27E-05,60,60,,
2.60E-05,59,59,,
2.58E-05,58,58,,
2.08E-05,61,61,,
2.04E-05,61,61,,
2.19E-05,58,58,,
2.08E-05,58,58,,
2.09E-05,59,59,,
2.04E-05,56,56,,
2.06E-05,55,55,,
2.05E-05,53,53,,
2.74E-05,52,52,,
3.03E-05,51,51,,
3.21E-05,49,49,,
2.15E-05,50,50,,
2.95E-05,49,49,,
2.08E-05,47,47,,
2.01E-05,43,43,,
1.97E-05,40,40,,
2.56E-05,39,39,,
2.03E-05,41,41,,
1.99E-05,40,40,,
2.05E-05,43,43,,
2.03E-05,44,44,,
2.00E-05,44,44,,
7.99E-05,43,43,,
3.11E-05,44,44,,
2.44E-05,42,42,,
2.90E-05,44,44,,
0.0002814,51,51,,
2.62E-05,51,51,,
3.31E-05,49,49,,
2.59E-05,47,47,,
2.05E-05,47,47,,
2.42E-05,46,46,,
1.95E-05,45,45,,
1.93E-05,39,39,,
1.92E-05,40,40,,
2.15E-05,45,45,,
2.10E-05,51,51,,
1.95E-05,53,53,,
1.95E-05,52,52,,
1.94E-05,51,51,,
1.94E-05,55,55,,
2.15E-05,49,49,,
1.92E-05,48,48,,
1.93E-05,47,47,,
1.92E-05,45,45,,
1.92E-05,44,44,,
1.93E-05,43,43,,
1.90E-05,42,42,,
2.02E-05,49,49,,
1.92E-05,47,47,,
1.92E-05,46,46,,
1.92E-05,50,50,,
1.96E-05,54,54,,
1.93E-05,55,55,,
1.95E-05,52,52,,
1.93E-05,51,51,,
1.91E-05,48,48,,
1.91E-05,47,47,,
1.92E-05,47,47,,
1.95E-05,50,50,,
1.93E-05,52,52,,
1.92E-05,51,51,,
1.93E-05,49,49,,
1.91E-05,50,50,,
1.92E-05,50,50,,
2.00E-05,51,51,,
2.00E-05,52,52,,
1.95E-05,49,49,,
1.92E-05,45,45,,
1.91E-05,44,44,,
5.58E-05,43,43,,
2.06E-05,44,44,,
2.06E-05,44,44,,
1.92E-05,42,42,,
1.89E-05,41,41,,
1.91E-05,40,40,,
1.88E-05,39,39,,
1.91E-05,38,38,,
1.97E-05,38,38,,
1.89E-05,39,39,,
1.87E-05,37,37,,
1.88E-05,39,39,,
1.90E-05,39,39,,
1.88E-05,37,37,,
1.88E-05,38,38,,
2.49E-05,44,44,,
1.92E-05,42,42,,
1.89E-05,40,40,,
1.90E-05,41,41,,
1.90E-05,41,41,,
1.90E-05,40,40,,
1.89E-05,39,39,,
1.91E-05,39,39,,
1.88E-05,39,39,,
2.86E-05,40,40,,
2.83E-05,40,40,,
4.13E-05,38,38,,
1.89E-05,37,37,,
1.93E-05,39,39,,
1.87E-05,37,37,,
1.87E-05,35,35,,
1.88E-05,35,35,,
1.87E-05,34,34,,
1.85E-05,32,32,,
1.85E-05,31,31,,
1.85E-05,30,30,,
1.98E-05,27,27,,
1.96E-05,26,26,,
1.95E-05,25,25,,
1.83E-05,22,22,,
1.84E-05,21,21,,
1.84E-05,24,24,,
1.83E-05,25,25,,
1.82E-05,22,22,,
1.95E-05,27,27,,
1.90E-05,30,30,,
2.09E-05,33,33,,
1.91E-05,33,33,,
1.95E-05,35,35,,
1.91E-05,37,37,,
1.89E-05,36,36,,
2.15E-05,39,39,,
1.94E-05,40,40,,
1.90E-05,42,42,,
1.97E-05,44,44,,
1.90E-05,44,44,,
1.92E-05,44,44,,
1.93E-05,43,43,,
1.86E-05,41,41,,
1.93E-05,41,41,,
1.88E-05,40,40,,
2.41E-05,37,37,,
2.03E-05,40,40,,
1.90E-05,39,39,,
2.06E-05,38,38,,
2.03E-05,37,37,,
1.89E-05,35,35,,
1.88E-05,34,34,,
2.63E-05,31,31,,
1.94E-05,30,30,,
1.87E-05,29,29,,
2.04E-05,30,30,,
2.13E-05,31,31,,
2.17E-05,30,30,,
1.87E-05,27,27,,
2.55E-05,29,29,,
1.86E-05,29,29,,
1.87E-05,29,29,,
1.88E-05,30,30,,
1.87E-05,31,31,,
1.88E-05,33,33,,
1.86E-05,32,32,,
1.89E-05,37,37,,
1.86E-05,35,35,,
1.88E-05,35,35,,
1.87E-05,35,35,,
1.88E-05,34,34,,
2.14E-05,33,33,,
1.96E-05,28,28,,
1.86E-05,26,26,,
1.93E-05,25,25,,
1.84E-05,22,22,,
1.82E-05,21,21,,
1.83E-05,20,20,,
1.83E-05,19,19,,
1.81E-05,16,16,,
1.78E-05,13,13,,
1.88E-05,17,17,,
1.99E-05,18,18,,
1.84E-05,22,22,,
1.83E-05,21,21,,
1.82E-05,20,20,,
1.82E-05,21,21,,
1.86E-05,23,23,,
1.98E-05,26,26,,
1.87E-05,25,25,,
1.85E-05,25,25,,
1.84E-05,25,25,,
1.87E-05,25,25,,
2.12E-05,23,23,,
1.89E-05,19,19,,
2.57E-05,19,19,,
1.88E-05,18,18,,
1.85E-05,24,24,,
1.86E-05,23,23,,
1.83E-05,22,22,,
2.24E-05,21,21,,
1.99E-05,20,20,,
1.96E-05,24,24,,
3.26E-05,22,22,,
2.23E-05,23,23,,
2.39E-05,32,32,,
1.99E-05,32,32,,
1.87E-05,30,30,,
1.87E-05,29,29,,
1.83E-05,22,22,,
1.84E-05,22,22,,
3.45E-05,15,15,,
3.23E-05,14,14,,
2.10E-05,14,14,,
1.95E-05,13,13,,
1.91E-05,12,12,,
1.91E-05,11,11,,
3.13E-05,11,11,,
1.92E-05,12,12,,
1.90E-05,11,11,,
