cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,
1.20E-06,45,16,17,,,
1.30E-06,28,16,17,,,
1.20E-06,34,15,16,,,
1.20E-06,31,15,16,,,
1.60E-06,21,16,17,,,
1.50E-06,25,18,19,,,
1.40E-06,38,15,16,,,
1.40E-06,33,17,18,,,
1.30E-06,7,19,20,,,
1.20E-06,18,21,22,,,
3.40E-06,38,25,26,,,
1.40E-06,32,27,28,,,
1.50E-06,21,26,27,,,
1.30E-06,37,27,28,,,
1.30E-06,44,29,30,,,
1.10E-06,26,30,31,,,
1.50E-06,11,28,29,,,
1.40E-06,27,28,29,,,
1.30E-06,6,29,30,,,
1.40E-06,24,28,29,,,
1.40E-06,18,30,31,,,
2.00E-06,28,34,35,,,
4.80E-06,3,36,37,,,
1.40E-06,36,38,39,,,
1.50E-06,31,39,40,,,
1.60E-06,4,40,41,,,
1.40E-06,6,37,38,,,
1.50E-06,3,39,40,,,
2.00E-06,22,40,41,,,
1.40E-06,10,41,42,,,
1.30E-06,13,40,41,,,
1.20E-06,15,42,43,,,
1.10E-06,33,41,42,,,
1.70E-06,17,41,42,,,
1.40E-06,6,45,46,,,
3.00E-06,43,41,42,,,
1.30E-06,35,44,45,,,
1.20E-06,35,42,43,,,
1.50E-06,11,42,43,,,
1.20E-06,38,40,41,,,
1.20E-06,40,41,42,,,
1.20E-06,35,40,41,,,
1.20E-06,34,41,42,,,
1.20E-06,38,43,44,,,
1.20E-06,27,45,46,,,
2.00E-06,41,47,48,,,
1.20E-06,6,44,45,,,
1.30E-06,14,43,44,,,
1.20E-06,26,44,45,,,
1.10E-06,45,44,45,,,
1.60E-06,14,41,42,,,
1.40E-06,45,42,43,,,
1.20E-06,31,42,43,,,
1.90E-06,38,45,46,,,
1.30E-06,24,46,47,,,
1.40E-06,27,40,41,,,
1.20E-06,19,41,42,,,
1.20E-06,19,42,43,,,
1.20E-06,34,43,44,,,
1.10E-06,39,40,41,,,
1.20E-06,28,39,40,,,
1.10E-06,42,39,40,,,
1.30E-06,37,39,40,,,
1.20E-06,33,41,42,,,
1.30E-06,24,45,46,,,
1.20E-06,44,45,46,,,
1.10E-06,20,47,48,,,
1.30E-06,40,45,46,,,
1.20E-06,9,44,45,,,
1.20E-06,44,44,45,,,
1.10E-06,33,46,47,,,
1.50E-06,18,47,48,,,
1.30E-06,14,47,48,,,
1.20E-06,13,48,49,,,
1.30E-06,22,39,40,,,
1.20E-06,9,40,41,,,
1.30E-06,16,43,44,,,
1.20E-06,32,43,44,,,
1.10E-06,39,48,49,,,
1.10E-06,33,51,52,,,
2.40E-06,23,52,53,,,
1.50E-06,5,53,54,,,
2.00E-06,30,52,53,,,
1.50E-06,18,52,53,,,
1.50E-06,35,53,54,,,
1.40E-06,8,59,60,,,
2.00E-06,10,59,60,,,
1.40E-06,2,60,61,,,
1.10E-06,25,55,56,,,
2.10E-06,36,58,59,,,
1.30E-06,39,55,56,,,
1.20E-06,39,57,58,,,
1.20E-06,1,54,55,,,
1.20E-06,26,56,57,,,
3.10E-06,22,56,57,,,
2.10E-06,2,58,59,,,
1.40E-06,9,58,59,,,
1.20E-06,15,60,61,,,
1.20E-06,4,59,60,,,
1.40E-06,34,58,59,,,
1.20E-06,27,58,59,,,
1.50E-06,16,63,64,,,
1.70E-06,31,61,62,,,
1.20E-06,38,60,61,,,
1.10E-06,5,61,62,,,
1.20E-06,24,60,61,,,
1.20E-06,26,60,61,,,
1.20E-06,11,61,62,,,
1.20E-06,44,62,63,,,
2.20E-06,7,62,63,,,
1.20E-06,29,62,63,,,
1.30E-06,15,61,62,,,
2.20E-06,40,63,64,,,
1.20E-06,12,65,66,,,
1.30E-06,10,67,68,,,
1.10E-06,1,70,71,,,
1.10E-06,16,71,72,,,
2.30E-06,12,71,72,,,
1.30E-06,20,71,72,,,
1.20E-06,6,71,72,,,
1.20E-06,31,71,72,,,
1.30E-06,21,65,66,,,
1.20E-06,14,66,67,,,
1.10E-06,7,66,67,,,
1.20E-06,23,67,68,,,
1.20E-06,7,67,68,,,
1.20E-06,4,68,69,,,
1.50E-06,35,70,71,,,
1.30E-06,43,72,73,,,
1.20E-06,42,73,74,,,
1.20E-06,42,74,75,,,
5.50E-06,2,77,78,,,
1.30E-06,7,77,78,,,
1.20E-06,34,78,79,,,
1.20E-06,7,78,79,,,
1.20E-06,8,79,80,,,
1.40E-06,24,74,75,,,
2.00E-06,24,75,76,,,
1.90E-06,37,76,77,,,
1.20E-06,45,76,77,,,
1.20E-06,30,76,77,,,
1.20E-06,44,71,72,,,
1.20E-06,15,72,73,,,
1.40E-06,5,73,74,,,
3.10E-06,1,73,74,,,
1.30E-06,37,71,72,,,
1.60E-06,39,72,73,,,
1.40E-06,11,71,72,,,
1.20E-06,26,72,73,,,
1.10E-06,19,69,70,,,
1.30E-06,5,71,72,,,
1.50E-06,31,70,71,,,
1.40E-06,9,69,70,,,
1.50E-06,30,67,68,,,
1.40E-06,8,66,67,,,
1.40E-06,20,64,65,,,
1.40E-06,17,64,65,,,
1.60E-06,39,64,65,,,
3.00E-06,20,64,65,,,
1.70E-06,3,62,63,,,
1.40E-06,29,66,67,,,
1.40E-06,43,67,68,,,
1.40E-06,5,68,69,,,
1.30E-06,35,69,70,,,
2.20E-06,23,73,74,,,
1.50E-06,1,74,75,,,
1.60E-06,41,74,75,,,
1.10E-06,37,69,70,,,
1.20E-06,37,68,69,,,
1.20E-06,41,69,70,,,
1.80E-06,43,66,67,,,
1.60E-06,32,69,70,,,
1.50E-06,18,68,69,,,
1.40E-06,6,67,68,,,
2.10E-06,8,67,68,,,
1.80E-06,42,65,66,,,
1.50E-06,20,67,68,,,
1.40E-06,14,70,71,,,
1.30E-06,20,70,71,,,
1.50E-06,15,63,64,,,
1.30E-06,33,65,66,,,
1.40E-06,26,69,70,,,
2.00E-06,37,70,71,,,
2.30E-06,15,71,72,,,
1.80E-06,16,70,71,,,
1.90E-06,17,71,72,,,
1.60E-06,41,72,73,,,
1.60E-06,9,68,69,,,
1.40E-06,26,69,70,,,
1.40E-06,20,70,71,,,
2.70E-06,23,66,67,,,
1.50E-06,27,64,65,,,
1.50E-06,13,61,62,,,
1.50E-06,37,60,61,,,
1.70E-06,27,60,61,,,
1.50E-06,17,59,60,,,
1.70E-06,6,57,58,,,
1.80E-06,24,59,60,,,
1.70E-06,27,62,63,,,
1.30E-06,4,64,65,,,
1.30E-06,26,64,65,,,
1.90E-06,37,63,64,,,
1.50E-06,15,61,62,,,
1.50E-06,13,61,62,,,
1.40E-06,21,61,62,,,
2.00E-06,37,58,59,,,
1.40E-06,15,58,59,,,
1.30E-06,44,58,59,,,
1.40E-06,29,59,60,,,
1.40E-06,27,50,51,,,
1.60E-06,20,50,51,,,
3.20E-06,15,50,51,,,
1.50E-06,5,47,48,,,
1.60E-06,23,39,40,,,
1.30E-06,13,40,41,,,
1.30E-06,10,40,41,,,
1.40E-06,44,41,42,,,
1.90E-06,45,40,41,,,
1.40E-06,23,40,41,,,
1.50E-06,7,42,43,,,
1.30E-06,4,44,45,,,
1.50E-06,27,44,45,,,
4.20E-06,13,41,42,,,
2.40E-06,15,44,45,,,
1.80E-06,41,42,43,,,
2.70E-06,32,46,47,,,
1.60E-06,1,48,49,,,
1.50E-06,30,50,51,,,
1.60E-06,12,49,50,,,
1.30E-06,33,47,48,,,
1.20E-06,26,48,49,,,
1.50E-06,28,46,47,,,
1.20E-06,33,45,46,,,
1.20E-06,29,45,46,,,
1.30E-06,38,45,46,,,
1.70E-06,31,48,49,,,
1.30E-06,30,52,53,,,
1.20E-06,12,53,54,,,
1.20E-06,34,54,55,,,
1.30E-06,38,54,55,,,
1.40E-06,41,55,56,,,
1.40E-06,35,52,53,,,
1.20E-06,26,54,55,,,
1.30E-06,8,52,53,,,
1.30E-06,24,43,44,,,
1.40E-06,1,43,44,,,
1.70E-06,41,44,45,,,
1.70E-06,32,45,46,,,
1.70E-06,25,48,49,,,
1.20E-06,22,49,50,,,
1.20E-06,42,46,47,,,
1.10E-06,29,47,48,,,
1.20E-06,37,49,50,,,
2.50E-06,42,48,49,,,
1.50E-06,15,49,50,,,
1.30E-06,27,50,51,,,
1.80E-06,38,52,53,,,
1.30E-06,6,52,53,,,
1.20E-06,9,54,55,,,
1.20E-06,2,55,56,,,
1.20E-06,18,55,56,,,
1.20E-06,13,48,49,,,
3.76E-05,18,46,47,,,
1.30E-06,10,49,50,,,
1.10E-06,11,50,51,,,
1.10E-06,5,53,54,,,
1.20E-06,12,52,53,,,
1.20E-06,13,53,54,,,
1.30E-06,22,51,52,,,
1.10E-06,20,52,53,,,
1.10E-06,1,44,45,,,
2.10E-06,33,43,44,,,
1.40E-06,27,43,44,,,
1.20E-06,15,41,42,,,
1.20E-06,29,43,44,,,
1.20E-06,17,38,39,,,
1.20E-06,27,38,39,,,
1.30E-06,9,39,40,,,
1.20E-06,22,39,40,,,
1.10E-06,19,40,41,,,
1.20E-06,33,40,41,,,
1.20E-06,22,43,44,,,
1.90E-06,17,44,45,,,
1.20E-06,30,40,41,,,
1.20E-06,6,41,42,,,
1.50E-06,8,36,37,,,
1.20E-06,1,37,38,,,
1.20E-06,19,42,43,,,
1.10E-06,23,39,40,,,
1.10E-06,24,40,41,,,
1.70E-06,36,40,41,,,
2.40E-06,42,37,38,,,
2.80E-06,38,38,39,,,
1.20E-06,14,36,37,,,
1.20E-06,42,37,38,,,
1.10E-06,30,37,38,,,
1.20E-06,17,38,39,,,
1.30E-06,19,35,36,,,
1.30E-06,24,35,36,,,
1.80E-06,14,28,29,,,
1.40E-06,45,21,22,,,
1.20E-06,24,21,22,,,
1.20E-06,44,23,24,,,
1.50E-06,29,24,25,,,
1.30E-06,28,28,29,,,
1.20E-06,6,23,24,,,
1.20E-06,13,20,21,,,
1.20E-06,41,22,23,,,
1.60E-06,27,22,23,,,
1.30E-06,17,27,28,,,
1.20E-06,14,28,29,,,
1.20E-06,34,29,30,,,
1.20E-06,26,30,31,,,
1.20E-06,12,31,32,,,
1.20E-06,38,33,34,,,
1.10E-06,40,33,34,,,
1.30E-06,12,35,36,,,
1.50E-06,43,36,37,,,
1.20E-06,22,36,37,,,
1.20E-06,21,38,39,,,
1.20E-06,42,41,42,,,
1.30E-06,11,44,45,,,
1.10E-06,8,44,45,,,
1.20E-06,18,44,45,,,
1.30E-06,41,41,42,,,
1.50E-06,37,35,36,,,
1.30E-06,21,39,40,,,
1.30E-06,43,40,41,,,
1.80E-06,39,38,39,,,
1.20E-06,40,35,36,,,
1.20E-06,24,33,34,,,
1.40E-06,26,28,29,,,
1.10E-06,39,31,32,,,
1.10E-06,29,32,33,,,
1.20E-06,18,34,35,,,
1.40E-06,24,31,32,,,
1.20E-06,39,28,29,,,
1.20E-06,6,29,30,,,
1.20E-06,29,30,31,,,
1.10E-06,6,30,31,,,
1.30E-06,21,29,30,,,
2.50E-06,40,31,32,,,
1.40E-06,37,31,32,,,
1.40E-06,20,32,33,,,
2.70E-06,3,33,34,,,
1.40E-06,36,33,34,,,
2.10E-06,18,36,37,,,
1.20E-06,3,37,38,,,
1.10E-06,42,33,34,,,
1.40E-06,33,15,16,,,
1.10E-06,21,14,15,,,
1.20E-06,29,15,16,,,
1.50E-06,31,17,18,,,
1.20E-06,41,19,20,,,
9.70E-06,32,20,21,,,
2.30E-06,43,23,24,,,
1.20E-06,35,25,26,,,
1.20E-06,23,25,26,,,
1.10E-06,34,22,23,,,
1.40E-06,45,19,20,,,
2.00E-06,32,21,22,,,
1.50E-06,21,21,22,,,
1.50E-06,30,21,22,,,
1.40E-06,21,23,24,,,
1.20E-06,24,28,29,,,
1.20E-06,45,28,29,,,
2.30E-06,13,31,32,,,
1.50E-06,22,32,33,,,
1.30E-06,20,22,23,,,
1.60E-06,12,21,22,,,
2.40E-06,45,15,16,,,
1.50E-06,39,12,13,,,
2.40E-06,41,11,12,,,
2.20E-06,12,11,12,,,
1.60E-06,32,11,12,,,
2.30E-06,30,10,11,,,
1.50E-06,42,8,9,,,
1.50E-06,5,9,10,,,
