cas operacie,cislo,velkost frontu,,,
2.00E-07,28,233,,,
2.00E-07,43,235,,,
1.00E-07,43,235,,,
2.00E-07,27,237,,,
2.00E-07,21,237,,,
1.00E-07,16,242,,,
2.00E-07,21,242,,,
2.00E-07,28,241,,,
2.00E-07,29,242,,,
2.00E-07,49,245,,,
1.00E-07,23,249,,,
2.00E-07,48,248,,,
2.00E-07,29,249,,,
1.00E-07,35,253,,,
2.00E-07,40,250,,,
1.00E-07,40,251,,,
2.00E-07,40,251,,,
1.00E-07,40,251,,,
2.00E-07,38,253,,,
1.00E-07,8,257,,,
2.00E-07,8,257,,,
1.00E-07,16,256,,,
1.00E-07,12,257,,,
2.00E-07,17,260,,,
1.00E-07,17,261,,,
2.00E-07,21,263,,,
2.00E-07,21,263,,,
2.00E-07,34,266,,,
1.00E-07,47,262,,,
2.00E-07,46,263,,,
2.00E-07,6,264,,,
2.00E-07,47,264,,,
2.00E-07,29,264,,,
1.00E-07,40,267,,,
2.00E-07,42,267,,,
2.00E-07,29,269,,,
2.00E-07,48,280,,,
1.00E-07,48,280,,,
2.00E-07,48,281,,,
1.00E-07,48,283,,,
2.00E-07,48,283,,,
2.00E-07,48,283,,,
2.00E-07,35,288,,,
1.00E-07,35,289,,,
2.00E-07,17,290,,,
2.00E-07,17,292,,,
2.00E-07,15,294,,,
2.00E-07,49,296,,,
2.00E-07,48,297,,,
2.00E-07,13,296,,,
2.00E-07,13,296,,,
2.00E-07,1,297,,,
2.00E-07,1,300,,,
0.0001481,20,303,,,
2.00E-07,14,307,,,
3.00E-07,49,309,,,
1.00E-07,49,309,,,
2.00E-07,29,311,,,
2.00E-07,34,309,,,
2.00E-07,45,308,,,
2.00E-07,7,309,,,
1.00E-07,16,308,,,
2.00E-07,14,313,,,
2.00E-07,32,312,,,
2.00E-07,32,313,,,
1.00E-07,32,313,,,
2.00E-07,32,315,,,
2.00E-07,9,317,,,
2.00E-07,23,318,,,
2.00E-07,12,318,,,
2.00E-07,33,318,,,
2.00E-07,33,321,,,
2.00E-07,33,323,,,
2.00E-07,11,324,,,
2.00E-07,11,324,,,
1.00E-07,45,327,,,
2.00E-07,31,326,,,
1.00E-07,39,329,,,
1.00E-07,39,330,,,
1.00E-07,31,329,,,
2.00E-07,30,331,,,
2.00E-07,31,332,,,
2.00E-07,29,332,,,
2.00E-07,29,334,,,
2.00E-07,29,334,,,
2.00E-07,29,336,,,
2.00E-07,29,336,,,
2.00E-07,18,335,,,
2.00E-07,11,337,,,
2.00E-07,14,340,,,
1.00E-07,24,338,,,
1.00E-07,24,338,,,
1.00E-07,19,336,,,
2.00E-07,37,342,,,
1.00E-07,16,343,,,
2.00E-07,32,343,,,
1.00E-07,17,343,,,
2.00E-07,17,343,,,
1.00E-07,38,344,,,
2.00E-07,38,346,,,
1.00E-07,13,345,,,
2.00E-07,13,351,,,
2.00E-07,12,351,,,
1.00E-07,15,348,,,
2.00E-07,27,350,,,
2.00E-07,27,350,,,
2.00E-07,16,349,,,
1.00E-07,41,353,,,
2.00E-07,29,355,,,
1.00E-07,29,356,,,
1.00E-07,37,354,,,
1.00E-07,14,355,,,
2.00E-07,24,352,,,
2.00E-07,21,354,,,
2.00E-07,24,354,,,
1.00E-07,24,354,,,
2.00E-07,20,352,,,
1.00E-07,20,352,,,
2.00E-07,13,355,,,
2.00E-07,13,357,,,
2.00E-07,13,358,,,
2.00E-07,44,363,,,
2.00E-07,27,362,,,
2.00E-07,27,362,,,
1.00E-07,27,362,,,
1.00E-07,1,362,,,
1.00E-07,1,363,,,
1.00E-07,1,363,,,
1.00E-07,23,363,,,
1.00E-07,23,364,,,
2.00E-07,1,365,,,
1.00E-07,23,364,,,
1.00E-07,23,366,,,
2.00E-07,15,365,,,
1.00E-07,33,366,,,
1.00E-07,33,366,,,
2.00E-07,13,366,,,
2.00E-07,6,367,,,
2.00E-07,6,367,,,
1.00E-07,39,368,,,
2.00E-07,1,374,,,
2.00E-07,8,373,,,
1.00E-07,29,374,,,
2.00E-07,10,372,,,
1.00E-07,10,372,,,
1.00E-07,34,371,,,
1.00E-07,34,371,,,
1.00E-07,20,370,,,
2.00E-07,32,370,,,
1.00E-07,31,371,,,
1.00E-07,3,373,,,
1.00E-07,3,376,,,
2.00E-07,29,377,,,
1.00E-07,3,379,,,
2.00E-07,17,379,,,
2.00E-07,12,379,,,
1.00E-07,12,379,,,
2.00E-07,19,379,,,
2.00E-07,19,379,,,
2.00E-07,19,379,,,
1.00E-07,31,380,,,
1.00E-07,31,380,,,
1.00E-07,19,380,,,
2.00E-07,10,380,,,
2.00E-07,47,380,,,
2.00E-07,35,385,,,
1.00E-07,37,384,,,
2.00E-07,37,384,,,
2.00E-07,13,389,,,
2.00E-07,13,390,,,
1.00E-07,13,391,,,
2.00E-07,33,392,,,
2.00E-07,31,391,,,
2.00E-07,31,393,,,
2.00E-07,26,392,,,
2.00E-07,45,391,,,
1.00E-07,45,393,,,
1.00E-07,47,396,,,
2.00E-07,47,396,,,
2.00E-07,47,396,,,
2.00E-07,7,398,,,
2.00E-07,32,399,,,
2.00E-07,21,400,,,
2.00E-07,21,399,,,
2.00E-07,48,400,,,
2.00E-07,50,399,,,
2.00E-07,10,396,,,
2.00E-07,10,396,,,
1.00E-07,16,397,,,
2.00E-07,49,400,,,
2.00E-07,48,410,,,
2.00E-07,33,412,,,
2.00E-07,34,411,,,
2.00E-07,34,411,,,
2.00E-07,15,409,,,
2.00E-07,20,409,,,
1.00E-07,20,411,,,
1.00E-07,42,413,,,
2.00E-07,17,422,,,
2.00E-07,30,422,,,
2.00E-07,2,422,,,
1.00E-07,2,422,,,
2.00E-07,23,422,,,
1.00E-07,23,422,,,
2.00E-07,3,428,,,
2.00E-07,9,432,,,
2.00E-07,19,434,,,
2.00E-07,11,439,,,
2.00E-07,6,442,,,
2.00E-07,39,441,,,
2.00E-07,39,443,,,
1.00E-07,11,442,,,
1.00E-07,41,440,,,
1.00E-07,36,440,,,
2.00E-07,32,443,,,
2.00E-07,32,448,,,
2.00E-07,6,446,,,
2.00E-07,16,445,,,
2.00E-07,4,444,,,
2.00E-07,21,447,,,
2.00E-07,21,447,,,
2.00E-07,21,447,,,
1.00E-07,46,448,,,
2.00E-07,2,450,,,
2.00E-07,2,451,,,
2.00E-07,20,450,,,
2.00E-07,20,450,,,
2.00E-07,20,450,,,
2.00E-07,18,449,,,
2.00E-07,46,449,,,
2.00E-07,46,449,,,
2.00E-07,46,449,,,
2.00E-07,43,449,,,
1.00E-07,43,449,,,
1.00E-07,30,450,,,
1.00E-07,30,450,,,
2.00E-07,4,455,,,
2.00E-07,29,456,,,
2.00E-07,29,456,,,
1.00E-07,38,458,,,
1.00E-07,38,458,,,
2.00E-07,38,461,,,
1.00E-07,23,463,,,
1.00E-07,29,462,,,
2.00E-07,27,463,,,
2.00E-07,49,466,,,
2.00E-07,49,466,,,
2.00E-07,4,466,,,
1.00E-07,37,464,,,
2.00E-07,30,466,,,
2.00E-07,3,471,,,
2.00E-07,6,475,,,
1.00E-07,3,474,,,
2.00E-07,22,476,,,
1.00E-07,22,476,,,
2.00E-07,22,476,,,
2.00E-07,22,476,,,
2.00E-07,47,475,,,
1.00E-07,47,475,,,
2.00E-07,12,475,,,
2.00E-07,12,476,,,
1.00E-07,25,478,,,
2.00E-07,33,478,,,
2.00E-07,33,480,,,
2.00E-07,25,480,,,
2.00E-07,5,481,,,
2.00E-07,33,481,,,
1.00E-07,21,481,,,
1.00E-07,44,487,,,
2.00E-07,16,488,,,
2.00E-07,16,488,,,
1.00E-07,41,488,,,
1.00E-07,45,491,,,
2.00E-07,35,490,,,
2.00E-07,35,490,,,
2.00E-07,7,490,,,
2.00E-07,9,496,,,
2.00E-07,28,504,,,
2.00E-07,24,502,,,
3.00E-07,24,503,,,
2.00E-07,48,504,,,
2.00E-07,4,503,,,
2.00E-07,11,514,,,
1.00E-07,11,516,,,
1.00E-07,31,516,,,
1.00E-07,38,518,,,
2.00E-07,6,518,,,
2.00E-07,30,515,,,
1.00E-07,32,515,,,
2.00E-07,13,514,,,
2.00E-07,33,519,,,
2.00E-07,2,517,,,
3.00E-07,39,516,,,
2.00E-07,42,515,,,
2.00E-07,8,515,,,
2.00E-07,18,513,,,
1.00E-07,23,512,,,
2.00E-07,34,516,,,
2.00E-07,12,515,,,
1.00E-07,5,519,,,
2.00E-07,12,517,,,
2.00E-07,12,517,,,
1.00E-07,39,518,,,
2.00E-07,39,519,,,
2.00E-07,22,522,,,
2.00E-07,4,523,,,
2.00E-07,15,524,,,
1.00E-07,23,523,,,
2.00E-07,23,524,,,
1.00E-07,23,525,,,
2.00E-07,12,527,,,
2.00E-07,18,532,,,
1.00E-07,5,532,,,
1.00E-07,3,528,,,
1.00E-07,34,532,,,
2.00E-07,21,533,,,
1.00E-07,34,532,,,
1.00E-07,44,530,,,
3.00E-07,26,531,,,
2.00E-07,10,533,,,
2.00E-07,10,539,,,
1.00E-07,26,544,,,
2.00E-07,26,544,,,
2.00E-07,10,546,,,
2.00E-07,30,544,,,
1.00E-07,30,544,,,
2.00E-07,30,548,,,
2.00E-07,12,544,,,
2.00E-07,21,543,,,
1.00E-07,46,543,,,
2.00E-07,30,546,,,
2.00E-07,27,545,,,
2.00E-07,27,545,,,
2.00E-07,12,546,,,
2.00E-07,12,547,,,
2.00E-07,17,554,,,
1.00E-07,13,553,,,
2.00E-07,30,556,,,
2.00E-07,10,558,,,
1.00E-07,10,558,,,
2.00E-07,10,559,,,
2.00E-07,30,559,,,
1.00E-07,30,561,,,
2.00E-07,30,561,,,
2.00E-07,27,564,,,
2.00E-07,27,564,,,
2.00E-07,6,561,,,
1.00E-07,39,560,,,
2.00E-07,48,559,,,
2.00E-07,38,558,,,
1.00E-07,38,564,,,
2.00E-07,38,564,,,
2.00E-07,38,565,,,
2.00E-07,45,566,,,
2.00E-07,19,572,,,
2.00E-07,34,580,,,
1.00E-07,21,582,,,
2.00E-07,21,582,,,
2.00E-07,5,583,,,
2.00E-07,5,583,,,
1.00E-07,45,579,,,
2.00E-07,45,582,,,
1.00E-07,17,588,,,
1.00E-07,1,589,,,
1.00E-07,2,592,,,
1.00E-07,2,593,,,
2.00E-07,2,593,,,
1.00E-07,37,592,,,
2.00E-07,49,592,,,
2.00E-07,19,595,,,
2.00E-07,19,595,,,
2.00E-07,19,597,,,
2.00E-07,29,600,,,
3.00E-07,29,601,,,
2.00E-07,29,603,,,
2.00E-07,43,604,,,
2.00E-07,40,603,,,
2.00E-07,4,606,,,
3.00E-07,4,606,,,
1.00E-07,13,606,,,
2.00E-07,10,607,,,
2.00E-07,10,607,,,
2.00E-07,10,609,,,
2.00E-07,33,609,,,
2.00E-07,33,609,,,
1.00E-07,18,609,,,
2.00E-07,18,610,,,
2.00E-07,18,610,,,
1.00E-07,18,613,,,
1.00E-07,44,615,,,
2.00E-07,44,616,,,
3.00E-07,18,616,,,
1.00E-07,18,616,,,
1.00E-07,13,617,,,
1.00E-07,4,619,,,
1.00E-07,4,619,,,
2.00E-07,45,619,,,
2.00E-07,43,619,,,
1.00E-07,22,619,,,
2.00E-07,22,621,,,
2.00E-07,43,624,,,
2.00E-07,43,625,,,
2.00E-07,43,631,,,
2.00E-07,14,642,,,
2.00E-07,35,650,,,
2.00E-07,27,651,,,
