cas operacie,vybrane cislo,velkost frontu,,,
4.00E-07,13,126,,,
3.00E-07,24,125,,,
3.00E-07,50,134,,,
3.00E-07,45,136,,,
4.00E-07,19,137,,,
3.00E-07,43,137,,,
4.00E-07,38,140,,,
3.00E-07,32,141,,,
4.00E-07,14,141,,,
3.00E-07,34,140,,,
3.00E-07,17,139,,,
4.00E-07,26,139,,,
3.00E-07,5,138,,,
4.00E-07,4,138,,,
3.00E-07,35,139,,,
3.00E-07,14,138,,,
4.00E-07,41,137,,,
3.00E-07,1,137,,,
3.00E-07,3,136,,,
4.00E-07,8,135,,,
3.00E-07,36,135,,,
3.00E-07,39,141,,,
3.00E-07,10,140,,,
3.00E-07,32,139,,,
4.00E-07,6,141,,,
3.00E-07,7,141,,,
3.00E-07,38,140,,,
3.00E-07,13,144,,,
3.00E-07,25,143,,,
3.00E-07,17,144,,,
3.00E-07,8,143,,,
4.00E-07,29,151,,,
3.00E-07,44,155,,,
3.00E-07,16,154,,,
3.00E-07,2,153,,,
3.00E-07,49,154,,,
3.00E-07,48,155,,,
3.00E-07,44,161,,,
4.00E-07,40,160,,,
4.00E-07,15,159,,,
3.00E-07,30,164,,,
4.00E-07,34,164,,,
3.00E-07,30,163,,,
3.00E-07,2,163,,,
3.00E-07,32,162,,,
4.00E-07,1,165,,,
3.00E-07,21,164,,,
3.00E-07,43,164,,,
2.00E-07,24,165,,,
3.00E-07,49,166,,,
3.00E-07,48,166,,,
9.83E-05,13,165,,,
3.00E-07,38,168,,,
3.00E-07,31,167,,,
3.00E-07,39,167,,,
3.00E-07,17,166,,,
3.00E-07,44,166,,,
7.00E-07,6,170,,,
3.00E-07,21,171,,,
4.00E-07,29,171,,,
3.00E-07,25,173,,,
2.00E-07,46,174,,,
3.00E-07,42,175,,,
4.00E-07,7,175,,,
3.00E-07,24,175,,,
4.00E-07,11,174,,,
4.00E-07,50,179,,,
4.00E-07,34,178,,,
4.00E-07,36,177,,,
4.00E-07,3,176,,,
4.00E-07,5,179,,,
4.00E-07,19,180,,,
3.00E-07,45,179,,,
3.00E-07,6,178,,,
4.00E-07,39,177,,,
4.00E-07,44,176,,,
4.00E-07,11,175,,,
4.00E-07,44,179,,,
3.00E-07,42,181,,,
4.00E-07,13,180,,,
4.00E-07,21,183,,,
3.00E-07,19,188,,,
3.00E-07,27,192,,,
3.00E-07,2,192,,,
3.00E-07,38,191,,,
3.00E-07,49,191,,,
3.00E-07,44,190,,,
3.00E-07,44,193,,,
4.00E-07,12,192,,,
3.00E-07,8,193,,,
3.00E-07,35,192,,,
3.00E-07,26,191,,,
3.00E-07,30,192,,,
3.00E-07,19,192,,,
3.00E-07,37,192,,,
