cas operacie,vlozene cislo,priorita,velkost frontu,,,
5.00E-07,42,6499,70,,,
5.00E-07,28,7927,71,,,
6.00E-07,8,3329,72,,,
5.00E-07,47,720,73,,,
5.00E-07,49,7854,73,,,
6.00E-07,25,2513,74,,,
5.00E-07,16,7465,75,,,
7.00E-07,20,2302,76,,,
9.00E-07,10,3595,77,,,
5.00E-07,29,6073,78,,,
8.00E-07,26,2629,79,,,
5.00E-07,7,1385,79,,,
5.00E-07,18,9287,78,,,
5.00E-07,42,3996,79,,,
7.00E-07,33,8215,80,,,
5.00E-07,50,6273,80,,,
5.00E-07,40,3223,81,,,
5.00E-07,43,5351,80,,,
7.00E-07,30,5339,76,,,
5.00E-07,15,6602,77,,,
5.00E-07,20,9802,77,,,
4.00E-07,28,6604,78,,,
5.00E-07,23,8866,79,,,
5.00E-07,45,2754,80,,,
4.00E-07,19,1656,81,,,
7.00E-07,47,1618,82,,,
9.00E-07,13,2124,83,,,
6.00E-07,44,591,83,,,
7.00E-07,35,1009,84,,,
5.00E-07,26,7036,85,,,
8.00E-07,50,8179,85,,,
5.00E-07,27,884,85,,,
6.00E-07,31,2586,86,,,
1.40E-05,29,5762,87,,,
8.00E-07,49,2557,88,,,
5.00E-07,9,6942,88,,,
6.00E-07,47,2170,89,,,
8.00E-07,8,1165,90,,,
6.00E-07,1,3233,91,,,
8.00E-07,11,1523,92,,,
6.00E-07,14,8166,92,,,
6.00E-07,46,2578,93,,,
7.00E-07,16,589,94,,,
5.00E-07,5,5577,95,,,
5.00E-07,12,7371,94,,,
1.10E-06,12,9269,95,,,
5.00E-07,21,9537,96,,,
4.00E-07,46,6083,97,,,
6.00E-07,48,1405,97,,,
6.00E-07,39,2358,98,,,
6.00E-07,1,3066,98,,,
5.00E-07,50,4976,98,,,
5.00E-07,35,7838,97,,,
5.00E-07,42,2285,98,,,
5.00E-07,49,4228,98,,,
5.00E-07,16,1810,98,,,
6.00E-07,11,209,96,,,
8.00E-07,32,833,97,,,
4.00E-07,21,9464,98,,,
9.00E-07,20,1985,99,,,
8.00E-07,43,7784,100,,,
4.00E-07,9,5938,101,,,
7.00E-07,47,4161,101,,,
8.00E-07,33,3658,102,,,
5.00E-07,29,2393,101,,,
5.00E-07,25,7543,102,,,
5.00E-07,17,1005,103,,,
4.00E-07,36,5151,103,,,
5.00E-07,10,4971,102,,,
5.00E-07,28,1116,103,,,
5.00E-07,24,2611,102,,,
4.00E-07,5,40,103,,,
5.00E-07,42,5981,102,,,
4.00E-07,40,2592,103,,,
4.00E-07,6,3441,101,,,
5.00E-07,39,3728,102,,,
5.00E-07,16,8324,102,,,
5.00E-07,40,7023,103,,,
5.00E-07,43,6111,102,,,
5.00E-07,10,5589,103,,,
4.00E-07,40,7817,102,,,
5.00E-07,46,5515,102,,,
6.00E-07,16,3996,102,,,
5.00E-07,6,3713,103,,,
6.00E-07,3,8281,104,,,
5.00E-07,16,9904,105,,,
5.00E-07,12,3125,106,,,
4.00E-07,23,7235,107,,,
4.00E-07,35,8797,108,,,
9.00E-07,30,4515,109,,,
5.00E-07,41,2182,108,,,
5.00E-07,39,7239,109,,,
7.00E-07,21,4920,108,,,
5.00E-07,16,6172,107,,,
4.00E-07,32,6106,108,,,
5.00E-07,12,9269,109,,,
4.00E-07,25,8485,108,,,
4.00E-07,35,890,109,,,
5.00E-07,22,8272,108,,,
5.00E-07,17,3023,106,,,
5.00E-07,47,4539,104,,,
5.00E-07,43,6189,105,,,
5.00E-07,13,4194,106,,,
4.00E-07,6,1227,107,,,
5.00E-07,49,8755,107,,,
6.00E-07,43,5714,107,,,
5.00E-07,14,8776,108,,,
4.00E-07,12,9202,103,,,
8.00E-07,26,369,102,,,
5.00E-07,35,25,102,,,
8.00E-07,14,2272,103,,,
5.00E-07,46,8203,104,,,
8.00E-07,27,4572,105,,,
6.00E-07,23,1482,105,,,
8.00E-07,42,1533,106,,,
8.00E-07,43,5317,107,,,
6.00E-07,26,113,107,,,
7.00E-07,28,987,108,,,
8.00E-07,30,7008,109,,,
7.00E-07,21,5822,110,,,
5.00E-07,32,9484,110,,,
5.00E-07,19,6962,111,,,
7.00E-07,37,4534,112,,,
7.00E-07,18,4064,112,,,
7.00E-07,50,839,113,,,
6.00E-07,36,2171,113,,,
5.00E-07,31,9005,114,,,
6.00E-07,38,8885,115,,,
9.00E-07,4,5918,116,,,
5.00E-07,18,6746,117,,,
9.00E-07,36,3790,117,,,
8.00E-07,40,5498,118,,,
1.24E-05,29,3072,119,,,
5.00E-07,29,2633,118,,,
6.00E-07,46,5055,117,,,
5.00E-07,5,253,118,,,
5.00E-07,5,785,119,,,
6.00E-07,3,4556,119,,,
6.00E-07,26,9606,120,,,
5.00E-07,47,6795,121,,,
5.00E-07,18,7767,121,,,
5.00E-07,37,1782,120,,,
5.00E-07,43,6930,119,,,
5.00E-07,41,7770,120,,,
5.00E-07,13,484,121,,,
5.00E-07,41,2798,121,,,
4.00E-07,1,2126,122,,,
4.00E-07,10,6334,123,,,
