cas operacie,index prvku,dlzka zoznamu,,,sum,pocet
9.04E-05,64,72,,,,
8.41E-05,51,77,,,,
8.35E-05,44,77,,,,
8.36E-05,58,80,,,,
8.47E-05,3,79,,,,
8.38E-05,44,77,,,,
9.24E-05,20,81,,,,
0.000133,59,87,,,,
8.36E-05,12,89,,,,
8.38E-05,77,87,,,,
8.43E-05,51,87,,,,
8.43E-05,82,87,,,,
8.37E-05,15,86,,,,
8.41E-05,0,85,,,,
8.50E-05,18,80,,,,
8.51E-05,23,79,,,,
8.42E-05,7,84,,,,
8.42E-05,7,83,,,,
8.36E-05,65,85,,,,
8.35E-05,64,85,,,,
0.0001117,26,83,,,,
8.46E-05,29,81,,,,
8.48E-05,4,81,,,,
8.36E-05,3,85,,,,
8.62E-05,11,85,,,,
0.0001269,67,85,,,,
0.0006624,34,86,,,,
0.0001161,50,89,,,,
8.86E-05,0,91,,,,
8.46E-05,6,90,,,,
8.85E-05,65,89,,,,
9.09E-05,13,88,,,,
8.47E-05,8,90,,,,
8.54E-05,51,89,,,,
8.55E-05,54,88,,,,
8.45E-05,49,90,,,,
0.0001353,3,89,,,,
8.78E-05,5,88,,,,
8.52E-05,79,87,,,,
8.79E-05,64,87,,,,
8.54E-05,38,84,,,,
8.50E-05,50,81,,,,
8.51E-05,35,80,,,,
0.0001257,26,80,,,,
8.38E-05,37,84,,,,
8.39E-05,13,84,,,,
9.11E-05,38,81,,,,
8.52E-05,4,79,,,,
8.49E-05,32,77,,,,
8.46E-05,18,80,,,,
8.38E-05,36,79,,,,
8.45E-05,69,78,,,,
8.36E-05,5,85,,,,
8.34E-05,8,85,,,,
8.46E-05,60,84,,,,
8.55E-05,79,82,,,,
8.42E-05,7,81,,,,
8.57E-05,29,84,,,,
8.55E-05,70,83,,,,
8.46E-05,48,81,,,,
8.56E-05,27,80,,,,
8.40E-05,10,81,,,,
8.38E-05,54,80,,,,
8.40E-05,67,80,,,,
9.06E-05,68,80,,,,
9.27E-05,63,81,,,,
8.69E-05,14,80,,,,
8.45E-05,55,79,,,,
8.42E-05,68,78,,,,
8.56E-05,12,81,,,,
8.53E-05,20,80,,,,
8.53E-05,26,79,,,,
0.0001156,33,79,,,,
8.49E-05,70,78,,,,
8.63E-05,1,76,,,,
8.36E-05,31,83,,,,
9.02E-05,32,83,,,,
8.38E-05,14,82,,,,
9.04E-05,21,82,,,,
8.37E-05,73,84,,,,
8.40E-05,31,84,,,,
8.96E-05,44,81,,,,
8.61E-05,51,80,,,,
8.44E-05,33,79,,,,
8.35E-05,33,77,,,,
0.0001703,2,76,,,,
8.38E-05,64,72,,,,
9.36E-05,0,73,,,,
0.0001885,63,72,,,,
9.25E-05,60,71,,,,
8.40E-05,43,70,,,,
8.41E-05,18,68,,,,
8.41E-05,21,71,,,,
9.09E-05,66,71,,,,
8.40E-05,8,77,,,,
8.40E-05,68,79,,,,
8.35E-05,29,78,,,,
9.43E-05,52,78,,,,
8.39E-05,66,77,,,,
8.40E-05,61,77,,,,
8.66E-05,19,83,,,,
8.64E-05,76,85,,,,
9.13E-05,45,83,,,,
8.49E-05,29,81,,,,
8.64E-05,8,80,,,,
8.93E-05,67,80,,,,
8.53E-05,2,81,,,,
8.43E-05,2,82,,,,
8.42E-05,64,80,,,,
8.42E-05,56,78,,,,
8.44E-05,34,81,,,,
8.41E-05,0,78,,,,
8.37E-05,65,78,,,,
0.0001138,24,78,,,,
8.62E-05,24,76,,,,
8.40E-05,71,77,,,,
8.39E-05,31,78,,,,
8.44E-05,66,74,,,,
8.41E-05,71,73,,,,
8.47E-05,8,70,,,,
8.40E-05,60,68,,,,
8.41E-05,2,71,,,,
8.38E-05,21,70,,,,
8.40E-05,67,69,,,,
0.0001847,16,70,,,,
9.23E-05,51,64,,,,
9.16E-05,39,65,,,,
8.44E-05,15,64,,,,
8.65E-05,12,64,,,,
9.09E-05,12,63,,,,
8.85E-05,51,62,,,,
8.42E-05,7,63,,,,
9.65E-05,25,63,,,,
8.50E-05,38,64,,,,
8.43E-05,41,61,,,,
8.40E-05,12,59,,,,
8.43E-05,38,61,,,,
0.0001167,31,60,,,,
8.58E-05,4,62,,,,
0.0001174,5,61,,,,
9.32E-05,6,60,,,,
8.49E-05,37,58,,,,
0.0001208,11,55,,,,
8.52E-05,23,55,,,,
9.13E-05,50,55,,,,
0.0001694,17,54,,,,
0.0001194,20,51,,,,
0.0001228,8,54,,,,
0.0001242,37,55,,,,
8.43E-05,33,54,,,,
8.58E-05,20,57,,,,
8.45E-05,2,58,,,,
0.0002403,41,58,,,,
0.0002628,55,58,,,,
0.0001213,51,57,,,,
0.0003442,20,56,,,,
0.0001337,39,55,,,,
8.99E-05,37,56,,,,
8.42E-05,56,58,,,,
8.40E-05,35,57,,,,
8.44E-05,22,56,,,,
8.44E-05,9,53,,,,
8.53E-05,40,51,,,,
9.34E-05,11,48,,,,
8.37E-05,3,47,,,,
8.31E-05,41,47,,,,
8.38E-05,23,47,,,,
8.38E-05,25,50,,,,
8.50E-05,49,50,,,,
8.37E-05,36,48,,,,
0.0001173,11,49,,,,
0.0001014,7,47,,,,
8.61E-05,4,46,,,,
8.35E-05,13,45,,,,
8.38E-05,18,43,,,,
8.36E-05,1,41,,,,
8.53E-05,33,37,,,,
8.34E-05,7,36,,,,
0.0001621,33,39,,,,
8.52E-05,7,40,,,,
8.42E-05,18,39,,,,
8.39E-05,3,38,,,,
8.60E-05,6,37,,,,
9.24E-05,34,39,,,,
0.0001155,30,37,,,,
8.58E-05,5,35,,,,
8.44E-05,3,35,,,,
8.66E-05,1,33,,,,
8.45E-05,11,33,,,,
0.0001265,8,30,,,,
8.44E-05,15,27,,,,
8.69E-05,5,27,,,,
9.07E-05,19,27,,,,
8.40E-05,12,35,,,,
8.42E-05,19,33,,,,
8.53E-05,29,32,,,,
8.51E-05,13,28,,,,
8.52E-05,12,30,,,,
0.0001205,27,28,,,,
0.0001257,21,31,,,,
0.0001197,11,30,,,,
8.40E-05,18,31,,,,
8.40E-05,24,29,,,,
8.48E-05,12,28,,,,
8.47E-05,26,27,,,,
0.0001182,17,30,,,,
0.0001003,12,28,,,,
8.45E-05,7,28,,,,
8.46E-05,12,27,,,,
0.0001231,12,29,,,,
8.42E-05,10,27,,,,
8.42E-05,24,29,,,,
8.63E-05,25,33,,,,
8.80E-05,30,32,,,,
8.42E-05,12,27,,,,
8.99E-05,3,26,,,,
8.33E-05,23,26,,,,
8.31E-05,1,25,,,,
8.47E-05,20,23,,,,
8.39E-05,19,33,,,,
0.0001786,23,32,,,,
8.40E-05,15,35,,,,
8.88E-05,22,35,,,,
9.11E-05,6,36,,,,
8.48E-05,31,38,,,,
8.97E-05,16,38,,,,
8.46E-05,13,40,,,,
8.39E-05,34,37,,,,
8.44E-05,14,35,,,,
8.42E-05,8,34,,,,
9.14E-05,19,33,,,,
8.41E-05,8,32,,,,
8.95E-05,7,31,,,,
8.42E-05,10,27,,,,
8.57E-05,24,32,,,,
8.42E-05,13,32,,,,
8.32E-05,5,31,,,,
8.37E-05,9,34,,,,
8.39E-05,32,33,,,,
8.69E-05,24,29,,,,
0.0001247,27,29,,,,
8.80E-05,12,27,,,,
0.0002114,25,26,,,,
8.48E-05,12,26,,,,
8.39E-05,3,25,,,,
8.39E-05,6,24,,,,
8.43E-05,0,23,,,,
8.37E-05,9,23,,,,
8.42E-05,1,23,,,,
0.0005504,13,21,,,,
0.0001305,10,20,,,,
8.52E-05,2,14,,,,
8.41E-05,14,15,,,,
9.52E-05,10,12,,,,
0.0001046,10,14,,,,
8.45E-05,2,12,,,,
8.45E-05,5,11,,,,
8.34E-05,1,12,,,,
9.06E-05,3,11,,,,
0.0001878,0,11,,,,
8.40E-05,7,11,,,,
8.37E-05,0,10,,,,
8.38E-05,7,10,,,,
8.41E-05,12,13,,,,
8.36E-05,12,15,,,,
8.39E-05,13,14,,,,
8.37E-05,4,14,,,,
8.35E-05,6,13,,,,
8.45E-05,6,21,,,,
8.40E-05,2,20,,,,
9.27E-05,9,19,,,,
9.09E-05,1,18,,,,
8.49E-05,11,17,,,,
9.04E-05,3,18,,,,
9.09E-05,13,19,,,,
8.61E-05,11,18,,,,
8.38E-05,2,19,,,,
8.39E-05,10,19,,,,
0.0001085,5,23,,,,
8.42E-05,4,22,,,,
9.04E-05,9,19,,,,
