cas operacie,cislo,index prvku,dlzka zoznamu,,sum,pocet
2.44E-05,84,4,79,,,
2.55E-05,81,46,79,,,
3.52E-05,88,48,82,,,
2.49E-05,83,75,78,,,
2.45E-05,71,66,79,,,
3.20E-05,83,7,80,,,
2.46E-05,88,78,84,,,
2.47E-05,77,18,84,,,
3.88E-05,88,67,84,,,
2.51E-05,73,19,84,,,
2.47E-05,76,18,82,,,
2.47E-05,75,74,80,,,
2.49E-05,79,5,80,,,
2.45E-05,72,49,79,,,
2.46E-05,88,46,80,,,
2.45E-05,75,48,82,,,
3.04E-05,73,42,83,,,
2.47E-05,73,2,90,,,
2.49E-05,78,50,88,,,
2.61E-05,71,72,87,,,
2.49E-05,72,34,89,,,
3.02E-05,87,66,87,,,
2.57E-05,74,7,85,,,
3.01E-05,90,74,82,,,
2.54E-05,75,9,84,,,
2.55E-05,83,18,82,,,
2.90E-05,80,21,87,,,
2.54E-05,75,66,88,,,
3.56E-05,77,7,89,,,
3.62E-05,89,56,84,,,
2.48E-05,72,22,85,,,
2.46E-05,83,61,85,,,
2.49E-05,74,70,85,,,
2.47E-05,84,4,86,,,
2.46E-05,79,22,91,,,
2.48E-05,83,86,93,,,
2.49E-05,86,36,89,,,
2.44E-05,89,21,91,,,
2.43E-05,81,27,93,,,
2.44E-05,84,70,89,,,
3.05E-05,83,71,88,,,
2.54E-05,90,15,88,,,
2.46E-05,75,74,88,,,
2.49E-05,82,32,87,,,
2.47E-05,78,38,89,,,
2.58E-05,77,25,86,,,
4.52E-05,74,66,81,,,
2.54E-05,87,24,80,,,
2.54E-05,77,7,85,,,
2.54E-05,85,38,82,,,
2.55E-05,76,74,82,,,
2.86E-05,79,52,78,,,
2.50E-05,87,31,78,,,
2.46E-05,74,68,79,,,
2.47E-05,81,34,81,,,
2.45E-05,71,56,85,,,
2.47E-05,86,65,86,,,
2.46E-05,71,83,88,,,
2.52E-05,78,66,87,,,
2.47E-05,85,20,82,,,
2.64E-05,81,50,84,,,
2.49E-05,80,3,84,,,
2.46E-05,76,72,83,,,
2.47E-05,85,49,82,,,
2.48E-05,82,30,83,,,
3.01E-05,84,29,82,,,
2.47E-05,86,44,82,,,
2.48E-05,88,59,83,,,
2.50E-05,78,2,81,,,
3.16E-05,79,65,79,,,
2.46E-05,71,67,82,,,
2.46E-05,87,10,82,,,
2.44E-05,81,8,82,,,
2.46E-05,75,57,83,,,
2.47E-05,72,73,82,,,
2.46E-05,72,17,82,,,
4.56E-05,83,44,83,,,
2.50E-05,82,64,83,,,
2.45E-05,73,36,82,,,
2.45E-05,84,65,79,,,
2.46E-05,81,49,72,,,
2.65E-05,82,61,78,,,
2.77E-05,89,29,76,,,
2.96E-05,72,5,71,,,
2.56E-05,89,53,70,,,
2.57E-05,89,27,71,,,
2.57E-05,86,42,71,,,
2.57E-05,88,9,71,,,
2.94E-05,76,11,71,,,
2.74E-05,74,44,71,,,
2.73E-05,73,14,71,,,
2.56E-05,83,69,71,,,
2.49E-05,72,20,74,,,
2.47E-05,79,20,70,,,
2.46E-05,79,42,73,,,
2.44E-05,87,12,72,,,
2.46E-05,86,63,68,,,
2.69E-05,80,45,67,,,
2.46E-05,87,21,63,,,
2.45E-05,84,14,63,,,
2.50E-05,75,19,64,,,
2.45E-05,90,7,62,,,
2.46E-05,81,31,64,,,
2.52E-05,74,52,64,,,
2.48E-05,76,10,62,,,
2.47E-05,73,28,58,,,
3.18E-05,76,23,53,,,
2.49E-05,82,12,41,,,
2.48E-05,89,21,41,,,
2.45E-05,87,8,39,,,
2.50E-05,74,4,39,,,
2.48E-05,71,32,39,,,
2.46E-05,89,10,38,,,
2.59E-05,81,29,40,,,
2.49E-05,87,5,39,,,
2.97E-05,79,26,44,,,
2.46E-05,75,21,44,,,
2.44E-05,83,13,45,,,
2.45E-05,86,23,50,,,
2.43E-05,77,37,50,,,
2.47E-05,80,36,46,,,
2.44E-05,88,15,46,,,
2.48E-05,84,18,41,,,
2.91E-05,80,10,41,,,
2.67E-05,80,9,40,,,
2.51E-05,72,22,36,,,
3.07E-05,79,3,36,,,
2.63E-05,85,1,36,,,
2.65E-05,82,21,36,,,
2.88E-05,72,32,38,,,
2.43E-05,89,15,33,,,
2.92E-05,77,3,35,,,
4.27E-05,77,28,37,,,
3.63E-05,72,17,35,,,
2.55E-05,77,22,33,,,
2.57E-05,71,6,35,,,
2.57E-05,89,13,36,,,
2.70E-05,84,20,37,,,
2.48E-05,75,5,34,,,
2.45E-05,90,6,34,,,
3.21E-05,87,24,39,,,
2.47E-05,81,25,33,,,
2.48E-05,86,21,33,,,
2.46E-05,73,29,33,,,
2.47E-05,83,9,30,,,
2.46E-05,90,5,35,,,
2.48E-05,88,6,36,,,
2.46E-05,76,29,34,,,
2.47E-05,76,16,30,,,
2.54E-05,77,4,25,,,
2.46E-05,90,23,25,,,
2.47E-05,84,2,26,,,
2.46E-05,84,24,26,,,
2.45E-05,77,2,27,,,
3.03E-05,84,21,25,,,
2.53E-05,86,5,23,,,
2.47E-05,84,11,21,,,
2.98E-05,83,9,22,,,
3.11E-05,73,15,23,,,
2.47E-05,75,8,23,,,
2.49E-05,88,13,24,,,
2.48E-05,82,24,26,,,
2.82E-05,82,9,24,,,
3.24E-05,72,21,23,,,
2.48E-05,85,15,23,,,
2.46E-05,78,6,24,,,
2.45E-05,73,12,24,,,
2.66E-05,82,14,22,,,
2.56E-05,79,12,24,,,
2.47E-05,75,10,27,,,
2.48E-05,77,22,29,,,
2.45E-05,84,28,30,,,
2.47E-05,73,14,27,,,
2.46E-05,75,7,20,,,
2.44E-05,84,16,19,,,
2.47E-05,73,8,17,,,
2.48E-05,90,3,13,,,
2.45E-05,87,4,14,,,
2.74E-05,87,0,13,,,
2.59E-05,76,0,13,,,
2.47E-05,89,3,12,,,
2.46E-05,83,4,12,,,
2.47E-05,71,1,10,,,
2.45E-05,83,8,10,,,
2.44E-05,89,5,10,,,
2.46E-05,89,6,8,,,
2.46E-05,83,2,12,,,
2.44E-05,90,2,10,,,
2.49E-05,72,0,10,,,
2.47E-05,73,1,7,,,
2.45E-05,80,2,6,,,
2.47E-05,71,1,4,,,
3.39E-05,86,0,2,,,
2.46E-05,90,0,3,,,
2.49E-05,81,0,3,,,
2.46E-05,79,0,2,,,
2.46E-05,76,2,5,,,
2.88E-05,90,4,6,,,
2.49E-05,71,3,7,,,
2.52E-05,87,2,8,,,
2.46E-05,82,1,3,,,
2.48E-05,79,0,4,,,
2.49E-05,82,2,4,,,
2.44E-05,88,4,11,,,
2.44E-05,72,3,10,,,
2.48E-05,82,11,13,,,
2.44E-05,86,5,14,,,
2.87E-05,75,11,14,,,
2.47E-05,78,7,14,,,
2.46E-05,88,3,13,,,
2.47E-05,76,6,13,,,
2.47E-05,81,3,13,,,
2.98E-05,84,2,15,,,
2.47E-05,73,2,9,,,
2.48E-05,78,5,8,,,
2.45E-05,72,2,8,,,
2.45E-05,75,7,11,,,
2.47E-05,73,6,12,,,
2.46E-05,85,6,14,,,
2.49E-05,74,3,15,,,
2.44E-05,78,4,14,,,
2.58E-05,76,0,18,,,
2.46E-05,72,20,22,,,
2.45E-05,76,11,22,,,
2.48E-05,75,6,21,,,
2.47E-05,78,10,21,,,
2.47E-05,85,4,22,,,
2.47E-05,78,3,24,,,
2.48E-05,86,2,24,,,
2.44E-05,89,9,29,,,
2.57E-05,89,17,23,,,
2.55E-05,77,20,25,,,
2.69E-05,90,21,23,,,
2.50E-05,71,21,25,,,
2.46E-05,77,6,27,,,
3.71E-05,84,20,26,,,
3.67E-05,72,0,25,,,
2.57E-05,86,23,31,,,
2.53E-05,84,0,31,,,
2.54E-05,77,16,29,,,
2.90E-05,90,8,34,,,
3.08E-05,72,7,35,,,
2.47E-05,72,21,36,,,
2.43E-05,88,8,35,,,
2.48E-05,86,6,36,,,
2.49E-05,73,15,34,,,
2.56E-05,78,7,32,,,
2.49E-05,77,1,31,,,
2.45E-05,83,18,28,,,
2.49E-05,88,5,27,,,
2.45E-05,79,25,27,,,
8.39E-05,73,9,26,,,
3.36E-05,78,23,26,,,
2.85E-05,80,6,26,,,
2.43E-05,80,6,25,,,
2.63E-05,83,0,25,,,
2.52E-05,73,21,24,,,
2.45E-05,73,15,24,,,
2.49E-05,72,23,25,,,
2.45E-05,76,9,25,,,
2.44E-05,77,18,24,,,
2.50E-05,73,2,25,,,
2.92E-05,87,7,30,,,
2.46E-05,73,34,37,,,
2.47E-05,74,1,36,,,
2.47E-05,88,14,36,,,
2.50E-05,86,4,36,,,
2.51E-05,79,2,35,,,
2.48E-05,90,32,34,,,
2.49E-05,83,10,34,,,
2.46E-05,79,4,35,,,
3.20E-05,79,15,35,,,
2.45E-05,79,14,36,,,
2.45E-05,73,20,36,,,
2.49E-05,90,11,34,,,
2.46E-05,85,13,29,,,
2.76E-05,84,20,29,,,
2.46E-05,72,19,31,,,
2.47E-05,74,0,31,,,
2.47E-05,90,24,31,,,
2.45E-05,86,4,33,,,
2.47E-05,73,2,36,,,
2.45E-05,90,12,38,,,
2.52E-05,83,16,38,,,
2.68E-05,72,32,38,,,
2.48E-05,81,18,31,,,
2.45E-05,75,9,30,,,
2.49E-05,80,20,29,,,
2.46E-05,79,23,30,,,
3.09E-05,76,22,35,,,
2.48E-05,74,5,35,,,
2.50E-05,88,26,36,,,
2.49E-05,89,26,35,,,
2.45E-05,72,10,32,,,
2.85E-05,89,19,33,,,
2.48E-05,89,10,32,,,
2.46E-05,83,14,31,,,
2.46E-05,86,26,29,,,
2.46E-05,85,11,30,,,
2.45E-05,71,7,32,,,
9.89E-05,84,23,32,,,
2.61E-05,84,23,29,,,
2.46E-05,86,17,25,,,
2.46E-05,81,11,17,,,
2.44E-05,76,6,16,,,
2.68E-05,79,3,16,,,
5.35E-05,71,7,16,,,
2.98E-05,80,4,19,,,
2.50E-05,85,15,19,,,
2.46E-05,79,1,18,,,
2.45E-05,75,13,17,,,
2.91E-05,74,5,14,,,
2.46E-05,80,4,13,,,
2.46E-05,80,3,8,,,
3.08E-05,87,0,9,,,
2.48E-05,84,2,16,,,
3.36E-05,79,10,17,,,
2.48E-05,77,14,17,,,
3.02E-05,74,16,20,,,
2.53E-05,80,0,20,,,
2.46E-05,82,22,25,,,
2.47E-05,88,4,25,,,
2.47E-05,85,19,26,,,
2.46E-05,84,20,26,,,
2.52E-05,80,11,23,,,
2.48E-05,81,12,25,,,
3.18E-05,87,17,26,,,
2.49E-05,82,6,28,,,
3.16E-05,78,10,29,,,
2.47E-05,75,10,27,,,
2.57E-05,71,23,25,,,
4.15E-05,80,9,26,,,
2.55E-05,74,18,26,,,
2.45E-05,71,3,20,,,
2.47E-05,81,15,22,,,
2.44E-05,86,4,21,,,
2.45E-05,85,1,20,,,
2.47E-05,88,0,19,,,
2.49E-05,80,6,24,,,
2.87E-05,76,22,25,,,
2.46E-05,82,15,28,,,
2.47E-05,82,16,28,,,
2.46E-05,77,25,28,,,
2.47E-05,75,19,27,,,
2.94E-05,81,2,27,,,
2.46E-05,75,14,27,,,
3.04E-05,76,10,27,,,
2.61E-05,75,0,28,,,
2.50E-05,77,2,29,,,
2.46E-05,77,4,30,,,
2.45E-05,83,7,31,,,
2.46E-05,78,12,22,,,
2.46E-05,75,12,22,,,
2.45E-05,71,11,21,,,
2.66E-05,78,11,19,,,
2.46E-05,82,16,22,,,
2.46E-05,85,19,21,,,
4.07E-05,80,12,20,,,
3.84E-05,82,12,20,,,
3.32E-05,85,18,20,,,
7.21E-05,83,0,19,,,
2.99E-05,81,17,21,,,
2.57E-05,79,15,20,,,
2.56E-05,85,0,17,,,
2.62E-05,79,4,21,,,
2.57E-05,74,16,21,,,
2.58E-05,76,5,26,,,
2.58E-05,87,2,27,,,
2.57E-05,75,13,27,,,
2.56E-05,81,10,27,,,
2.56E-05,73,18,28,,,
0.0001055,71,11,27,,,
2.55E-05,82,1,24,,,
2.58E-05,82,0,23,,,
2.56E-05,81,20,23,,,
2.53E-05,79,23,28,,,
4.13E-05,74,17,29,,,
2.47E-05,79,16,32,,,
2.57E-05,82,6,29,,,
2.56E-05,76,2,28,,,
2.46E-05,75,0,23,,,
2.51E-05,71,24,27,,,
2.47E-05,90,11,26,,,
2.52E-05,73,4,26,,,
2.48E-05,86,18,31,,,
2.45E-05,75,16,31,,,
2.59E-05,73,7,31,,,
2.44E-05,79,1,29,,,
2.57E-05,73,13,30,,,
2.93E-05,73,1,31,,,
2.48E-05,72,10,31,,,
2.47E-05,85,30,32,,,
2.48E-05,74,20,32,,,
3.37E-05,74,14,31,,,
2.46E-05,84,18,33,,,
2.47E-05,77,20,32,,,
2.77E-05,81,7,31,,,
2.49E-05,85,23,32,,,
2.45E-05,81,32,36,,,
2.46E-05,75,8,40,,,
2.44E-05,84,19,41,,,
2.47E-05,87,16,40,,,
2.47E-05,75,20,39,,,
2.56E-05,83,37,39,,,
2.82E-05,90,6,37,,,
3.24E-05,71,20,36,,,
2.45E-05,80,18,36,,,
2.47E-05,88,23,35,,,
2.45E-05,79,28,36,,,
3.24E-05,80,34,36,,,
2.48E-05,80,2,31,,,
2.46E-05,76,14,30,,,
2.46E-05,90,8,28,,,
2.47E-05,73,12,29,,,
2.47E-05,84,23,29,,,
2.46E-05,90,16,29,,,
2.89E-05,75,13,28,,,
2.45E-05,79,21,28,,,
3.02E-05,77,3,27,,,
2.49E-05,90,5,29,,,
2.47E-05,76,11,29,,,
2.48E-05,89,12,30,,,
2.49E-05,75,28,31,,,
2.50E-05,87,24,35,,,
2.49E-05,79,29,37,,,
2.45E-05,73,25,36,,,
3.26E-05,86,3,36,,,
2.83E-05,85,19,36,,,
2.46E-05,72,4,38,,,
2.48E-05,77,7,38,,,
2.48E-05,80,11,40,,,
2.45E-05,73,34,40,,,
3.05E-05,78,31,38,,,
2.45E-05,82,15,35,,,
2.47E-05,75,26,36,,,
2.51E-05,90,12,35,,,
2.43E-05,85,27,35,,,
2.48E-05,74,14,36,,,
2.45E-05,79,4,33,,,
2.46E-05,90,10,32,,,
3.18E-05,80,15,31,,,
2.54E-05,76,4,33,,,
2.48E-05,88,18,30,,,
2.97E-05,86,14,26,,,
2.47E-05,77,13,26,,,
4.13E-05,86,6,26,,,
2.51E-05,81,0,24,,,
2.98E-05,87,13,25,,,
2.44E-05,82,23,25,,,
2.52E-05,78,28,35,,,
2.55E-05,87,8,36,,,
2.56E-05,80,10,37,,,
2.56E-05,74,11,36,,,
2.55E-05,81,15,37,,,
2.45E-05,87,26,31,,,
2.48E-05,85,16,27,,,
2.46E-05,82,7,26,,,
2.47E-05,76,21,29,,,
2.57E-05,84,3,26,,,
2.47E-05,87,3,32,,,
2.47E-05,76,15,32,,,
2.46E-05,79,7,30,,,
2.48E-05,71,1,30,,,
2.64E-05,80,19,29,,,
2.55E-05,75,11,28,,,
2.86E-05,81,6,29,,,
2.54E-05,77,22,24,,,
2.94E-05,89,7,23,,,
2.54E-05,86,12,20,,,
2.47E-05,86,7,12,,,
2.44E-05,77,1,16,,,
2.60E-05,75,3,17,,,
2.80E-05,79,0,17,,,
2.46E-05,90,15,21,,,
2.58E-05,73,7,22,,,
2.59E-05,82,16,21,,,
2.60E-05,78,23,27,,,
2.48E-05,84,26,30,,,
2.51E-05,80,15,32,,,
2.45E-05,78,3,33,,,
2.45E-05,83,8,32,,,
2.95E-05,84,0,35,,,
2.66E-05,81,26,32,,,
2.46E-05,85,6,32,,,
2.45E-05,85,1,31,,,
2.47E-05,86,7,29,,,
2.47E-05,83,4,27,,,
3.20E-05,81,5,27,,,
2.44E-05,77,24,26,,,
2.58E-05,75,11,24,,,
2.58E-05,85,5,23,,,
2.51E-05,79,10,20,,,
2.49E-05,86,11,16,,,
2.45E-05,71,3,18,,,
2.46E-05,84,12,17,,,
2.45E-05,86,19,23,,,
2.43E-05,71,1,22,,,
2.48E-05,87,20,24,,,
2.47E-05,80,18,25,,,
2.47E-05,79,10,23,,,
2.44E-05,81,13,22,,,
2.46E-05,82,21,24,,,
2.46E-05,71,2,23,,,
2.45E-05,86,19,23,,,
2.45E-05,85,7,20,,,
2.44E-05,77,9,18,,,
2.47E-05,73,0,18,,,
2.45E-05,73,10,18,,,
2.44E-05,88,4,12,,,
2.81E-05,74,2,15,,,
2.48E-05,80,0,19,,,
2.47E-05,84,15,20,,,
2.44E-05,77,1,18,,,
2.45E-05,79,10,19,,,
2.46E-05,79,13,15,,,
2.45E-05,72,8,15,,,
2.46E-05,89,4,21,,,
2.48E-05,79,12,20,,,
2.46E-05,90,5,14,,,
2.73E-05,80,9,16,,,
2.47E-05,87,3,18,,,
2.45E-05,85,9,14,,,
2.44E-05,74,7,15,,,
2.91E-05,82,11,15,,,
2.46E-05,84,5,17,,,
2.44E-05,81,0,18,,,
2.44E-05,71,1,20,,,
2.44E-05,81,0,21,,,
2.46E-05,85,13,17,,,
2.46E-05,82,12,17,,,
2.45E-05,77,15,17,,,
2.52E-05,72,5,18,,,
2.48E-05,78,8,20,,,
2.45E-05,82,4,19,,,
2.48E-05,86,3,18,,,
2.45E-05,90,17,22,,,
0.0001421,78,4,21,,,
2.58E-05,73,6,21,,,
2.47E-05,90,8,21,,,
2.48E-05,86,14,19,,,
2.48E-05,88,7,20,,,
2.45E-05,81,2,20,,,
2.53E-05,74,2,15,,,
2.48E-05,90,0,10,,,
3.33E-05,72,2,5,,,
2.62E-05,82,1,5,,,
2.54E-05,81,0,2,,,
2.58E-05,87,0,2,,,
4.40E-05,80,1,3,,,
2.58E-05,84,0,1,,,
2.44E-05,76,0,3,,,
2.97E-05,89,0,1,,,
2.48E-05,73,2,5,,,
2.47E-05,80,2,7,,,
3.24E-05,79,0,3,,,
2.46E-05,73,0,1,,,
2.51E-05,78,0,1,,,
2.46E-05,89,0,1,,,
2.45E-05,77,0,1,,,
2.45E-05,72,0,17,,,
2.46E-05,86,8,16,,,
2.45E-05,78,5,18,,,
2.45E-05,82,3,17,,,
2.48E-05,88,1,16,,,
2.46E-05,78,8,18,,,
2.44E-05,88,1,12,,,
2.42E-05,88,2,12,,,
2.43E-05,80,0,8,,,
2.44E-05,83,4,7,,,
2.45E-05,77,5,9,,,
2.43E-05,86,4,9,,,
2.44E-05,75,1,6,,,
2.48E-05,90,0,4,,,
2.45E-05,77,4,6,,,
2.46E-05,84,2,6,,,
2.45E-05,90,1,4,,,
2.43E-05,88,0,3,,,
2.45E-05,72,12,14,,,
2.47E-05,80,12,17,,,
2.52E-05,82,12,14,,,
2.61E-05,71,9,16,,,
2.44E-05,89,10,16,,,
2.47E-05,86,8,14,,,
2.56E-05,89,6,12,,,
2.53E-05,83,6,11,,,
2.59E-05,87,3,12,,,
2.56E-05,87,2,12,,,
2.55E-05,84,7,11,,,
2.55E-05,72,1,11,,,
3.60E-05,83,4,10,,,
3.03E-05,77,2,10,,,
4.29E-05,71,3,10,,,
2.55E-05,84,0,11,,,
2.55E-05,85,10,14,,,
2.56E-05,86,5,14,,,
2.57E-05,75,3,8,,,
2.45E-05,78,1,7,,,
2.88E-05,71,2,9,,,
2.43E-05,72,3,6,,,
2.72E-05,83,2,5,,,
2.47E-05,75,0,2,,,
3.00E-05,73,1,4,,,
2.47E-05,71,3,6,,,
3.19E-05,86,1,5,,,
2.45E-05,82,1,5,,,
2.45E-05,83,4,6,,,
2.51E-05,82,4,10,,,
2.45E-05,88,3,10,,,
2.45E-05,86,1,9,,,
2.45E-05,71,8,10,,,
2.49E-05,79,3,10,,,
2.48E-05,84,7,10,,,
2.47E-05,88,7,12,,,
2.72E-05,77,8,16,,,
2.51E-05,80,0,4,,,
2.49E-05,83,1,9,,,
2.47E-05,77,0,9,,,
2.47E-05,71,6,8,,,
2.52E-05,86,0,1,,,
3.26E-05,83,0,2,,,
2.47E-05,76,0,3,,,
2.54E-05,76,2,4,,,
3.21E-05,83,1,6,,,
2.47E-05,88,3,9,,,
3.01E-05,74,3,8,,,
2.47E-05,85,5,7,,,
2.47E-05,80,0,3,,,
2.46E-05,90,0,2,,,
2.47E-05,88,0,1,,,
2.45E-05,82,1,3,,,
2.44E-05,88,0,2,,,
2.46E-05,77,0,1,,,
2.76E-05,78,0,1,,,
2.99E-05,83,0,1,,,
2.45E-05,83,0,1,,,
2.46E-05,76,0,2,,,
2.45E-05,71,0,1,,,
2.45E-05,80,0,2,,,
3.06E-05,86,2,4,,,
3.34E-05,82,3,6,,,
2.83E-05,81,3,7,,,
2.56E-05,82,6,10,,,
2.82E-05,86,0,14,,,
2.55E-05,88,7,14,,,
2.54E-05,73,5,10,,,
2.71E-05,87,1,10,,,
2.55E-05,85,10,13,,,
2.48E-05,76,12,14,,,
2.46E-05,81,9,14,,,
2.48E-05,89,3,16,,,
2.49E-05,75,6,16,,,
2.45E-05,71,3,16,,,
2.45E-05,89,1,17,,,
2.48E-05,76,6,17,,,
2.46E-05,74,9,17,,,
2.89E-05,82,11,16,,,
2.43E-05,74,10,12,,,
2.47E-05,74,9,15,,,
2.46E-05,85,1,12,,,
2.49E-05,78,8,10,,,
2.47E-05,78,4,7,,,
2.70E-05,87,1,6,,,
2.44E-05,80,3,9,,,
2.46E-05,84,3,7,,,
2.46E-05,75,2,5,,,
2.56E-05,71,1,4,,,
2.56E-05,88,3,5,,,
2.99E-05,88,4,9,,,
2.56E-05,80,7,12,,,
0.0001012,81,9,13,,,
3.40E-05,72,8,15,,,
3.47E-05,76,5,14,,,
3.53E-05,90,3,11,,,
3.59E-05,84,4,12,,,
2.56E-05,77,8,13,,,
2.57E-05,90,3,13,,,
3.02E-05,73,4,10,,,
2.47E-05,74,2,7,,,
2.45E-05,81,2,9,,,
2.47E-05,78,6,8,,,
2.60E-05,80,2,11,,,
2.60E-05,88,8,11,,,
2.49E-05,72,2,11,,,
2.92E-05,78,2,11,,,
2.47E-05,78,0,13,,,
2.44E-05,75,10,14,,,
2.46E-05,74,12,16,,,
2.47E-05,83,3,16,,,
2.44E-05,80,10,17,,,
2.42E-05,85,4,18,,,
2.48E-05,84,2,18,,,
2.47E-05,82,9,18,,,
2.46E-05,84,5,18,,,
2.48E-05,90,8,19,,,
3.12E-05,77,8,21,,,
6.07E-05,88,3,21,,,
2.52E-05,88,10,22,,,
2.50E-05,85,19,26,,,
2.45E-05,83,8,26,,,
2.46E-05,81,23,26,,,
2.47E-05,88,3,25,,,
2.47E-05,78,3,25,,,
2.47E-05,72,10,25,,,
2.46E-05,80,11,20,,,
2.49E-05,85,17,20,,,
2.50E-05,81,18,22,,,
2.44E-05,84,14,21,,,
2.44E-05,87,18,21,,,
2.43E-05,76,4,22,,,
2.43E-05,88,3,22,,,
2.52E-05,71,19,24,,,
2.46E-05,75,1,28,,,
2.48E-05,90,25,27,,,
2.48E-05,81,33,39,,,
2.49E-05,78,11,39,,,
2.68E-05,76,23,41,,,
2.47E-05,79,24,42,,,
2.47E-05,90,22,40,,,
2.47E-05,83,25,39,,,
2.45E-05,73,28,32,,,
2.48E-05,88,19,32,,,
2.49E-05,83,9,32,,,
2.50E-05,80,26,32,,,
3.10E-05,88,6,29,,,
2.46E-05,86,21,30,,,
2.53E-05,75,25,28,,,
2.46E-05,83,17,30,,,
2.46E-05,71,9,24,,,
2.46E-05,76,18,24,,,
2.46E-05,86,0,23,,,
2.45E-05,74,19,22,,,
2.47E-05,72,9,23,,,
2.48E-05,80,15,25,,,
2.46E-05,81,13,25,,,
2.49E-05,78,4,25,,,
2.45E-05,77,8,24,,,
2.50E-05,73,0,25,,,
2.46E-05,78,16,25,,,
2.51E-05,75,19,25,,,
2.46E-05,83,1,26,,,
2.89E-05,82,7,29,,,
2.48E-05,87,15,29,,,
2.48E-05,74,27,30,,,
2.45E-05,89,13,31,,,
2.45E-05,83,9,33,,,
2.46E-05,81,5,32,,,
2.48E-05,72,21,31,,,
2.49E-05,85,1,31,,,
2.46E-05,86,29,31,,,
3.02E-05,77,18,33,,,
3.67E-05,85,25,33,,,
3.78E-05,81,30,35,,,
2.76E-05,87,19,35,,,
2.55E-05,81,8,35,,,
2.55E-05,79,21,37,,,
2.54E-05,78,11,37,,,
2.49E-05,74,33,38,,,
3.16E-05,71,7,38,,,
3.04E-05,86,20,38,,,
2.72E-05,73,21,37,,,
2.49E-05,82,25,37,,,
2.51E-05,87,32,39,,,
2.99E-05,71,32,38,,,
2.61E-05,82,15,37,,,
3.21E-05,84,31,37,,,
2.90E-05,75,2,36,,,
3.63E-05,75,5,34,,,
0.0001149,87,16,34,,,
2.46E-05,81,37,39,,,
2.47E-05,88,18,36,,,
3.70E-05,75,26,36,,,
3.93E-05,80,28,33,,,
2.53E-05,71,31,34,,,
2.45E-05,90,21,33,,,
2.49E-05,71,24,32,,,
2.50E-05,87,26,37,,,
2.47E-05,82,29,39,,,
3.02E-05,90,16,34,,,
2.47E-05,77,14,35,,,
2.49E-05,80,12,38,,,
2.47E-05,88,3,38,,,
2.46E-05,77,20,37,,,
2.91E-05,89,15,35,,,
2.51E-05,73,23,35,,,
2.44E-05,76,24,35,,,
2.49E-05,80,25,32,,,
2.45E-05,71,8,37,,,
2.45E-05,81,0,36,,,
2.45E-05,81,19,36,,,
3.03E-05,82,15,33,,,
2.46E-05,87,6,29,,,
2.46E-05,90,15,29,,,
2.45E-05,84,24,31,,,
2.47E-05,75,8,31,,,
2.47E-05,89,25,30,,,
2.46E-05,88,1,28,,,
2.47E-05,74,11,28,,,
2.47E-05,79,13,28,,,
2.47E-05,90,9,36,,,
2.46E-05,80,25,35,,,
2.74E-05,78,24,37,,,
2.46E-05,76,17,38,,,
2.56E-05,86,13,37,,,
2.47E-05,77,21,39,,,
2.46E-05,89,0,37,,,
2.46E-05,73,36,38,,,
2.51E-05,81,6,36,,,
2.49E-05,83,6,36,,,
0.0001087,71,26,37,,,
2.48E-05,88,4,42,,,
2.48E-05,78,27,41,,,
2.46E-05,80,6,42,,,
2.76E-05,79,7,45,,,
2.89E-05,85,33,43,,,
2.68E-05,78,27,43,,,
2.46E-05,72,22,41,,,
2.46E-05,75,7,41,,,
2.45E-05,73,27,42,,,
2.45E-05,78,6,46,,,
2.46E-05,88,15,46,,,
2.46E-05,84,20,42,,,
2.47E-05,87,26,40,,,
2.45E-05,84,26,38,,,
2.46E-05,76,12,37,,,
3.96E-05,84,2,36,,,
2.46E-05,78,10,31,,,
2.46E-05,84,22,33,,,
2.48E-05,71,11,32,,,
2.45E-05,80,30,33,,,
2.87E-05,90,30,33,,,
2.44E-05,89,11,34,,,
2.57E-05,81,0,32,,,
2.49E-05,85,21,31,,,
2.45E-05,77,0,28,,,
2.45E-05,79,6,33,,,
2.47E-05,83,12,30,,,
2.48E-05,77,24,26,,,
2.48E-05,71,14,26,,,
2.47E-05,85,13,24,,,
3.30E-05,83,10,25,,,
2.47E-05,82,9,21,,,
2.44E-05,87,4,29,,,
2.42E-05,76,7,32,,,
2.44E-05,78,20,34,,,
2.69E-05,81,0,35,,,
2.99E-05,87,19,35,,,
2.45E-05,77,33,37,,,
2.48E-05,80,32,37,,,
2.44E-05,82,4,38,,,
2.47E-05,87,27,31,,,
2.46E-05,79,4,32,,,
2.49E-05,74,16,37,,,
2.47E-05,87,32,37,,,
2.46E-05,80,3,36,,,
2.46E-05,89,20,36,,,
2.58E-05,90,13,40,,,
2.55E-05,76,36,43,,,
2.55E-05,83,1,42,,,
3.10E-05,74,30,39,,,
2.51E-05,80,23,42,,,
2.76E-05,79,10,43,,,
2.47E-05,86,25,38,,,
2.46E-05,73,36,39,,,
2.71E-05,89,16,40,,,
2.47E-05,73,31,42,,,
2.46E-05,77,31,42,,,
2.46E-05,87,32,45,,,
2.48E-05,75,29,43,,,
2.48E-05,90,41,43,,,
2.46E-05,74,33,43,,,
3.10E-05,76,33,42,,,
2.50E-05,90,0,40,,,
2.48E-05,79,7,39,,,
