cas operacie,cislo,index prvku,dlzka zoznamu,,sum,pocet
2.47E-05,73,18,88,,,
2.45E-05,87,73,84,,,
2.46E-05,90,33,84,,,
2.46E-05,71,15,82,,,
2.46E-05,73,52,82,,,
6.91E-05,90,25,83,,,
2.54E-05,80,83,86,,,
4.21E-05,86,59,87,,,
3.22E-05,83,83,86,,,
2.55E-05,89,29,86,,,
5.39E-05,88,71,85,,,
2.59E-05,90,0,89,,,
2.55E-05,87,61,89,,,
3.69E-05,80,32,88,,,
3.63E-05,75,82,88,,,
2.56E-05,72,27,89,,,
2.54E-05,80,7,92,,,
5.74E-05,90,25,93,,,
2.84E-05,86,84,92,,,
3.45E-05,85,77,93,,,
3.58E-05,77,77,88,,,
2.57E-05,84,39,90,,,
3.56E-05,90,8,89,,,
3.71E-05,81,13,89,,,
2.55E-05,85,26,87,,,
2.72E-05,72,64,82,,,
3.20E-05,84,56,81,,,
2.54E-05,71,55,81,,,
2.58E-05,83,69,79,,,
3.56E-05,80,12,81,,,
4.13E-05,80,33,80,,,
3.06E-05,73,63,77,,,
2.49E-05,73,23,77,,,
2.53E-05,71,40,77,,,
2.47E-05,89,2,77,,,
2.50E-05,75,26,85,,,
2.46E-05,75,46,82,,,
2.47E-05,75,75,81,,,
2.45E-05,87,29,81,,,
2.48E-05,74,21,81,,,
2.59E-05,73,47,78,,,
2.57E-05,90,42,79,,,
2.47E-05,74,14,83,,,
2.50E-05,78,27,85,,,
2.42E-05,77,34,85,,,
2.98E-05,72,65,85,,,
2.92E-05,72,50,85,,,
2.73E-05,72,50,84,,,
2.46E-05,85,4,80,,,
3.15E-05,90,72,81,,,
2.75E-05,73,50,78,,,
2.56E-05,73,13,79,,,
2.54E-05,86,3,78,,,
2.48E-05,80,77,83,,,
2.81E-05,75,61,86,,,
2.58E-05,72,1,84,,,
3.96E-05,88,13,83,,,
2.48E-05,75,4,79,,,
2.76E-05,75,24,77,,,
2.60E-05,87,34,77,,,
2.50E-05,85,50,73,,,
2.48E-05,77,67,72,,,
2.49E-05,77,27,71,,,
2.47E-05,74,62,68,,,
2.48E-05,87,53,68,,,
2.93E-05,79,63,70,,,
2.48E-05,87,64,72,,,
2.45E-05,88,29,72,,,
2.46E-05,83,31,73,,,
2.45E-05,80,31,71,,,
2.61E-05,78,50,73,,,
2.47E-05,72,7,73,,,
2.44E-05,71,10,73,,,
2.45E-05,78,47,77,,,
2.49E-05,76,31,77,,,
3.13E-05,76,72,79,,,
2.64E-05,86,49,79,,,
2.96E-05,84,58,77,,,
2.55E-05,83,45,78,,,
2.47E-05,75,54,77,,,
2.60E-05,83,6,82,,,
2.63E-05,75,42,81,,,
2.55E-05,82,76,82,,,
3.74E-05,74,72,80,,,
2.82E-05,84,27,77,,,
2.56E-05,81,6,78,,,
2.93E-05,78,61,78,,,
2.47E-05,78,20,78,,,
9.04E-05,89,49,70,,,
2.90E-05,78,19,71,,,
2.46E-05,85,31,68,,,
5.25E-05,74,12,71,,,
2.57E-05,86,50,65,,,
2.54E-05,80,62,66,,,
2.48E-05,86,21,63,,,
2.47E-05,85,16,63,,,
3.80E-05,80,55,62,,,
2.49E-05,79,57,61,,,
2.46E-05,74,19,63,,,
2.86E-05,73,21,62,,,
2.46E-05,85,5,64,,,
2.71E-05,82,41,65,,,
2.48E-05,87,16,61,,,
2.46E-05,83,53,59,,,
2.58E-05,78,59,62,,,
2.43E-05,73,15,60,,,
2.48E-05,85,43,61,,,
3.93E-05,77,31,59,,,
2.55E-05,83,0,61,,,
2.45E-05,78,2,63,,,
2.46E-05,77,40,62,,,
2.49E-05,72,6,62,,,
3.00E-05,75,60,62,,,
3.65E-05,76,13,60,,,
2.49E-05,80,3,62,,,
2.46E-05,77,15,60,,,
8.09E-05,81,41,57,,,
2.55E-05,82,10,56,,,
2.71E-05,82,12,53,,,
2.96E-05,88,19,56,,,
2.55E-05,75,30,54,,,
2.56E-05,73,6,58,,,
2.59E-05,80,29,58,,,
2.57E-05,86,53,57,,,
3.48E-05,71,56,59,,,
5.21E-05,72,12,55,,,
3.81E-05,81,23,57,,,
2.91E-05,76,27,56,,,
3.86E-05,84,0,56,,,
2.49E-05,74,24,59,,,
2.47E-05,75,35,55,,,
2.49E-05,84,26,55,,,
2.63E-05,89,29,53,,,
2.55E-05,75,13,49,,,
2.47E-05,84,19,47,,,
2.63E-05,71,12,47,,,
2.56E-05,82,16,51,,,
2.57E-05,75,29,51,,,
2.49E-05,88,11,49,,,
2.48E-05,75,19,50,,,
2.75E-05,90,4,49,,,
2.58E-05,86,47,49,,,
2.54E-05,90,30,47,,,
2.54E-05,79,34,47,,,
2.47E-05,73,8,47,,,
2.56E-05,74,0,41,,,
2.53E-05,74,23,34,,,
2.50E-05,73,25,34,,,
2.52E-05,88,27,33,,,
2.46E-05,75,7,33,,,
2.48E-05,74,18,32,,,
2.46E-05,78,9,31,,,
2.45E-05,78,3,29,,,
2.48E-05,71,12,28,,,
2.68E-05,81,29,35,,,
2.48E-05,74,0,35,,,
2.90E-05,76,21,34,,,
2.47E-05,79,2,36,,,
2.46E-05,74,29,34,,,
2.54E-05,81,19,37,,,
2.64E-05,88,20,36,,,
3.01E-05,82,31,36,,,
0.0001043,72,26,35,,,
3.15E-05,75,6,35,,,
2.58E-05,81,0,30,,,
2.59E-05,74,21,31,,,
2.58E-05,78,24,30,,,
2.81E-05,80,22,29,,,
2.58E-05,71,20,31,,,
2.68E-05,86,25,33,,,
2.55E-05,89,1,32,,,
2.53E-05,71,2,29,,,
2.54E-05,89,4,29,,,
2.54E-05,82,5,28,,,
4.26E-05,87,18,27,,,
4.95E-05,78,24,26,,,
3.59E-05,74,26,29,,,
3.12E-05,77,7,30,,,
3.17E-05,86,6,30,,,
4.25E-05,83,13,29,,,
2.57E-05,82,16,33,,,
2.54E-05,72,14,30,,,
2.54E-05,83,23,28,,,
2.56E-05,77,12,30,,,
2.55E-05,72,14,33,,,
2.53E-05,77,16,35,,,
2.50E-05,82,27,33,,,
3.03E-05,73,19,27,,,
2.59E-05,89,17,27,,,
2.79E-05,83,19,27,,,
3.01E-05,86,0,27,,,
2.48E-05,84,20,33,,,
2.46E-05,74,14,36,,,
2.43E-05,71,26,35,,,
2.62E-05,78,14,37,,,
2.46E-05,81,28,36,,,
2.74E-05,82,21,32,,,
2.51E-05,86,26,28,,,
2.48E-05,83,20,28,,,
2.50E-05,79,22,28,,,
2.47E-05,72,20,28,,,
2.46E-05,77,11,28,,,
2.46E-05,82,23,27,,,
2.97E-05,78,21,29,,,
2.58E-05,79,20,33,,,
2.66E-05,88,19,32,,,
2.45E-05,81,5,31,,,
2.97E-05,89,26,30,,,
2.48E-05,86,27,29,,,
2.52E-05,86,13,25,,,
2.53E-05,79,4,23,,,
2.99E-05,72,0,21,,,
2.58E-05,76,2,17,,,
2.63E-05,83,10,14,,,
3.09E-05,80,7,14,,,
2.47E-05,87,10,16,,,
4.45E-05,80,4,16,,,
2.54E-05,80,1,16,,,
3.49E-05,79,0,12,,,
3.75E-05,73,8,14,,,
2.47E-05,86,12,16,,,
4.40E-05,77,2,12,,,
2.45E-05,79,8,10,,,
2.51E-05,80,3,12,,,
3.03E-05,76,4,15,,,
2.53E-05,83,9,16,,,
2.46E-05,86,7,14,,,
2.45E-05,81,11,16,,,
2.46E-05,75,0,17,,,
2.80E-05,76,9,17,,,
2.56E-05,74,8,16,,,
2.51E-05,76,7,17,,,
2.49E-05,85,3,18,,,
2.48E-05,81,8,18,,,
2.44E-05,90,10,18,,,
2.45E-05,87,10,19,,,
2.49E-05,75,7,21,,,
2.47E-05,85,5,24,,,
2.53E-05,88,13,17,,,
3.03E-05,87,1,18,,,
2.48E-05,87,11,17,,,
2.47E-05,80,10,21,,,
2.46E-05,71,16,19,,,
2.49E-05,75,7,27,,,
2.44E-05,73,3,24,,,
2.93E-05,89,4,26,,,
2.55E-05,84,14,28,,,
2.56E-05,75,4,34,,,
2.45E-05,90,0,36,,,
2.45E-05,88,25,36,,,
2.49E-05,73,29,37,,,
2.47E-05,74,10,34,,,
2.47E-05,76,29,32,,,
2.47E-05,75,30,33,,,
2.44E-05,76,30,34,,,
2.45E-05,71,27,34,,,
2.48E-05,88,14,44,,,
2.45E-05,88,15,40,,,
2.48E-05,88,18,39,,,
2.48E-05,72,24,39,,,
2.47E-05,76,28,41,,,
2.45E-05,82,21,43,,,
2.47E-05,90,12,44,,,
2.47E-05,82,10,43,,,
2.47E-05,71,31,49,,,
2.47E-05,87,41,51,,,
2.47E-05,87,6,53,,,
2.47E-05,83,11,53,,,
2.48E-05,81,29,47,,,
3.03E-05,83,10,48,,,
2.49E-05,89,40,44,,,
2.48E-05,78,15,44,,,
2.88E-05,74,11,42,,,
2.56E-05,90,12,42,,,
2.68E-05,71,35,48,,,
2.44E-05,71,45,56,,,
3.26E-05,81,4,57,,,
2.44E-05,90,16,57,,,
3.32E-05,87,21,57,,,
3.59E-05,76,37,59,,,
3.38E-05,87,24,60,,,
3.15E-05,90,38,57,,,
3.19E-05,82,10,57,,,
2.76E-05,72,43,58,,,
4.10E-05,87,50,59,,,
2.48E-05,72,38,62,,,
2.47E-05,83,21,61,,,
2.48E-05,90,39,61,,,
2.47E-05,83,11,68,,,
2.57E-05,85,45,68,,,
2.56E-05,82,60,63,,,
2.45E-05,76,12,68,,,
2.44E-05,80,64,69,,,
2.46E-05,79,40,69,,,
2.74E-05,84,31,73,,,
3.53E-05,85,37,73,,,
2.49E-05,86,39,74,,,
2.45E-05,80,51,78,,,
2.46E-05,84,57,75,,,
2.72E-05,73,11,75,,,
2.53E-05,74,74,77,,,
2.46E-05,80,76,78,,,
2.48E-05,80,46,81,,,
2.48E-05,84,24,81,,,
2.45E-05,74,61,74,,,
4.11E-05,80,19,74,,,
2.46E-05,80,71,74,,,
2.48E-05,89,54,73,,,
2.47E-05,83,70,74,,,
2.47E-05,88,70,72,,,
3.15E-05,84,53,69,,,
2.48E-05,83,23,68,,,
2.48E-05,86,41,67,,,
2.56E-05,89,38,66,,,
2.55E-05,72,60,63,,,
2.57E-05,78,31,63,,,
2.53E-05,82,3,64,,,
2.44E-05,85,59,63,,,
2.94E-05,74,49,63,,,
2.49E-05,78,23,63,,,
2.47E-05,86,17,63,,,
2.47E-05,74,12,62,,,
2.49E-05,73,46,61,,,
2.48E-05,87,27,59,,,
2.47E-05,84,38,60,,,
2.80E-05,84,55,59,,,
2.62E-05,73,29,60,,,
2.47E-05,81,37,60,,,
2.45E-05,74,50,60,,,
2.46E-05,84,20,60,,,
2.47E-05,84,35,61,,,
2.45E-05,83,11,59,,,
3.00E-05,85,16,58,,,
3.39E-05,88,13,58,,,
3.03E-05,89,39,59,,,
2.58E-05,78,45,54,,,
2.56E-05,77,24,54,,,
4.22E-05,79,25,54,,,
3.99E-05,80,28,54,,,
4.27E-05,81,17,56,,,
2.54E-05,72,18,59,,,
2.55E-05,78,39,60,,,
2.92E-05,78,20,60,,,
2.46E-05,78,36,59,,,
2.48E-05,77,0,59,,,
2.47E-05,75,0,64,,,
2.49E-05,82,50,63,,,
2.49E-05,81,1,63,,,
2.44E-05,88,6,63,,,
2.54E-05,90,4,60,,,
2.54E-05,83,28,54,,,
2.58E-05,77,43,53,,,
2.73E-05,76,39,54,,,
2.57E-05,72,25,61,,,
2.70E-05,84,4,61,,,
2.59E-05,86,11,63,,,
2.56E-05,71,21,63,,,
2.55E-05,78,55,63,,,
2.53E-05,90,26,58,,,
2.48E-05,89,9,58,,,
2.47E-05,74,24,64,,,
5.44E-05,84,51,64,,,
2.47E-05,88,47,61,,,
2.45E-05,74,42,53,,,
2.59E-05,86,13,54,,,
2.83E-05,85,9,56,,,
2.97E-05,81,27,58,,,
2.53E-05,90,37,58,,,
2.47E-05,89,30,56,,,
2.64E-05,86,45,63,,,
3.05E-05,75,13,63,,,
2.90E-05,87,59,64,,,
2.46E-05,89,62,65,,,
2.47E-05,78,31,65,,,
2.46E-05,75,36,60,,,
2.48E-05,71,41,56,,,
2.47E-05,81,20,58,,,
2.46E-05,87,17,54,,,
2.46E-05,77,14,53,,,
2.86E-05,77,10,53,,,
2.45E-05,86,28,52,,,
2.52E-05,81,48,56,,,
2.61E-05,78,18,60,,,
2.62E-05,72,50,58,,,
2.46E-05,82,50,57,,,
2.46E-05,72,18,58,,,
3.35E-05,71,56,62,,,
2.76E-05,87,51,62,,,
2.46E-05,75,38,61,,,
2.48E-05,73,16,61,,,
2.45E-05,77,25,60,,,
2.46E-05,76,54,60,,,
2.47E-05,73,4,60,,,
2.45E-05,86,42,60,,,
2.50E-05,84,8,59,,,
3.07E-05,89,9,60,,,
2.90E-05,82,4,53,,,
2.46E-05,88,10,44,,,
2.46E-05,87,0,45,,,
2.45E-05,76,0,47,,,
3.37E-05,74,25,47,,,
2.59E-05,88,42,46,,,
4.55E-05,87,39,46,,,
2.45E-05,84,33,46,,,
2.46E-05,89,5,45,,,
4.46E-05,81,4,46,,,
3.61E-05,84,7,46,,,
5.34E-05,81,23,45,,,
2.57E-05,73,38,42,,,
2.53E-05,84,10,43,,,
2.47E-05,82,18,43,,,
2.44E-05,71,17,41,,,
2.44E-05,87,35,46,,,
2.44E-05,84,41,46,,,
2.45E-05,75,17,44,,,
2.57E-05,75,42,48,,,
2.49E-05,85,39,51,,,
2.48E-05,78,20,62,,,
2.52E-05,72,24,63,,,
2.51E-05,74,15,64,,,
2.49E-05,78,38,65,,,
2.48E-05,83,27,65,,,
2.47E-05,76,27,65,,,
2.48E-05,86,50,62,,,
2.55E-05,86,29,62,,,
3.25E-05,89,46,64,,,
2.47E-05,79,35,60,,,
2.48E-05,73,14,61,,,
2.49E-05,77,5,60,,,
2.45E-05,86,24,58,,,
2.45E-05,82,28,58,,,
2.59E-05,80,31,62,,,
2.47E-05,73,9,63,,,
2.49E-05,85,2,63,,,
3.34E-05,80,54,69,,,
2.55E-05,88,35,69,,,
2.47E-05,74,36,67,,,
2.46E-05,74,35,69,,,
2.47E-05,90,37,62,,,
2.47E-05,82,50,61,,,
2.49E-05,75,43,70,,,
2.49E-05,90,22,68,,,
2.45E-05,87,65,69,,,
2.47E-05,83,31,69,,,
3.03E-05,80,62,64,,,
2.53E-05,85,22,64,,,
2.47E-05,73,6,64,,,
2.43E-05,85,29,64,,,
2.46E-05,73,26,65,,,
2.47E-05,85,17,63,,,
