cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
0.0004245,18,18,83,,,,
0.0005752,24,24,83,,,,
0.0021323,44,44,82,,,,
0.000675,18,18,87,,,,
0.000155,6,6,81,,,,
0.0001815,7,7,81,,,,
0.0003309,14,14,81,,,,
0.0030135,37,37,85,,,,
2.30E-05,0,0,90,,,,
0.0006452,28,28,89,,,,
0.0004196,18,18,89,,,,
0.0002212,9,9,89,,,,
0.001024,45,45,88,,,,
0.0001984,8,8,93,,,,
8.96E-05,3,3,93,,,,
0.0012146,53,53,87,,,,
0.0020729,87,87,89,,,,
0.0014136,63,63,87,,,,
0.0012972,58,58,87,,,,
0.000797,35,35,81,,,,
0.0004704,6,6,80,,,,
0.0003208,10,10,81,,,,
0.0013916,28,28,80,,,,
0.0004031,12,12,83,,,,
0.001248,42,42,79,,,,
9.89E-05,3,3,78,,,,
0.0002423,10,10,77,,,,
0.0002006,8,8,79,,,,
0.0007004,28,28,84,,,,
0.0014185,62,62,81,,,,
0.0006655,29,29,82,,,,
0.0002782,11,11,80,,,,
0.0009438,16,16,78,,,,
0.0003646,15,15,78,,,,
0.0012001,53,53,83,,,,
0.0003558,15,15,81,,,,
0.000189,7,7,85,,,,
0.0003775,16,16,85,,,,
0.0001777,7,7,83,,,,
0.0007611,29,29,82,,,,
0.0005116,22,22,81,,,,
0.000621,21,21,75,,,,
0.000354,15,15,77,,,,
0.0001131,4,4,79,,,,
0.0006711,29,29,80,,,,
0.0009148,40,40,80,,,,
0.0045822,23,23,79,,,,
0.0017113,46,46,80,,,,
0.0005799,25,25,78,,,,
0.000487,21,21,79,,,,
0.0010161,38,38,78,,,,
0.000461,14,14,77,,,,
0.0002028,8,8,77,,,,
0.000392,13,13,78,,,,
0.0007078,31,31,82,,,,
0.0003317,12,12,84,,,,
0.0015757,70,70,81,,,,
0.0001117,4,4,80,,,,
0.0008702,30,30,77,,,,
0.0002296,9,9,77,,,,
2.30E-05,0,0,74,,,,
0.0002479,10,10,73,,,,
8.98E-05,3,3,73,,,,
0.0016041,62,62,73,,,,
0.0002015,8,8,73,,,,
0.0005155,20,20,73,,,,
0.0002006,8,8,73,,,,
0.0005102,18,18,72,,,,
0.0013387,59,59,67,,,,
0.0014136,62,62,68,,,,
0.0006846,26,26,68,,,,
0.001596,33,33,70,,,,
0.0007004,30,30,73,,,,
0.0003765,16,16,73,,,,
0.0004202,18,18,71,,,,
0.0005093,22,22,71,,,,
0.0002896,12,12,78,,,,
0.0010443,30,30,77,,,,
0.0007068,31,31,79,,,,
0.0010806,47,47,78,,,,
0.0009701,42,42,85,,,,
0.0001998,8,8,84,,,,
0.0009831,40,40,84,,,,
0.0012318,54,54,84,,,,
0.0003188,13,13,82,,,,
0.0003981,17,17,81,,,,
8.96E-05,3,3,81,,,,
0.0002063,8,8,82,,,,
0.0008351,37,37,82,,,,
0.0008867,38,38,84,,,,
0.0010064,22,22,79,,,,
0.0002803,6,6,81,,,,
0.0007198,26,26,81,,,,
0.000735,28,28,82,,,,
0.0008357,29,29,78,,,,
0.0009958,29,29,78,,,,
0.0008042,35,35,78,,,,
0.0005391,23,23,78,,,,
0.0004468,19,19,71,,,,
0.0004212,18,18,71,,,,
0.0004414,19,19,70,,,,
0.0009843,43,43,70,,,,
0.001035,32,32,71,,,,
0.0021046,69,69,71,,,,
0.0012882,34,34,70,,,,
0.0005492,23,23,64,,,,
2.29E-05,0,0,66,,,,
0.0005551,19,19,67,,,,
0.0013657,30,30,68,,,,
0.0011198,46,46,67,,,,
0.0002653,11,11,64,,,,
4.52E-05,1,1,63,,,,
0.0004889,21,21,63,,,,
0.001166,34,34,63,,,,
2.30E-05,0,0,63,,,,
0.0001333,5,5,63,,,,
0.0001116,4,4,64,,,,
2.26E-05,0,0,65,,,,
0.000156,6,6,64,,,,
8.95E-05,3,3,61,,,,
0.0004211,18,18,59,,,,
0.0015058,40,40,59,,,,
4.54E-05,1,1,62,,,,
0.0009192,34,34,63,,,,
4.65E-05,1,1,62,,,,
0.0013818,61,61,62,,,,
0.0002238,9,9,58,,,,
0.0004093,17,17,55,,,,
0.0009099,36,36,53,,,,
0.0008144,34,34,55,,,,
0.0006513,19,19,56,,,,
0.0010431,41,41,57,,,,
0.0006929,20,20,58,,,,
0.000289,12,12,57,,,,
0.0014242,39,39,57,,,,
0.0003361,14,14,56,,,,
0.0012214,36,36,56,,,,
0.0004547,9,9,58,,,,
0.0007576,33,33,59,,,,
0.0009152,40,40,59,,,,
