cas operacie,cislo,velkost frontu,,,
2.40E-05,27,219,,,
2.96E-05,29,220,,,
3.01E-05,7,220,,,
3.02E-05,13,219,,,
3.01E-05,13,219,,,
2.37E-05,28,222,,,
2.34E-05,4,223,,,
2.33E-05,2,226,,,
2.34E-05,2,228,,,
2.42E-05,13,232,,,
3.78E-05,13,237,,,
2.65E-05,12,238,,,
2.38E-05,12,241,,,
2.38E-05,1,242,,,
2.38E-05,1,245,,,
2.38E-05,20,249,,,
2.34E-05,22,250,,,
2.36E-05,22,250,,,
2.71E-05,46,249,,,
3.29E-05,4,248,,,
2.36E-05,1,247,,,
3.48E-05,47,244,,,
3.04E-05,47,245,,,
2.37E-05,35,244,,,
2.40E-05,20,244,,,
2.37E-05,15,243,,,
2.36E-05,24,245,,,
2.35E-05,39,244,,,
2.35E-05,5,243,,,
2.35E-05,5,243,,,
3.09E-05,47,246,,,
3.02E-05,34,248,,,
2.99E-05,20,249,,,
3.00E-05,24,246,,,
3.02E-05,24,246,,,
3.05E-05,7,244,,,
3.01E-05,7,245,,,
2.94E-05,34,246,,,
2.38E-05,49,247,,,
2.35E-05,6,250,,,
2.35E-05,38,249,,,
2.36E-05,34,247,,,
3.18E-05,47,247,,,
2.37E-05,24,247,,,
3.38E-05,6,244,,,
2.38E-05,31,245,,,
2.37E-05,6,245,,,
2.36E-05,6,245,,,
3.06E-05,31,249,,,
3.05E-05,8,251,,,
3.02E-05,8,251,,,
3.66E-05,20,254,,,
3.60E-05,22,253,,,
5.10E-05,9,253,,,
4.75E-05,9,253,,,
3.11E-05,1,256,,,
2.97E-05,46,257,,,
3.01E-05,41,259,,,
3.13E-05,41,262,,,
6.18E-05,41,262,,,
3.35E-05,31,263,,,
3.73E-05,23,265,,,
3.39E-05,10,266,,,
2.38E-05,18,266,,,
2.38E-05,1,265,,,
2.37E-05,20,265,,,
2.36E-05,20,265,,,
2.33E-05,17,264,,,
3.14E-05,36,264,,,
3.06E-05,36,264,,,
3.11E-05,36,264,,,
3.13E-05,36,264,,,
3.07E-05,36,265,,,
3.02E-05,12,271,,,
3.13E-05,47,270,,,
2.36E-05,6,269,,,
2.34E-05,2,269,,,
3.10E-05,43,270,,,
3.04E-05,19,271,,,
3.00E-05,19,272,,,
3.05E-05,19,272,,,
3.13E-05,50,273,,,
3.13E-05,50,275,,,
2.44E-05,50,276,,,
3.12E-05,3,277,,,
3.43E-05,3,278,,,
2.44E-05,43,277,,,
2.65E-05,43,278,,,
3.17E-05,23,281,,,
3.02E-05,43,282,,,
2.35E-05,28,284,,,
2.32E-05,28,284,,,
2.78E-05,17,282,,,
2.35E-05,17,284,,,
2.34E-05,11,291,,,
0.0004889,46,290,,,
2.33E-05,48,292,,,
2.82E-05,19,291,,,
2.37E-05,19,291,,,
2.34E-05,19,291,,,
2.33E-05,26,289,,,
2.38E-05,31,288,,,
2.33E-05,50,295,,,
2.35E-05,45,296,,,
3.01E-05,30,294,,,
3.26E-05,20,301,,,
3.28E-05,50,301,,,
3.07E-05,50,301,,,
2.96E-05,6,300,,,
3.07E-05,44,302,,,
3.04E-05,17,303,,,
3.24E-05,17,303,,,
3.08E-05,5,303,,,
2.97E-05,16,302,,,
3.51E-05,24,303,,,
3.09E-05,24,303,,,
2.41E-05,2,303,,,
2.35E-05,33,308,,,
2.69E-05,48,309,,,
2.35E-05,48,310,,,
2.36E-05,48,310,,,
2.34E-05,41,309,,,
2.33E-05,17,311,,,
2.35E-05,17,311,,,
2.36E-05,17,311,,,
2.36E-05,14,312,,,
2.39E-05,16,313,,,
2.42E-05,16,313,,,
2.38E-05,14,312,,,
2.35E-05,14,312,,,
2.33E-05,10,311,,,
2.34E-05,6,313,,,
2.34E-05,13,313,,,
2.36E-05,12,312,,,
2.41E-05,38,316,,,
2.36E-05,38,321,,,
3.06E-05,3,324,,,
2.39E-05,19,325,,,
2.38E-05,3,325,,,
2.37E-05,3,325,,,
2.37E-05,3,325,,,
2.35E-05,15,324,,,
2.35E-05,15,324,,,
2.35E-05,18,323,,,
3.07E-05,17,325,,,
6.11E-05,31,326,,,
2.78E-05,31,328,,,
2.75E-05,7,329,,,
2.42E-05,49,330,,,
2.39E-05,47,329,,,
2.36E-05,47,330,,,
2.35E-05,41,334,,,
2.35E-05,39,333,,,
2.34E-05,39,333,,,
2.35E-05,34,336,,,
2.89E-05,34,339,,,
2.38E-05,34,339,,,
2.35E-05,47,340,,,
2.35E-05,23,339,,,
2.34E-05,29,338,,,
3.03E-05,10,341,,,
2.44E-05,29,342,,,
2.37E-05,33,345,,,
2.35E-05,33,345,,,
3.35E-05,11,347,,,
3.31E-05,21,345,,,
3.13E-05,21,345,,,
2.40E-05,16,348,,,
2.38E-05,16,348,,,
2.35E-05,48,349,,,
2.35E-05,48,350,,,
2.36E-05,21,351,,,
2.37E-05,22,356,,,
2.38E-05,42,363,,,
2.37E-05,13,362,,,
3.83E-05,35,361,,,
3.08E-05,5,365,,,
3.56E-05,35,365,,,
2.70E-05,21,362,,,
2.75E-05,42,361,,,
2.73E-05,11,362,,,
2.99E-05,42,362,,,
2.97E-05,16,361,,,
3.01E-05,16,361,,,
3.28E-05,48,366,,,
2.85E-05,8,367,,,
2.39E-05,44,368,,,
2.41E-05,44,368,,,
2.38E-05,32,365,,,
2.37E-05,32,366,,,
3.17E-05,30,366,,,
2.35E-05,12,367,,,
2.35E-05,28,370,,,
2.38E-05,38,378,,,
2.35E-05,28,380,,,
2.35E-05,28,380,,,
2.33E-05,36,381,,,
2.32E-05,28,380,,,
2.33E-05,35,382,,,
2.34E-05,44,383,,,
2.36E-05,44,383,,,
2.36E-05,43,384,,,
2.39E-05,49,392,,,
3.21E-05,31,396,,,
2.35E-05,25,396,,,
2.34E-05,25,396,,,
2.34E-05,25,396,,,
2.39E-05,49,400,,,
2.35E-05,30,399,,,
2.36E-05,30,400,,,
2.36E-05,30,400,,,
5.19E-05,16,403,,,
2.38E-05,34,408,,,
2.36E-05,22,409,,,
2.35E-05,34,412,,,
2.37E-05,25,410,,,
3.32E-05,29,419,,,
2.96E-05,25,425,,,
3.16E-05,40,426,,,
3.05E-05,29,428,,,
3.15E-05,16,431,,,
2.90E-05,8,430,,,
3.20E-05,31,431,,,
3.00E-05,42,434,,,
3.19E-05,37,434,,,
3.04E-05,37,437,,,
3.14E-05,27,437,,,
3.20E-05,13,435,,,
3.10E-05,13,435,,,
2.94E-05,3,430,,,
0.000121,23,429,,,
3.48E-05,10,428,,,
2.98E-05,25,432,,,
3.13E-05,20,431,,,
3.17E-05,48,430,,,
3.07E-05,48,431,,,
3.08E-05,31,431,,,
2.96E-05,31,431,,,
