cas operacie,vybrane cislo,velkost frontu,,,
3.28E-05,24,302,,,
2.41E-05,7,307,,,
2.44E-05,4,309,,,
2.39E-05,2,308,,,
2.39E-05,33,307,,,
2.41E-05,48,309,,,
2.42E-05,41,311,,,
2.37E-05,17,310,,,
2.76E-05,42,310,,,
2.97E-05,36,309,,,
2.49E-05,16,312,,,
3.42E-05,14,312,,,
2.41E-05,30,312,,,
2.38E-05,27,311,,,
2.37E-05,10,310,,,
2.51E-05,32,313,,,
2.42E-05,7,313,,,
2.47E-05,29,315,,,
2.44E-05,6,314,,,
2.41E-05,11,313,,,
2.84E-05,13,312,,,
2.40E-05,12,311,,,
2.37E-05,4,310,,,
2.38E-05,32,309,,,
3.17E-05,38,323,,,
3.11E-05,3,323,,,
2.45E-05,19,324,,,
2.41E-05,24,325,,,
2.42E-05,20,325,,,
2.41E-05,3,324,,,
2.44E-05,47,324,,,
2.41E-05,50,323,,,
2.39E-05,41,322,,,
2.38E-05,15,323,,,
4.06E-05,46,323,,,
4.09E-05,18,322,,,
4.07E-05,38,321,,,
3.20E-05,19,325,,,
3.12E-05,17,324,,,
2.71E-05,14,323,,,
2.84E-05,31,327,,,
2.76E-05,41,327,,,
3.11E-05,7,329,,,
2.42E-05,49,329,,,
2.41E-05,17,330,,,
2.39E-05,47,329,,,
2.41E-05,8,332,,,
2.39E-05,30,331,,,
2.39E-05,8,333,,,
2.39E-05,41,333,,,
2.42E-05,37,333,,,
2.42E-05,38,332,,,
2.43E-05,13,335,,,
2.43E-05,34,338,,,
2.42E-05,47,339,,,
2.38E-05,23,338,,,
3.65E-05,10,341,,,
2.41E-05,44,341,,,
2.47E-05,44,344,,,
2.40E-05,29,343,,,
2.41E-05,39,344,,,
2.39E-05,46,343,,,
3.24E-05,11,346,,,
3.67E-05,33,345,,,
2.46E-05,16,347,,,
2.41E-05,18,348,,,
2.42E-05,48,350,,,
2.40E-05,16,354,,,
2.42E-05,48,353,,,
3.10E-05,6,354,,,
3.07E-05,8,355,,,
3.11E-05,21,355,,,
2.44E-05,8,356,,,
2.41E-05,22,355,,,
2.40E-05,17,354,,,
2.41E-05,26,353,,,
2.41E-05,20,352,,,
2.39E-05,38,353,,,
2.41E-05,11,360,,,
2.45E-05,11,361,,,
2.39E-05,42,362,,,
2.41E-05,24,361,,,
2.41E-05,8,362,,,
3.50E-05,13,361,,,
3.94E-05,35,360,,,
3.07E-05,8,365,,,
9.72E-05,5,365,,,
3.30E-05,35,364,,,
3.35E-05,45,363,,,
3.36E-05,14,362,,,
3.71E-05,31,361,,,
3.03E-05,19,362,,,
2.80E-05,19,362,,,
2.68E-05,21,361,,,
2.75E-05,2,361,,,
2.84E-05,44,363,,,
2.81E-05,11,363,,,
3.79E-05,13,363,,,
2.95E-05,50,363,,,
2.99E-05,27,362,,,
3.02E-05,42,361,,,
3.33E-05,6,361,,,
3.05E-05,16,360,,,
3.07E-05,50,360,,,
2.55E-05,8,366,,,
3.38E-05,44,367,,,
2.44E-05,48,366,,,
2.41E-05,27,365,,,
3.49E-05,37,367,,,
3.35E-05,32,366,,,
3.24E-05,30,365,,,
3.24E-05,46,366,,,
3.18E-05,7,365,,,
2.44E-05,22,366,,,
2.40E-05,18,367,,,
2.40E-05,4,367,,,
2.41E-05,12,367,,,
2.39E-05,14,367,,,
2.39E-05,14,366,,,
2.44E-05,42,369,,,
2.42E-05,45,368,,,
2.40E-05,23,367,,,
2.44E-05,31,371,,,
2.47E-05,46,371,,,
2.41E-05,50,370,,,
2.40E-05,25,370,,,
2.47E-05,33,377,,,
2.42E-05,50,377,,,
2.40E-05,14,378,,,
2.39E-05,38,378,,,
2.40E-05,5,377,,,
2.42E-05,7,380,,,
2.42E-05,36,380,,,
2.41E-05,35,384,,,
2.40E-05,28,383,,,
2.41E-05,43,382,,,
2.41E-05,50,382,,,
2.39E-05,17,382,,,
2.41E-05,44,382,,,
2.39E-05,33,384,,,
3.26E-05,14,391,,,
3.12E-05,25,391,,,
