cas operacie,vybrane cislo,velkost frontu,,,
2.41E-05,14,170,,,
2.44E-05,26,169,,,
2.41E-05,17,176,,,
2.40E-05,27,175,,,
2.40E-05,26,176,,,
2.87E-05,32,177,,,
2.93E-05,41,177,,,
3.11E-05,39,176,,,
3.06E-05,21,177,,,
3.09E-05,37,180,,,
3.49E-05,31,181,,,
2.46E-05,9,183,,,
2.41E-05,7,182,,,
2.39E-05,36,182,,,
3.78E-05,35,183,,,
2.46E-05,9,184,,,
2.40E-05,49,185,,,
2.41E-05,37,184,,,
2.42E-05,13,183,,,
2.42E-05,47,183,,,
2.39E-05,16,183,,,
2.40E-05,39,183,,,
2.42E-05,46,182,,,
2.41E-05,4,181,,,
2.40E-05,17,180,,,
2.39E-05,46,180,,,
2.66E-05,38,179,,,
2.43E-05,17,178,,,
2.39E-05,8,178,,,
2.39E-05,28,178,,,
2.40E-05,35,177,,,
2.86E-05,43,177,,,
3.21E-05,16,178,,,
3.08E-05,36,180,,,
2.43E-05,47,184,,,
2.40E-05,39,183,,,
2.39E-05,3,184,,,
2.38E-05,34,183,,,
2.37E-05,39,182,,,
3.46E-05,26,186,,,
3.42E-05,41,185,,,
2.46E-05,31,184,,,
2.39E-05,10,188,,,
2.39E-05,36,189,,,
2.38E-05,47,188,,,
2.36E-05,5,187,,,
2.39E-05,40,186,,,
2.40E-05,30,185,,,
2.90E-05,44,186,,,
2.43E-05,45,185,,,
2.43E-05,23,184,,,
2.41E-05,47,183,,,
3.70E-05,50,187,,,
3.10E-05,50,186,,,
2.39E-05,8,190,,,
2.88E-05,14,190,,,
3.13E-05,45,192,,,
3.24E-05,32,192,,,
3.95E-05,3,196,,,
3.94E-05,47,195,,,
2.51E-05,24,194,,,
2.41E-05,32,193,,,
2.40E-05,29,192,,,
2.45E-05,10,192,,,
2.39E-05,13,192,,,
2.40E-05,34,192,,,
2.45E-05,49,192,,,
2.64E-05,14,195,,,
2.45E-05,6,194,,,
2.40E-05,14,193,,,
2.37E-05,19,192,,,
2.39E-05,33,191,,,
2.38E-05,15,192,,,
2.39E-05,16,191,,,
3.14E-05,2,194,,,
3.14E-05,6,194,,,
3.13E-05,39,199,,,
3.07E-05,43,199,,,
3.06E-05,47,198,,,
3.05E-05,27,197,,,
3.09E-05,14,196,,,
3.13E-05,14,197,,,
2.40E-05,1,198,,,
3.19E-05,45,206,,,
3.09E-05,1,206,,,
3.07E-05,47,205,,,
3.21E-05,49,207,,,
3.10E-05,20,208,,,
2.45E-05,45,215,,,
2.41E-05,40,214,,,
2.39E-05,31,213,,,
2.39E-05,28,214,,,
2.39E-05,34,215,,,
2.39E-05,4,214,,,
2.40E-05,23,214,,,
2.40E-05,18,215,,,
2.41E-05,20,215,,,
2.39E-05,50,214,,,
2.39E-05,35,213,,,
2.37E-05,23,212,,,
2.40E-05,12,211,,,
2.40E-05,7,211,,,
2.38E-05,7,210,,,
2.39E-05,48,209,,,
2.44E-05,18,208,,,
3.51E-05,13,208,,,
3.63E-05,9,207,,,
2.45E-05,32,206,,,
2.40E-05,38,205,,,
2.40E-05,25,205,,,
2.42E-05,14,204,,,
2.42E-05,8,205,,,
9.75E-05,10,209,,,
3.13E-05,49,209,,,
2.40E-05,25,210,,,
2.41E-05,14,210,,,
2.43E-05,38,213,,,
2.48E-05,21,212,,,
3.05E-05,7,211,,,
2.41E-05,38,212,,,
3.48E-05,6,214,,,
2.57E-05,43,215,,,
2.40E-05,40,215,,,
2.39E-05,30,217,,,
2.42E-05,15,216,,,
2.44E-05,37,219,,,
3.12E-05,29,219,,,
3.10E-05,27,218,,,
2.87E-05,48,217,,,
3.09E-05,7,219,,,
3.07E-05,10,218,,,
3.10E-05,49,220,,,
3.09E-05,23,219,,,
3.08E-05,35,219,,,
3.02E-05,30,219,,,
2.40E-05,37,222,,,
2.40E-05,28,223,,,
2.69E-05,18,236,,,
4.05E-05,13,238,,,
4.01E-05,9,237,,,
4.72E-05,50,236,,,
3.82E-05,49,237,,,
2.47E-05,12,241,,,
2.45E-05,26,249,,,
2.45E-05,1,249,,,
2.42E-05,50,250,,,
2.43E-05,8,250,,,
2.42E-05,50,249,,,
2.39E-05,2,249,,,
2.39E-05,22,248,,,
2.39E-05,22,249,,,
2.40E-05,28,249,,,
3.31E-05,20,249,,,
2.48E-05,14,248,,,
3.61E-05,46,248,,,
3.30E-05,45,250,,,
3.21E-05,38,249,,,
3.30E-05,39,248,,,
