cas operacie,vlozene cislo,priorita,velkost frontu,,,
3.30E-06,4,1362,88,,,
3.30E-06,21,953,89,,,
3.40E-06,20,898,90,,,
1.40E-06,37,7799,91,,,
1.70E-06,3,6537,91,,,
2.60E-06,28,2987,91,,,
1.50E-06,43,8578,92,,,
1.70E-06,30,8086,92,,,
1.70E-06,41,7768,93,,,
2.80E-06,17,5373,94,,,
1.54E-05,42,7809,94,,,
1.50E-06,21,8673,93,,,
2.20E-06,36,660,92,,,
2.20E-06,9,2912,91,,,
2.10E-06,6,356,92,,,
1.50E-06,8,7910,93,,,
1.50E-06,14,8738,92,,,
2.20E-06,7,2953,92,,,
1.50E-06,34,8484,93,,,
1.40E-06,35,9488,94,,,
2.10E-06,5,558,93,,,
2.60E-06,6,5966,94,,,
3.00E-06,15,5622,94,,,
2.20E-06,20,37,93,,,
2.60E-06,17,6445,94,,,
2.60E-06,7,5009,95,,,
2.20E-06,26,1984,95,,,
2.10E-06,39,1998,95,,,
2.20E-06,18,208,96,,,
2.50E-06,25,2495,96,,,
1.50E-06,8,7619,95,,,
2.10E-06,10,1792,96,,,
1.50E-06,39,8406,96,,,
2.10E-06,34,2334,97,,,
2.20E-06,7,1281,97,,,
1.50E-06,6,7043,97,,,
2.10E-06,39,443,96,,,
2.10E-06,16,296,96,,,
2.50E-06,2,643,97,,,
1.50E-06,24,7140,98,,,
1.40E-06,23,7201,99,,,
1.50E-06,29,8903,100,,,
2.50E-06,21,1655,100,,,
2.50E-06,12,1939,101,,,
2.50E-06,36,3604,101,,,
2.60E-06,3,4262,102,,,
2.60E-06,13,3347,102,,,
2.50E-06,24,3396,103,,,
2.50E-06,36,5528,104,,,
1.50E-06,22,9085,104,,,
1.40E-06,50,9187,105,,,
2.70E-06,2,6144,102,,,
2.10E-06,46,484,102,,,
1.40E-06,18,7656,101,,,
2.10E-06,13,4724,102,,,
2.10E-06,3,1196,103,,,
1.50E-06,48,8600,104,,,
1.40E-06,30,8205,105,,,
2.10E-06,40,612,106,,,
