cas operacie,vybrane cislo,velkost frontu,,,
1.40E-06,8,193,,,
1.40E-06,31,194,,,
1.40E-06,11,194,,,
1.40E-06,12,194,,,
1.40E-06,20,193,,,
1.30E-06,42,192,,,
1.30E-06,47,193,,,
1.40E-06,22,195,,,
1.30E-06,49,194,,,
1.30E-06,14,193,,,
1.40E-06,34,192,,,
1.50E-06,6,199,,,
1.40E-06,36,205,,,
1.40E-06,8,208,,,
1.40E-06,15,207,,,
1.40E-06,36,212,,,
1.30E-06,6,212,,,
1.30E-06,1,212,,,
1.40E-06,18,214,,,
1.40E-06,33,216,,,
1.40E-06,30,219,,,
1.40E-06,14,222,,,
1.40E-06,48,222,,,
1.40E-06,4,224,,,
1.40E-06,42,226,,,
1.40E-06,47,227,,,
1.40E-06,28,227,,,
1.40E-06,34,228,,,
1.40E-06,36,230,,,
1.40E-06,35,230,,,
1.40E-06,42,229,,,
1.30E-06,44,228,,,
1.40E-06,37,228,,,
1.40E-06,41,227,,,
1.40E-06,48,227,,,
1.40E-06,40,226,,,
1.40E-06,29,226,,,
1.40E-06,18,228,,,
1.40E-06,18,230,,,
1.40E-06,6,230,,,
1.40E-06,19,230,,,
1.40E-06,11,230,,,
1.70E-06,7,231,,,
1.40E-06,46,235,,,
1.40E-06,2,235,,,
1.40E-06,4,234,,,
1.30E-06,34,233,,,
1.30E-06,46,233,,,
1.40E-06,44,232,,,
1.30E-06,32,231,,,
1.40E-06,20,231,,,
1.40E-06,17,232,,,
1.30E-06,36,234,,,
1.40E-06,8,234,,,
1.40E-06,5,234,,,
1.40E-06,11,235,,,
1.30E-06,44,235,,,
3.10E-06,36,237,,,
2.60E-06,26,238,,,
2.40E-06,45,239,,,
1.60E-06,42,239,,,
1.50E-06,14,243,,,
1.40E-06,29,242,,,
1.60E-06,10,241,,,
1.40E-06,12,240,,,
1.40E-06,29,245,,,
1.40E-06,20,245,,,
1.40E-06,32,244,,,
1.30E-06,24,244,,,
1.40E-06,50,246,,,
1.50E-06,18,249,,,
2.90E-06,33,253,,,
1.40E-06,13,252,,,
1.50E-06,28,267,,,
1.40E-06,7,266,,,
1.40E-06,31,270,,,
1.40E-06,29,270,,,
1.30E-06,4,270,,,
1.50E-06,29,270,,,
1.40E-06,13,269,,,
1.40E-06,11,269,,,
2.60E-06,21,271,,,
1.80E-06,40,270,,,
2.50E-06,21,271,,,
2.40E-06,37,272,,,
2.30E-06,5,271,,,
2.10E-06,8,273,,,
2.10E-06,22,274,,,
2.40E-06,37,273,,,
2.80E-06,48,274,,,
2.00E-06,25,274,,,
2.20E-06,28,274,,,
2.00E-06,21,276,,,
2.10E-06,27,275,,,
2.00E-06,3,275,,,
1.90E-06,50,275,,,
2.50E-06,48,275,,,
1.70E-06,39,274,,,
2.40E-06,30,276,,,
2.00E-06,37,275,,,
2.50E-06,50,275,,,
1.40E-06,30,274,,,
3.20E-06,2,273,,,
2.80E-06,45,273,,,
2.50E-06,21,276,,,
1.60E-06,34,279,,,
1.40E-06,21,282,,,
2.60E-06,46,281,,,
2.60E-06,21,287,,,
2.30E-06,21,287,,,
2.30E-06,10,287,,,
2.80E-06,21,286,,,
2.40E-06,1,285,,,
1.50E-06,46,285,,,
1.50E-06,37,284,,,
1.50E-06,42,284,,,
1.40E-06,50,284,,,
1.40E-06,37,283,,,
1.40E-06,6,283,,,
2.50E-06,4,285,,,
1.40E-06,14,287,,,
2.70E-06,44,287,,,
1.50E-06,26,289,,,
1.40E-06,7,290,,,
1.40E-06,1,290,,,
1.40E-06,2,289,,,
1.40E-06,42,289,,,
1.40E-06,1,288,,,
1.40E-06,41,290,,,
1.40E-06,43,291,,,
1.70E-06,35,296,,,
1.50E-06,20,299,,,
2.20E-06,32,298,,,
1.40E-06,19,298,,,
1.40E-06,29,302,,,
1.40E-06,41,306,,,
1.50E-06,32,311,,,
1.40E-06,22,310,,,
1.40E-06,45,311,,,
1.30E-06,17,311,,,
1.40E-06,36,312,,,
1.40E-06,24,312,,,
2.60E-06,12,313,,,
1.50E-06,37,313,,,
1.80E-06,25,314,,,
2.30E-06,20,315,,,
2.60E-06,26,317,,,
1.90E-06,1,316,,,
1.90E-06,4,319,,,
2.20E-06,13,318,,,
2.60E-06,12,330,,,
3.80E-06,9,329,,,
2.60E-06,7,330,,,
1.80E-06,19,330,,,
2.40E-06,19,332,,,
2.10E-06,21,331,,,
2.00E-06,25,330,,,
2.60E-06,6,331,,,
1.90E-06,5,334,,,
1.90E-06,36,333,,,
1.80E-06,34,332,,,
1.90E-06,5,332,,,
1.80E-06,10,331,,,
1.80E-06,45,330,,,
4.70E-06,9,332,,,
2.90E-06,23,331,,,
2.70E-06,40,330,,,
2.10E-06,46,329,,,
2.70E-06,18,330,,,
2.60E-06,6,334,,,
2.20E-06,13,334,,,
3.10E-06,43,334,,,
3.10E-06,40,334,,,
1.90E-06,45,333,,,
2.70E-06,31,332,,,
3.20E-06,18,331,,,
2.90E-06,3,333,,,
2.20E-06,10,333,,,
2.50E-06,35,338,,,
3.10E-06,13,344,,,
2.50E-06,2,346,,,
2.20E-06,7,349,,,
2.00E-06,9,348,,,
