cas operacie,cislo,velkost frontu,,,
1.00E-06,21,286,,,
9.00E-07,21,287,,,
9.00E-07,10,288,,,
1.00E-06,46,286,,,
7.00E-07,14,286,,,
6.00E-07,14,288,,,
7.00E-07,7,291,,,
6.00E-07,7,291,,,
6.00E-07,2,290,,,
7.00E-07,35,291,,,
7.00E-07,35,295,,,
6.00E-07,35,296,,,
7.00E-07,20,299,,,
7.00E-07,29,300,,,
6.00E-07,29,300,,,
6.00E-07,29,302,,,
6.00E-07,29,302,,,
7.00E-07,41,304,,,
9.00E-07,41,305,,,
6.00E-07,45,311,,,
6.00E-07,17,312,,,
6.00E-07,24,313,,,
6.00E-07,24,313,,,
6.00E-07,37,312,,,
6.00E-07,37,314,,,
1.20E-06,1,314,,,
1.00E-06,1,315,,,
8.00E-07,1,315,,,
8.00E-07,1,315,,,
1.20E-06,12,330,,,
7.00E-07,12,331,,,
9.00E-07,9,330,,,
9.00E-07,19,332,,,
1.20E-06,36,331,,,
8.00E-07,5,333,,,
7.00E-07,23,330,,,
9.00E-07,40,331,,,
8.00E-07,40,331,,,
8.00E-07,40,331,,,
1.20E-06,13,335,,,
1.00E-06,45,334,,,
1.30E-06,31,331,,,
1.20E-06,35,339,,,
9.00E-07,13,338,,,
1.10E-06,13,339,,,
8.00E-07,13,340,,,
7.00E-07,13,340,,,
1.00E-06,13,345,,,
9.00E-07,44,346,,,
8.00E-07,20,354,,,
6.00E-07,20,354,,,
6.00E-07,20,357,,,
6.00E-07,43,357,,,
6.00E-07,44,360,,,
7.00E-07,42,362,,,
6.00E-07,22,365,,,
6.00E-07,21,367,,,
1.10E-06,22,368,,,
7.00E-07,22,368,,,
1.20E-06,20,366,,,
8.00E-07,44,369,,,
8.00E-07,50,370,,,
8.00E-07,34,374,,,
7.00E-07,2,372,,,
7.00E-07,39,373,,,
6.00E-07,7,373,,,
7.00E-07,42,376,,,
6.00E-07,8,378,,,
6.00E-07,8,378,,,
6.00E-07,42,377,,,
6.00E-07,42,377,,,
7.00E-07,21,378,,,
1.00E-06,8,376,,,
1.20E-06,32,377,,,
7.00E-07,35,379,,,
7.00E-07,35,379,,,
8.00E-07,8,377,,,
7.00E-07,8,379,,,
7.00E-07,18,380,,,
7.00E-07,18,380,,,
6.00E-07,39,385,,,
7.00E-07,16,388,,,
8.00E-07,45,391,,,
8.00E-07,45,397,,,
9.00E-07,18,399,,,
9.00E-07,29,400,,,
8.00E-07,16,400,,,
1.00E-06,46,402,,,
1.10E-06,10,403,,,
8.00E-07,46,403,,,
9.00E-07,46,404,,,
7.00E-07,31,404,,,
6.00E-07,31,405,,,
6.00E-07,18,410,,,
7.00E-07,18,411,,,
6.00E-07,18,412,,,
6.00E-07,39,410,,,
7.00E-07,24,409,,,
6.00E-07,24,409,,,
6.00E-07,12,412,,,
1.00E-06,12,412,,,
7.00E-07,39,411,,,
6.00E-07,38,412,,,
6.00E-07,38,412,,,
6.00E-07,38,413,,,
6.00E-07,19,413,,,
7.00E-07,38,417,,,
6.00E-07,19,416,,,
6.00E-07,27,417,,,
6.00E-07,16,416,,,
6.00E-07,20,417,,,
6.00E-07,13,416,,,
8.00E-07,32,412,,,
6.00E-07,32,412,,,
7.00E-07,7,417,,,
6.00E-07,42,416,,,
7.00E-07,42,416,,,
7.00E-07,23,422,,,
6.00E-07,2,421,,,
6.00E-07,34,425,,,
6.00E-07,34,425,,,
6.00E-07,48,429,,,
7.00E-07,48,432,,,
7.00E-07,45,433,,,
7.00E-07,16,432,,,
6.00E-07,16,432,,,
6.00E-07,13,431,,,
8.00E-07,20,430,,,
9.00E-07,21,429,,,
8.00E-07,12,429,,,
1.00E-06,12,429,,,
8.00E-07,12,429,,,
1.00E-06,27,427,,,
8.00E-07,27,427,,,
7.00E-07,27,427,,,
9.00E-07,16,429,,,
1.10E-06,16,429,,,
9.00E-07,11,431,,,
9.00E-07,11,431,,,
1.10E-06,11,432,,,
8.00E-07,19,436,,,
1.20E-06,19,439,,,
1.00E-06,37,444,,,
1.00E-06,27,447,,,
9.00E-07,37,448,,,
1.00E-06,6,452,,,
1.20E-06,7,448,,,
1.00E-06,7,448,,,
9.00E-07,20,447,,,
1.00E-06,31,444,,,
1.00E-06,31,445,,,
1.00E-06,48,446,,,
1.10E-06,14,446,,,
1.20E-06,21,447,,,
1.00E-06,24,449,,,
8.00E-07,24,451,,,
1.00E-06,2,451,,,
1.00E-06,22,454,,,
7.00E-07,22,454,,,
1.30E-06,20,454,,,
9.00E-07,28,452,,,
1.00E-06,28,452,,,
9.00E-07,28,453,,,
1.00E-06,28,453,,,
6.00E-07,11,452,,,
1.20E-06,11,452,,,
1.20E-06,11,452,,,
7.00E-07,14,450,,,
9.00E-07,14,450,,,
1.10E-06,14,451,,,
1.00E-06,25,450,,,
1.10E-06,43,452,,,
1.00E-06,3,454,,,
6.00E-07,3,454,,,
9.00E-07,29,458,,,
1.00E-06,28,459,,,
9.00E-07,21,457,,,
1.00E-06,11,460,,,
7.00E-07,11,460,,,
1.00E-06,47,463,,,
1.10E-06,46,465,,,
7.00E-07,24,470,,,
1.10E-06,28,471,,,
9.00E-07,28,472,,,
8.00E-07,23,472,,,
7.00E-07,23,472,,,
8.00E-07,49,477,,,
6.00E-07,42,477,,,
6.00E-07,25,479,,,
6.00E-07,25,479,,,
6.00E-07,42,478,,,
6.00E-07,42,479,,,
6.00E-07,11,481,,,
6.00E-07,21,480,,,
9.00E-07,21,483,,,
9.00E-07,21,486,,,
9.00E-07,21,487,,,
7.00E-07,41,492,,,
8.00E-07,39,490,,,
1.00E-06,2,499,,,
9.00E-07,29,500,,,
1.30E-06,9,499,,,
1.00E-06,9,499,,,
8.00E-07,9,500,,,
7.00E-07,9,500,,,
1.30E-06,2,505,,,
9.00E-07,47,504,,,
7.00E-07,49,506,,,
6.00E-07,49,511,,,
6.00E-07,36,510,,,
1.00E-06,34,510,,,
1.00E-06,43,509,,,
8.00E-07,43,509,,,
9.00E-07,46,509,,,
9.00E-07,46,510,,,
1.40E-06,46,510,,,
9.00E-07,46,511,,,
1.10E-06,31,511,,,
8.00E-07,17,512,,,
7.00E-07,17,513,,,
8.00E-07,17,516,,,
1.00E-06,46,519,,,
9.00E-07,46,520,,,
9.00E-07,46,520,,,
9.00E-07,46,520,,,
1.90E-06,42,523,,,
1.10E-06,42,523,,,
1.70E-06,42,523,,,
1.10E-06,43,527,,,
9.00E-07,42,528,,,
1.30E-06,32,528,,,
8.00E-07,26,531,,,
1.00E-06,41,528,,,
7.00E-07,41,528,,,
1.10E-06,45,529,,,
9.00E-07,16,530,,,
9.00E-07,19,532,,,
1.00E-06,34,531,,,
8.00E-07,1,537,,,
6.00E-07,1,537,,,
9.00E-07,6,537,,,
8.00E-07,6,537,,,
9.00E-07,10,538,,,
7.00E-07,10,538,,,
1.20E-06,16,543,,,
7.00E-07,33,543,,,
9.00E-07,34,551,,,
8.00E-07,28,549,,,
9.00E-07,22,553,,,
8.00E-07,22,553,,,
9.00E-07,44,553,,,
1.00E-06,45,552,,,
1.00E-06,18,554,,,
7.00E-07,18,554,,,
1.00E-06,18,554,,,
1.10E-06,18,555,,,
1.10E-06,22,555,,,
1.20E-06,45,554,,,
8.00E-07,45,554,,,
1.10E-06,12,557,,,
1.00E-06,6,556,,,
1.00E-06,9,561,,,
1.10E-06,9,562,,,
8.00E-07,27,564,,,
1.00E-06,50,564,,,
9.00E-07,19,563,,,
7.00E-07,19,563,,,
8.00E-07,19,563,,,
8.00E-07,1,562,,,
8.00E-07,1,562,,,
8.00E-07,41,561,,,
8.00E-07,9,562,,,
7.00E-07,9,565,,,
7.00E-07,9,565,,,
8.00E-07,9,565,,,
7.00E-07,9,569,,,
7.00E-07,9,570,,,
7.00E-07,9,569,,,
7.00E-07,17,568,,,
1.10E-06,16,569,,,
8.00E-07,16,569,,,
8.00E-07,38,575,,,
7.00E-07,38,575,,,
8.00E-07,38,575,,,
7.00E-07,35,578,,,
8.00E-07,37,584,,,
8.00E-07,37,584,,,
7.00E-07,37,585,,,
8.00E-07,35,586,,,
6.00E-07,38,584,,,
8.00E-07,11,583,,,
7.00E-07,11,583,,,
1.10E-06,9,591,,,
6.00E-07,50,593,,,
8.00E-07,10,593,,,
8.00E-07,20,594,,,
8.00E-07,20,594,,,
9.00E-07,20,594,,,
7.00E-07,20,594,,,
7.00E-07,20,596,,,
7.00E-07,20,596,,,
7.00E-07,20,596,,,
8.00E-07,8,596,,,
1.00E-06,12,602,,,
1.00E-06,48,602,,,
1.30E-06,48,602,,,
1.00E-06,48,602,,,
7.00E-07,48,602,,,
8.00E-07,41,604,,,
9.00E-07,41,604,,,
7.00E-07,41,604,,,
1.00E-06,41,604,,,
8.00E-07,41,605,,,
9.00E-07,38,604,,,
9.00E-07,2,604,,,
8.00E-07,14,607,,,
7.00E-07,14,607,,,
1.10E-06,49,609,,,
7.00E-07,14,608,,,
7.00E-07,50,608,,,
1.00E-06,50,608,,,
7.00E-07,50,608,,,
6.00E-07,7,610,,,
7.00E-07,48,610,,,
8.00E-07,16,610,,,
7.00E-07,41,611,,,
8.00E-07,31,609,,,
8.00E-07,5,609,,,
8.00E-07,5,609,,,
9.00E-07,22,607,,,
9.00E-07,35,605,,,
8.00E-07,35,605,,,
7.00E-07,35,605,,,
1.00E-06,3,607,,,
6.00E-07,37,606,,,
7.00E-07,48,607,,,
8.00E-07,7,608,,,
8.00E-07,44,607,,,
7.00E-07,44,607,,,
7.00E-07,26,609,,,
7.00E-07,26,609,,,
8.00E-07,15,606,,,
