cas operacie,vlozene cislo,priorita,velkost frontu,,,
0.0016311,18,1538,15,,,
0.0005276,31,899,16,,,
0.0004348,10,1452,15,,,
0.0005995,3,1765,10,,,
0.0003281,17,2022,10,,,
0.0004175,18,3014,11,,,
0.0003046,34,6180,9,,,
0.000331,5,1129,10,,,
0.0005553,2,2482,11,,,
0.0006658,27,2664,12,,,
0.0004016,4,7188,13,,,
0.0005445,31,1344,13,,,
0.0009927,28,2694,14,,,
0.0004751,14,4745,15,,,
0.0015431,14,9394,16,,,
0.0006515,5,1600,17,,,
0.0005511,5,3811,17,,,
0.0005078,13,5872,18,,,
0.0004528,7,6661,19,,,
0.0005363,3,6168,20,,,
0.0004429,28,8627,20,,,
0.0006303,10,5572,20,,,
0.0005372,29,1954,19,,,
0.000554,2,10,20,,,
0.0005755,23,5163,20,,,
0.0006605,27,12,20,,,
0.0003644,25,9968,21,,,
0.0007066,33,2782,22,,,
0.0006895,15,3501,23,,,
0.0004527,6,4169,20,,,
0.0003332,8,8657,18,,,
0.0003329,35,3905,15,,,
0.0003742,3,8164,12,,,
0.0003486,24,774,11,,,
0.0004404,14,3875,12,,,
0.0004625,34,3118,13,,,
0.0004367,9,4576,14,,,
0.0015513,33,8887,15,,,
0.0004244,35,2479,16,,,
0.0004794,21,1249,17,,,
0.0004577,4,5588,15,,,
0.0004587,10,1120,16,,,
0.0002982,27,3,13,,,
0.0004628,17,8044,13,,,
0.0003725,24,1815,12,,,
0.0003968,35,920,13,,,
0.0004569,30,2498,14,,,
0.0004566,14,4739,15,,,
0.0004356,4,8997,14,,,
0.0007881,25,2598,13,,,
0.0002917,29,37,13,,,
0.0003772,34,1892,14,,,
0.0003866,26,3077,14,,,
0.0002882,25,7922,13,,,
0.0004157,19,6746,14,,,
0.0004361,18,2768,15,,,
0.0004357,9,2435,15,,,
0.0003919,24,4613,13,,,
0.0003329,27,1475,11,,,
0.0003234,34,4745,11,,,
0.000428,16,1128,10,,,
0.0001721,11,8389,4,,,
0.0001573,22,1374,4,,,
6.79E-05,21,8602,3,,,
0.0001421,10,9096,3,,,
0.0001716,15,751,4,,,
0.0001365,33,1563,3,,,
