cas operacie,vybrane cislo,velkost frontu,,,,,,,
2.90E-05,6,15,,,,,0.0000342,7,3
2.91E-05,32,16,,,,,0.0000299,16,4
2.79E-05,29,18,,,,,0.0000293,25,4
3.74E-05,31,20,,,,,0.0000289,19,4
4.51E-05,1,19,,,,,0.0000329,34,4
3.13E-05,23,18,,,,,0.00004,25,4
2.89E-05,17,17,,,,,0.0000289,11,4
2.93E-05,9,18,,,,,0.0000296,26,4
2.91E-05,26,17,,,,,0.0000441,24,4
2.87E-05,26,16,,,,,0.0000282,23,4
2.89E-05,32,16,,,,,0.0002406,14,4
2.91E-05,30,16,,,,,0.0000293,25,4
2.87E-05,35,15,,,,,0.0000294,12,4
2.88E-05,23,14,,,,,0.0000361,30,4
0.0004276,10,13,,,,,0.0000387,8,4
3.84E-05,3,12,,,,,0.0000382,30,4
3.90E-05,33,12,,,,,0.0000379,5,4
3.76E-05,3,11,,,,,0.000057,11,4
3.60E-05,4,10,,,,,0.0000388,27,4
3.70E-05,25,15,,,,,0.0000289,30,4
3.75E-05,29,15,,,,,0.0000292,20,4
4.19E-05,28,14,,,,,0.0000306,18,4
3.96E-05,19,14,,,,,0.0000421,26,4
3.58E-05,31,13,,,,,0.0000382,25,4
3.95E-05,35,13,,,,,0.0000368,30,4
4.20E-05,34,18,,,,,0.0000294,25,4
3.85E-05,27,17,,,,,0.0000287,24,4
0.0001204,35,18,,,,,0.0000378,28,4
4.33E-05,24,17,,,,,0.0000291,19,4
3.83E-05,17,17,,,,,0.0000333,3,4
3.84E-05,25,19,,,,,0.000029,23,4
4.10E-05,27,18,,,,,0.0000296,32,4
3.99E-05,27,18,,,,,0.0000396,35,4
3.35E-05,8,17,,,,,0.0000294,2,4
3.35E-05,29,20,,,,,0.0000297,33,4
3.20E-05,31,21,,,,,0.0000288,31,4
2.96E-05,32,20,,,,,0.000029,12,4
2.88E-05,13,19,,,,,0.0000289,31,4
2.92E-05,12,18,,,,,0.0000292,34,4
2.95E-05,23,17,,,,,0.0001005,3,4
3.84E-05,23,17,,,,,0.0000292,7,4
3.30E-05,1,16,,,,,0.0000432,9,5
2.95E-05,6,15,,,,,0.0000302,14,5
2.88E-05,11,15,,,,,0.0000292,22,5
3.34E-05,14,16,,,,,0.0000298,20,5
2.94E-05,24,16,,,,,0.0000291,19,5
2.94E-05,1,15,,,,,0.000029,24,5
3.92E-05,33,15,,,,,0.0000287,29,5
3.00E-05,29,14,,,,,0.0000288,23,5
2.91E-05,31,13,,,,,0.0000317,17,5
2.91E-05,5,13,,,,,0.000042,1,5
2.88E-05,21,12,,,,,0.0000289,4,5
3.32E-05,28,12,,,,,0.0000384,33,5
3.37E-05,2,12,,,,,0.0000375,25,5
3.41E-05,26,12,,,,,0.0000362,23,5
2.98E-05,15,11,,,,,0.000029,21,5
3.78E-05,4,12,,,,,0.0000337,28,5
2.94E-05,2,15,,,,,0.0000325,11,5
2.94E-05,31,14,,,,,0.0000422,22,5
2.88E-05,10,14,,,,,0.0000384,19,5
2.90E-05,28,13,,,,,0.000052,31,5
2.89E-05,18,12,,,,,0.0000295,15,5
2.97E-05,5,11,,,,,0.000029,26,5
2.91E-05,9,10,,,,,0.0000294,13,5
3.39E-05,17,9,,,,,0.0000417,21,5
3.39E-05,3,9,,,,,0.000029,33,5
2.92E-05,17,10,,,,,0.0000291,15,5
4.00E-05,18,9,,,,,0.0000334,1,5
3.41E-05,5,8,,,,,0.000029,18,5
4.23E-05,5,12,,,,,0.0000293,10,5
3.82E-05,31,16,,,,,0.0000294,31,5
6.76E-05,5,19,,,,,0.0000291,5,5
0.0004448,2,19,,,,,0.0000295,23,5
3.76E-05,27,19,,,,,0.000029,13,5
3.85E-05,28,18,,,,,0.0000293,18,5
3.24E-05,2,19,,,,,0.0000291,34,5
3.09E-05,29,19,,,,,0.000029,3,5
3.07E-05,27,22,,,,,0.0000291,19,5
2.94E-05,33,21,,,,,0.0000295,27,5
3.64E-05,15,20,,,,,0.0000298,6,5
3.99E-05,5,19,,,,,0.0000422,35,5
2.86E-05,6,19,,,,,0.0000303,23,5
3.33E-05,14,18,,,,,0.0000297,30,5
2.88E-05,23,17,,,,,0.000029,5,5
2.92E-05,10,17,,,,,0.0000458,20,6
2.93E-05,13,16,,,,,0.0000298,7,6
2.89E-05,3,15,,,,,0.0000288,6,6
2.91E-05,34,14,,,,,0.0000435,26,6
2.77E-05,35,14,,,,,0.0000299,17,6
2.88E-05,7,13,,,,,0.0000292,7,6
3.00E-05,4,12,,,,,0.0000327,18,6
3.43E-05,28,11,,,,,0.0000295,27,6
2.88E-05,3,11,,,,,0.000039,1,6
2.88E-05,8,10,,,,,0.0000351,32,6
2.79E-05,24,16,,,,,0.000034,17,6
2.94E-05,21,15,,,,,0.000029,32,6
2.95E-05,35,14,,,,,0.0000341,2,6
2.90E-05,10,15,,,,,0.0000296,5,6
2.89E-05,34,14,,,,,0.0000287,14,6
2.91E-05,14,13,,,,,0.0000432,32,6
2.91E-05,9,12,,,,,0.0001018,9,6
2.80E-05,27,12,,,,,0.0000418,14,6
2.89E-05,4,12,,,,,0.0000384,9,6
2.88E-05,17,11,,,,,0.0000419,5,6
2.88E-05,35,14,,,,,0.0000289,11,6
2.92E-05,24,13,,,,,0.0000289,2,6
3.36E-05,30,13,,,,,0.0000288,24,6
9.20E-05,14,12,,,,,0.0000289,14,6
3.14E-05,25,12,,,,,0.0000289,14,6
2.78E-05,29,13,,,,,0.000029,33,6
2.74E-05,34,13,,,,,0.0000292,31,6
2.89E-05,26,12,,,,,0.0000414,12,6
2.96E-05,18,14,,,,,0.0000331,8,6
2.94E-05,9,14,,,,,0.0000294,8,6
2.90E-05,19,13,,,,,0.0000333,1,6
2.90E-05,25,12,,,,,0.0000284,20,6
4.52E-05,24,12,,,,,0.0000395,22,6
4.24E-05,33,11,,,,,0.0000441,22,6
0.0002609,4,10,,,,,0.0000387,13,7
0.0001592,27,10,,,,,0.0002235,8,7
3.46E-05,34,10,,,,,0.0000439,35,7
3.50E-05,24,9,,,,,0.000039,30,7
3.83E-05,16,9,,,,,0.0001047,5,7
2.99E-05,14,8,,,,,0.0000293,34,7
2.89E-05,22,7,,,,,0.000029,29,7
2.95E-05,27,6,,,,,0.0000456,11,7
