cas operacie,cislo,velkost frontu,,,
6.00E-07,46,201,,,
5.00E-07,46,204,,,
6.00E-07,46,207,,,
6.00E-07,26,215,,,
6.00E-07,26,215,,,
5.00E-07,33,219,,,
5.00E-07,45,223,,,
6.00E-07,16,223,,,
6.00E-07,26,224,,,
6.00E-07,14,233,,,
6.00E-07,14,233,,,
5.00E-07,12,232,,,
6.00E-07,9,233,,,
5.00E-07,9,233,,,
6.00E-07,9,234,,,
6.00E-07,5,237,,,
6.00E-07,5,238,,,
6.00E-07,5,238,,,
6.00E-07,5,240,,,
5.00E-07,36,241,,,
5.00E-07,43,242,,,
6.00E-07,5,242,,,
6.00E-07,5,245,,,
6.00E-07,6,243,,,
6.00E-07,6,243,,,
6.00E-07,6,243,,,
8.00E-07,3,242,,,
8.00E-07,25,243,,,
7.00E-07,7,244,,,
1.00E-06,23,243,,,
8.00E-07,48,243,,,
8.00E-07,48,244,,,
1.80E-06,48,246,,,
9.00E-07,48,246,,,
1.30E-06,48,246,,,
9.00E-07,35,249,,,
7.00E-07,3,248,,,
7.00E-07,30,247,,,
7.00E-07,6,252,,,
7.00E-07,30,249,,,
6.00E-07,35,253,,,
6.00E-07,12,256,,,
6.00E-07,12,256,,,
6.00E-07,12,257,,,
5.00E-07,12,259,,,
6.00E-07,12,264,,,
6.00E-07,44,265,,,
6.00E-07,44,265,,,
6.00E-07,44,265,,,
6.00E-07,44,266,,,
5.00E-07,12,266,,,
6.00E-07,24,267,,,
6.00E-07,24,268,,,
6.00E-07,24,268,,,
5.00E-07,24,272,,,
6.00E-07,30,273,,,
6.00E-07,30,272,,,
6.00E-07,13,272,,,
6.00E-07,14,278,,,
5.00E-07,5,277,,,
7.00E-07,5,278,,,
6.00E-07,5,278,,,
6.00E-07,42,276,,,
6.00E-07,42,276,,,
6.00E-07,42,279,,,
6.00E-07,42,279,,,
6.00E-07,42,280,,,
5.00E-07,43,279,,,
6.00E-07,15,276,,,
5.00E-07,15,276,,,
6.00E-07,41,284,,,
5.00E-07,18,284,,,
6.00E-07,24,283,,,
5.00E-07,41,282,,,
6.00E-07,9,283,,,
7.00E-07,30,282,,,
6.00E-07,50,289,,,
6.00E-07,50,290,,,
5.00E-07,48,290,,,
6.00E-07,48,290,,,
7.00E-07,48,290,,,
6.00E-07,41,291,,,
6.00E-07,41,291,,,
6.00E-07,28,294,,,
5.00E-07,28,299,,,
6.00E-07,28,300,,,
6.00E-07,28,301,,,
5.00E-07,28,303,,,
5.00E-07,41,301,,,
6.00E-07,21,303,,,
6.00E-07,21,305,,,
6.00E-07,41,305,,,
7.00E-07,4,308,,,
6.00E-07,1,312,,,
6.00E-07,4,312,,,
6.00E-07,12,313,,,
6.00E-07,45,314,,,
6.00E-07,45,315,,,
6.00E-07,18,315,,,
6.00E-07,23,323,,,
6.00E-07,23,324,,,
6.00E-07,23,324,,,
5.00E-07,23,324,,,
5.00E-07,39,323,,,
6.00E-07,39,325,,,
6.00E-07,39,325,,,
6.00E-07,47,328,,,
5.00E-07,21,332,,,
6.00E-07,48,340,,,
5.00E-07,48,340,,,
6.00E-07,48,340,,,
6.00E-07,33,344,,,
6.00E-07,49,348,,,
7.00E-07,20,347,,,
6.00E-07,16,348,,,
6.00E-07,25,350,,,
6.00E-07,8,352,,,
6.00E-07,8,353,,,
5.00E-07,8,353,,,
