cas operacie,vlozene cislo,priorita,velkost frontu,,,
2.80E-06,3,6923,79,,,
1.60E-06,24,7978,79,,,
2.90E-06,49,7213,80,,,
2.50E-06,38,2867,80,,,
2.70E-06,13,5024,80,,,
2.30E-06,46,1301,76,,,
1.60E-06,10,8402,77,,,
1.80E-06,23,9515,78,,,
2.80E-06,11,2015,79,,,
1.75E-05,26,9219,80,,,
2.60E-06,28,3830,81,,,
2.40E-06,18,3204,82,,,
2.70E-06,39,4876,82,,,
2.50E-06,14,4355,82,,,
2.70E-06,14,5873,83,,,
2.70E-06,41,4153,84,,,
2.30E-06,22,1279,85,,,
2.70E-06,24,3821,85,,,
3.30E-06,32,478,86,,,
2.30E-06,6,2985,86,,,
4.80E-06,1,4447,87,,,
1.60E-06,3,9334,88,,,
2.40E-06,27,2276,88,,,
1.60E-06,22,9489,89,,,
3.30E-06,18,2064,90,,,
3.30E-06,40,1109,91,,,
2.50E-06,21,4383,90,,,
1.50E-06,31,8183,91,,,
2.70E-06,38,3231,92,,,
2.80E-06,34,4435,92,,,
3.20E-06,10,2676,93,,,
1.50E-06,13,8546,94,,,
2.90E-06,46,6044,93,,,
2.80E-06,16,7699,93,,,
2.70E-06,45,4902,94,,,
2.80E-06,13,7655,94,,,
2.60E-06,9,5425,94,,,
3.60E-06,5,5564,95,,,
2.60E-06,25,4435,95,,,
3.40E-06,14,3579,96,,,
2.30E-06,43,1444,93,,,
2.20E-06,26,330,94,,,
2.70E-06,47,2816,95,,,
1.50E-06,45,8773,95,,,
2.30E-06,14,1367,96,,,
2.20E-06,20,780,96,,,
2.90E-06,30,6433,94,,,
2.30E-06,5,2568,95,,,
2.30E-06,24,613,96,,,
2.30E-06,9,1449,96,,,
2.20E-06,44,1646,96,,,
2.70E-06,32,4871,97,,,
3.60E-06,18,3833,98,,,
3.20E-06,6,1184,99,,,
3.70E-06,39,6960,100,,,
2.30E-06,33,3822,98,,,
2.70E-06,5,4723,99,,,
2.20E-06,39,11,100,,,
1.50E-06,23,8140,101,,,
2.00E-06,1,8414,102,,,
5.20E-06,43,4006,103,,,
2.30E-06,9,1125,102,,,
