cas operacie,vybrane cislo,velkost frontu,,,
1.30E-06,25,123,,,
1.30E-06,34,122,,,
1.40E-06,3,126,,,
1.40E-06,32,125,,,
1.40E-06,38,124,,,
1.30E-06,26,128,,,
1.40E-06,12,127,,,
1.40E-06,20,129,,,
1.40E-06,20,128,,,
1.30E-06,8,127,,,
1.50E-06,22,126,,,
1.40E-06,11,125,,,
1.40E-06,43,126,,,
1.30E-06,2,125,,,
1.40E-06,31,126,,,
1.40E-06,24,126,,,
1.30E-06,8,125,,,
1.30E-06,14,124,,,
1.50E-06,22,128,,,
1.30E-06,30,127,,,
1.40E-06,9,126,,,
2.80E-06,10,131,,,
2.10E-06,13,130,,,
2.20E-06,45,129,,,
2.10E-06,24,130,,,
2.20E-06,36,136,,,
2.10E-06,37,135,,,
1.70E-06,13,134,,,
1.50E-06,35,133,,,
2.10E-06,3,135,,,
1.30E-06,25,135,,,
1.30E-06,22,135,,,
1.40E-06,36,138,,,
1.40E-06,28,143,,,
1.40E-06,12,142,,,
2.50E-06,11,145,,,
1.40E-06,46,144,,,
2.40E-06,29,147,,,
1.50E-06,1,146,,,
1.50E-06,23,149,,,
1.50E-06,47,148,,,
1.40E-06,42,147,,,
1.40E-06,18,147,,,
1.40E-06,23,147,,,
1.40E-06,47,148,,,
1.50E-06,24,150,,,
1.40E-06,16,149,,,
1.40E-06,25,150,,,
1.30E-06,49,150,,,
1.40E-06,7,149,,,
1.40E-06,9,149,,,
1.30E-06,31,152,,,
1.40E-06,17,154,,,
1.40E-06,24,153,,,
1.30E-06,43,152,,,
1.50E-06,30,152,,,
1.40E-06,36,152,,,
1.30E-06,45,152,,,
1.40E-06,3,152,,,
1.30E-06,47,151,,,
1.30E-06,48,150,,,
1.40E-06,38,157,,,
1.50E-06,12,158,,,
1.30E-06,10,161,,,
1.30E-06,26,160,,,
1.40E-06,25,159,,,
1.50E-06,44,160,,,
1.30E-06,7,159,,,
1.40E-06,21,162,,,
1.40E-06,9,163,,,
1.40E-06,28,163,,,
1.30E-06,49,169,,,
1.40E-06,32,170,,,
1.30E-06,38,169,,,
1.40E-06,42,172,,,
1.40E-06,40,174,,,
1.30E-06,12,173,,,
1.40E-06,39,179,,,
1.50E-06,40,179,,,
1.40E-06,8,179,,,
1.30E-06,10,179,,,
1.40E-06,14,178,,,
1.40E-06,7,177,,,
1.30E-06,6,177,,,
1.50E-06,8,177,,,
1.50E-06,33,178,,,
1.30E-06,22,177,,,
1.40E-06,18,176,,,
1.50E-06,48,179,,,
1.40E-06,13,179,,,
1.30E-06,30,178,,,
1.40E-06,31,182,,,
1.40E-06,18,181,,,
1.40E-06,34,187,,,
1.40E-06,41,190,,,
1.30E-06,23,191,,,
1.30E-06,12,190,,,
1.30E-06,34,189,,,
1.40E-06,40,189,,,
1.30E-06,35,190,,,
1.30E-06,9,190,,,
1.30E-06,1,189,,,
1.30E-06,10,193,,,
1.30E-06,3,192,,,
1.50E-06,20,194,,,
1.40E-06,2,200,,,
1.40E-06,23,201,,,
1.30E-06,43,201,,,
1.30E-06,37,201,,,
1.30E-06,12,200,,,
1.30E-06,9,199,,,
1.30E-06,9,198,,,
1.20E-06,45,197,,,
1.40E-06,38,200,,,
1.40E-06,14,200,,,
1.40E-06,25,199,,,
1.30E-06,42,198,,,
1.40E-06,41,198,,,
1.30E-06,8,197,,,
1.40E-06,33,196,,,
1.40E-06,22,195,,,
1.40E-06,13,194,,,
1.40E-06,41,194,,,
1.50E-06,1,193,,,
1.30E-06,11,193,,,
1.40E-06,6,192,,,
1.40E-06,50,194,,,
1.40E-06,40,197,,,
1.40E-06,4,200,,,
1.30E-06,15,200,,,
1.40E-06,34,199,,,
1.30E-06,20,198,,,
1.30E-06,46,215,,,
1.30E-06,26,214,,,
1.30E-06,10,213,,,
1.30E-06,31,215,,,
1.50E-06,33,222,,,
1.40E-06,6,221,,,
1.50E-06,14,223,,,
1.30E-06,17,222,,,
1.40E-06,26,221,,,
1.40E-06,47,222,,,
1.40E-06,29,223,,,
1.30E-06,16,222,,,
1.40E-06,11,224,,,
1.40E-06,18,223,,,
1.40E-06,45,222,,,
1.40E-06,46,222,,,
1.50E-06,16,222,,,
1.30E-06,29,221,,,
1.50E-06,1,223,,,
1.40E-06,26,223,,,
1.40E-06,35,223,,,
1.30E-06,21,222,,,
1.50E-06,44,227,,,
1.30E-06,47,231,,,
1.30E-06,14,232,,,
1.40E-06,15,232,,,
1.50E-06,29,233,,,
1.30E-06,12,232,,,
1.40E-06,16,231,,,
1.30E-06,9,233,,,
1.40E-06,42,233,,,
1.30E-06,2,236,,,
1.40E-06,5,239,,,
1.40E-06,8,241,,,
1.30E-06,18,240,,,
1.40E-06,36,242,,,
1.40E-06,3,242,,,
1.30E-06,37,242,,,
1.40E-06,43,241,,,
1.40E-06,11,241,,,
1.30E-06,49,240,,,
1.30E-06,5,244,,,
1.30E-06,40,243,,,
1.30E-06,48,242,,,
1.30E-06,6,242,,,
1.80E-06,3,242,,,
2.10E-06,25,242,,,
1.70E-06,38,244,,,
1.90E-06,7,244,,,
1.90E-06,24,243,,,
1.40E-06,1,242,,,
2.00E-06,9,241,,,
1.90E-06,39,242,,,
