cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
2.58E-05,33,22,29,,
2.77E-05,6,21,30,,
2.56E-05,7,7,32,,
2.66E-05,16,5,32,,
2.55E-05,21,29,33,,
3.13E-05,28,23,33,,
2.84E-05,12,9,34,,
2.90E-05,21,23,35,,
3.67E-05,24,20,36,,
3.08E-05,12,26,36,,
2.86E-05,24,35,37,,
2.54E-05,19,11,38,,
3.38E-05,7,24,41,,
2.69E-05,7,26,44,,
9.51E-05,12,11,44,,
3.03E-05,2,38,44,,
3.10E-05,3,41,47,,
2.43E-05,10,12,51,,
2.72E-05,21,28,50,,
2.98E-05,1,49,51,,
9.25E-05,11,38,52,,
1.51E-05,28,0,54,,
2.79E-05,28,10,54,,
2.43E-05,23,39,52,,
2.89E-05,2,51,55,,
3.25E-05,13,49,54,,
2.37E-05,35,20,57,,
1.89E-05,25,12,57,,
1.97E-05,11,42,50,,
1.87E-05,24,10,48,,
1.82E-05,6,1,50,,
1.99E-05,5,34,51,,
1.94E-05,26,32,50,,
1.97E-05,28,43,46,,
1.99E-05,7,45,47,,
1.88E-05,9,16,47,,
1.96E-05,8,34,50,,
1.90E-05,31,12,51,,
1.88E-05,17,19,52,,
1.98E-05,3,42,53,,
2.36E-05,34,5,55,,
1.92E-05,21,26,48,,
1.94E-05,23,36,47,,
1.99E-05,23,41,46,,
3.71E-05,16,28,44,,
1.92E-05,1,13,44,,
2.93E-05,30,25,45,,
1.84E-05,29,6,44,,
1.83E-05,30,3,44,,
2.38E-05,33,30,43,,
2.28E-05,24,1,43,,
2.35E-05,25,9,45,,
2.34E-05,7,12,40,,
3.23E-05,26,34,41,,
3.92E-05,26,28,41,,
3.89E-05,35,8,38,,
2.94E-05,16,12,40,,
2.36E-05,14,6,41,,
2.32E-05,25,2,42,,
2.52E-05,32,33,43,,
2.49E-05,5,36,45,,
1.87E-05,1,11,40,,
1.95E-05,1,30,42,,
1.91E-05,28,9,40,,
2.42E-05,30,9,41,,
1.94E-05,26,31,38,,
1.88E-05,25,15,39,,
1.88E-05,9,17,41,,
2.39E-05,23,18,44,,
1.95E-05,24,37,46,,
1.93E-05,25,14,47,,
2.08E-05,27,31,48,,
1.84E-05,24,1,45,,
1.89E-05,16,12,46,,
2.21E-05,30,8,45,,
1.92E-05,23,27,50,,
1.98E-05,6,42,52,,
1.88E-05,20,11,54,,
2.78E-05,13,5,50,,
1.87E-05,25,5,48,,
1.97E-05,16,13,49,,
1.98E-05,13,30,45,,
1.78E-05,26,5,44,,
1.80E-05,7,15,45,,
1.82E-05,6,15,46,,
1.76E-05,26,6,46,,
1.85E-05,7,2,47,,
1.87E-05,25,30,48,,
1.84E-05,6,25,47,,
1.90E-05,15,35,45,,
1.76E-05,31,3,45,,
1.81E-05,23,19,42,,
1.80E-05,2,18,31,,
1.82E-05,4,18,36,,
1.85E-05,29,11,35,,
1.83E-05,12,19,37,,
1.84E-05,12,25,39,,
1.81E-05,20,24,39,,
1.84E-05,24,28,42,,
1.86E-05,1,28,42,,
1.79E-05,9,18,42,,
1.77E-05,10,6,43,,
1.89E-05,31,40,42,,
1.87E-05,14,41,43,,
1.88E-05,24,38,43,,
1.84E-05,14,32,35,,
1.75E-05,6,3,32,,
1.80E-05,30,10,37,,
1.89E-05,26,34,38,,
1.86E-05,2,30,40,,
1.79E-05,20,15,36,,
1.86E-05,3,33,35,,
1.11E-05,12,0,34,,
1.93E-05,10,19,36,,
1.89E-05,34,14,35,,
1.78E-05,23,12,35,,
1.94E-05,27,17,31,,
1.94E-05,1,30,32,,
1.01E-05,9,0,32,,
1.79E-05,35,11,33,,
2.53E-05,34,17,34,,
1.87E-05,18,24,38,,
1.79E-05,31,14,37,,
1.76E-05,26,1,39,,
1.76E-05,13,3,35,,
1.76E-05,13,7,34,,
9.90E-06,14,0,32,,
1.75E-05,27,1,35,,
1.79E-05,34,14,36,,
1.78E-05,17,15,36,,
1.79E-05,5,3,30,,
1.85E-05,3,23,30,,
1.83E-05,27,26,31,,
1.75E-05,27,3,32,,
1.93E-05,24,14,29,,
1.85E-05,27,4,29,,
1.86E-05,20,26,29,,
1.78E-05,30,10,29,,
1.01E-05,12,0,30,,
1.78E-05,33,12,29,,
1.80E-05,4,14,30,,
1.79E-05,7,8,32,,
1.93E-05,2,31,33,,
1.80E-05,3,9,34,,
