cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,
1.95E-05,84,47,49,,
1.91E-05,85,39,48,,
1.86E-05,11,29,47,,
2.03E-05,88,39,55,,
1.88E-05,77,28,55,,
1.88E-05,73,24,54,,
1.82E-05,23,18,47,,
1.79E-05,25,6,47,,
1.87E-05,21,26,48,,
1.80E-05,84,11,47,,
1.86E-05,12,24,50,,
1.81E-05,76,9,46,,
1.94E-05,11,43,48,,
1.84E-05,81,12,43,,
1.81E-05,25,4,43,,
1.91E-05,75,39,42,,
3.71E-05,25,6,40,,
3.69E-05,26,25,37,,
3.76E-05,84,7,37,,
3.69E-05,7,4,38,,
2.38E-05,82,21,42,,
1.88E-05,81,35,43,,
1.83E-05,81,14,43,,
1.87E-05,82,23,42,,
1.89E-05,88,30,42,,
2.22E-05,16,3,40,,
1.91E-05,84,30,39,,
1.85E-05,73,22,40,,
1.91E-05,26,32,41,,
1.76E-05,25,1,40,,
2.21E-05,16,1,45,,
1.80E-05,16,1,47,,
1.82E-05,35,13,47,,
2.37E-05,30,45,47,,
1.90E-05,26,35,46,,
1.89E-05,84,33,45,,
1.90E-05,23,20,45,,
1.88E-05,21,33,45,,
1.96E-05,88,44,51,,
1.85E-05,1,22,52,,
2.00E-05,30,36,52,,
1.84E-05,29,13,53,,
1.87E-05,23,29,54,,
1.99E-05,25,48,50,,
1.82E-05,79,16,49,,
2.52E-05,7,10,44,,
1.70E-05,7,8,44,,
1.83E-05,84,38,46,,
2.03E-05,16,11,48,,
1.72E-05,26,5,44,,
1.76E-05,35,18,44,,
1.82E-05,11,32,42,,
1.82E-05,82,33,38,,
1.79E-05,89,21,37,,
2.58E-05,16,12,35,,
1.84E-05,71,30,33,,
1.72E-05,29,11,31,,
1.71E-05,6,13,31,,
1.75E-05,35,17,31,,
1.71E-05,85,4,31,,
1.70E-05,77,6,30,,
1.76E-05,23,19,32,,
1.77E-05,77,14,34,,
1.86E-05,15,31,38,,
1.78E-05,78,27,36,,
2.21E-05,16,12,37,,
1.77E-05,9,26,41,,
2.14E-05,78,30,40,,
1.77E-05,20,22,39,,
1.68E-05,10,5,38,,
1.73E-05,84,12,32,,
1.73E-05,84,14,34,,
1.76E-05,84,14,37,,
3.15E-05,24,26,35,,
2.95E-05,79,13,35,,
1.81E-05,14,25,35,,
1.78E-05,15,22,35,,
1.76E-05,80,22,33,,
1.88E-05,73,27,32,,
1.87E-05,24,26,32,,
1.95E-05,79,5,33,,
1.78E-05,27,19,33,,
1.76E-05,34,18,34,,
2.53E-05,76,23,34,,
1.84E-05,16,9,36,,
1.75E-05,34,17,38,,
1.74E-05,80,14,34,,
1.75E-05,84,10,36,,
1.78E-05,34,11,33,,
1.73E-05,34,10,32,,
2.27E-05,34,10,32,,
1.72E-05,34,12,27,,
1.71E-05,34,8,27,,
1.68E-05,31,0,29,,
1.70E-05,17,10,31,,
1.72E-05,34,14,30,,
1.78E-05,80,23,30,,
1.79E-05,73,23,30,,
1.73E-05,82,5,28,,
1.68E-05,82,0,28,,
1.70E-05,80,9,28,,
1.72E-05,34,6,29,,
1.71E-05,76,8,28,,
1.72E-05,84,4,32,,
1.70E-05,34,8,33,,
1.76E-05,24,19,34,,
1.78E-05,25,28,32,,
1.72E-05,34,10,32,,
1.68E-05,29,0,33,,
1.82E-05,10,3,36,,
2.72E-05,25,6,36,,
2.90E-05,13,10,37,,
1.99E-05,73,28,33,,
2.75E-05,27,7,33,,
2.47E-05,11,2,33,,
1.88E-05,76,21,39,,
1.96E-05,11,34,39,,
1.95E-05,19,39,41,,
1.77E-05,27,0,42,,
3.44E-05,4,39,45,,
3.06E-05,88,16,45,,
1.81E-05,12,28,50,,
1.79E-05,25,11,50,,
1.91E-05,85,38,49,,
1.87E-05,83,44,49,,
1.79E-05,77,25,47,,
1.80E-05,17,39,45,,
1.93E-05,85,32,47,,
1.79E-05,84,23,47,,
1.76E-05,27,15,44,,
1.78E-05,84,21,45,,
1.91E-05,85,32,44,,
1.78E-05,81,29,43,,
2.04E-05,10,9,47,,
2.19E-05,25,13,53,,
1.80E-05,85,25,55,,
1.85E-05,35,50,58,,
1.78E-05,90,25,60,,
1.83E-05,33,37,59,,
1.79E-05,31,38,58,,
1.75E-05,10,16,61,,
1.86E-05,10,52,63,,
1.75E-05,78,8,68,,
1.84E-05,2,44,68,,
1.83E-05,31,40,68,,
1.86E-05,73,48,69,,
1.87E-05,84,31,67,,
1.92E-05,3,36,67,,
1.98E-05,35,54,67,,
1.99E-05,12,58,68,,
1.90E-05,72,39,68,,
1.88E-05,27,28,69,,
1.78E-05,4,0,65,,
2.01E-05,31,37,61,,
1.94E-05,17,42,61,,
1.80E-05,4,3,62,,
1.81E-05,3,13,63,,
1.98E-05,12,54,62,,
1.77E-05,13,2,62,,
1.94E-05,72,44,68,,
1.91E-05,7,30,64,,
2.20E-05,27,63,66,,
1.82E-05,34,17,67,,
1.88E-05,77,30,70,,
1.89E-05,24,28,69,,
1.81E-05,13,5,70,,
1.98E-05,12,0,67,,
2.45E-05,12,33,64,,
1.89E-05,7,37,61,,
1.86E-05,4,17,60,,
1.77E-05,75,2,59,,
1.79E-05,13,4,63,,
2.05E-05,12,35,61,,
1.93E-05,11,34,61,,
1.92E-05,12,42,60,,
2.31E-05,3,11,53,,
1.92E-05,74,46,53,,
1.80E-05,75,4,53,,
1.79E-05,13,2,55,,
2.65E-05,26,53,55,,
2.23E-05,72,40,55,,
3.50E-05,79,25,55,,
1.79E-05,7,1,58,,
3.07E-05,73,49,55,,
2.02E-05,81,51,55,,
1.83E-05,89,24,56,,
1.77E-05,7,3,57,,
1.84E-05,3,20,59,,
1.84E-05,20,9,56,,
1.85E-05,4,23,54,,
1.88E-05,33,28,53,,
1.89E-05,6,32,54,,
2.65E-05,77,31,55,,
2.92E-05,71,49,54,,
2.64E-05,75,14,56,,
2.53E-05,17,4,57,,
2.66E-05,77,29,53,,
2.60E-05,88,39,52,,
3.16E-05,29,43,51,,
2.32E-05,81,12,51,,
2.40E-05,27,27,52,,
2.30E-05,29,22,52,,
2.35E-05,82,38,52,,
2.74E-05,5,46,48,,
2.56E-05,25,44,48,,
1.95E-05,26,37,50,,
1.83E-05,89,24,46,,
1.80E-05,11,5,47,,
1.80E-05,7,10,48,,
1.87E-05,25,27,47,,
1.79E-05,79,10,40,,
1.89E-05,87,14,39,,
1.98E-05,82,29,35,,
1.78E-05,8,1,38,,
1.80E-05,21,7,36,,
2.71E-05,33,14,29,,
2.56E-05,89,15,31,,
3.17E-05,76,21,30,,
1.88E-05,73,26,32,,
1.81E-05,82,15,32,,
2.48E-05,16,10,32,,
2.35E-05,82,26,30,,
1.83E-05,89,13,34,,
1.87E-05,71,23,33,,
2.44E-05,71,6,34,,
1.90E-05,31,26,30,,
1.80E-05,28,7,34,,
1.89E-05,13,32,34,,
3.19E-05,77,7,33,,
3.39E-05,78,14,33,,
1.84E-05,88,19,21,,
1.76E-05,28,1,19,,
1.81E-05,75,2,21,,
1.85E-05,11,20,23,,
1.80E-05,1,1,24,,
1.83E-05,11,17,21,,
1.77E-05,6,1,20,,
1.80E-05,90,7,17,,
2.74E-05,77,3,17,,
1.80E-05,90,7,19,,
1.82E-05,86,3,17,,
2.33E-05,86,4,18,,
1.79E-05,6,4,18,,
1.79E-05,81,5,19,,
1.86E-05,32,6,19,,
1.79E-05,32,6,19,,
1.81E-05,81,5,20,,
