cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
1.80E-06,23,32,33,,
1.40E-06,28,34,35,,
1.80E-06,27,33,34,,
2.40E-06,17,33,34,,
1.90E-06,35,34,35,,
1.90E-06,27,35,36,,
1.90E-06,14,37,38,,
2.00E-06,11,35,36,,
2.00E-06,12,33,34,,
2.00E-06,26,29,30,,
1.70E-06,22,29,30,,
2.10E-06,12,28,29,,
1.80E-06,6,26,27,,
1.90E-06,8,27,28,,
3.00E-06,7,28,29,,
2.10E-06,1,30,31,,
1.90E-06,5,31,32,,
1.90E-06,31,31,32,,
1.90E-06,7,32,33,,
6.23E-05,34,30,31,,
6.22E-05,3,30,31,,
2.00E-06,8,30,31,,
1.90E-06,29,30,31,,
2.00E-06,6,30,31,,
2.10E-06,11,31,32,,
2.90E-06,32,33,34,,
2.00E-06,7,34,35,,
2.00E-06,26,38,39,,
2.70E-06,15,38,39,,
2.00E-06,3,39,40,,
2.00E-06,32,40,41,,
1.50E-06,7,42,43,,
3.00E-06,23,44,45,,
1.90E-06,15,44,45,,
1.80E-06,8,47,48,,
2.00E-06,13,51,52,,
1.70E-06,18,52,53,,
1.60E-06,12,52,53,,
3.00E-06,29,49,50,,
1.90E-06,33,50,51,,
2.00E-06,25,49,50,,
2.40E-06,6,47,48,,
3.30E-06,3,48,49,,
1.50E-06,27,51,52,,
2.90E-06,33,52,53,,
2.00E-06,24,53,54,,
2.20E-06,17,54,55,,
1.80E-06,12,52,53,,
2.00E-06,8,53,54,,
2.10E-06,2,54,55,,
2.10E-06,12,53,54,,
1.70E-06,14,54,55,,
1.40E-06,2,55,56,,
1.30E-06,34,57,58,,
2.20E-06,35,57,58,,
2.00E-06,16,55,56,,
2.00E-06,20,55,56,,
1.50E-06,14,51,52,,
1.50E-06,34,47,48,,
1.30E-06,16,48,49,,
1.30E-06,1,47,48,,
1.40E-06,6,49,50,,
1.50E-06,29,47,48,,
1.40E-06,4,48,49,,
1.50E-06,16,47,48,,
1.40E-06,33,48,49,,
1.40E-06,13,49,50,,
2.20E-06,15,45,46,,
1.50E-06,14,46,47,,
1.40E-06,35,44,45,,
1.40E-06,2,44,45,,
1.50E-06,4,42,43,,
1.30E-06,15,41,42,,
1.40E-06,34,43,44,,
2.70E-06,10,41,42,,
1.50E-06,9,41,42,,
1.60E-06,15,43,44,,
1.90E-06,1,41,42,,
1.50E-06,31,41,42,,
1.50E-06,1,38,39,,
1.40E-06,10,39,40,,
1.30E-06,33,40,41,,
1.30E-06,28,41,42,,
1.50E-06,6,40,41,,
1.50E-06,15,40,41,,
1.50E-06,2,41,42,,
1.40E-06,30,45,46,,
1.40E-06,11,46,47,,
1.40E-06,17,46,47,,
1.40E-06,30,45,46,,
1.30E-06,2,46,47,,
1.30E-06,29,44,45,,
1.60E-06,5,46,47,,
1.30E-06,25,47,48,,
1.40E-06,23,48,49,,
1.50E-06,8,48,49,,
1.40E-06,28,50,51,,
3.10E-06,20,50,51,,
2.00E-06,21,50,51,,
1.30E-06,25,49,50,,
1.40E-06,5,48,49,,
1.30E-06,27,49,50,,
1.70E-06,7,47,48,,
1.30E-06,15,43,44,,
1.20E-06,16,42,43,,
1.20E-06,9,44,45,,
2.40E-06,10,46,47,,
1.30E-06,34,47,48,,
1.40E-06,21,44,45,,
1.20E-06,30,41,42,,
1.20E-06,31,38,39,,
1.30E-06,31,31,32,,
1.20E-06,32,30,31,,
1.20E-06,21,32,33,,
1.20E-06,11,34,35,,
1.20E-06,29,36,37,,
1.90E-06,12,37,38,,
1.50E-06,20,37,38,,
1.30E-06,35,38,39,,
1.20E-06,4,36,37,,
1.20E-06,16,37,38,,
1.20E-06,32,39,40,,
1.10E-06,9,39,40,,
1.60E-06,26,40,41,,
1.20E-06,29,40,41,,
1.20E-06,24,41,42,,
1.20E-06,19,42,43,,
1.10E-06,29,40,41,,
1.30E-06,27,39,40,,
1.20E-06,9,41,42,,
1.40E-06,4,41,42,,
1.20E-06,3,39,40,,
1.20E-06,21,32,33,,
1.20E-06,31,34,35,,
1.20E-06,23,36,37,,
1.20E-06,35,37,38,,
4.70E-06,7,38,39,,
1.80E-06,27,36,37,,
1.40E-06,6,37,38,,
