cas operacie,cislo,index prvku,dlzka zoznamu,,
1.82E-05,82,3,49,,
1.94E-05,77,43,49,,
1.96E-05,74,47,49,,
1.88E-05,84,13,48,,
1.85E-05,76,11,48,,
0.0001135,77,27,54,,
1.86E-05,83,17,51,,
1.93E-05,79,15,45,,
1.86E-05,74,15,48,,
1.79E-05,75,1,48,,
1.93E-05,81,32,48,,
1.91E-05,76,29,44,,
1.89E-05,84,19,46,,
2.64E-05,84,38,44,,
1.99E-05,75,42,44,,
0.0001144,84,28,41,,
3.69E-05,71,0,37,,
3.84E-05,79,27,38,,
2.46E-05,88,28,42,,
2.10E-05,75,10,41,,
1.93E-05,84,31,40,,
2.33E-05,85,24,39,,
1.88E-05,83,19,40,,
1.81E-05,72,7,46,,
2.49E-05,79,10,46,,
1.91E-05,76,32,46,,
1.92E-05,78,27,45,,
1.81E-05,71,1,45,,
1.81E-05,75,4,54,,
2.03E-05,89,23,51,,
1.99E-05,81,47,49,,
2.47E-05,82,39,48,,
1.83E-05,76,26,42,,
1.83E-05,74,19,45,,
1.78E-05,86,21,45,,
1.82E-05,74,28,47,,
1.77E-05,77,7,47,,
1.84E-05,71,36,41,,
1.82E-05,87,29,32,,
1.75E-05,84,12,31,,
1.74E-05,85,4,30,,
1.79E-05,78,25,31,,
1.75E-05,76,11,31,,
1.76E-05,77,15,35,,
1.77E-05,71,15,34,,
1.70E-05,73,1,38,,
1.82E-05,76,31,39,,
1.78E-05,71,22,38,,
1.78E-05,88,18,36,,
1.80E-05,72,28,42,,
1.85E-05,80,35,40,,
1.76E-05,84,13,40,,
1.73E-05,73,8,40,,
1.74E-05,87,7,38,,
1.76E-05,80,17,38,,
2.77E-05,79,6,36,,
1.79E-05,73,12,34,,
1.78E-05,88,13,33,,
1.79E-05,73,26,31,,
1.71E-05,88,0,31,,
1.81E-05,73,26,33,,
1.76E-05,76,14,35,,
1.74E-05,78,1,38,,
1.74E-05,73,1,38,,
1.70E-05,88,0,37,,
1.77E-05,72,14,38,,
1.76E-05,74,10,40,,
1.74E-05,88,7,36,,
2.43E-05,86,6,32,,
2.07E-05,86,32,34,,
1.83E-05,80,5,34,,
1.87E-05,90,29,33,,
1.80E-05,75,22,32,,
1.80E-05,82,6,35,,
1.81E-05,87,27,36,,
2.27E-05,73,13,33,,
1.78E-05,80,22,31,,
2.45E-05,82,8,30,,
1.80E-05,87,12,30,,
1.98E-05,77,12,27,,
1.76E-05,76,10,27,,
1.75E-05,88,11,29,,
2.09E-05,82,29,34,,
1.88E-05,85,21,32,,
1.76E-05,77,10,33,,
1.98E-05,88,14,35,,
2.49E-05,83,19,35,,
2.74E-05,79,28,37,,
1.94E-05,76,8,37,,
1.86E-05,83,9,33,,
1.86E-05,77,10,34,,
1.86E-05,88,12,35,,
1.86E-05,76,12,38,,
1.92E-05,83,31,38,,
1.89E-05,82,17,38,,
2.12E-05,83,35,38,,
2.82E-05,88,10,39,,
1.99E-05,83,32,41,,
1.87E-05,87,19,42,,
1.86E-05,90,14,43,,
1.95E-05,90,26,45,,
2.64E-05,85,28,48,,
1.74E-05,75,11,48,,
1.85E-05,88,41,45,,
1.83E-05,79,22,45,,
1.81E-05,85,32,45,,
1.82E-05,85,30,45,,
2.90E-05,80,1,48,,
1.71E-05,83,2,45,,
1.86E-05,77,38,45,,
1.80E-05,85,23,45,,
2.12E-05,81,31,46,,
3.05E-05,84,11,45,,
4.14E-05,89,13,47,,
2.09E-05,72,30,47,,
1.85E-05,86,8,47,,
2.51E-05,76,28,47,,
1.97E-05,75,41,54,,
1.88E-05,85,48,56,,
1.85E-05,76,36,56,,
1.75E-05,82,18,57,,
1.74E-05,78,6,57,,
1.77E-05,90,16,61,,
1.81E-05,86,26,60,,
1.84E-05,76,32,58,,
1.88E-05,84,49,63,,
1.72E-05,83,3,65,,
1.80E-05,84,20,63,,
1.87E-05,72,41,66,,
1.74E-05,75,4,67,,
1.92E-05,81,56,70,,
1.93E-05,80,32,67,,
2.66E-05,72,29,70,,
1.95E-05,80,36,68,,
1.91E-05,77,29,68,,
2.87E-05,77,61,68,,
1.92E-05,73,36,66,,
1.89E-05,83,30,63,,
1.82E-05,88,1,63,,
2.34E-05,79,28,68,,
2.69E-05,88,52,69,,
1.86E-05,90,10,70,,
1.88E-05,87,11,67,,
1.91E-05,79,29,68,,
2.11E-05,82,40,67,,
2.09E-05,74,50,64,,
1.86E-05,74,21,60,,
1.95E-05,90,44,61,,
2.60E-05,73,52,59,,
1.88E-05,88,18,53,,
1.93E-05,88,34,54,,
1.86E-05,89,20,55,,
3.59E-05,72,13,56,,
1.87E-05,80,13,56,,
1.93E-05,75,42,55,,
1.86E-05,88,16,53,,
1.95E-05,76,46,52,,
1.83E-05,81,12,53,,
2.38E-05,78,17,54,,
4.07E-05,81,39,54,,
2.66E-05,86,36,53,,
3.44E-05,73,35,53,,
2.87E-05,86,9,59,,
2.64E-05,71,12,60,,
2.64E-05,71,51,57,,
2.57E-05,90,48,55,,
3.25E-05,83,37,55,,
2.41E-05,87,22,54,,
3.71E-05,84,21,54,,
2.70E-05,74,10,56,,
3.19E-05,81,35,55,,
2.80E-05,89,34,57,,
2.45E-05,71,5,56,,
3.46E-05,85,1,53,,
