cas operacie,index prvku,dlzka zoznamu,,,
2.74E-05,40,57,,,
2.93E-05,1,55,,,
1.93E-05,20,54,,,
1.87E-05,2,52,,,
2.02E-05,41,49,,,
1.99E-05,33,49,,,
1.92E-05,7,50,,,
1.93E-05,14,49,,,
2.03E-05,45,47,,,
1.94E-05,22,47,,,
1.99E-05,38,46,,,
1.87E-05,10,48,,,
1.91E-05,17,48,,,
1.91E-05,17,47,,,
2.00E-05,45,49,,,
3.23E-05,5,45,,,
1.87E-05,2,46,,,
2.02E-05,16,45,,,
2.09E-05,19,43,,,
2.31E-05,9,44,,,
1.99E-05,37,42,,,
2.44E-05,36,41,,,
2.33E-05,4,44,,,
0.0001818,7,41,,,
2.92E-05,36,40,,,
3.55E-05,28,40,,,
2.16E-05,33,45,,,
2.04E-05,39,42,,,
1.87E-05,7,40,,,
1.96E-05,30,39,,,
1.98E-05,36,41,,,
1.93E-05,20,39,,,
2.05E-05,31,40,,,
1.96E-05,24,40,,,
1.98E-05,37,39,,,
1.93E-05,19,40,,,
1.92E-05,16,46,,,
1.97E-05,33,44,,,
1.87E-05,2,46,,,
2.92E-05,28,45,,,
2.07E-05,42,45,,,
2.32E-05,26,48,,,
1.99E-05,33,48,,,
2.04E-05,49,51,,,
1.99E-05,42,50,,,
2.11E-05,13,50,,,
2.28E-05,15,50,,,
1.90E-05,5,49,,,
1.96E-05,22,49,,,
1.94E-05,20,48,,,
2.01E-05,33,47,,,
2.01E-05,7,47,,,
2.00E-05,15,45,,,
2.22E-05,25,45,,,
1.85E-05,5,44,,,
1.83E-05,18,44,,,
1.06E-05,0,47,,,
2.07E-05,29,45,,,
2.47E-05,24,44,,,
1.91E-05,31,44,,,
2.81E-05,30,41,,,
1.85E-05,28,40,,,
1.87E-05,22,38,,,
1.85E-05,27,37,,,
1.84E-05,20,36,,,
1.85E-05,20,34,,,
2.23E-05,2,34,,,
1.84E-05,9,33,,,
1.80E-05,9,30,,,
1.86E-05,28,32,,,
2.39E-05,28,37,,,
1.76E-05,1,38,,,
1.86E-05,25,36,,,
1.86E-05,25,42,,,
1.90E-05,35,42,,,
1.85E-05,27,41,,,
1.89E-05,30,40,,,
1.81E-05,23,41,,,
1.84E-05,23,41,,,
1.86E-05,33,40,,,
1.82E-05,23,39,,,
1.80E-05,18,35,,,
1.85E-05,30,31,,,
2.50E-05,21,36,,,
1.84E-05,23,34,,,
1.82E-05,17,35,,,
1.77E-05,1,33,,,
1.94E-05,16,33,,,
1.91E-05,12,35,,,
1.87E-05,19,33,,,
1.81E-05,18,32,,,
2.92E-05,30,32,,,
1.88E-05,15,31,,,
1.80E-05,3,32,,,
1.83E-05,15,33,,,
2.42E-05,21,37,,,
1.94E-05,2,36,,,
1.83E-05,13,38,,,
1.87E-05,33,39,,,
1.91E-05,38,39,,,
1.85E-05,32,35,,,
1.86E-05,32,33,,,
1.83E-05,22,33,,,
1.88E-05,22,33,,,
1.02E-05,0,34,,,
1.88E-05,28,34,,,
1.82E-05,11,35,,,
1.87E-05,29,33,,,
3.38E-05,27,30,,,
1.95E-05,27,30,,,
1.86E-05,25,29,,,
1.83E-05,6,27,,,
1.84E-05,17,31,,,
1.76E-05,5,30,,,
1.96E-05,22,30,,,
1.82E-05,11,29,,,
1.77E-05,2,26,,,
1.92E-05,17,28,,,
1.83E-05,16,27,,,
1.77E-05,2,28,,,
1.77E-05,1,29,,,
1.80E-05,5,28,,,
1.84E-05,26,28,,,
1.99E-05,23,30,,,
1.93E-05,28,32,,,
2.72E-05,28,32,,,
1.86E-05,1,31,,,
1.85E-05,25,33,,,
1.84E-05,26,32,,,
2.01E-05,34,35,,,
2.45E-05,23,35,,,
1.55E-05,0,37,,,
1.95E-05,27,35,,,
1.97E-05,27,34,,,
1.93E-05,18,33,,,
1.98E-05,25,32,,,
1.95E-05,24,32,,,
1.91E-05,14,34,,,
2.01E-05,37,38,,,
1.88E-05,4,38,,,
1.96E-05,25,42,,,
2.93E-05,26,47,,,
1.96E-05,37,47,,,
1.95E-05,47,48,,,
2.08E-05,48,49,,,
2.83E-05,24,48,,,
1.91E-05,18,47,,,
1.92E-05,35,46,,,
1.87E-05,31,47,,,
1.90E-05,42,44,,,
1.78E-05,10,44,,,
1.90E-05,33,45,,,
1.90E-05,36,47,,,
1.79E-05,8,45,,,
1.86E-05,26,44,,,
2.33E-05,23,44,,,
2.95E-05,13,46,,,
2.00E-05,49,54,,,
1.88E-05,32,57,,,
1.74E-05,2,56,,,
1.90E-05,44,57,,,
2.58E-05,5,58,,,
1.81E-05,9,57,,,
2.74E-05,6,59,,,
2.60E-05,48,59,,,
1.93E-05,47,58,,,
1.91E-05,42,61,,,
1.86E-05,23,64,,,
1.84E-05,2,64,,,
1.91E-05,36,64,,,
1.89E-05,27,68,,,
1.98E-05,62,66,,,
1.88E-05,33,66,,,
2.68E-05,45,64,,,
1.88E-05,1,63,,,
1.98E-05,25,66,,,
2.07E-05,61,67,,,
2.07E-05,36,70,,,
2.10E-05,50,68,,,
1.92E-05,9,67,,,
1.89E-05,9,65,,,
1.91E-05,16,68,,,
2.00E-05,49,65,,,
2.90E-05,5,64,,,
1.95E-05,28,65,,,
2.06E-05,53,63,,,
1.86E-05,6,62,,,
2.27E-05,2,62,,,
1.93E-05,7,61,,,
2.03E-05,48,62,,,
2.51E-05,14,61,,,
2.07E-05,61,63,,,
2.10E-05,35,68,,,
1.97E-05,24,68,,,
2.05E-05,41,70,,,
1.85E-05,1,66,,,
2.16E-05,54,67,,,
1.99E-05,34,68,,,
2.06E-05,58,68,,,
1.97E-05,25,71,,,
2.03E-05,55,69,,,
2.07E-05,62,68,,,
2.41E-05,12,63,,,
2.01E-05,42,59,,,
2.05E-05,57,59,,,
1.96E-05,23,60,,,
2.16E-05,22,59,,,
2.07E-05,34,58,,,
1.94E-05,26,56,,,
1.91E-05,17,55,,,
2.03E-05,46,54,,,
1.99E-05,37,53,,,
1.92E-05,16,52,,,
2.99E-05,18,55,,,
3.19E-05,2,54,,,
1.91E-05,13,56,,,
2.00E-05,34,59,,,
2.00E-05,48,58,,,
1.97E-05,18,55,,,
2.02E-05,43,53,,,
2.81E-05,26,55,,,
2.99E-05,33,52,,,
3.55E-05,35,52,,,
3.26E-05,54,60,,,
0.0001459,21,58,,,
3.10E-05,34,57,,,
2.47E-05,2,55,,,
2.57E-05,20,56,,,
2.54E-05,10,55,,,
2.92E-05,28,56,,,
2.96E-05,43,56,,,
2.91E-05,34,53,,,
8.95E-05,6,52,,,
2.45E-05,18,52,,,
2.44E-05,21,52,,,
2.43E-05,28,49,,,
2.49E-05,37,47,,,
3.39E-05,38,47,,,
1.94E-05,8,51,,,
1.97E-05,28,49,,,
1.97E-05,31,52,,,
1.89E-05,11,50,,,
1.87E-05,5,49,,,
2.02E-05,44,47,,,
2.74E-05,45,46,,,
2.01E-05,32,48,,,
1.96E-05,33,47,,,
1.09E-05,0,47,,,
1.98E-05,39,44,,,
1.12E-05,0,42,,,
1.93E-05,23,41,,,
2.03E-05,34,40,,,
1.92E-05,19,39,,,
1.93E-05,16,36,,,
1.87E-05,5,36,,,
1.94E-05,14,35,,,
1.96E-05,19,36,,,
1.93E-05,7,37,,,
1.89E-05,1,34,,,
1.92E-05,16,34,,,
1.89E-05,13,33,,,
1.93E-05,23,32,,,
1.94E-05,8,28,,,
2.16E-05,19,28,,,
3.91E-05,17,27,,,
3.35E-05,25,28,,,
1.97E-05,13,30,,,
2.38E-05,9,29,,,
2.42E-05,14,30,,,
2.27E-05,5,29,,,
3.88E-05,24,28,,,
3.51E-05,25,32,,,
1.95E-05,28,31,,,
1.95E-05,21,34,,,
2.48E-05,29,33,,,
2.00E-05,33,34,,,
1.96E-05,25,32,,,
1.84E-05,1,33,,,
8.78E-05,2,32,,,
1.97E-05,28,31,,,
1.95E-05,19,30,,,
1.93E-05,21,29,,,
1.94E-05,18,26,,,
1.88E-05,7,26,,,
1.99E-05,21,24,,,
1.12E-05,0,23,,,
1.95E-05,12,19,,,
1.88E-05,5,22,,,
2.54E-05,3,20,,,
2.70E-05,14,18,,,
1.87E-05,4,17,,,
1.92E-05,16,17,,,
1.86E-05,1,17,,,
1.95E-05,17,18,,,
2.34E-05,6,22,,,
2.00E-05,18,21,,,
1.94E-05,12,20,,,
1.93E-05,18,19,,,
1.88E-05,6,18,,,
1.88E-05,3,17,,,
1.89E-05,11,17,,,
1.90E-05,7,17,,,
1.91E-05,9,21,,,
1.94E-05,17,22,,,
1.14E-05,0,35,,,
1.97E-05,17,34,,,
1.92E-05,7,35,,,
1.93E-05,16,34,,,
5.50E-05,1,33,,,
1.88E-05,7,33,,,
1.92E-05,18,32,,,
2.05E-05,26,29,,,
2.42E-05,10,31,,,
2.35E-05,3,30,,,
1.90E-05,16,33,,,
1.92E-05,15,32,,,
1.94E-05,16,31,,,
1.90E-05,12,31,,,
1.88E-05,12,30,,,
1.96E-05,15,31,,,
2.41E-05,19,33,,,
2.03E-05,31,33,,,
1.91E-05,8,32,,,
1.86E-05,5,34,,,
2.23E-05,23,28,,,
2.15E-05,21,29,,,
1.89E-05,7,28,,,
2.18E-05,28,34,,,
2.37E-05,16,38,,,
2.10E-05,23,37,,,
2.74E-05,20,36,,,
1.79E-05,5,36,,,
1.77E-05,3,38,,,
1.79E-05,11,39,,,
2.31E-05,12,46,,,
1.93E-05,36,43,,,
1.82E-05,16,41,,,
1.90E-05,33,40,,,
1.89E-05,15,40,,,
1.89E-05,27,40,,,
1.92E-05,33,42,,,
1.85E-05,22,42,,,
1.87E-05,35,41,,,
1.78E-05,6,38,,,
1.84E-05,16,37,,,
2.08E-05,38,43,,,
1.82E-05,10,43,,,
1.78E-05,6,45,,,
1.79E-05,10,44,,,
2.04E-05,7,41,,,
1.93E-05,33,41,,,
1.82E-05,17,40,,,
9.80E-06,0,38,,,
2.30E-05,8,41,,,
1.90E-05,14,41,,,
1.87E-05,24,42,,,
1.85E-05,27,42,,,
1.79E-05,6,46,,,
1.86E-05,24,46,,,
1.82E-05,19,47,,,
1.87E-05,40,46,,,
2.01E-05,9,44,,,
1.86E-05,23,43,,,
1.87E-05,28,44,,,
1.89E-05,31,43,,,
1.83E-05,11,44,,,
1.92E-05,26,44,,,
1.85E-05,21,41,,,
2.45E-05,10,45,,,
1.83E-05,8,46,,,
1.90E-05,36,49,,,
1.86E-05,21,48,,,
2.51E-05,24,44,,,
1.86E-05,7,47,,,
1.79E-05,4,46,,,
1.76E-05,1,45,,,
1.91E-05,35,49,,,
1.83E-05,14,49,,,
2.15E-05,42,46,,,
1.88E-05,30,51,,,
1.83E-05,22,50,,,
2.57E-05,32,52,,,
1.94E-05,44,51,,,
1.78E-05,4,49,,,
1.85E-05,20,49,,,
2.70E-05,32,46,,,
2.01E-05,30,43,,,
2.17E-05,37,42,,,
2.42E-05,25,43,,,
1.91E-05,37,41,,,
1.78E-05,6,41,,,
2.02E-05,21,42,,,
1.84E-05,10,40,,,
1.88E-05,29,39,,,
1.84E-05,3,41,,,
1.96E-05,34,40,,,
1.91E-05,37,43,,,
1.91E-05,34,52,,,
1.90E-05,35,59,,,
1.03E-05,0,58,,,
1.92E-05,41,57,,,
2.03E-05,25,55,,,
1.85E-05,22,55,,,
2.04E-05,19,54,,,
1.93E-05,40,55,,,
1.75E-05,2,57,,,
1.88E-05,3,49,,,
1.80E-05,1,51,,,
1.92E-05,29,47,,,
1.87E-05,22,45,,,
1.81E-05,11,44,,,
1.87E-05,24,54,,,
1.87E-05,27,54,,,
3.24E-05,5,54,,,
1.88E-05,28,63,,,
1.95E-05,50,62,,,
1.85E-05,21,59,,,
2.30E-05,16,56,,,
2.07E-05,54,55,,,
1.81E-05,7,54,,,
1.91E-05,36,54,,,
1.80E-05,7,53,,,
1.95E-05,50,53,,,
1.82E-05,17,56,,,
1.88E-05,37,59,,,
1.90E-05,43,57,,,
1.01E-05,0,56,,,
1.84E-05,1,58,,,
1.81E-05,2,55,,,
1.84E-05,23,60,,,
1.99E-05,40,58,,,
2.03E-05,51,57,,,
1.98E-05,42,59,,,
2.30E-05,2,60,,,
1.95E-05,11,59,,,
2.05E-05,32,58,,,
2.01E-05,27,59,,,
