cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
8.70E-05,9,10,32,,,,,0.0000313,17,1,3
1.78E-05,1,6,30,,,,,0.0000179,5,1,3
1.80E-05,16,4,22,,,,,0.0000099,12,0,3
1.76E-05,8,8,25,,,,,0.0000188,16,1,4
1.86E-05,18,10,26,,,,,0.0000327,5,1,4
1.83E-05,11,10,27,,,,,0.0000177,13,1,4
1.96E-05,19,18,32,,,,,0.0000104,9,0,4
2.23E-05,12,20,25,,,,,0.0000183,16,1,4
1.91E-05,15,15,25,,,,,0.0000193,17,2,4
3.02E-05,9,14,26,,,,,0.0000177,1,2,4
1.76E-05,9,6,17,,,,,0.0000231,9,1,4
1.79E-05,16,9,14,,,,,0.0000173,2,2,4
1.78E-05,10,6,15,,,,,0.0000102,16,0,4
1.80E-05,7,2,12,,,,,0.0000175,16,1,4
1.00E-05,6,0,11,,,,,0.0000173,3,2,4
1.88E-05,6,2,10,,,,,0.0000176,11,2,4
2.61E-05,1,4,10,,,,,0.0000101,1,0,4
1.75E-05,20,4,14,,,,,0.0000101,3,0,4
1.78E-05,15,13,16,,,,,0.0000177,6,1,4
1.09E-05,6,0,16,,,,,0.0000109,2,0,4
1.90E-05,5,15,17,,,,,0.0000181,19,2,4
2.16E-05,18,14,17,,,,,0.0000177,4,2,4
9.80E-06,18,0,19,,,,,0.0000175,14,1,4
1.84E-05,11,19,22,,,,,0.0000175,20,2,4
1.80E-05,4,11,21,,,,,0.0000237,2,1,4
1.75E-05,4,3,22,,,,,0.0000175,13,2,4
1.76E-05,20,3,23,,,,,0.0000156,2,0,4
1.79E-05,12,9,25,,,,,0.0000184,13,2,4
1.89E-05,2,4,26,,,,,0.000012,11,0,4
3.32E-05,1,19,30,,,,,0.0000176,7,1,4
1.91E-05,1,13,32,,,,,0.0000175,15,1,4
1.86E-05,18,9,32,,,,,0.0000175,15,1,4
1.96E-05,2,6,33,,,,,0.0000103,19,0,5
1.91E-05,18,11,34,,,,,0.0000273,6,2,5
1.89E-05,5,7,36,,,,,0.0000414,11,3,5
1.89E-05,4,15,37,,,,,0.0000175,11,1,5
1.93E-05,5,15,37,,,,,0.0000105,13,0,5
1.93E-05,13,11,36,,,,,0.0000177,4,2,5
1.97E-05,20,19,35,,,,,0.0000175,16,2,5
2.01E-05,14,32,35,,,,,0.0000174,16,3,5
1.89E-05,14,9,36,,,,,0.0000175,6,3,5
2.78E-05,20,12,36,,,,,0.0000183,8,1,5
4.91E-05,19,18,36,,,,,0.0000192,6,1,5
2.75E-05,2,16,41,,,,,0.0000175,4,3,5
2.02E-05,8,27,38,,,,,0.000018,9,3,5
1.90E-05,4,35,40,,,,,0.0000179,12,1,5
1.85E-05,9,31,40,,,,,0.0000175,8,3,5
1.86E-05,5,27,39,,,,,0.0000099,2,0,5
1.81E-05,2,10,34,,,,,0.000019,13,1,5
1.76E-05,14,7,35,,,,,0.0000177,3,3,5
1.78E-05,11,9,35,,,,,0.0000177,1,1,5
1.92E-05,8,24,36,,,,,0.0000104,7,0,5
1.88E-05,6,31,38,,,,,0.0000176,10,3,5
6.82E-05,12,28,39,,,,,0.0000176,1,2,5
1.92E-05,1,21,39,,,,,0.0000174,20,3,5
1.89E-05,10,35,42,,,,,0.0000101,9,0,5
1.80E-05,7,12,42,,,,,0.0000176,12,2,5
1.86E-05,1,10,42,,,,,0.000031,20,1,5
1.78E-05,7,6,40,,,,,0.0000332,2,1,5
1.87E-05,14,28,39,,,,,0.0000101,20,0,5
1.94E-05,14,16,36,,,,,0.0000174,5,1,5
1.83E-05,4,23,36,,,,,0.0000183,6,2,6
1.84E-05,19,25,38,,,,,0.0000186,1,1,6
1.87E-05,13,14,36,,,,,0.0000189,3,1,6
1.85E-05,16,5,37,,,,,0.00001,10,0,6
1.92E-05,18,27,40,,,,,0.0000314,13,4,6
1.96E-05,18,29,37,,,,,0.0000178,10,3,6
1.83E-05,18,1,35,,,,,0.0000177,20,3,6
1.85E-05,14,4,34,,,,,0.0000187,11,2,6
1.93E-05,4,27,34,,,,,0.0000175,14,4,6
1.81E-05,18,4,34,,,,,0.00001,19,0,6
1.82E-05,14,1,34,,,,,0.0000292,20,3,6
1.93E-05,18,25,29,,,,,0.0000178,13,3,6
1.88E-05,1,14,30,,,,,0.0000178,18,3,6
1.84E-05,1,3,31,,,,,0.0000175,5,3,6
1.92E-05,13,29,33,,,,,0.0000189,14,1,6
3.06E-05,15,10,28,,,,,0.0000173,20,1,6
1.87E-05,2,3,25,,,,,0.0000177,8,4,6
1.88E-05,17,3,27,,,,,0.0000177,19,3,6
1.86E-05,14,6,28,,,,,0.0000176,18,3,6
1.86E-05,5,12,29,,,,,0.0000177,14,4,6
1.91E-05,10,16,30,,,,,0.0000179,15,4,6
1.90E-05,18,26,32,,,,,0.0000187,18,3,6
0.000221,8,18,32,,,,,0.000011,10,0,6
2.70E-05,18,12,30,,,,,0.0000185,17,1,7
2.13E-05,5,19,28,,,,,0.0000175,16,3,7
1.90E-05,10,9,29,,,,,0.0000175,11,2,7
1.87E-05,2,4,29,,,,,0.0000279,16,1,7
1.93E-05,7,27,30,,,,,0.0000176,13,5,7
1.88E-05,2,25,31,,,,,0.0000232,15,4,7
1.81E-05,5,16,32,,,,,0.00001,13,0,7
