cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,
1.09E-05,17,0,33,,,,0.0000101,10,0,4
1.14E-05,12,0,29,,,,0.0000098,13,0,4
1.10E-05,20,0,27,,,,0.0000136,16,0,4
1.09E-05,6,0,24,,,,0.000014,1,0,4
1.11E-05,1,0,25,,,,0.00001,8,0,4
1.13E-05,2,0,22,,,,0.0000101,17,0,4
1.10E-05,4,0,21,,,,0.0000101,10,0,4
2.32E-05,17,0,19,,,,0.000011,7,0,4
1.02E-05,2,0,16,,,,0.0000109,13,0,4
1.49E-05,20,0,13,,,,0.0000108,5,0,4
1.33E-05,1,0,9,,,,0.000016,3,0,4
1.02E-05,5,0,13,,,,0.00003,18,0,4
1.01E-05,3,0,13,,,,0.0000101,6,0,4
1.02E-05,16,0,15,,,,0.0000099,16,0,4
1.00E-05,16,0,18,,,,0.0000102,10,0,4
9.90E-06,6,0,21,,,,0.0000149,5,0,4
2.25E-05,12,0,23,,,,0.0000099,4,0,4
1.02E-05,11,0,24,,,,0.0000104,16,0,4
1.05E-05,5,0,25,,,,0.0000098,15,0,4
1.00E-05,11,0,25,,,,0.0000103,17,0,4
1.09E-05,6,0,24,,,,0.0000099,6,0,4
1.02E-05,15,0,24,,,,0.0000099,18,0,4
1.84E-05,12,0,27,,,,0.0000116,19,0,4
1.02E-05,14,0,26,,,,0.00001,1,0,4
1.75E-05,17,0,27,,,,0.0000101,7,0,4
1.03E-05,15,0,27,,,,0.000011,11,0,4
1.10E-05,6,0,33,,,,0.0000107,2,0,4
1.14E-05,6,0,34,,,,0.0000105,3,0,4
1.11E-05,3,0,35,,,,0.0000104,9,0,4
1.10E-05,7,0,37,,,,0.0000102,10,0,4
1.15E-05,8,0,35,,,,0.0000119,19,0,4
1.12E-05,7,0,37,,,,0.00001,19,0,4
1.35E-05,18,0,34,,,,0.0000106,1,0,4
1.07E-05,15,0,35,,,,0.00001,11,0,4
1.02E-05,9,0,36,,,,0.0000107,20,0,4
1.00E-05,10,0,38,,,,0.0000109,11,0,5
9.80E-06,1,0,39,,,,0.00001,19,0,5
1.00E-05,14,0,40,,,,0.00001,13,0,5
1.02E-05,11,0,41,,,,0.0000131,5,0,5
1.12E-05,19,0,42,,,,0.0000103,19,0,5
1.74E-05,13,0,39,,,,0.00001,2,0,5
1.01E-05,11,0,38,,,,0.00001,15,0,5
1.00E-05,6,0,39,,,,0.0000146,19,0,5
9.90E-06,13,0,40,,,,0.0000098,14,0,5
1.00E-05,10,0,37,,,,0.0000099,16,0,5
1.00E-05,7,0,38,,,,0.00001,19,0,5
1.61E-05,9,0,39,,,,0.0000103,2,0,5
1.12E-05,12,0,37,,,,0.000016,20,0,5
1.18E-05,10,0,38,,,,0.0000187,20,0,5
1.75E-05,18,0,40,,,,0.000011,20,0,5
1.10E-05,1,0,41,,,,0.0000189,17,0,5
1.10E-05,11,0,42,,,,0.0000106,4,0,5
1.13E-05,8,0,40,,,,0.0000115,18,0,5
1.78E-05,8,0,41,,,,0.000021,8,0,5
1.08E-05,9,0,42,,,,0.0000104,20,0,5
1.26E-05,17,0,42,,,,0.00001,6,0,5
1.06E-05,10,0,41,,,,0.0000099,18,0,5
1.01E-05,3,0,43,,,,0.0000152,8,0,5
9.90E-06,11,0,42,,,,0.0000102,16,0,5
1.02E-05,2,0,42,,,,0.00001,18,0,5
9.90E-06,14,0,38,,,,0.0000105,14,0,5
1.02E-05,18,0,37,,,,0.0000111,17,0,5
1.00E-05,9,0,37,,,,0.0000111,13,0,5
1.02E-05,9,0,37,,,,0.0000111,14,0,5
1.11E-05,4,0,35,,,,0.0000129,7,0,5
1.12E-05,9,0,36,,,,0.00001,14,0,5
1.09E-05,20,0,34,,,,0.0000103,4,0,5
1.13E-05,14,0,34,,,,0.00001,17,0,5
1.08E-05,9,0,35,,,,0.0000099,11,0,5
1.09E-05,12,0,36,,,,0.0000108,9,0,5
1.07E-05,12,0,37,,,,0.0000109,18,0,6
1.08E-05,17,0,37,,,,0.0000099,17,0,6
1.10E-05,1,0,39,,,,0.00001,6,0,6
1.09E-05,5,0,40,,,,0.0000101,3,0,6
1.09E-05,7,0,38,,,,0.0000101,11,0,6
1.09E-05,18,0,37,,,,0.00001,9,0,6
1.08E-05,9,0,37,,,,0.0000252,9,0,6
1.23E-05,1,0,33,,,,0.00001,4,0,6
1.08E-05,11,0,33,,,,0.0000099,16,0,6
1.13E-05,8,0,29,,,,0.0000111,7,0,6
1.08E-05,1,0,30,,,,0.0000136,1,0,6
1.08E-05,4,0,28,,,,0.0000101,9,0,6
1.70E-05,12,0,33,,,,0.0000104,18,0,6
1.08E-05,8,0,32,,,,0.0000101,6,0,6
1.14E-05,7,0,30,,,,0.0000103,12,0,6
1.18E-05,20,0,24,,,,0.00001,14,0,6
1.08E-05,7,0,29,,,,0.0000177,10,0,6
1.09E-05,6,0,31,,,,0.0000103,11,0,6
1.39E-05,16,0,30,,,,0.0000115,20,0,6
9.90E-06,3,0,30,,,,0.0000208,17,0,6
9.90E-06,12,0,31,,,,0.00001,7,0,6
1.00E-05,2,0,35,,,,0.0000104,6,0,6
1.47E-05,2,0,33,,,,0.0000101,5,0,6
1.01E-05,1,0,34,,,,0.0000099,2,0,6
1.28E-05,20,0,35,,,,0.0000102,9,0,6
1.00E-05,16,0,35,,,,0.00001,10,0,6
1.00E-05,17,0,36,,,,0.0000172,13,0,6
1.00E-05,17,0,37,,,,0.0000102,9,0,6
1.00E-05,13,0,36,,,,0.0000104,10,0,6
1.21E-05,7,0,36,,,,0.000013,19,0,6
1.01E-05,1,0,36,,,,0.0000109,11,0,6
9.90E-06,8,0,34,,,,0.0000108,19,0,6
1.02E-05,15,0,34,,,,0.0000148,19,0,6
1.02E-05,12,0,35,,,,0.0000111,3,0,6
1.01E-05,10,0,36,,,,0.0000101,5,0,6
1.16E-05,1,0,34,,,,0.0000112,7,0,7
1.10E-05,1,0,35,,,,0.0000109,20,0,7
1.95E-05,18,0,37,,,,0.0000109,12,0,7
1.12E-05,6,0,38,,,,0.0000101,8,0,7
1.08E-05,7,0,39,,,,0.0000101,1,0,7
1.08E-05,14,0,40,,,,0.000018,17,0,7
1.09E-05,4,0,39,,,,0.00001,14,0,7
1.03E-05,3,0,36,,,,0.0000098,7,0,7
1.06E-05,19,0,36,,,,0.0000106,12,0,7
9.80E-06,9,0,38,,,,0.00001,2,0,7
1.13E-05,2,0,38,,,,0.00001,12,0,7
1.00E-05,15,0,38,,,,0.0000102,4,0,7
1.13E-05,20,0,44,,,,0.0000113,9,0,7
1.03E-05,20,0,39,,,,0.0000101,19,0,7
9.90E-06,20,0,31,,,,0.0000189,2,0,7
1.01E-05,8,0,31,,,,0.0000099,14,0,7
1.04E-05,14,0,33,,,,0.0000158,6,0,7
1.01E-05,6,0,34,,,,0.00001,19,0,7
1.00E-05,13,0,35,,,,0.0000099,2,0,7
1.00E-05,7,0,36,,,,0.0000101,17,0,7
1.00E-05,10,0,31,,,,0.000011,1,0,8
1.02E-05,12,0,33,,,,0.0000103,4,0,8
1.01E-05,6,0,34,,,,0.0000129,12,0,8
9.80E-06,2,0,34,,,,0.00001,17,0,8
1.00E-05,4,0,35,,,,0.0000103,19,0,8
1.02E-05,13,0,36,,,,0.0000113,2,0,8
1.02E-05,16,0,33,,,,0.0000103,19,0,8
1.57E-05,10,0,34,,,,0.0000103,17,0,8
1.55E-05,17,0,33,,,,0.0000109,18,0,8
9.90E-06,2,0,32,,,,0.00001,5,0,8
1.00E-05,6,0,38,,,,0.0000103,14,0,8
1.00E-05,5,0,37,,,,0.0000099,2,0,8
1.12E-05,14,0,39,,,,0.00001,17,0,8
1.00E-05,13,0,40,,,,0.0000104,20,0,8
1.00E-05,6,0,42,,,,0.00001,20,0,8
1.26E-05,1,0,43,,,,0.0000112,3,0,8
1.04E-05,3,0,42,,,,0.0000102,7,0,8
